Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5335442855946597,709.0
FL_2023_000217_PRY,0.5384195038273101,664.0
Paraguay: Floods _ Jun 1995,0.567306081761983,446.0
FL_2018_000419_PRY,0.5413212521598779,637.0
FL_2012_000056_PRY,0.5520714429320333,552.0
FL_2014_000030_PRY,0.5194001323982447,827.0
FL_1997_000299_PRY,0.5519802374670958,553.0
FL_2019_000033_PRY,0.5483290886623153,588.0
Paraguay: Floods _ Mar 1995,0.5663233368797868,453.0
FL_2013_000076_PRY,0.5467400107863469,595.0
subject,0.41276656697994063,1412.0
FL_2015_000171_PRY,0.5396197552302153,652.0
FL_2002_000296_PRY,0.5449827013978639,613.0
ST_2015_000041_PRY,0.5507302705473944,568.0
FL_2023_000041_PRY,0.4968705030505335,978.0
FL_2009_000226_PRY,0.6011756310558969,275.0
Paraguay: Floods _ Feb 1990,0.5096873907304988,896.0
FL_2021_000213_STP,0.7006199446866557,65.0
FL_2019_000034_BOL,0.615123748710851,220.0
FL_2018_000015_BOL,0.6249212051684309,196.0
FL_2007_000012_BOL,0.575309944204875,400.0
FL_2001_000029_BOL,0.5868255037442675,336.0
FL_2006_000010_BOL,0.6145297531440941,222.0
FL_2007_000231_BOL,0.6088847177738378,239.0
FL_2015_000008_BOL,0.5790335969146485,384.0
FL_2024_000021_BOL,0.5819585219146591,373.0
FL_2000_000130_BOL,0.5749056506415584,403.0
FL_2019_000032_BOL,0.6027373105675924,269.0
FL_2003_000621_BOL,0.5898505838243988,322.0
FL_2013_000020_BOL,0.5719021087666251,419.0
FL_2011_000020_BOL,0.6048616992104769,257.0
FL_2010_000008_BOL,0.5972243145707943,294.0
FL_2002_000110_BOL,0.5670166589593292,450.0
Bolivia: Chapare River Floods _ Jan 1987,0.6201076795892739,210.0
FL_1997_000022_BOL,0.5830931730258753,364.0
Bolivia: Floods _ Jan 1986,0.5836765282784186,355.0
Bolivia: Landslides/Floods _ Mar 1994,0.583576843350213,357.0
FL_2009_000045_BOL,0.5937745539007737,306.0
FL_2014_000008_BOL,0.5963379233331976,295.0
FL_2003_000012_BOL,0.5983927448185513,285.0
FL_2012_000005_BOL,0.5834484864792934,360.0
FL_2025_000038_BOL,0.6063835444025932,252.0
FL_2019_000079_BGD,0.500061212785711,955.0
FL_2023_000157_BGD,0.5315453931394376,726.0
Bangladesh: Floods _ Jul 1996,0.5133684126315567,865.0
FL_2020_000161_BGD,0.5372980724929823,673.0
FL_2007_000129_PAK,0.5855643295619992,341.0
Bangladesh: Floods _ Jul 1993,0.5621948630921757,482.0
FL_1998_000203_BGD,0.6085976916022545,242.0
FL_2014_000117_BGD,0.4942066114108489,1003.0
Bangladesh: Floods _ Jul 1999,0.5614138682772356,484.0
FL_2005_000176_BGD,0.5202021889464239,823.0
FL_2011_000093_BGD,0.5402880185311445,647.0
FL_2008_000096_BGD,0.4963085257590292,987.0
FL_2021_000097_BGD,0.503290291756267,936.0
FL_2006_000131_BGD,0.507513792600967,910.0
FL_2000_000617_BGD,0.507267699973055,911.0
FL_2015_000068_BGD,0.5667180974082453,452.0
Bangladesh: Floods _ Aug 1988,0.5218149518465258,807.0
FF_2007_000080_BGD,0.48668543641330086,1051.0
