Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4854981920848147,908.0
FL_2023_000217_PRY,0.5288751415519328,549.0
Paraguay: Floods _ Jun 1995,0.5424428509745627,431.0
FL_2018_000419_PRY,0.4821692025456666,940.0
FL_2012_000056_PRY,0.5173995254618513,647.0
FL_2014_000030_PRY,0.446752145975948,1193.0
FL_1997_000299_PRY,0.49482640890202506,830.0
FL_2019_000033_PRY,0.5086236597607487,721.0
Paraguay: Floods _ Mar 1995,0.47762926150620316,971.0
FL_2013_000076_PRY,0.5231649307793231,605.0
subject,0.5055878464987056,745.0
FL_2015_000171_PRY,0.5141103061979363,675.0
FL_2002_000296_PRY,0.5029914122406896,772.0
ST_2015_000041_PRY,0.48203752632241714,942.0
FL_2023_000041_PRY,0.46212805989573014,1106.0
FL_2009_000226_PRY,0.5189445384884294,634.0
Paraguay: Floods _ Feb 1990,0.5006310950750992,788.0
FL_2021_000213_STP,0.8088179201056651,37.0
FL_2019_000034_BOL,0.39726019962134335,1393.0
FL_2018_000015_BOL,0.39117539333868717,1403.0
FL_2007_000012_BOL,0.37767208317700873,1418.0
FL_2001_000029_BOL,0.3523134091390909,1446.0
FL_2006_000010_BOL,0.42923652636094217,1283.0
FL_2007_000231_BOL,0.4248475378838654,1302.0
FL_2015_000008_BOL,0.37125467095533077,1424.0
FL_2024_000021_BOL,0.3708863149248616,1425.0
FL_2000_000130_BOL,0.3388976509256166,1462.0
FL_2019_000032_BOL,0.42067090215746,1318.0
FL_2003_000621_BOL,0.3574537610860692,1438.0
FL_2013_000020_BOL,0.35791945927885394,1437.0
FL_2011_000020_BOL,0.3736362443271234,1421.0
FL_2010_000008_BOL,0.3854103482236468,1411.0
FL_2002_000110_BOL,0.34222083160519695,1457.0
Bolivia: Chapare River Floods _ Jan 1987,0.3949481623113084,1397.0
FL_1997_000022_BOL,0.3716322527342344,1423.0
Bolivia: Floods _ Jan 1986,0.40451004479528463,1378.0
Bolivia: Landslides/Floods _ Mar 1994,0.32753098354548216,1479.0
FL_2009_000045_BOL,0.369521208851378,1427.0
FL_2014_000008_BOL,0.40806510105068616,1368.0
FL_2003_000012_BOL,0.35935793716720654,1433.0
FL_2012_000005_BOL,0.4106524588938686,1357.0
FL_2025_000038_BOL,0.3779077695066616,1417.0
FL_2019_000079_BGD,0.9210422850555599,18.0
FL_2023_000157_BGD,0.93098151470881,4.0
Bangladesh: Floods _ Jul 1996,0.9005989512819775,33.0
FL_2020_000161_BGD,0.9247299300625587,9.0
FL_2007_000129_PAK,0.9464953584310709,1.0
Bangladesh: Floods _ Jul 1993,0.9255486833346697,8.0
FL_1998_000203_BGD,0.9273172500712182,6.0
FL_2014_000117_BGD,0.9235421130479857,14.0
Bangladesh: Floods _ Jul 1999,0.9164752717038482,25.0
FL_2005_000176_BGD,0.9194832394872932,21.0
FL_2011_000093_BGD,0.9246205661543745,10.0
FL_2008_000096_BGD,0.9246060596364455,11.0
FL_2021_000097_BGD,0.9068191860221787,31.0
FL_2006_000131_BGD,0.9242028272046026,12.0
FL_2000_000617_BGD,0.9217317850580833,17.0
FL_2015_000068_BGD,0.941767995692167,2.0
Bangladesh: Floods _ Aug 1988,0.892247513632609,35.0
FF_2007_000080_BGD,0.8886728346012001,36.0
Bangladesh: Floods _ Aug 1986,0.9120771642282801,30.0
Bangladesh: Floods _ Jun 1993,0.9155574950317918,27.0
FL_2004_000044_BGD,0.9259282374868104,7.0
FL_1997_000164_BGD,0.8927391500066391,34.0
FL_2016_000075_BGD,0.9178400573876503,23.0
Bangladesh: Floods _ Jul 1988,0.9197635124641897,20.0
FL_2010_000114_BGD,0.9206702993419846,19.0
Bangladesh: Floods _ Sep 1986,0.9188851982818109,22.0
Bangladesh: Floods _ Aug 1989,0.9221753180406753,16.0
FL_2009_000123_BGD,0.9288767055564551,5.0
FL_2018_000105_BGD,0.9057721261013854,32.0
FL_2002_000402_BGD,0.9170016000888015,24.0
FL_2002_000536_MMR,0.9235720779384247,13.0
Bangladesh: Floods _ Jul 1991,0.9157824607241339,26.0
