Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.553282036929529,451.0
FL_2023_000217_PRY,0.580524284853885,281.0
Paraguay: Floods _ Jun 1995,0.5649781022797835,366.0
FL_2018_000419_PRY,0.5523760947318425,459.0
FL_2012_000056_PRY,0.5484007423539997,488.0
FL_2014_000030_PRY,0.485102620808619,1063.0
FL_1997_000299_PRY,0.5373100552308294,588.0
FL_2019_000033_PRY,0.5797640607613215,287.0
Paraguay: Floods _ Mar 1995,0.5195981215100014,735.0
FL_2013_000076_PRY,0.5492635069875307,479.0
subject,0.39841716587511367,1468.0
FL_2015_000171_PRY,0.5877090221634043,250.0
FL_2002_000296_PRY,0.5485713550169392,485.0
ST_2015_000041_PRY,0.5596710742401101,402.0
FL_2023_000041_PRY,0.5186982687627458,743.0
FL_2009_000226_PRY,0.5751716995500653,307.0
Paraguay: Floods _ Feb 1990,0.5474824706936603,503.0
FL_2021_000213_STP,0.8340984123824234,14.0
FL_2019_000034_BOL,0.4698243866442078,1189.0
FL_2018_000015_BOL,0.47979399524467725,1112.0
FL_2007_000012_BOL,0.4630344576856775,1241.0
FL_2001_000029_BOL,0.4571178575707696,1269.0
FL_2006_000010_BOL,0.4852863293191735,1061.0
FL_2007_000231_BOL,0.48377144787752124,1072.0
FL_2015_000008_BOL,0.43791744129866284,1371.0
FL_2024_000021_BOL,0.46755999475435467,1209.0
FL_2000_000130_BOL,0.4312433088423189,1401.0
FL_2019_000032_BOL,0.4628015500335091,1243.0
FL_2003_000621_BOL,0.4384535225000523,1369.0
FL_2013_000020_BOL,0.44394643742290774,1344.0
FL_2011_000020_BOL,0.4688405080208605,1200.0
FL_2010_000008_BOL,0.45468975317977167,1281.0
FL_2002_000110_BOL,0.4215175388996433,1432.0
Bolivia: Chapare River Floods _ Jan 1987,0.46422128117416483,1232.0
FL_1997_000022_BOL,0.4417696980232468,1352.0
Bolivia: Floods _ Jan 1986,0.4536127759407878,1289.0
Bolivia: Landslides/Floods _ Mar 1994,0.43230713510930147,1397.0
FL_2009_000045_BOL,0.4482299335705898,1321.0
FL_2014_000008_BOL,0.4557968232662921,1276.0
FL_2003_000012_BOL,0.45564124997630684,1277.0
FL_2012_000005_BOL,0.4474223361510118,1324.0
FL_2025_000038_BOL,0.4483487849447642,1319.0
FL_2019_000079_BGD,0.6066905188842868,166.0
FL_2023_000157_BGD,0.6076897069690611,163.0
Bangladesh: Floods _ Jul 1996,0.5854529899505354,256.0
FL_2020_000161_BGD,0.6252103149568154,103.0
FL_2007_000129_PAK,0.6406736994989626,59.0
Bangladesh: Floods _ Jul 1993,0.6289546860679605,91.0
FL_1998_000203_BGD,0.645791474474319,48.0
FL_2014_000117_BGD,0.5891268182280982,245.0
Bangladesh: Floods _ Jul 1999,0.6188338827092241,122.0
FL_2005_000176_BGD,0.594015021269639,216.0
FL_2011_000093_BGD,0.595400536769242,210.0
FL_2008_000096_BGD,0.6048104346320812,171.0
FL_2021_000097_BGD,0.6021528296431498,182.0
FL_2006_000131_BGD,0.593234725602398,224.0
FL_2000_000617_BGD,0.6154553027653691,132.0
FL_2015_000068_BGD,0.6501263366496143,41.0
Bangladesh: Floods _ Aug 1988,0.5648173053455261,368.0
FF_2007_000080_BGD,0.5864678871855498,252.0
Bangladesh: Floods _ Aug 1986,0.5825590720269892,272.0
Bangladesh: Floods _ Jun 1993,0.6063257894529794,167.0
FL_2004_000044_BGD,0.6162827078232819,129.0
FL_1997_000164_BGD,0.6061848646937342,168.0
FL_2016_000075_BGD,0.5811273381383057,280.0
Bangladesh: Floods _ Jul 1988,0.5901517803778971,240.0
FL_2010_000114_BGD,0.6002610360562598,190.0
Bangladesh: Floods _ Sep 1986,0.5815274094619047,277.0
Bangladesh: Floods _ Aug 1989,0.6085531721795991,157.0
FL_2009_000123_BGD,0.5776219756990406,298.0
FL_2018_000105_BGD,0.6142032712391299,136.0
FL_2002_000402_BGD,0.6081057172869847,159.0
FL_2002_000536_MMR,0.6031006552906868,180.0
Bangladesh: Floods _ Jul 1991,0.6043123061529219,173.0
Bangladesh: Floods _ May 1984,0.5918315246527168,231.0
FL_2012_000106_BGD,0.5734871822714815,313.0
FL_2024_000088_BGD,0.6181190680657103,124.0
FL_2022_000217_BGD,0.603394549859603,178.0
FL_2006_000092_KOR,0.45316298272258804,1291.0
FL_2001_000335_KOR,0.43418858375936875,1386.0
FL_1999_000247_KOR,0.45363277376579686,1288.0
FL_1998_000219_KOR,0.4308918988496844,1403.0
FL_2009_000190_TUR,0.49796432029581045,948.0
FL_2006_000156_TUR,0.5172868973119324,764.0
Turkey: Floods _ Nov 1995,0.47850895700008933,1129.0
FL_1998_000255_TUR,0.43943914097513087,1363.0
FL_2023_000040_TUR,0.43150532853936485,1399.0
FF_2009_000159_PAK,0.5755752535228189,303.0
FL_2020_000185_PAK,0.5888682115958419,246.0
FF_2008_000123_PAK,0.5924796451238673,228.0
FL_2010_000141_PAK,0.6010843242220598,185.0
FF_2012_000148_PAK,0.5932909415637293,222.0
FF_2013_000090_PAK,0.5983153621892882,197.0
FL_2015_000017_PAK,0.6267338053280862,98.0
Pakistan: Floods _ Aug 1996,0.5750131639683403,308.0
FL_1998_000048_PAK,0.6011602237910421,184.0
FL_2019_000087_PAK,0.6098223427671564,151.0
FL_2017_000017_PAK,0.5839327908922839,264.0
Pakistan: Floods _ Jul 1993,0.583399270444886,268.0
FL_2014_000122_PAK,0.5911272557671321,235.0
FL_1992_000008_PAK,0.6152986293440761,133.0
FF_2007_000082_PAK,0.5923541085468175,230.0
Pakistan: Floods _ Feb 1991,0.6278194061715288,94.0
FL_2003_000359_PAK,0.588559558628532,247.0
FL_2016_000066_PAK,0.591594507316785,232.0
FL_2022_000254_PAK,0.5894137907567687,244.0
FL_2024_000118_PAK,0.6029488553984355,181.0
FL_2016_000021_PAK,0.603945193383392,175.0
FL_2005_000108_PAK,0.5961036517101661,206.0
FL_2024_000020_PAK,0.603735491289763,177.0
FL_2023_000119_PAK,0.572747323966913,316.0
FL_2001_000376_PAK,0.5900747794719701,241.0
FL_2011_000109_PAK,0.5906837023663574,237.0
FL_2009_000139_PAK,0.5644063680685758,371.0
FL_2005_000038_MDG,0.5709590284144743,333.0
ST_2022_000138_MDG,0.5711000318801701,332.0
2012_000020_MDG,0.5982169362355629,199.0
FL_2020_000019_MDG,0.5799594542911053,285.0
FL_2003_000037_MDG,0.5620768675423088,386.0
FL_2013_000004_KEN,0.517128484141665,766.0
FL_2009_000218_KEN,0.5180901517406737,753.0
FL_2024_000045_KEN,0.50338332469595,896.0
FL_2011_000115_KEN,0.5292121407864436,655.0
FL_2002_000265_KEN,0.5529802199275966,455.0
FL_2010_000003_KEN,0.5444411458656325,532.0
FL_2004_000020_KEN,0.5396152663834894,566.0
FF_2012_000062_KEN,0.5280362416468393,666.0
FL_2008_000217_KEN,0.5363965078169857,596.0
FL_2015_000169_KEN,0.5319756218312763,631.0
FL_2021_000038_KEN,0.5408376988716124,555.0
FL_2023_000216_KEN,0.525430761735115,686.0
FL_2013_000038_KEN,0.5742435457335878,311.0
FL_1997_000255_KEN,0.5467491412754228,510.0
FL_2020_000128_KEN,0.5375780600204869,585.0
FF_2023_000051_KEN,0.5048496176452453,879.0
FL_2019_000138_KEN,0.5233562063797874,707.0
FL_2007_000139_KEN,0.5402527502626697,562.0
FF_2008_000092_KEN,0.5397737404059664,564.0
FL_2007_000076_KEN,0.5222613758106529,715.0
FF_2018_000030_KEN,0.5683350104490779,342.0
FL_2010_000174_KEN,0.5177097161963591,756.0
FF_2006_000046_KEN,0.5404640472470734,560.0
FL_2016_000042_KEN,0.5463112457502837,515.0
FL_2007_000221_KEN,0.5484564400178118,487.0
FL_2025_000045_COD,0.5361771717631185,599.0
FL_2024_000009_COD,0.5349157357189994,612.0
FL_1999_000531_COD,0.5292669513030182,654.0
FL_2012_000192_COD,0.4982382890261549,945.0
ST_2012_000064_COD,0.527479011894336,669.0
FL_2010_000062_COD,0.5351245245969103,610.0
FL_2020_000052_COD,0.5431088757369481,535.0
