Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4830852701209627,224.0
FL_2023_000217_PRY,0.4749196103604515,262.0
Paraguay: Floods _ Jun 1995,0.48058590678089186,230.0
FL_2018_000419_PRY,0.42630698373572873,672.0
FL_2012_000056_PRY,0.4454962982460532,475.0
FL_2014_000030_PRY,0.4386853049538347,543.0
FL_1997_000299_PRY,0.42645965313694545,668.0
FL_2019_000033_PRY,0.5067936158076768,130.0
Paraguay: Floods _ Mar 1995,0.44405648198292347,490.0
FL_2013_000076_PRY,0.47034085509863066,286.0
subject,0.4440337978448759,491.0
FL_2015_000171_PRY,0.5055009565762154,134.0
FL_2002_000296_PRY,0.43379411372989235,589.0
ST_2015_000041_PRY,0.4591631112207488,359.0
FL_2023_000041_PRY,0.4110550248055756,800.0
FL_2009_000226_PRY,0.4665101245860993,312.0
Paraguay: Floods _ Feb 1990,0.47710764603891825,252.0
FL_2021_000213_STP,0.5568994156003975,51.0
FL_2019_000034_BOL,0.5501507011843134,57.0
FL_2018_000015_BOL,0.5160379565848836,103.0
FL_2007_000012_BOL,0.5394443667955222,66.0
FL_2001_000029_BOL,0.5253521172929541,85.0
FL_2006_000010_BOL,0.4840650930386308,218.0
FL_2007_000231_BOL,0.5153445710422742,104.0
FL_2015_000008_BOL,0.5132876634390654,109.0
FL_2024_000021_BOL,0.5179854509398558,97.0
FL_2000_000130_BOL,0.46558859501575456,320.0
FL_2019_000032_BOL,0.5016847932487587,148.0
FL_2003_000621_BOL,0.5132975121592003,108.0
FL_2013_000020_BOL,0.5337397116981937,70.0
FL_2011_000020_BOL,0.5424690084148941,64.0
FL_2010_000008_BOL,0.5258891098970864,83.0
FL_2002_000110_BOL,0.5142362702905854,106.0
Bolivia: Chapare River Floods _ Jan 1987,0.5221875142290219,91.0
FL_1997_000022_BOL,0.5250871559227439,86.0
Bolivia: Floods _ Jan 1986,0.5052640569949888,136.0
Bolivia: Landslides/Floods _ Mar 1994,0.478648956268487,250.0
FL_2009_000045_BOL,0.4950991151552845,172.0
FL_2014_000008_BOL,0.5311890114612512,75.0
FL_2003_000012_BOL,0.4866979354154186,210.0
FL_2012_000005_BOL,0.4970969777856283,162.0
FL_2025_000038_BOL,0.46533460105816055,322.0
FL_2019_000079_BGD,0.43041235054806937,625.0
FL_2023_000157_BGD,0.4089897628473643,824.0
Bangladesh: Floods _ Jul 1996,0.39718521751741,927.0
FL_2020_000161_BGD,0.4273031494872161,658.0
FL_2007_000129_PAK,0.4410726984652178,510.0
Bangladesh: Floods _ Jul 1993,0.3975021910346993,922.0
FL_1998_000203_BGD,0.4467820759424601,464.0
FL_2014_000117_BGD,0.3760380589742519,1083.0
