Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.6251737967493048,300.0
FL_2023_000217_PRY,0.6042182263431822,411.0
Paraguay: Floods _ Jun 1995,0.5851321141278991,501.0
FL_2018_000419_PRY,0.5984747360687637,438.0
FL_2012_000056_PRY,0.611512508345649,375.0
FL_2014_000030_PRY,0.5700012837390073,578.0
FL_1997_000299_PRY,0.6030846984944878,418.0
FL_2019_000033_PRY,0.6516958613955983,205.0
Paraguay: Floods _ Mar 1995,0.5802281005773486,520.0
FL_2013_000076_PRY,0.5894525444753209,482.0
subject,0.6087696759252936,388.0
FL_2015_000171_PRY,0.612377237738832,370.0
FL_2002_000296_PRY,0.6236454863211444,308.0
ST_2015_000041_PRY,0.6225641015387585,316.0
FL_2023_000041_PRY,0.6004670185340623,430.0
FL_2009_000226_PRY,0.6453211175394871,224.0
Paraguay: Floods _ Feb 1990,0.5779385195214347,535.0
FL_2021_000213_STP,0.7408873509380729,48.0
FL_2019_000034_BOL,0.7406659802832714,49.0
FL_2018_000015_BOL,0.7173643116271996,77.0
FL_2007_000012_BOL,0.7409030240690004,47.0
FL_2001_000029_BOL,0.7620578789964294,17.0
FL_2006_000010_BOL,0.7628095488121344,15.0
FL_2007_000231_BOL,0.7276280026537923,67.0
FL_2015_000008_BOL,0.7434053360359781,42.0
FL_2024_000021_BOL,0.6889949291919322,116.0
FL_2000_000130_BOL,0.7181154061969062,75.0
FL_2019_000032_BOL,0.7719555524233105,8.0
FL_2003_000621_BOL,0.7554150028342317,25.0
FL_2013_000020_BOL,0.7622112278271567,16.0
FL_2011_000020_BOL,0.757846062148322,23.0
FL_2010_000008_BOL,0.7276117295660545,68.0
FL_2002_000110_BOL,0.7477400552892338,32.0
Bolivia: Chapare River Floods _ Jan 1987,0.7292984581978394,66.0
FL_1997_000022_BOL,0.7434958256933082,41.0
Bolivia: Floods _ Jan 1986,0.7442686250209721,40.0
Bolivia: Landslides/Floods _ Mar 1994,0.775848040081051,6.0
FL_2009_000045_BOL,0.7468347018132229,35.0
FL_2014_000008_BOL,0.7069608729795375,90.0
FL_2003_000012_BOL,0.747164190205223,34.0
FL_2012_000005_BOL,0.734742618780001,62.0
FL_2025_000038_BOL,0.7651519581174999,12.0
FL_2019_000079_BGD,0.7172410483399152,78.0
FL_2023_000157_BGD,0.7509412524011922,29.0
Bangladesh: Floods _ Jul 1996,0.7103457050929924,85.0
FL_2020_000161_BGD,0.7402760171829069,51.0
FL_2007_000129_PAK,0.7000849611171125,100.0
Bangladesh: Floods _ Jul 1993,0.7376456241200791,56.0
FL_1998_000203_BGD,0.7474055503679098,33.0
FL_2014_000117_BGD,0.7479527645907362,31.0
Bangladesh: Floods _ Jul 1999,0.7725833890665575,7.0
FL_2005_000176_BGD,0.7237406943569673,70.0
FL_2011_000093_BGD,0.7228426973085484,71.0
FL_2008_000096_BGD,0.7425179465509016,45.0
FL_2021_000097_BGD,0.7343241752322825,63.0
FL_2006_000131_BGD,0.7396954908358835,52.0
FL_2000_000617_BGD,0.7587284062982302,21.0
FL_2015_000068_BGD,0.7215167308140802,72.0
Bangladesh: Floods _ Aug 1988,0.7536779819925501,27.0
FF_2007_000080_BGD,0.7361079118027195,58.0
Bangladesh: Floods _ Aug 1986,0.7614268686380188,18.0
Bangladesh: Floods _ Jun 1993,0.7353806132302853,60.0
FL_2004_000044_BGD,0.7781394621129417,4.0
FL_1997_000164_BGD,0.7312163742896864,65.0
FL_2016_000075_BGD,0.7244704695903524,69.0
Bangladesh: Floods _ Jul 1988,0.7096619733714873,86.0
FL_2010_000114_BGD,0.7175196296197459,76.0
Bangladesh: Floods _ Sep 1986,0.739284595912245,53.0
Bangladesh: Floods _ Aug 1989,0.749548808836981,30.0
FL_2009_000123_BGD,0.7081805766663497,88.0
FL_2018_000105_BGD,0.7674415613302135,10.0
FL_2002_000402_BGD,0.7147201704980451,80.0
FL_2002_000536_MMR,0.784333745863334,3.0
Bangladesh: Floods _ Jul 1991,0.7600277007046152,19.0
Bangladesh: Floods _ May 1984,0.7373086313514723,57.0
FL_2012_000106_BGD,0.7455029250695013,37.0
FL_2024_000088_BGD,0.6770911406074882,143.0
FL_2022_000217_BGD,0.7377809249846025,55.0
FL_2006_000092_KOR,0.6346571971824227,259.0
FL_2001_000335_KOR,0.6308831823158998,275.0
FL_1999_000247_KOR,0.6224125317373297,317.0
FL_1998_000219_KOR,0.6378610233713284,248.0
FL_2009_000190_TUR,0.6543298146433804,199.0
FL_2006_000156_TUR,0.6483314669776545,212.0
Turkey: Floods _ Nov 1995,0.6103935032418537,382.0
FL_1998_000255_TUR,0.6490337621012536,208.0
FL_2023_000040_TUR,0.6327497122626697,268.0
FF_2009_000159_PAK,0.49895286299513164,1006.0
FL_2020_000185_PAK,0.510790668520837,898.0
FF_2008_000123_PAK,0.5080621802386763,924.0
FL_2010_000141_PAK,0.4975367882568399,1019.0
FF_2012_000148_PAK,0.5019316301033016,976.0
FF_2013_000090_PAK,0.48461092435149555,1105.0
FL_2015_000017_PAK,0.49901456750829704,1005.0
Pakistan: Floods _ Aug 1996,0.4642746385974351,1230.0
FL_1998_000048_PAK,0.49732679360128174,1023.0
FL_2019_000087_PAK,0.48675784352717827,1089.0
FL_2017_000017_PAK,0.48762878749056476,1082.0
Pakistan: Floods _ Jul 1993,0.4939783791070423,1047.0
FL_2014_000122_PAK,0.4846951681683498,1103.0
FL_1992_000008_PAK,0.49354710158483395,1048.0
FF_2007_000082_PAK,0.5150663768665852,868.0
Pakistan: Floods _ Feb 1991,0.5053311145307765,951.0
FL_2003_000359_PAK,0.4845545160373813,1106.0
FL_2016_000066_PAK,0.5084962039973586,922.0
FL_2022_000254_PAK,0.48899906841003143,1073.0
FL_2024_000118_PAK,0.4731821667015681,1182.0
FL_2016_000021_PAK,0.5017023102708592,981.0
FL_2005_000108_PAK,0.5009471484469703,989.0
FL_2024_000020_PAK,0.5160648954855607,863.0
FL_2023_000119_PAK,0.4853417459646368,1100.0
FL_2001_000376_PAK,0.4872159743830828,1084.0
FL_2011_000109_PAK,0.5343651158373172,757.0
FL_2009_000139_PAK,0.49944754010476566,1001.0
FL_2005_000038_MDG,0.5564005869303654,644.0
ST_2022_000138_MDG,0.5516586733165656,670.0
2012_000020_MDG,0.5391048416275215,724.0
FL_2020_000019_MDG,0.5557493448046165,647.0
FL_2003_000037_MDG,0.5677021613360249,589.0
FL_2013_000004_KEN,0.46950705929926734,1202.0
FL_2009_000218_KEN,0.4386484066677163,1329.0
FL_2024_000045_KEN,0.45469034427680693,1264.0
FL_2011_000115_KEN,0.4381105228204144,1331.0
FL_2002_000265_KEN,0.45298870367773364,1274.0
FL_2010_000003_KEN,0.4730029346541826,1184.0
FL_2004_000020_KEN,0.4877724201561692,1078.0
FF_2012_000062_KEN,0.4787494664243749,1145.0
FL_2008_000217_KEN,0.4483144103059552,1300.0
FL_2015_000169_KEN,0.4390073454250025,1327.0
FL_2021_000038_KEN,0.49130078679056227,1060.0
FL_2023_000216_KEN,0.45295685520746426,1275.0
FL_2013_000038_KEN,0.45748886411913625,1258.0
FL_1997_000255_KEN,0.47654324868058184,1164.0
FL_2020_000128_KEN,0.4674539859122493,1213.0
FF_2023_000051_KEN,0.44985191842665073,1296.0
FL_2019_000138_KEN,0.46453069480290876,1227.0
FL_2007_000139_KEN,0.45516015078128536,1262.0
FF_2008_000092_KEN,0.4646045290590092,1226.0
FL_2007_000076_KEN,0.4792471871058322,1143.0
FF_2018_000030_KEN,0.45792573733330316,1255.0
FL_2010_000174_KEN,0.452496589446251,1277.0
FF_2006_000046_KEN,0.4827382584230422,1122.0
FL_2016_000042_KEN,0.48030901904002815,1134.0
FL_2007_000221_KEN,0.46900077833898113,1204.0
FL_2025_000045_COD,0.5784811577106532,531.0
FL_2024_000009_COD,0.6382053960135559,247.0
FL_1999_000531_COD,0.5608903073513248,624.0
FL_2012_000192_COD,0.5764376581833184,541.0
ST_2012_000064_COD,0.5603124621878088,626.0
FL_2010_000062_COD,0.6051696331599139,404.0
FL_2020_000052_COD,0.5325985495895449,765.0
FL_2010_000151_COD,0.5784752473776541,532.0
FL_2006_000047_COD,0.5119207026533854,891.0
FL_2016_000124_COD,0.6218355958995975,321.0
FL_2015_000164_COD,0.600976912932391,428.0
FL_1997_000295_COD,0.6091571423728697,387.0
FL_2011_000187_COD,0.5728086366428731,567.0
FL_2022_000376_COD,0.5761103960015538,545.0
FL_2018_000004_COD,0.579370469342404,527.0
FL_2007_000197_COD,0.5416895854239179,716.0
FL_2020_000206_COD,0.597621983070673,444.0
FL_2019_000153_COD,0.5936563499127736,464.0
FF_2008_000186_COD,0.5805988677913898,517.0
FL_2023_000067_COD,0.5545084281267588,657.0
