Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.48027001344519754,1084.0
FL_2023_000217_PRY,0.5466302328240751,703.0
Paraguay: Floods _ Jun 1995,0.5259659563412035,824.0
FL_2018_000419_PRY,0.4790010648801738,1093.0
FL_2012_000056_PRY,0.5254977013124009,826.0
FL_2014_000030_PRY,0.49205320008480463,1020.0
FL_1997_000299_PRY,0.5413538474748703,732.0
FL_2019_000033_PRY,0.5556865845603209,644.0
Paraguay: Floods _ Mar 1995,0.4990777147489262,977.0
FL_2013_000076_PRY,0.5162947419086883,883.0
subject,0.2984115986266269,1507.0
FL_2015_000171_PRY,0.5314839343249413,791.0
FL_2002_000296_PRY,0.5293632563873054,800.0
ST_2015_000041_PRY,0.5524797328075708,664.0
FL_2023_000041_PRY,0.5524784332201549,665.0
FL_2009_000226_PRY,0.5739145722483447,523.0
Paraguay: Floods _ Feb 1990,0.4747389853968304,1116.0
FL_2021_000213_STP,0.8255520761268063,26.0
FL_2019_000034_BOL,0.5137139447905625,894.0
FL_2018_000015_BOL,0.47869630328799695,1095.0
FL_2007_000012_BOL,0.49162267285075123,1022.0
FL_2001_000029_BOL,0.4853127411936544,1055.0
FL_2006_000010_BOL,0.45705522066862725,1210.0
FL_2007_000231_BOL,0.4864438166092643,1050.0
FL_2015_000008_BOL,0.4747071209538686,1117.0
FL_2024_000021_BOL,0.42280866144493284,1305.0
FL_2000_000130_BOL,0.43983916664253003,1254.0
FL_2019_000032_BOL,0.5363983630724842,761.0
FL_2003_000621_BOL,0.497086267225206,986.0
FL_2013_000020_BOL,0.4780300474274941,1098.0
FL_2011_000020_BOL,0.5086311517772711,926.0
FL_2010_000008_BOL,0.45342087106611784,1219.0
FL_2002_000110_BOL,0.4936590216690663,1010.0
Bolivia: Chapare River Floods _ Jan 1987,0.5083803836180762,928.0
FL_1997_000022_BOL,0.5012569036070795,964.0
Bolivia: Floods _ Jan 1986,0.45779433871613295,1207.0
Bolivia: Landslides/Floods _ Mar 1994,0.5010303728537586,966.0
FL_2009_000045_BOL,0.4742352314135373,1119.0
FL_2014_000008_BOL,0.43418116327275,1271.0
FL_2003_000012_BOL,0.43801447368384017,1261.0
FL_2012_000005_BOL,0.5070542371774376,936.0
FL_2025_000038_BOL,0.4943237444352551,1005.0
FL_2019_000079_BGD,0.5534500521970752,657.0
FL_2023_000157_BGD,0.46079206456233746,1192.0
Bangladesh: Floods _ Jul 1996,0.5321130200149444,786.0
FL_2020_000161_BGD,0.519668150222011,857.0
FL_2007_000129_PAK,0.48122567683263784,1078.0
Bangladesh: Floods _ Jul 1993,0.48816530348481585,1039.0
FL_1998_000203_BGD,0.4968524737256751,989.0
FL_2014_000117_BGD,0.49742975672028983,984.0
Bangladesh: Floods _ Jul 1999,0.5377882621259493,754.0
FL_2005_000176_BGD,0.5372275058983629,756.0
FL_2011_000093_BGD,0.5540320483938406,653.0
FL_2008_000096_BGD,0.46475790523385285,1174.0
FL_2021_000097_BGD,0.4221806547967143,1309.0
FL_2006_000131_BGD,0.5112641040815695,903.0
FL_2000_000617_BGD,0.5092259666058354,921.0
FL_2015_000068_BGD,0.47974233705159997,1088.0
Bangladesh: Floods _ Aug 1988,0.4563675164901927,1212.0
FF_2007_000080_BGD,0.4750369299930671,1112.0
Bangladesh: Floods _ Aug 1986,0.49321213857804574,1011.0
Bangladesh: Floods _ Jun 1993,0.46170762018814104,1187.0
FL_2004_000044_BGD,0.4925295132853303,1015.0
FL_1997_000164_BGD,0.4654399531678103,1171.0
FL_2016_000075_BGD,0.48946224829076024,1034.0
Bangladesh: Floods _ Jul 1988,0.44942232210360034,1227.0
FL_2010_000114_BGD,0.4684955028979466,1154.0
Bangladesh: Floods _ Sep 1986,0.514390695734275,891.0
Bangladesh: Floods _ Aug 1989,0.5035617288918703,953.0
FL_2009_000123_BGD,0.47852301940192166,1096.0
FL_2018_000105_BGD,0.5494628843702546,686.0
FL_2002_000402_BGD,0.4707134133684899,1141.0
FL_2002_000536_MMR,0.4615055103325461,1188.0
Bangladesh: Floods _ Jul 1991,0.5174183075048355,872.0
Bangladesh: Floods _ May 1984,0.5092806415313985,920.0
FL_2012_000106_BGD,0.4426649376571695,1249.0
FL_2024_000088_BGD,0.4712585787436711,1134.0
FL_2022_000217_BGD,0.4539002854811106,1218.0
FL_2006_000092_KOR,0.6030926386952359,342.0
FL_2001_000335_KOR,0.6039297641718001,339.0
FL_1999_000247_KOR,0.5928777161114815,397.0
FL_1998_000219_KOR,0.622041667949478,261.0
FL_2009_000190_TUR,0.47585109481322585,1107.0
FL_2006_000156_TUR,0.4145807318596602,1335.0
Turkey: Floods _ Nov 1995,0.3797588957214275,1416.0
FL_1998_000255_TUR,0.4221610961536542,1310.0
FL_2023_000040_TUR,0.42668531563241213,1293.0
FF_2009_000159_PAK,0.5850791274506053,448.0
