Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.24343466084518828,1353.0
FL_2023_000217_PRY,0.2555515544831035,1332.0
Paraguay: Floods _ Jun 1995,0.2408820899514375,1365.0
FL_2018_000419_PRY,0.24438548601472687,1351.0
FL_2012_000056_PRY,0.29729945077450004,1237.0
FL_2014_000030_PRY,0.188188154269346,1463.0
FL_1997_000299_PRY,0.2877435730018955,1268.0
FL_2019_000033_PRY,0.28008359253612747,1287.0
Paraguay: Floods _ Mar 1995,0.25730498357545417,1330.0
FL_2013_000076_PRY,0.22853081268098968,1396.0
subject,0.2843601921765552,1277.0
FL_2015_000171_PRY,0.28246075558090444,1281.0
FL_2002_000296_PRY,0.3046511339667594,1216.0
ST_2015_000041_PRY,0.3031309077276707,1219.0
FL_2023_000041_PRY,0.2516808935238119,1339.0
FL_2009_000226_PRY,0.3139442214601543,1194.0
Paraguay: Floods _ Feb 1990,0.2288310128460128,1395.0
FL_2021_000213_STP,0.3340165923111218,1123.0
FL_2019_000034_BOL,0.3598215088522556,966.0
FL_2018_000015_BOL,0.3106721597954005,1203.0
FL_2007_000012_BOL,0.36858711690385204,909.0
FL_2001_000029_BOL,0.3640802606414076,938.0
FL_2006_000010_BOL,0.38350571139571255,821.0
FL_2007_000231_BOL,0.31449494649447524,1192.0
FL_2015_000008_BOL,0.36966820534340905,900.0
FL_2024_000021_BOL,0.30749481627274666,1211.0
FL_2000_000130_BOL,0.31245770376281184,1201.0
FL_2019_000032_BOL,0.36010126831204636,960.0
FL_2003_000621_BOL,0.3121446580011877,1202.0
FL_2013_000020_BOL,0.37900553959235117,848.0
FL_2011_000020_BOL,0.3720931352381751,880.0
FL_2010_000008_BOL,0.37622185316163637,860.0
FL_2002_000110_BOL,0.34044000828254106,1087.0
Bolivia: Chapare River Floods _ Jan 1987,0.33855161481500584,1096.0
FL_1997_000022_BOL,0.31760124418380226,1186.0
Bolivia: Floods _ Jan 1986,0.31356909761477114,1196.0
Bolivia: Landslides/Floods _ Mar 1994,0.35492102952411597,993.0
FL_2009_000045_BOL,0.3482432725811434,1045.0
FL_2014_000008_BOL,0.29105982052045276,1260.0
FL_2003_000012_BOL,0.3795165439160157,846.0
FL_2012_000005_BOL,0.339788303379855,1090.0
FL_2025_000038_BOL,0.35512913706069604,988.0
FL_2019_000079_BGD,0.32706443509194905,1157.0
FL_2023_000157_BGD,0.3284635380010591,1150.0
Bangladesh: Floods _ Jul 1996,0.3655252427169051,923.0
FL_2020_000161_BGD,0.3848791876700124,816.0
FL_2007_000129_PAK,0.2770835348878221,1294.0
Bangladesh: Floods _ Jul 1993,0.3105962296361615,1204.0
FL_1998_000203_BGD,0.40612050807557143,684.0
FL_2014_000117_BGD,0.3459944995776265,1059.0
Bangladesh: Floods _ Jul 1999,0.3948539503306611,749.0
FL_2005_000176_BGD,0.3413884611427439,1079.0
FL_2011_000093_BGD,0.36606279103368583,919.0
FL_2008_000096_BGD,0.33399983774150804,1124.0
FL_2021_000097_BGD,0.3648561291363304,929.0
FL_2006_000131_BGD,0.34715053280603164,1050.0
FL_2000_000617_BGD,0.37101795024136164,892.0
FL_2015_000068_BGD,0.35676249738961174,979.0
Bangladesh: Floods _ Aug 1988,0.3925089578394516,766.0
FF_2007_000080_BGD,0.3551233645782682,989.0
Bangladesh: Floods _ Aug 1986,0.3827848758020461,828.0
Bangladesh: Floods _ Jun 1993,0.29979170185422876,1230.0
FL_2004_000044_BGD,0.3712126492205627,889.0
FL_1997_000164_BGD,0.3530023694371,1008.0
FL_2016_000075_BGD,0.39242463723018384,769.0
Bangladesh: Floods _ Jul 1988,0.35035404021037464,1032.0
FL_2010_000114_BGD,0.325983461792001,1159.0
Bangladesh: Floods _ Sep 1986,0.37578332571058504,863.0
Bangladesh: Floods _ Aug 1989,0.34669458944073384,1053.0
FL_2009_000123_BGD,0.32249614345463323,1172.0
FL_2018_000105_BGD,0.33821871841670637,1100.0
FL_2002_000402_BGD,0.3178928968838013,1185.0
FL_2002_000536_MMR,0.3530880840349163,1007.0
Bangladesh: Floods _ Jul 1991,0.38114398855274656,837.0
Bangladesh: Floods _ May 1984,0.39909167281295826,727.0
FL_2012_000106_BGD,0.3428073020209344,1073.0
FL_2024_000088_BGD,0.3341372810594423,1122.0
FL_2022_000217_BGD,0.34761965311297105,1049.0
FL_2006_000092_KOR,0.3863865382751535,808.0
FL_2001_000335_KOR,0.38469958252786257,817.0
FL_1999_000247_KOR,0.37860614436267714,850.0
FL_1998_000219_KOR,0.388333840696209,796.0
FL_2009_000190_TUR,0.40459666243445036,694.0
FL_2006_000156_TUR,0.3714377397569557,888.0
Turkey: Floods _ Nov 1995,0.42121309505031157,599.0
FL_1998_000255_TUR,0.4090702750717991,672.0
FL_2023_000040_TUR,0.37167065791662235,885.0
FF_2009_000159_PAK,0.3601197713200976,959.0
FL_2020_000185_PAK,0.364971229288741,928.0
FF_2008_000123_PAK,0.35920098924515215,970.0
FL_2010_000141_PAK,0.35644936962178275,982.0
FF_2012_000148_PAK,0.3516799220702168,1020.0
FF_2013_000090_PAK,0.33817830343366906,1101.0
FL_2015_000017_PAK,0.352502589124434,1011.0
Pakistan: Floods _ Aug 1996,0.3280842842604422,1153.0
FL_1998_000048_PAK,0.35228552628756404,1013.0
FL_2019_000087_PAK,0.35429492437303656,998.0
FL_2017_000017_PAK,0.34301855398075953,1072.0
Pakistan: Floods _ Jul 1993,0.3513189335683552,1022.0
FL_2014_000122_PAK,0.3407771493255357,1083.0
FL_1992_000008_PAK,0.35355074032022676,1002.0
FF_2007_000082_PAK,0.3631379100682183,943.0
Pakistan: Floods _ Feb 1991,0.36249983144599834,947.0
FL_2003_000359_PAK,0.34647900914609775,1054.0
FL_2016_000066_PAK,0.3536911846285763,1001.0
FL_2022_000254_PAK,0.33634699345535096,1112.0
FL_2024_000118_PAK,0.33286402889705313,1128.0
FL_2016_000021_PAK,0.35456759883297717,997.0
FL_2005_000108_PAK,0.3600732313859622,961.0
FL_2024_000020_PAK,0.3705851196277421,893.0
FL_2023_000119_PAK,0.3345309774802766,1121.0
FL_2001_000376_PAK,0.3509729815902921,1025.0
FL_2011_000109_PAK,0.3809445147989518,838.0
FL_2009_000139_PAK,0.3637455869934252,940.0
FL_2005_000038_MDG,0.6443180725665596,43.0
ST_2022_000138_MDG,0.6368552782111848,50.0
2012_000020_MDG,0.6287066006832909,58.0
FL_2020_000019_MDG,0.6404522797876272,47.0
FL_2003_000037_MDG,0.6481696448702704,40.0
