Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.34489006944704,1347.0
FL_2023_000217_PRY,0.41674124405922874,1078.0
Paraguay: Floods _ Jun 1995,0.41073011527278563,1100.0
FL_2018_000419_PRY,0.3659720480231102,1299.0
FL_2012_000056_PRY,0.40453731105154833,1127.0
FL_2014_000030_PRY,0.3611718479199263,1311.0
FL_1997_000299_PRY,0.42835789757289755,1040.0
FL_2019_000033_PRY,0.4321195364502481,1025.0
Paraguay: Floods _ Mar 1995,0.37399674148338363,1270.0
FL_2013_000076_PRY,0.38114403861148954,1240.0
subject,0.25521729272506133,1503.0
FL_2015_000171_PRY,0.4071074243056415,1113.0
FL_2002_000296_PRY,0.4019536751972699,1146.0
ST_2015_000041_PRY,0.4305306305543482,1031.0
FL_2023_000041_PRY,0.4241474072926907,1054.0
FL_2009_000226_PRY,0.4557660689990416,929.0
Paraguay: Floods _ Feb 1990,0.35515221862265944,1322.0
FL_2021_000213_STP,0.7963338291739814,43.0
FL_2019_000034_BOL,0.4669163758066474,860.0
FL_2018_000015_BOL,0.4202180467185628,1063.0
FL_2007_000012_BOL,0.4413647318593699,978.0
FL_2001_000029_BOL,0.4415876887695313,976.0
FL_2006_000010_BOL,0.40618133696739145,1118.0
FL_2007_000231_BOL,0.4478395402899287,957.0
FL_2015_000008_BOL,0.422288375193065,1061.0
FL_2024_000021_BOL,0.3655660109155963,1301.0
FL_2000_000130_BOL,0.3862178715749219,1214.0
FL_2019_000032_BOL,0.4908474629875462,743.0
FL_2003_000621_BOL,0.4447938075014216,966.0
FL_2013_000020_BOL,0.43608686924496115,1004.0
FL_2011_000020_BOL,0.447723018903578,958.0
FL_2010_000008_BOL,0.38509625747241705,1223.0
FL_2002_000110_BOL,0.44435867322197686,968.0
Bolivia: Chapare River Floods _ Jan 1987,0.4558943544327646,928.0
FL_1997_000022_BOL,0.4495107939919303,953.0
Bolivia: Floods _ Jan 1986,0.4184345011228433,1071.0
Bolivia: Landslides/Floods _ Mar 1994,0.46623909439182587,866.0
FL_2009_000045_BOL,0.41703559788362454,1075.0
FL_2014_000008_BOL,0.40669167920071303,1116.0
FL_2003_000012_BOL,0.3931310158466851,1179.0
FL_2012_000005_BOL,0.45214939909028,942.0
FL_2025_000038_BOL,0.4422732724335706,975.0
FL_2019_000079_BGD,0.5810642021256334,284.0
FL_2023_000157_BGD,0.4999566034969452,678.0
Bangladesh: Floods _ Jul 1996,0.5776154931042168,300.0
FL_2020_000161_BGD,0.5519436366972357,389.0
FL_2007_000129_PAK,0.5152373544191876,576.0
Bangladesh: Floods _ Jul 1993,0.5170562440139042,554.0
FL_1998_000203_BGD,0.5438850276983024,423.0
FL_2014_000117_BGD,0.5326328435799742,471.0
Bangladesh: Floods _ Jul 1999,0.5731155483804264,320.0
FL_2005_000176_BGD,0.5686964095120728,331.0
FL_2011_000093_BGD,0.5681184516410835,333.0
FL_2008_000096_BGD,0.49709089721131045,703.0
FL_2021_000097_BGD,0.4633046103579064,888.0
FL_2006_000131_BGD,0.5475175713914407,405.0
FL_2000_000617_BGD,0.5335425728140141,463.0
FL_2015_000068_BGD,0.526094718227077,508.0
Bangladesh: Floods _ Aug 1988,0.48765401965104793,763.0
FF_2007_000080_BGD,0.531958615082159,473.0
Bangladesh: Floods _ Aug 1986,0.5267053699419956,503.0
Bangladesh: Floods _ Jun 1993,0.4991699547752451,688.0
FL_2004_000044_BGD,0.5209234754132519,525.0
FL_1997_000164_BGD,0.5025443867409634,656.0
FL_2016_000075_BGD,0.5376375659944208,449.0
Bangladesh: Floods _ Jul 1988,0.49236143521089987,732.0
FL_2010_000114_BGD,0.520557583899782,528.0
Bangladesh: Floods _ Sep 1986,0.5432056538438863,428.0
Bangladesh: Floods _ Aug 1989,0.5422561358506576,435.0
