Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.48100085110148116,1261.0
FL_2023_000217_PRY,0.49598267148404407,1131.0
Paraguay: Floods _ Jun 1995,0.48207908132204136,1254.0
FL_2018_000419_PRY,0.4804136830293276,1264.0
FL_2012_000056_PRY,0.505148811184464,1047.0
FL_2014_000030_PRY,0.46445788925181497,1365.0
FL_1997_000299_PRY,0.5319384190880607,847.0
FL_2019_000033_PRY,0.5275036971359988,876.0
Paraguay: Floods _ Mar 1995,0.45817203618408886,1391.0
FL_2013_000076_PRY,0.4748398741280484,1302.0
subject,0.39135731555305775,1511.0
FL_2015_000171_PRY,0.5026616968936554,1071.0
FL_2002_000296_PRY,0.49275317493036797,1166.0
ST_2015_000041_PRY,0.5178545722486252,943.0
FL_2023_000041_PRY,0.5091449248303197,1014.0
FL_2009_000226_PRY,0.5590141051312933,651.0
Paraguay: Floods _ Feb 1990,0.45022883768808386,1422.0
FL_2021_000213_STP,0.7605906477152369,35.0
FL_2019_000034_BOL,0.5998651380330777,380.0
FL_2018_000015_BOL,0.5537438342507255,682.0
FL_2007_000012_BOL,0.5936842231286596,417.0
FL_2001_000029_BOL,0.5758994432372713,518.0
FL_2006_000010_BOL,0.5659147125305755,595.0
FL_2007_000231_BOL,0.5698209322245977,563.0
FL_2015_000008_BOL,0.5619257002688708,623.0
FL_2024_000021_BOL,0.4973065832439556,1121.0
FL_2000_000130_BOL,0.5207246917114299,925.0
FL_2019_000032_BOL,0.6406327373713937,167.0
FL_2003_000621_BOL,0.5694202203660499,566.0
FL_2013_000020_BOL,0.5817754962362769,486.0
FL_2011_000020_BOL,0.6142584008441736,297.0
FL_2010_000008_BOL,0.5395229874133916,789.0
FL_2002_000110_BOL,0.5780565580642554,513.0
Bolivia: Chapare River Floods _ Jan 1987,0.5705654735650785,556.0
FL_1997_000022_BOL,0.5662503709869813,590.0
Bolivia: Floods _ Jan 1986,0.5446908106263776,754.0
Bolivia: Landslides/Floods _ Mar 1994,0.5829412730527264,481.0
FL_2009_000045_BOL,0.5754607683338416,520.0
FL_2014_000008_BOL,0.5445395045131175,756.0
FL_2003_000012_BOL,0.5730365366084358,536.0
FL_2012_000005_BOL,0.5861845543820683,460.0
FL_2025_000038_BOL,0.6038305419317833,358.0
FL_2019_000079_BGD,0.6390563253054449,175.0
FL_2023_000157_BGD,0.5931547823902841,422.0
Bangladesh: Floods _ Jul 1996,0.6284306927176925,232.0
FL_2020_000161_BGD,0.6263748266682837,239.0
FL_2007_000129_PAK,0.5967574123518884,402.0
Bangladesh: Floods _ Jul 1993,0.5829642898285061,480.0
FL_1998_000203_BGD,0.6145551631114368,296.0
FL_2014_000117_BGD,0.5860824697156274,462.0
Bangladesh: Floods _ Jul 1999,0.6331509155033364,205.0
FL_2005_000176_BGD,0.6325593445982758,213.0
FL_2011_000093_BGD,0.6550528337537181,111.0
FL_2008_000096_BGD,0.5936801814660219,418.0
FL_2021_000097_BGD,0.5683746717924034,571.0
FL_2006_000131_BGD,0.6107219683040637,313.0
FL_2000_000617_BGD,0.6306259144557408,222.0
FL_2015_000068_BGD,0.6048236783000244,349.0
Bangladesh: Floods _ Aug 1988,0.6179772116635189,276.0
FF_2007_000080_BGD,0.589299621973786,442.0
Bangladesh: Floods _ Aug 1986,0.6244833684047868,248.0
Bangladesh: Floods _ Jun 1993,0.562436143249935,616.0
FL_2004_000044_BGD,0.6255820269677941,243.0
FL_1997_000164_BGD,0.6287865215289571,231.0
FL_2016_000075_BGD,0.6359288708364619,187.0
Bangladesh: Floods _ Jul 1988,0.5816490523738231,489.0
FL_2010_000114_BGD,0.5748051132296745,525.0
Bangladesh: Floods _ Sep 1986,0.6352202472656674,192.0
Bangladesh: Floods _ Aug 1989,0.6221817064792512,257.0
FL_2009_000123_BGD,0.5933402408129576,421.0
FL_2018_000105_BGD,0.6201965769982036,266.0
FL_2002_000402_BGD,0.5897932046519452,438.0
FL_2002_000536_MMR,0.606859874728077,339.0
Bangladesh: Floods _ Jul 1991,0.6423846498657895,161.0
Bangladesh: Floods _ May 1984,0.6322086987029365,216.0
FL_2012_000106_BGD,0.5749921302555283,523.0
FL_2024_000088_BGD,0.5884041116377764,450.0
FL_2022_000217_BGD,0.596056218998037,406.0
FL_2006_000092_KOR,0.557418811327201,665.0
FL_2001_000335_KOR,0.5568927655949317,667.0
FL_1999_000247_KOR,0.5430019505408187,762.0
FL_1998_000219_KOR,0.5790888307495008,504.0
FL_2009_000190_TUR,0.4833998450005159,1235.0
FL_2006_000156_TUR,0.4532057692602894,1412.0
Turkey: Floods _ Nov 1995,0.41403367194878415,1494.0
FL_1998_000255_TUR,0.44944789298533216,1426.0
FL_2023_000040_TUR,0.43416401905150115,1462.0
FF_2009_000159_PAK,0.5611167916474871,630.0
FL_2020_000185_PAK,0.5706098560435817,555.0
FF_2008_000123_PAK,0.5678143486049836,576.0
FL_2010_000141_PAK,0.5613954281662261,626.0
FF_2012_000148_PAK,0.5665516253027609,586.0
FF_2013_000090_PAK,0.5481788869225297,721.0
FL_2015_000017_PAK,0.5588505347782649,652.0
Pakistan: Floods _ Aug 1996,0.5345151348822594,819.0
FL_1998_000048_PAK,0.5579543016097852,661.0
FL_2019_000087_PAK,0.5497212041652904,711.0
FL_2017_000017_PAK,0.5488237888924516,715.0
Pakistan: Floods _ Jul 1993,0.5607041850103339,636.0
FL_2014_000122_PAK,0.5475521085133395,730.0
FL_1992_000008_PAK,0.5495597948878796,712.0
FF_2007_000082_PAK,0.580513604333849,495.0
Pakistan: Floods _ Feb 1991,0.5669698143714353,584.0
FL_2003_000359_PAK,0.5500773381920205,704.0
FL_2016_000066_PAK,0.5715088435568871,549.0
FL_2022_000254_PAK,0.5477222575451087,728.0
FL_2024_000118_PAK,0.5350979109204226,813.0
FL_2016_000021_PAK,0.5669998458851444,583.0
FL_2005_000108_PAK,0.5609431223390029,634.0
FL_2024_000020_PAK,0.5742459141197082,529.0
FL_2023_000119_PAK,0.5473591600720134,734.0
FL_2001_000376_PAK,0.5498236704647896,708.0
FL_2011_000109_PAK,0.5937870088013543,416.0
FL_2009_000139_PAK,0.559664474113161,643.0
FL_2005_000038_MDG,0.5431721806588721,761.0
ST_2022_000138_MDG,0.5481889764853918,720.0
2012_000020_MDG,0.5334281646559023,828.0
FL_2020_000019_MDG,0.5407362073181194,785.0
FL_2003_000037_MDG,0.5543865801303088,680.0
FL_2013_000004_KEN,0.5871015551985518,455.0
FL_2009_000218_KEN,0.5474491845300582,732.0
FL_2024_000045_KEN,0.5680630356473935,573.0
FL_2011_000115_KEN,0.5481473317953492,722.0
FL_2002_000265_KEN,0.5650030756223542,601.0
FL_2010_000003_KEN,0.5844910058175603,469.0
FL_2004_000020_KEN,0.5945437299161693,413.0
FF_2012_000062_KEN,0.5834791993940232,476.0
FL_2008_000217_KEN,0.5679112864270668,575.0
FL_2015_000169_KEN,0.5479684490825042,724.0
FL_2021_000038_KEN,0.5995266909928684,382.0
FL_2023_000216_KEN,0.5698794123391868,560.0
FL_2013_000038_KEN,0.5730626091479278,535.0
FL_1997_000255_KEN,0.5786005884232278,511.0
FL_2020_000128_KEN,0.5804982851797815,496.0
FF_2023_000051_KEN,0.5643377085605426,605.0
FL_2019_000138_KEN,0.5685878245806466,569.0
FL_2007_000139_KEN,0.5646791738579234,603.0
FF_2008_000092_KEN,0.5765045006363043,517.0
FL_2007_000076_KEN,0.5928180324225604,423.0
FF_2018_000030_KEN,0.5747062107538035,527.0
FL_2010_000174_KEN,0.5611531468856511,629.0
FF_2006_000046_KEN,0.589994644647923,437.0
FL_2016_000042_KEN,0.5919684904667752,425.0
FL_2007_000221_KEN,0.5745999357229736,528.0
FL_2025_000045_COD,0.474610181662458,1306.0
FL_2024_000009_COD,0.513831817682339,975.0
FL_1999_000531_COD,0.4995549293075927,1100.0
FL_2012_000192_COD,0.5417962361238146,774.0
ST_2012_000064_COD,0.4957301796317227,1133.0
FL_2010_000062_COD,0.5116588821954916,992.0
FL_2020_000052_COD,0.4262841504124621,1476.0
FL_2010_000151_COD,0.5173031008994053,947.0
FL_2006_000047_COD,0.47513114759233555,1300.0
FL_2016_000124_COD,0.5200905604158264,931.0
FL_2015_000164_COD,0.5181930599394493,941.0
FL_1997_000295_COD,0.5296886745006166,863.0
FL_2011_000187_COD,0.5096900794674618,1010.0
FL_2022_000376_COD,0.5098794396216315,1009.0
FL_2018_000004_COD,0.5063788125695432,1040.0
FL_2007_000197_COD,0.48752908601693423,1202.0
FL_2020_000206_COD,0.5560431947340916,670.0
FL_2019_000153_COD,0.4995442055406521,1101.0
FF_2008_000186_COD,0.544635050177953,755.0
FL_2023_000067_COD,0.4877801996958204,1198.0
FL_2019_000020_COL,0.503545210572231,1061.0
FL_2015_000056_COL,0.43241726934233893,1466.0
FL_2003_000578_COL,0.43002915038143236,1467.0
FL_2023_000232_COL,0.44918576365081386,1428.0
FL_2008_000197_COL,0.4772832815401463,1287.0
1987_07_01_CO_Flood,0.4576839819273806,1394.0
FL_2013_000145_COL,0.48445986727828194,1227.0
FL_2010_000076_COL,0.45863153588867955,1389.0
FL_2005_000020_COL,0.49829432844336696,1110.0
FL_2007_000068_COL,0.4564693552877234,1399.0
FL_2020_000242_COL,0.4584444699092419,1390.0
FL_2009_000241_COL,0.4746600704197158,1305.0
FL_2008_000076_COL,0.44980452424933093,1424.0
1986_07_01T00:00:00+00:00,0.46580387861983624,1357.0
FL_2012_000183_COL,0.4387426030014119,1448.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.45779743264101525,1393.0
LS_2010_000190_COL,0.432419318298226,1465.0
FL_2018_000058_COL,0.4461345350364715,1434.0
FL_2006_000044_COL,0.4593688201715905,1384.0
FL_2013_000030_COL,0.47252273035246983,1323.0
FL_2014_000004_COL,0.44473652447071965,1436.0
FL_2012_000042_COL,0.4738816820828088,1315.0
FL_2014_000163_COL,0.4488511452739043,1430.0
1996_07_01_CO_Flood,0.4380039844953205,1451.0
FL_2000_000265_COL,0.48548263355421234,1216.0
FL_2011_000170_COL,0.46654637402439747,1353.0
OT_2004_000112_COL,0.42652016416897953,1475.0
FL_2024_000117_COL,0.48126801716005574,1258.0
FL_2011_000042_COL,0.4674466332220434,1351.0
FL_2005_000017_VEN,0.45885646177688616,1387.0
FL_2024_000214_COL,0.4140615779693279,1493.0
1988_08_01T00:00:00+00:00,0.4572527563166691,1397.0
FL_2004_000021_COL,0.40152867558819966,1503.0
FL_2005_000194_COL,0.4742924280673044,1309.0
FL_2016_000060_IND,0.5604916648064373,638.0
FL_2001_000332_IND,0.5595118062203064,648.0
FL_2017_000064_IND,0.5535998124919838,683.0
FL_2024_000109_IND,0.579758843123835,501.0
FL_2009_000217_IND,0.5543900513777863,679.0
IND_2018_000413,0.5739694880847799,530.0
FL_2023_000104_IND,0.5630492934316795,610.0
FL_2000_000444_IND,0.5659905400245295,594.0
FL_1999_000213_IND,0.5720056409898853,544.0
FL_2010_000249_IND,0.5357283343612921,804.0
FL_2006_000070_IND,0.5191078532783899,937.0
FL_2014_000089_IND,0.5646784926316474,604.0
FL_2003_000316_IND,0.5663035317160947,589.0
India: Floods _ Jun 1994,0.54830663365167,719.0
FL_1998_000392_IND,0.5506411518659664,697.0
FL_1997_000337_IND,0.5598739350853661,642.0
India_Manipur: Floods _ Apr 2004,0.5672304143159226,578.0
FL_2015_000064_IND,0.5938530497453122,415.0
FL_1999_000371_IND,0.569860649951387,561.0
India: Floods _ Aug 2003,0.5457658075811905,747.0
FL_2005_000104_IND,0.5497892656626009,709.0
India: Floods _ Nov 1992,0.5532296456770022,684.0
FL_2020_000164_IND,0.5642257441592706,607.0
FL_2002_000374_IND,0.5626162451004171,614.0
FL_2022_000213_IND,0.5724975711936156,540.0
FL_2012_000110_IND,0.5338471597063301,826.0
India: Floods _ Jun 1996,0.5698346701319358,562.0
FL_2008_000089_IND,0.5620338203907883,621.0
FF_2007_000083_IND,0.5415630022716742,776.0
India: Floods _ Aug 1988,0.5671717242996516,579.0
FL_2010_000125_IND,0.5272693901113186,878.0
FL_2011_000084_IND,0.5262838110744897,888.0
FL_2009_000122_IND,0.5332229383650933,833.0
FL_2021_000161_IND,0.532047530761637,843.0
FL_2005_000182_IND,0.5628136473033817,611.0
India: Floods _ Oct 1996,0.5790877887793544,505.0
India: Floods _ Jul 1993,0.5619364227707374,622.0
FL_2013_000070_IND,0.5554682678085988,673.0
FL_2018_000134_IND,0.5919492881249437,426.0
FL_2019_000084_IND,0.5671699867637101,580.0
India: Floods _ Oct 1988,0.5341441071727608,823.0
India: Floods _ Aug 1989,0.5654875738563956,599.0
FF_2020_000055_SOM,0.6397690627135952,172.0
FL_2023_000190_SOM,0.6403735844588456,168.0
FF_2018_000041_SOM,0.5319450112159223,846.0
FL_2015_000145_SOM,0.6397740108281419,171.0
FF_2020_000221_SOM,0.6348910949117301,196.0
FF_2025_000055_SOM,0.6248136915912414,246.0
FL_2008_000091_SOM,0.6391847052512512,174.0
FL_1997_000265_SOM,0.6186657690011632,272.0
FL_2016_000046_SOM,0.609377124877309,321.0
FL_2013_000141_SOM,0.6416843605820168,163.0
FF_2009_000229_SOM,0.5977140850058803,395.0
FL_2015_000040_SOM,0.5971278579593066,398.0
FL_2021_000051_SOM,0.5811546724659655,491.0
FL_2008_000185_SOM,0.5889983582242834,446.0
FL_2012_000173_SOM,0.6007896193647932,376.0
FL_2014_000150_SOM,0.5950191835902621,411.0
FL_2024_000055_SOM,0.6038533069664027,357.0
FL_2010_000041_SOM,0.6387445806754858,179.0
FL_2011_000161_SOM,0.6170105239357137,282.0
FF_2023_000044_SOM,0.6555940490277077,108.0
FL_2019_000133_SOM,0.6602454717018428,101.0
FL_2013_000052_SOM,0.5345959184579919,818.0
FL_2008_000191_CRI,0.5497299999293705,710.0
FL_2005_000166_CRI,0.4734784204084871,1317.0
FL_2002_000755_CRI,0.5143857601633622,973.0
FL_2005_000001_CRI,0.5269504289080829,882.0
FL_2007_000176_CRI,0.5408368909073922,784.0
FL_2015_000079_CRI,0.5330191540817769,835.0
FL_1999_000350_CRI,0.5110964526681155,996.0
FL_2004_000023_CRI,0.4431146078127782,1441.0
FL_2008_000232_CRI,0.4763363559947604,1292.0
1,0.39890659336082634,1505.0
FL_2021_000092_CRI,0.48583380389675146,1213.0
FL_2024_000215_CRI,0.45743323012458714,1396.0
FL_2002_000263_CRI,0.5027257099966493,1070.0
1993_12_01T00:00:00+00:00,0.4891976787654158,1190.0
FL_2010_000251_CRI,0.4720392196773363,1326.0
FL_2004_000120_CRI,0.4440880160858329,1439.0
FL_2012_000126_PAN,0.4383510605334064,1450.0
FL_2018_000165_CRI,0.5096392434261046,1012.0
FL_2022_000348_CRI,0.49515294858823555,1141.0
Costa Rica: Floods _ Feb 1988,0.47703887563319236,1288.0
FL_2009_000039_CRI,0.48179646005300697,1256.0
FL_2005_000081_CHN,0.513130539892936,979.0
FL_2004_000094_CHN,0.5490494838062375,714.0
China: Floods _ May 1987,0.5579931424462921,660.0
FL_2003_000331_CHN,0.5270834413782224,881.0
China: Floods _ Jun 1990,0.5501379263805191,702.0
China: Floods _ Jul 2018,0.5337041647442553,827.0
FL_2013_000054_CHN,0.46616794684527,1356.0
China: Floods in Shanxi Province _ Aug 1988,0.5102100957783577,1004.0
FL_2003_000227_CHN,0.5466263562823785,745.0
ST_2010_000085_CHN,0.510778227866011,998.0
China: Floods _ Aug 1985,0.5033220075542801,1065.0
FL_2004_000031_CHN,0.5578416454056756,664.0
FF_2008_000072_CHN,0.5360904244495887,803.0
FL_2011_000059_CHN,0.5121935372880173,987.0
FF_2007_000070_CHN,0.5340138872854053,824.0
FL_1998_000165_CHN,0.5277191693487725,873.0
FL_2007_000077_CHN,0.45501036965830777,1404.0
FL_2017_000075_CHN,0.5300518028952587,859.0
FL_2000_000302_CHN,0.5460681759504722,746.0
China: Floods and Landslides _ Jul 1989,0.5249747472846175,898.0
FL_2006_000068_CHN,0.44020242434878465,1444.0
FL_2004_000043_IND,0.5600994010477452,640.0
FL_1997_000144_CHN,0.5330388383666579,834.0
China: Floods in Zhejiang Province _ Aug 1988,0.5044046322102095,1055.0
FL_1991_000011_CHN,0.4743738919748029,1308.0
FL_2009_000113_CHN,0.5653948600520903,600.0
FL_2016_000044_CHN,0.4717476568297351,1330.0
ST_2012_000077_CHN,0.5638659831028747,609.0
FL_2002_000350_CHN,0.5209631582058891,922.0
FL_1999_000651_CHN,0.5429311051473451,763.0
China: Floods _ May 1988,0.5425259423751689,769.0
China: Floods _ Jun 1994,0.5503317578676673,701.0
FL_2013_000125_BFA,0.5311880071871009,851.0
FL_2003_000389_BFA,0.5039577571348248,1058.0
FL_2015_000106_BFA,0.5511329157301943,696.0
FL_2009_000172_BFA,0.46999806610108663,1342.0
FL_2017_000054_BFA,0.5197356086286278,933.0
FL_2008_000074_BFA,0.4998920260449407,1099.0
FL_2012_000200_BFA,0.49539062269401746,1137.0
FL_2007_000132_BFA,0.4742613228353343,1311.0
Burkina Faso: Floods _ Sep 1988,0.5209585607082088,923.0
FL_2016_000080_BFA,0.49861662237239684,1107.0
FL_2007_000153_GHA,0.5014001095832112,1082.0
FL_2020_000200_BFA,0.5296959660305367,862.0
FL_2024_000123_BFA,0.5356611995517503,806.0
FL_2006_000120_BFA,0.5057008725099488,1042.0
FL_2023_000249_AGO,0.5158540239362163,965.0
FL_2010_000242_AGO,0.4932932065870337,1156.0
FL_2005_000051_AGO,0.49748403163455657,1120.0
FL_2001_000146_AGO,0.5076191087980257,1031.0
FL_2007_000011_ZMB,0.49513479484056916,1142.0
FL_2009_000268_AGO,0.5345080724837467,820.0
FL_2010_000046_MOZ,0.4857922521192062,1214.0
FL_2011_000007_ZAF,0.5075728825870945,1032.0
FL_2000_000002_AGO,0.502177908795485,1073.0
FL_2011_000190_AGO,0.4733835503339321,1318.0
FL_2010_000049_AGO,0.49652672968715467,1128.0
FL_2007_000227_ZWE,0.5009589333903341,1088.0
FL_2009_000007_ZWE,0.4793932392152664,1275.0
Iran: Floods _ Oct 1994,0.6046969402532077,350.0
Iran: Floods _ Apr 1989,0.6033448929948149,363.0
Iran: Floods _ Nov 1994,0.5933409237864552,420.0
Iran: Floods _ Dec 1990,0.6019751181220324,368.0
FL_2002_000020_IRN,0.6071119471822202,337.0
FF_2020_000006_IRN,0.6022985554306057,366.0
FL_2001_000375_IRN,0.5754865194231468,519.0
Iran: Floods _ Feb 1991,0.5844769520544311,470.0
FL_1998_000247_IRN,0.5980231393006771,392.0
FL_2022_000002_IRN,0.583544995425723,475.0
FL_2015_000088_IRN,0.5839682964069444,472.0
Iran: Flash Floods _ Jul 1996,0.6178165677484553,278.0
Iran: Floods _ May 1992,0.6061677901719826,342.0
FF_2022_000274_IRN,0.5810000444522638,492.0
FL_2019_000022_IRN,0.6040877653242593,355.0
Iran: Floods _ Feb 1993,0.5821145730472881,484.0
FL_2024_000019_IRN,0.5789157729923772,506.0
FL_1998_000085_IRN,0.6129740491925437,302.0
FL_2002_000500_IRN,0.5911272555059066,430.0
Iran: Floods _ Dec 1986,0.5710307832625406,552.0
FL_2001_000453_IRN,0.5709775197194471,553.0
FL_2001_000180_IRN,0.581685096796707,488.0
Iran: Floods _ Dec 1991,0.606110647825454,344.0
Iran: Floods _ Jul 1987,0.5779094894464752,515.0
Iran: Floods _ Jul 1994,0.5967051899151059,404.0
FL_1999_000235_IRN,0.5814546630785353,490.0
FL_2005_000117_GTM,0.5327822987825998,838.0
FL_2017_000130_GTM,0.5162134206806864,959.0
FL_2000_000299_GTM,0.5273848774595897,877.0
FL_2019_000094_GTM,0.5234881640687457,907.0
FL_2023_000131_GTM,0.5045830855945115,1053.0
LS_2022_000224_GTM,0.5752472511394808,522.0
FL_2011_000045_GTM,0.5101094242756808,1006.0
FL_2011_000118_GTM,0.5315851434586871,850.0
FL_2012_000098_GTM,0.5549962076420661,677.0
FL_2009_000117_GTM,0.5282824671351142,870.0
FL_2010_000102_CRI,0.5246610746031155,900.0
FL_2016_000081_GTM,0.5353734346322288,810.0
FL_2008_000166_GTM,0.52986055731225,861.0
FL_2007_000194_GTM,0.5166815223197468,955.0
FL_2021_000078_GTM,0.5085106103813528,1024.0
FL_1998_000112_TZA,0.4915840170153209,1171.0
FL_2024_000058_TZA,0.501525932196131,1080.0
Tanzania: Floods _ May 1995,0.4549379327273236,1405.0
FL_2023_000056_TZA,0.45486891961373094,1406.0
FL_2019_000145_TZA,0.49562831874245783,1134.0
FL_2023_000241_TZA,0.5205555892349025,928.0
FL_2025_000047_TZA,0.5073614384963681,1035.0
FL_2006_000164_TZA,0.5286286373999282,867.0
FL_2018_000043_TZA,0.5587215544969713,653.0
FF_2014_000009_TZA,0.46449594976767833,1364.0
FL_2014_000053_TZA,0.5140524678756231,974.0
Tanzania: Floods _ Feb 1993,0.5171269880999285,951.0
FL_2011_000183_TZA,0.49136196048054614,1172.0
FL_2006_000065_TZA,0.5283157201382765,868.0
FL_2005_000062_TZA,0.47980253201700174,1273.0
FL_2020_000029_TZA,0.5179963192887126,942.0
FL_2008_000011_TZA,0.5100141885314897,1008.0
FL_2016_000011_TZA,0.503137059451774,1068.0
FL_2019_000048_TZA,0.48216368575009616,1252.0
FL_1997_000049_TZA,0.4932778690232116,1158.0
Tanzania: Floods _ Apr 1989,0.5047281438366789,1051.0
FL_2020_000125_TZA,0.4630177917473171,1370.0
FL_1999_000423_TGO,0.63282420634702,208.0
FL_2007_000158_TGO,0.6036015054153491,361.0
Togo: Floods _ Oct 1995,0.5975063618450384,396.0
FL_2017_000149_TGO,0.6303965135045329,224.0
Togo: Floods _ Sep 1995,0.6147592696719512,293.0
FL_1999_000437_KHM,0.47873346896580915,1279.0
FL_2002_000522_KHM,0.4802828529741143,1267.0
FL_1999_000259_KHM,0.4540210262046898,1410.0
Cambodia: Floods _ Aug 1994,0.5228957529346335,911.0
FL_2013_000131_KHM,0.48304075114978295,1237.0
FL_2011_000148_KHM,0.49319727333044283,1159.0
FL_2000_000438_KHM,0.5196883403660146,934.0
Cambodia: Floods _ Sep 1996,0.5131199474506878,980.0
FL_2020_000212_KHM,0.5706410403775042,554.0
FL_2006_000130_KHM,0.45942792481264894,1383.0
FL_2001_000485_KHM,0.5272011963384848,879.0
Brazil: Floods _ Apr 1989,0.48628031478222866,1211.0
FL_2011_000102_BRA,0.519620908080707,935.0
FL_2008_000234_BRA,0.4809970774723003,1262.0
Brazil: Floods _ Jul 1988,0.49305828296597143,1162.0
Brazil: Floods _ Jul 1989,0.53427797692138,821.0
FL_2010_000120_BRA,0.49726469918780297,1122.0
FL_2008_000010_BRA,0.4985386099580797,1108.0
FL_2003_000028_BRA,0.48058694614380904,1263.0
Brazil: Floods _ Feb 1988,0.4829998980875123,1238.0
