Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2013_000100_RUS,0.88511145
FL_2001_000227_RUS,0.83790195
FL_2017_000052_RUS,0.8183595
FL_1998_000165_CHN,0.79115176
FL_2005_000081_CHN,0.78950906
FL_1998_000179_RUS,0.7881914
FL_2007_000130_CIV,0.779093
FL_1999_000244_VNM,0.77798736
FL_2013_000081_PRK,0.7759242
FL_1990_000004_VNM,0.7738043
FL_2011_000143_SSD,0.77153015
FL_2009_000170_MRT,0.77062076
FL_1999_000349_SLV,0.7673832
FL_2010_000161_MYS,0.76473534
FL_1999_000363_NIC,0.76436687
FL_2020_000202_GIN,0.76384795
FL_2009_000247_MYS,0.7615522
FL_2012_000172_MLI,0.76151586
FL_2003_000027_TUN,0.7610898
FL_2011_000123_RUS,0.7608682
FL_2014_000014_SYC,0.7607612
FL_2021_000213_STP,0.76000476
FL_2017_000101_VNM,0.75881624
FL_2010_000031_PRT,0.75867426
FL_2013_000112_CAF,0.75817096
FL_2005_000171_SLV,0.7578113
FL_2015_000106_BFA,0.7572548
FL_2007_000122_VNM,0.75591755
FL_2009_000178_GIN,0.7557793
FL_2022_000309_SLE,0.7556206
FL_2010_000021_AFG,0.754842
FL_2013_000002_PSE,0.7505296
FL_2015_000024_ARG,0.7502543
FL_2007_000023_IDN,0.74898237
FL_2010_000051_KAZ,0.7486173
FL_2005_000166_CRI,0.74860084
FL_2020_000052_COD,0.7482271
FL_2008_000158_PAN,0.7468029
FL_2005_000109_PRK,0.74618113
FL_2010_000208_RUS,0.7461143
FL_2002_000522_KHM,0.74598455
FL_2006_000158_PRK,0.74580455
FL_2017_000002_MYS,0.7453087
FL_2010_000036_CYP,0.7449631
FL_2018_000046_RUS,0.7445688
FL_2010_000242_AGO,0.7444707
FL_1998_000224_SVK,0.74404234
FL_2018_000077_CIV,0.7431065
FL_2007_000176_CRI,0.7428937
FL_2009_000140_MNG,0.74277914
FL_2008_000191_SLV,0.7402048
FL_2008_000175_UGA,0.7399739
FL_2020_000210_VNM,0.7391803
FL_2016_000034_YEM,0.7387602
FL_2022_000213_IND,0.7380098
FL_2009_000187_CIV,0.7379337
FL_2019_000033_PRY,0.737846
FL_2006_000049_IDN,0.737252
FL_2005_000048_AFG,0.7366278
FL_2022_000277_SDN,0.73568493
FL_2002_000607_ALB,0.7355634
FL_2007_000111_GBR,0.73520964
FL_2013_000076_PRY,0.7348616
FL_2021_000007_SYR,0.73459804
FL_2001_000146_AGO,0.73454845
FL_2013_000108_SSD,0.7343523
FL_2021_000123_CAF,0.73433006
FL_2006_000121_MKD,0.7336104
FL_2019_000067_UGA,0.7334006
FL_2011_000038_KAZ,0.7328607
FL_2007_000177_SLE,0.73211837
FL_2012_000050_AFG,0.7320597
FL_2011_000096_PRK,0.7311872
FL_2008_000038_ARG,0.73104984
FL_2009_000266_ALB,0.73099583
FL_2006_000018_IRQ,0.7307528
FL_2019_000068_VNM,0.7307029
FL_2015_000068_BGD,0.7306086
FL_2020_000154_CIV,0.73059416
FL_1998_000272_PRK,0.7304966
FL_2006_000001_IDN,0.7303704
FL_2005_000104_IND,0.7298949
FL_2012_000071_NPL,0.72956264
FL_2013_000013_BWA,0.72883177
FL_2016_000117_ALB,0.7286619
FL_2008_000086_MEX,0.7284441
FL_2008_000191_CRI,0.7278018
FL_2007_000197_COD,0.7275859
FL_2011_000039_USA,0.72684216
FL_2012_000196_COG,0.72651076
FL_1991_000009_VNM,0.7259688
FL_2020_000050_AFG,0.7256417
FL_2015_000105_GIN,0.7252154
FL_2013_000023_ZMB,0.7251484
FL_2009_000267_SRB,0.72481143
FL_2009_000248_URY,0.7244543
FL_2009_000265_MAR,0.7242048
FL_2010_000067_BRA,0.7234869
FL_2021_000061_MYS,0.72342765
FL_2004_000094_CHN,0.72309613
FL_2018_000140_MLI,0.7228713
FL_2009_000268_AGO,0.7227149
FL_2014_000073_RUS,0.7216563
FL_2005_000067_IDN,0.7213945
FL_2009_000132_GHA,0.72139347
FL_2019_000009_ARG,0.721311
FL_2007_000022_ARG,0.7210205
FL_2013_000041_GHA,0.7206521
FL_2007_000189_NIC,0.7205595
FL_2018_000029_RWA,0.7205293
FL_2004_000044_BGD,0.71978664
FL_2002_000242_AFG,0.7197451
FL_2010_000174_KEN,0.7195754
FL_2017_000174_ALB,0.7195288
FL_2019_000031_SYR,0.71949273
FL_2001_000079_ROM,0.71906286
FL_2001_000096_UKR,0.71906286
FL_2001_000095_HUN,0.71906286
FL_2009_000124_VNM,0.7190214
FL_1999_000531_COD,0.71876705
FL_2016_000111_VNM,0.7184648
FL_2011_000190_AGO,0.71837807
FL_2009_000245_SRB,0.7183299
FL_2007_000220_SRB,0.7181674
FL_2017_000054_BFA,0.71799165
FL_2003_000220_NAM,0.71759593
FL_2013_000104_MLI,0.71747357
FL_2004_000060_VNM,0.7171932
FL_2007_000044_ARG,0.71716833
FL_2022_000275_UGA,0.71705735
FL_1999_000259_KHM,0.7163516
FL_2016_000061_RUS,0.7162412
FL_2002_000470_VNM,0.71615887
FL_2011_000157_SLV,0.7160132
FL_2013_000157_BRA,0.71590495
FL_2022_000278_MNG,0.71588683
FL_1999_000548_YEM,0.71542346
FL_2018_000134_IND,0.71524113
FL_2010_000194_VNM,0.7145349
FL_2015_000153_IRQ,0.714504
FL_2009_000218_KEN,0.7144436
FL_2021_000108_SSD,0.71429175
FL_2019_000018_AFG,0.7141789
FL_2012_000128_SSD,0.71406794
FL_2003_000293_TLS,0.7139072
FL_2006_000151_PAN,0.7136996
FL_2014_000115_NER,0.71369416
FL_2019_000054_YEM,0.7136036
FL_2006_000156_TUR,0.71337956
FL_2007_000138_UGA,0.7133159
FL_2018_000028_BWA,0.7133006
FL_2008_000126_TCD,0.71329004
FL_1999_000350_CRI,0.7132066
FL_2009_000190_TUR,0.7131711
FL_2010_000119_PAN,0.7130513
FL_2001_000485_KHM,0.71304524
FL_2014_000038_ZAF,0.712795
FL_2008_000035_PRY,0.71269834
FL_2007_000174_CAF,0.7125885
FL_2022_000365_PAN,0.7125683
FL_2019_000098_CAF,0.71236044
FL_2012_000083_HND,0.7122473
FL_2019_000064_SDN,0.71219563
FL_2009_000179_LBR,0.71194553
FL_2012_000066_COM,0.7119043
FL_2021_000110_YEM,0.71170807
FL_2014_000008_BOL,0.71165955
FL_2016_000009_IDN,0.71159637
FL_2011_000084_IND,0.71146125
FL_2013_000006_IDN,0.7114425
FL_2009_000198_BEN,0.71099544
FL_2016_000079_MKD,0.71087635
FL_2007_000159_RWA,0.71064353
FL_2008_000092_KEN,0.7104958
FL_2017_000149_TGO,0.71049017
FL_2022_000305_GIN,0.71024036
FL_2001_000696_BRA,0.7102308
FL_2019_000170_RWA,0.71021605
FL_2007_000165_BEN,0.7100191
FL_2009_000080_AFG,0.7096873
FL_1998_000053_ZMB,0.7095428
FL_2008_000178_DZA,0.7094531
FL_2014_000123_SSD,0.70936453
FL_2010_000062_COD,0.7092347
FL_2012_000037_PSE,0.70905864
FL_2006_000070_IND,0.7089816
FL_2009_000186_TCD,0.7084187
FL_2017_000137_SSD,0.7083788
FL_2013_000123_CMR,0.70815456
FL_2005_000070_YEM,0.70797205
FL_2016_000137_ARG,0.7078259
FL_2011_000198_PER,0.7078148
FL_2019_000015_PER,0.7077546
FL_2006_000022_TLS,0.70753783
FL_2016_000075_BGD,0.70753646
FL_2010_000102_CRI,0.7073852
FL_2022_000249_CIV,0.70728207
FL_2007_000035_AFG,0.7072235
FL_2005_000132_MKD,0.70709616
FL_2003_000331_CHN,0.7069702
FL_2022_000332_BEN,0.7065156
FL_2022_000287_TCD,0.7063618
FL_2010_000245_MAR,0.7063576
FL_2016_000072_SDN,0.7063154
FL_2019_000101_NER,0.7062566
FL_2021_000043_YEM,0.7058038
FL_1998_000080_ARG,0.7053048
FL_2008_000205_IDN,0.7052014
FL_2007_000149_CMR,0.7051079
FL_2013_000068_CZE,0.70501715
FL_2011_000022_AFG,0.70487154
FL_2001_000417_SDN,0.7048167
FL_2007_000153_GHA,0.70472693
FL_2015_000115_MKD,0.7045933
FL_2011_000051_RWA,0.7042666
FL_2014_000168_MYS,0.70420194
FL_2009_000239_BRA,0.7041957
FL_2016_000044_CHN,0.7040462
FL_2008_000096_BGD,0.7039591
FL_2003_000585_MKD,0.70381075
FL_2017_000095_GHA,0.7035022
FL_1999_000213_IND,0.703313
FL_2009_000120_BWA,0.7033092
FL_2023_000001_COG,0.70327914
FL_2006_000145_GIN,0.70323074
FL_2022_000379_MYS,0.7030799
FL_1999_000286_GMB,0.70299983
FL_2003_000028_BRA,0.7027502
FL_2010_000120_BRA,0.7026949
FL_2003_000368_SDN,0.70266545
FL_2002_000782_MKD,0.70260406
