Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5877072126670765,68.0
FL_2023_000217_PRY,0.5281148241911204,245.0
Paraguay: Floods _ Jun 1995,0.5012687343521143,348.0
FL_2018_000419_PRY,0.5284443408952904,243.0
FL_2012_000056_PRY,0.5481736066128509,180.0
FL_2014_000030_PRY,0.48687241222512695,420.0
FL_1997_000299_PRY,0.5314839846110819,229.0
FL_2019_000033_PRY,0.5543120901648201,159.0
Paraguay: Floods _ Mar 1995,0.5713110694606409,109.0
FL_2013_000076_PRY,0.5085823323043647,323.0
subject,0.49352766814691307,380.0
FL_2015_000171_PRY,0.5883098260387477,66.0
FL_2002_000296_PRY,0.6027137692015012,51.0
ST_2015_000041_PRY,0.5311979175735242,231.0
FL_2023_000041_PRY,0.5346582899668095,218.0
FL_2009_000226_PRY,0.557400371254797,151.0
Paraguay: Floods _ Feb 1990,0.5181248989626777,283.0
FL_2021_000213_STP,0.5250411563682318,255.0
FL_2019_000034_BOL,0.4948020488249029,375.0
FL_2018_000015_BOL,0.47606909755514043,492.0
FL_2007_000012_BOL,0.47057366440162374,531.0
FL_2001_000029_BOL,0.49983061699894193,356.0
FL_2006_000010_BOL,0.4992106346190238,358.0
FL_2007_000231_BOL,0.5234674291650298,265.0
FL_2015_000008_BOL,0.5363418312848447,211.0
FL_2024_000021_BOL,0.4598136374041738,591.0
FL_2000_000130_BOL,0.48255407103737696,450.0
FL_2019_000032_BOL,0.4952301562138507,371.0
FL_2003_000621_BOL,0.502451713328302,344.0
FL_2013_000020_BOL,0.5076631845135944,325.0
FL_2011_000020_BOL,0.4859055760082067,424.0
FL_2010_000008_BOL,0.5631487390475431,133.0
FL_2002_000110_BOL,0.4979579485795125,362.0
Bolivia: Chapare River Floods _ Jan 1987,0.50403737675384,340.0
FL_1997_000022_BOL,0.5306350357496052,234.0
Bolivia: Floods _ Jan 1986,0.5035050988647443,341.0
Bolivia: Landslides/Floods _ Mar 1994,0.5192468090639554,281.0
FL_2009_000045_BOL,0.4931005585371204,384.0
FL_2014_000008_BOL,0.4520464108674971,620.0
