Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5104857074546278,223.0
FL_2023_000217_PRY,0.5231509791924254,176.0
Paraguay: Floods _ Jun 1995,0.47624935755561015,381.0
FL_2018_000419_PRY,0.4835103239403296,340.0
FL_2012_000056_PRY,0.47002443446100134,427.0
FL_2014_000030_PRY,0.48985511802757165,312.0
FL_1997_000299_PRY,0.5095945361275157,227.0
FL_2019_000033_PRY,0.5046879649756522,247.0
Paraguay: Floods _ Mar 1995,0.5097321075400858,225.0
FL_2013_000076_PRY,0.4292993469496508,737.0
subject,0.6078743524311296,32.0
FL_2015_000171_PRY,0.4877692056764991,318.0
FL_2002_000296_PRY,0.4723643966205229,410.0
ST_2015_000041_PRY,0.47415581655260874,398.0
FL_2023_000041_PRY,0.45801512657104204,513.0
FL_2009_000226_PRY,0.5209851677727206,190.0
Paraguay: Floods _ Feb 1990,0.46999425006340195,428.0
FL_2021_000213_STP,0.657866529409431,26.0
FL_2019_000034_BOL,0.9817913397270573,6.0
FL_2018_000015_BOL,0.9755838495258982,16.0
FL_2007_000012_BOL,0.9913498081117387,1.0
FL_2001_000029_BOL,0.9813348394045025,7.0
FL_2006_000010_BOL,0.9830028854489121,5.0
FL_2007_000231_BOL,0.9806940116480869,12.0
FL_2015_000008_BOL,0.9813121654171669,8.0
FL_2024_000021_BOL,0.9811695356616439,10.0
FL_2000_000130_BOL,0.9721777460342146,21.0
FL_2019_000032_BOL,0.965638731051255,23.0
FL_2003_000621_BOL,0.987438414001611,3.0
FL_2013_000020_BOL,0.9795447968466409,14.0
FL_2011_000020_BOL,0.9777526357878557,15.0
FL_2010_000008_BOL,0.9725667462686745,20.0
FL_2002_000110_BOL,0.964173259477401,24.0
Bolivia: Chapare River Floods _ Jan 1987,0.971803541154321,22.0
FL_1997_000022_BOL,0.9812894661124358,9.0
Bolivia: Floods _ Jan 1986,0.9747388016653119,18.0
Bolivia: Landslides/Floods _ Mar 1994,0.9844904056962306,4.0
FL_2009_000045_BOL,0.9811547452712162,11.0
FL_2014_000008_BOL,0.9801210062995993,13.0
FL_2003_000012_BOL,0.9729394469953018,19.0
FL_2012_000005_BOL,0.9881252502779738,2.0
FL_2025_000038_BOL,0.9754096823354209,17.0
FL_2019_000079_BGD,0.47736903951250353,374.0
FL_2023_000157_BGD,0.4403542871771595,653.0
Bangladesh: Floods _ Jul 1996,0.4686672334069003,435.0
FL_2020_000161_BGD,0.4249461772396701,771.0
FL_2007_000129_PAK,0.4438485467947325,631.0
Bangladesh: Floods _ Jul 1993,0.46935039153329416,430.0
FL_1998_000203_BGD,0.4227026871693521,784.0
FL_2014_000117_BGD,0.4448283298254115,623.0
Bangladesh: Floods _ Jul 1999,0.5069775308129232,242.0
FL_2005_000176_BGD,0.48795116411879014,316.0
FL_2011_000093_BGD,0.4977066812173807,274.0
FL_2008_000096_BGD,0.44351181362726066,636.0
FL_2021_000097_BGD,0.5280801703072767,160.0
FL_2006_000131_BGD,0.3893046389958697,1000.0
FL_2000_000617_BGD,0.47153038598547004,417.0
FL_2015_000068_BGD,0.41969523525856267,798.0
Bangladesh: Floods _ Aug 1988,0.41797813712088794,809.0
FF_2007_000080_BGD,0.45671267964810347,526.0
Bangladesh: Floods _ Aug 1986,0.3991719712443655,935.0
Bangladesh: Floods _ Jun 1993,0.41296193431804373,845.0
FL_2004_000044_BGD,0.39870604817681055,939.0
FL_1997_000164_BGD,0.46849736853713553,437.0
FL_2016_000075_BGD,0.41598999415538085,825.0
Bangladesh: Floods _ Jul 1988,0.4359555839392587,685.0
FL_2010_000114_BGD,0.4502858281916935,582.0
Bangladesh: Floods _ Sep 1986,0.46884435210783304,433.0
Bangladesh: Floods _ Aug 1989,0.41433375684257456,834.0
FL_2009_000123_BGD,0.407235721561123,886.0
FL_2018_000105_BGD,0.42629988565942334,763.0
FL_2002_000402_BGD,0.43806528247002613,671.0
FL_2002_000536_MMR,0.45467024777788656,539.0
Bangladesh: Floods _ Jul 1991,0.4328797300335768,707.0
Bangladesh: Floods _ May 1984,0.4726240472759148,408.0
FL_2012_000106_BGD,0.4263833901881301,761.0
FL_2024_000088_BGD,0.49697090237610564,279.0
FL_2022_000217_BGD,0.46726945051714797,444.0
FL_2006_000092_KOR,0.321229656028673,1296.0
FL_2001_000335_KOR,0.3457138933073445,1224.0
FL_1999_000247_KOR,0.36483017566291476,1143.0
FL_1998_000219_KOR,0.36168347744684076,1154.0
FL_2009_000190_TUR,0.4217709977141361,790.0
FL_2006_000156_TUR,0.4516716013928689,568.0
Turkey: Floods _ Nov 1995,0.4832401453449733,341.0
FL_1998_000255_TUR,0.4600047933481895,497.0
FL_2023_000040_TUR,0.5080981123599193,235.0
FF_2009_000159_PAK,0.3639681595222664,1145.0
FL_2020_000185_PAK,0.3898970926006757,996.0
FF_2008_000123_PAK,0.41090000658075115,857.0
FL_2010_000141_PAK,0.392500584519684,979.0
FF_2012_000148_PAK,0.39451960214171794,959.0
FF_2013_000090_PAK,0.4321767308218488,713.0
FL_2015_000017_PAK,0.40790497425371974,880.0
Pakistan: Floods _ Aug 1996,0.41155380470607095,853.0
FL_1998_000048_PAK,0.4007720805572361,917.0
FL_2019_000087_PAK,0.38522829755471866,1026.0
FL_2017_000017_PAK,0.41834174358825704,804.0
Pakistan: Floods _ Jul 1993,0.395111913048387,956.0
FL_2014_000122_PAK,0.39674513851252086,950.0
FL_1992_000008_PAK,0.4002007340321957,925.0
FF_2007_000082_PAK,0.4098629436981524,864.0
Pakistan: Floods _ Feb 1991,0.4135076745305626,841.0
FL_2003_000359_PAK,0.3797628850848085,1063.0
FL_2016_000066_PAK,0.39595563857359795,953.0
FL_2022_000254_PAK,0.3727035329928794,1097.0
FL_2024_000118_PAK,0.3910364294989781,987.0
FL_2016_000021_PAK,0.4101108319443459,859.0
FL_2005_000108_PAK,0.4026780665358819,912.0
FL_2024_000020_PAK,0.39431176235864235,961.0
FL_2023_000119_PAK,0.3795036248116586,1066.0
FL_2001_000376_PAK,0.3876755496209045,1007.0
FL_2011_000109_PAK,0.4075169207324766,883.0
FL_2009_000139_PAK,0.4142713558586074,836.0
FL_2005_000038_MDG,0.3264644294917439,1284.0
ST_2022_000138_MDG,0.37087701226371905,1110.0
2012_000020_MDG,0.37874808279658045,1069.0
FL_2020_000019_MDG,0.3651782007285975,1142.0
FL_2003_000037_MDG,0.3312795589564935,1266.0
FL_2013_000004_KEN,0.35400575573489973,1186.0
FL_2009_000218_KEN,0.3463672221584652,1219.0
FL_2024_000045_KEN,0.3505953295849603,1205.0
FL_2011_000115_KEN,0.34417003206142527,1231.0
FL_2002_000265_KEN,0.3460458468615601,1221.0
FL_2010_000003_KEN,0.3256106294672067,1287.0
FL_2004_000020_KEN,0.3660345819987657,1139.0
FF_2012_000062_KEN,0.32266886464982986,1293.0
FL_2008_000217_KEN,0.3185924512909782,1309.0
FL_2015_000169_KEN,0.3310765252012735,1268.0
FL_2021_000038_KEN,0.3358356236322333,1256.0
FL_2023_000216_KEN,0.34627528272728664,1220.0
FL_2013_000038_KEN,0.32779810672245974,1275.0
FL_1997_000255_KEN,0.32672429305525413,1281.0
FL_2020_000128_KEN,0.3384378283505855,1251.0
