Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4616663124186208,643.0
FL_2023_000217_PRY,0.5470690515596142,217.0
Paraguay: Floods _ Jun 1995,0.51421898373048,351.0
FL_2018_000419_PRY,0.490762232010316,488.0
FL_2012_000056_PRY,0.498683133917839,454.0
FL_2014_000030_PRY,0.505378113725848,413.0
FL_1997_000299_PRY,0.4973853157995776,459.0
FL_2019_000033_PRY,0.47817590785365893,543.0
Paraguay: Floods _ Mar 1995,0.49233048455807565,481.0
FL_2013_000076_PRY,0.4947318987049122,474.0
subject,0.5394641939904163,247.0
FL_2015_000171_PRY,0.45472265699796716,691.0
FL_2002_000296_PRY,0.49063498609347544,489.0
ST_2015_000041_PRY,0.5238480247575606,303.0
FL_2023_000041_PRY,0.47282120676820794,577.0
FL_2009_000226_PRY,0.5382815424841332,251.0
Paraguay: Floods _ Feb 1990,0.504112220414374,421.0
FL_2021_000213_STP,0.5866662564662605,103.0
FL_2019_000034_BOL,0.5121140163529342,360.0
FL_2018_000015_BOL,0.5146008418976245,349.0
FL_2007_000012_BOL,0.5368774759097641,260.0
FL_2001_000029_BOL,0.5696302945113165,160.0
FL_2006_000010_BOL,0.5453575980554696,226.0
FL_2007_000231_BOL,0.500968105383683,437.0
FL_2015_000008_BOL,0.5084983378812094,388.0
FL_2024_000021_BOL,0.5353743104721128,267.0
FL_2000_000130_BOL,0.5554937950251448,190.0
FL_2019_000032_BOL,0.5177524932194899,329.0
FL_2003_000621_BOL,0.5507488508160465,203.0
FL_2013_000020_BOL,0.5732164897131429,146.0
FL_2011_000020_BOL,0.5310152663798715,280.0
FL_2010_000008_BOL,0.5363485319974131,261.0
FL_2002_000110_BOL,0.5118361098330988,364.0
Bolivia: Chapare River Floods _ Jan 1987,0.5175948841143376,330.0
FL_1997_000022_BOL,0.5214075142790409,314.0
Bolivia: Floods _ Jan 1986,0.5583968586618933,184.0
Bolivia: Landslides/Floods _ Mar 1994,0.5468091083731117,219.0
FL_2009_000045_BOL,0.5362619050900137,263.0
FL_2014_000008_BOL,0.5854157845203597,105.0
FL_2003_000012_BOL,0.5281563418518944,289.0
FL_2012_000005_BOL,0.4993637386767479,450.0
FL_2025_000038_BOL,0.5090698513954499,381.0
FL_2019_000079_BGD,0.47849507568073,542.0
FL_2023_000157_BGD,0.5476392263994221,215.0
Bangladesh: Floods _ Jul 1996,0.5071756882024598,399.0
FL_2020_000161_BGD,0.4957558423447742,467.0
FL_2007_000129_PAK,0.4866016109896433,502.0
Bangladesh: Floods _ Jul 1993,0.532235800265401,275.0
FL_1998_000203_BGD,0.5169668362454873,333.0
FL_2014_000117_BGD,0.5333633105605897,272.0
Bangladesh: Floods _ Jul 1999,0.5250311350028429,297.0
FL_2005_000176_BGD,0.510246569747686,376.0
FL_2011_000093_BGD,0.5147746072070358,348.0
FL_2008_000096_BGD,0.47610003668866346,554.0
FL_2021_000097_BGD,0.5238108177687913,305.0
FL_2006_000131_BGD,0.4630522269981878,636.0
FL_2000_000617_BGD,0.5128393729608474,358.0
FL_2015_000068_BGD,0.5224459741749725,311.0
Bangladesh: Floods _ Aug 1988,0.4787595524120757,541.0
FF_2007_000080_BGD,0.6296731240686728,35.0
Bangladesh: Floods _ Aug 1986,0.514803856723085,347.0
Bangladesh: Floods _ Jun 1993,0.496439743286616,463.0
FL_2004_000044_BGD,0.46393169454278993,628.0
FL_1997_000164_BGD,0.48535188237983484,506.0
FL_2016_000075_BGD,0.5046415916057037,420.0
Bangladesh: Floods _ Jul 1988,0.5050711337000233,416.0
FL_2010_000114_BGD,0.5604209038838742,178.0
Bangladesh: Floods _ Sep 1986,0.5447622518972163,228.0
Bangladesh: Floods _ Aug 1989,0.5038358646946685,424.0
FL_2009_000123_BGD,0.4911730527953907,486.0
FL_2018_000105_BGD,0.48855085966429335,496.0
FL_2002_000402_BGD,0.5120233389784624,361.0
FL_2002_000536_MMR,0.4868591923822092,501.0
Bangladesh: Floods _ Jul 1991,0.537345754322209,256.0
Bangladesh: Floods _ May 1984,0.49349405562462556,478.0
FL_2012_000106_BGD,0.49287538693211175,479.0
FL_2024_000088_BGD,0.5551520801335015,194.0
FL_2022_000217_BGD,0.4923729011169501,480.0
FL_2006_000092_KOR,0.37544989232744497,1168.0
FL_2001_000335_KOR,0.3885364168795313,1098.0
FL_1999_000247_KOR,0.41418729860423875,934.0
FL_1998_000219_KOR,0.4000223269390578,1019.0
FL_2009_000190_TUR,0.5941708719698973,93.0
FL_2006_000156_TUR,0.5848739761338704,108.0
Turkey: Floods _ Nov 1995,0.6182772462648489,43.0
FL_1998_000255_TUR,0.6058126538038242,68.0
FL_2023_000040_TUR,0.6088248678310628,64.0
FF_2009_000159_PAK,0.4046630655505292,992.0
FL_2020_000185_PAK,0.43633838730368324,801.0
FF_2008_000123_PAK,0.4470106639189191,728.0
FL_2010_000141_PAK,0.4208622708878415,903.0
FF_2012_000148_PAK,0.43794434876751853,787.0
FF_2013_000090_PAK,0.4713648275334851,585.0
FL_2015_000017_PAK,0.4311642845334947,839.0
Pakistan: Floods _ Aug 1996,0.4507315051660855,709.0
FL_1998_000048_PAK,0.4390789509568701,783.0
FL_2019_000087_PAK,0.4101187528409257,961.0
FL_2017_000017_PAK,0.4486758572266413,719.0
Pakistan: Floods _ Jul 1993,0.429306002237673,852.0
FL_2014_000122_PAK,0.42642585058722104,872.0
FL_1992_000008_PAK,0.42771464966693784,860.0
FF_2007_000082_PAK,0.43712208371124084,796.0
Pakistan: Floods _ Feb 1991,0.4554296645943533,688.0
FL_2003_000359_PAK,0.40753573340065075,977.0
FL_2016_000066_PAK,0.43681879149982095,799.0
FL_2022_000254_PAK,0.41671845125821316,918.0
FL_2024_000118_PAK,0.42860099824433245,856.0
FL_2016_000021_PAK,0.4481784053834513,721.0
FL_2005_000108_PAK,0.43733472114007765,793.0
FL_2024_000020_PAK,0.43113046143546857,840.0
FL_2023_000119_PAK,0.4069563503079151,982.0
FL_2001_000376_PAK,0.42684210542321005,869.0
FL_2011_000109_PAK,0.44584764972848334,741.0
FL_2009_000139_PAK,0.45028642820180453,710.0
FL_2005_000038_MDG,0.3517943488504247,1288.0
ST_2022_000138_MDG,0.39930107288854877,1024.0
2012_000020_MDG,0.40593636761885676,987.0
FL_2020_000019_MDG,0.3917954903590145,1072.0
FL_2003_000037_MDG,0.36328120643338174,1231.0
FL_2013_000004_KEN,0.16866995962602577,1499.0
FL_2009_000218_KEN,0.15521495224851933,1501.0
FL_2024_000045_KEN,0.1694406088573977,1498.0
FL_2011_000115_KEN,0.15619320941430456,1500.0
FL_2002_000265_KEN,0.15379155314337337,1502.0
FL_2010_000003_KEN,0.12557307775162413,1515.0
FL_2004_000020_KEN,0.18665047590421183,1496.0
FF_2012_000062_KEN,0.12355661338283334,1516.0
FL_2008_000217_KEN,0.11954299528207443,1517.0
FL_2015_000169_KEN,0.1427500992401421,1510.0
FL_2021_000038_KEN,0.14647698440024942,1509.0
FL_2023_000216_KEN,0.14939715896511746,1507.0
FL_2013_000038_KEN,0.12980685179116616,1513.0
