Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2003_000350_MNG,0.82637185
FL_2019_000022_IRN,0.81864864
FL_2001_000180_IRN,0.8122121
FL_2011_000159_MEX,0.80579543
FL_2010_000012_EGY,0.7987432
FL_2008_000089_IND,0.79751056
FL_2019_000131_CIV,0.78036356
FL_2013_000070_IND,0.7794412
FL_1999_000235_IRN,0.77873796
FL_2014_000059_SRB,0.77759194
FL_2004_000043_IND,0.77675176
FL_2022_000278_MNG,0.77613413
FL_2003_000229_LKA,0.77347326
FL_2012_000153_IDN,0.7726365
FL_2000_000258_IDN,0.7718028
FL_2010_000046_MOZ,0.77055
FL_2012_000110_IND,0.7704372
FL_2008_000035_PRY,0.7686607
FL_2019_000116_ETH,0.7685934
FL_2008_000154_MEX,0.7632172
FL_2007_000052_LKA,0.7630245
FL_1997_000207_SYC,0.762713
FL_2001_000320_TLS,0.76218873
FL_2006_000068_CHN,0.76187414
FL_2021_000173_IDN,0.7612351
FL_1998_000392_IND,0.76041615
FL_2007_000077_CHN,0.7603769
FL_2001_000407_IDN,0.7585438
FL_2007_000070_CHN,0.75777733
FL_2011_000084_IND,0.75736725
FL_2010_000196_LKA,0.75725436
FL_1997_000166_ROM,0.75682974
FL_2005_000051_AGO,0.75652814
FL_2022_000283_LKA,0.7563705
FL_2017_000014_PER,0.75616866
FL_2008_000079_LKA,0.7557423
FL_1999_000213_IND,0.7551155
FL_2011_000118_GTM,0.7542416
FL_2007_000093_SDN,0.7538159
FL_2008_000202_MAR,0.75347775
FL_2006_000029_NAM,0.75262165
FL_2011_000110_UGA,0.7519117
FL_2002_000374_IND,0.7516637
FL_2015_000153_IRQ,0.7513571
FL_2019_000135_GHA,0.7512572
FL_2012_000077_CHN,0.75121987
FL_2016_000114_EGY,0.7509422
FL_2012_000066_COM,0.75056005
FL_1997_000522_MDA,0.7501785
FL_2006_000031_PER,0.7497281
FL_2016_000009_IDN,0.7496673
FL_2014_000154_IDN,0.7495705
FL_2015_000064_IND,0.7490009
FL_2014_000098_SDN,0.7484419
FL_2020_000158_SRB,0.7481863
FL_2012_000127_CHN,0.74715436
FL_2019_000067_UGA,0.74660623
FL_2009_000268_AGO,0.7465878
FL_1998_000040_URY,0.74628735
FL_2002_000478_PRK,0.74583995
FL_2011_000038_KAZ,0.7451415
FL_2005_000117_GTM,0.7451373
FL_2020_000132_UGA,0.74513274
FL_2008_000074_BFA,0.7446667
FL_1997_000026_MOZ,0.743418
FL_2015_000093_GUY,0.7431434
FL_2006_000156_TUR,0.7428578
FL_2021_000032_TLS,0.74275756
FL_2008_000166_GTM,0.7424553
FL_2011_000196_IDN,0.7422119
FL_2008_000051_LKA,0.7421751
FL_2005_000002_GUY,0.7421106
FL_2013_000125_BFA,0.7417068
FL_2009_000160_LKA,0.74163765
FL_2017_000075_CHN,0.74142027
FL_2000_000444_IND,0.7411536
FL_2011_000108_SEN,0.7410119
FL_2021_000090_SDN,0.7409916
FL_2017_000057_LKA,0.74098766
FL_2009_000136_BIH,0.7409629
FL_2008_000031_PER,0.74087524
FL_2008_000178_DZA,0.74043965
FL_2009_000196_IDN,0.74032605
FL_2010_000195_MLI,0.74017924
FL_2003_000051_PER,0.7401042
FL_2016_000050_LKA,0.7397538
FL_2011_000091_BEN,0.73898685
FL_2005_000208_BIH,0.738463
FL_2009_000034_MAR,0.7383966
FL_2009_000226_PRY,0.73828787
FL_2000_000002_AGO,0.73779356
FL_2006_000018_IRQ,0.73707646
FL_1999_000160_PER,0.73676944
FL_1997_000144_CHN,0.73675823
FL_2005_000110_BIH,0.7364622
FL_2008_000091_SOM,0.7363369
FL_2005_000064_ETH,0.7362869
FL_2003_000316_IND,0.7358294
FL_2009_000140_MNG,0.73568547
FL_2010_000259_AUS,0.73560536
FL_1999_000161_LKA,0.7354738
FL_2010_000072_RUS,0.73525685
FL_1997_000530_PER,0.7350326
FL_2009_000267_SRB,0.73479724
FL_2016_000081_GTM,0.7347175
FL_2010_000102_CRI,0.7343711
FL_2006_000192_IDN,0.7343321
FL_2008_000072_CHN,0.7342202
FL_2022_000356_ETH,0.734218
FL_2023_000001_COG,0.7339004
FL_2012_000115_RUS,0.7336994
FL_2013_000019_PER,0.7333407
FL_2009_000100_DOM,0.7331632
FL_2005_000129_SDN,0.7327435
FL_2018_000060_LKA,0.7327298
FL_2010_000139_SDN,0.73260164
FL_2011_000190_AGO,0.7325735
FL_2003_000571_DOM,0.7323642
FL_2002_000510_MEX,0.73212695
