Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3048086972787898,1308.0
FL_2023_000217_PRY,0.3407686215888955,1159.0
Paraguay: Floods _ Jun 1995,0.37977406115478535,935.0
FL_2018_000419_PRY,0.3537143211971967,1090.0
FL_2012_000056_PRY,0.3364135560422115,1184.0
FL_2014_000030_PRY,0.39279469671950984,868.0
FL_1997_000299_PRY,0.3920347574663172,876.0
FL_2019_000033_PRY,0.3471861000120872,1118.0
Paraguay: Floods _ Mar 1995,0.385847997669881,902.0
FL_2013_000076_PRY,0.27423353934559336,1411.0
subject,0.1737959340111631,1493.0
FL_2015_000171_PRY,0.3788942368455829,940.0
FL_2002_000296_PRY,0.3626452295701233,1024.0
ST_2015_000041_PRY,0.3580651668875444,1057.0
FL_2023_000041_PRY,0.3471352819292733,1119.0
FL_2009_000226_PRY,0.3870420951146605,898.0
Paraguay: Floods _ Feb 1990,0.34604610137158637,1129.0
FL_2021_000213_STP,0.6535050052262834,33.0
FL_2019_000034_BOL,0.4506708612595839,560.0
FL_2018_000015_BOL,0.4446099047676724,594.0
FL_2007_000012_BOL,0.4649309942759354,490.0
FL_2001_000029_BOL,0.4891947847380818,369.0
FL_2006_000010_BOL,0.47447858035367024,454.0
FL_2007_000231_BOL,0.42287629227523027,716.0
FL_2015_000008_BOL,0.4407207897148492,611.0
FL_2024_000021_BOL,0.47792908483502405,429.0
FL_2000_000130_BOL,0.4418323393148764,603.0
FL_2019_000032_BOL,0.4241599127119293,707.0
FL_2003_000621_BOL,0.44551398908510215,588.0
FL_2013_000020_BOL,0.4316116563365602,667.0
FL_2011_000020_BOL,0.450636819684442,561.0
FL_2010_000008_BOL,0.4595709479549759,511.0
FL_2002_000110_BOL,0.40956171624680426,791.0
Bolivia: Chapare River Floods _ Jan 1987,0.45575844557431244,535.0
FL_1997_000022_BOL,0.4545492332548594,541.0
Bolivia: Floods _ Jan 1986,0.4468564213157739,578.0
Bolivia: Landslides/Floods _ Mar 1994,0.4743307690184716,455.0
FL_2009_000045_BOL,0.46027258421594974,505.0
FL_2014_000008_BOL,0.4632663933068176,494.0
FL_2003_000012_BOL,0.44829390687528786,571.0
FL_2012_000005_BOL,0.43474985019957024,644.0
FL_2025_000038_BOL,0.4809764715084067,418.0
FL_2019_000079_BGD,0.3584129610585888,1051.0
FL_2023_000157_BGD,0.40252863718111886,819.0
Bangladesh: Floods _ Jul 1996,0.40848286272796774,793.0
FL_2020_000161_BGD,0.3904372709347851,883.0
FL_2007_000129_PAK,0.39481519280605115,858.0
Bangladesh: Floods _ Jul 1993,0.3948811855187025,856.0
FL_1998_000203_BGD,0.3185917513213927,1254.0
FL_2014_000117_BGD,0.3847587161526354,909.0
Bangladesh: Floods _ Jul 1999,0.376669572579699,947.0
FL_2005_000176_BGD,0.41668489334754333,758.0
FL_2011_000093_BGD,0.44854683736329637,569.0
FL_2008_000096_BGD,0.379431997430076,938.0
FL_2021_000097_BGD,0.3733391945158701,966.0
FL_2006_000131_BGD,0.34338500321439464,1144.0
FL_2000_000617_BGD,0.34585841432974757,1131.0
FL_2015_000068_BGD,0.3925528920744447,871.0
Bangladesh: Floods _ Aug 1988,0.3416283034313816,1153.0
FF_2007_000080_BGD,0.38302441600462234,917.0
Bangladesh: Floods _ Aug 1986,0.38656684322244184,901.0
Bangladesh: Floods _ Jun 1993,0.36215943603344475,1028.0
FL_2004_000044_BGD,0.35822246769017396,1054.0
FL_1997_000164_BGD,0.41418220918953547,767.0
FL_2016_000075_BGD,0.3524303115680649,1096.0
Bangladesh: Floods _ Jul 1988,0.36665334364039165,1004.0
FL_2010_000114_BGD,0.3503848633580382,1102.0
Bangladesh: Floods _ Sep 1986,0.3744179503393985,959.0
Bangladesh: Floods _ Aug 1989,0.356568113824701,1070.0
FL_2009_000123_BGD,0.42223260363052095,720.0
FL_2018_000105_BGD,0.3913093836322813,880.0
FL_2002_000402_BGD,0.39929893322360877,829.0
FL_2002_000536_MMR,0.38383198474967084,914.0
Bangladesh: Floods _ Jul 1991,0.370062207536903,984.0
Bangladesh: Floods _ May 1984,0.3892693507195951,889.0
FL_2012_000106_BGD,0.3699158019733513,985.0
FL_2024_000088_BGD,0.37285071268682224,970.0
FL_2022_000217_BGD,0.3986188319653758,833.0
FL_2006_000092_KOR,0.4408599927647189,610.0
FL_2001_000335_KOR,0.45627263781923877,532.0
FL_1999_000247_KOR,0.4757784072528586,438.0
FL_1998_000219_KOR,0.4695105172856757,474.0
FL_2009_000190_TUR,0.3084348289397827,1291.0
FL_2006_000156_TUR,0.28886736394071455,1374.0
Turkey: Floods _ Nov 1995,0.3047408735748081,1310.0
FL_1998_000255_TUR,0.32177634754973233,1243.0
FL_2023_000040_TUR,0.33758336623542884,1178.0
FF_2009_000159_PAK,0.3358598156095419,1185.0
FL_2020_000185_PAK,0.3431982338190258,1145.0
FF_2008_000123_PAK,0.3534889084615567,1092.0
FL_2010_000141_PAK,0.3489399948421701,1107.0
FF_2012_000148_PAK,0.35355052973544143,1091.0
FF_2013_000090_PAK,0.3919496824090067,877.0
FL_2015_000017_PAK,0.3686710549987136,993.0
Pakistan: Floods _ Aug 1996,0.35906900292884625,1045.0
FL_1998_000048_PAK,0.3565043817306156,1072.0
FL_2019_000087_PAK,0.337216786492623,1180.0
FL_2017_000017_PAK,0.36874510830983126,991.0
Pakistan: Floods _ Jul 1993,0.34458064586976234,1139.0
FL_2014_000122_PAK,0.34823662527973054,1112.0
FL_1992_000008_PAK,0.35717649497329473,1063.0
FF_2007_000082_PAK,0.3703504472297827,983.0
Pakistan: Floods _ Feb 1991,0.38010901058059365,930.0
FL_2003_000359_PAK,0.321104932527868,1246.0
FL_2016_000066_PAK,0.3583568123481225,1052.0
FL_2022_000254_PAK,0.33334417286218454,1199.0
FL_2024_000118_PAK,0.35646007090279985,1073.0
FL_2016_000021_PAK,0.3591128954314362,1044.0
FL_2005_000108_PAK,0.36733387900125297,1002.0
FL_2024_000020_PAK,0.35566026913294113,1076.0
FL_2023_000119_PAK,0.3326123507796862,1205.0
FL_2001_000376_PAK,0.35010036873244094,1104.0
FL_2011_000109_PAK,0.3569602921065468,1065.0
FL_2009_000139_PAK,0.38779415898443914,896.0
FL_2005_000038_MDG,0.5408833625182687,140.0
ST_2022_000138_MDG,0.5657540458755271,75.0
2012_000020_MDG,0.5720270580336198,65.0
FL_2020_000019_MDG,0.5651298193668333,77.0
FL_2003_000037_MDG,0.5345586119704289,155.0
FL_2013_000004_KEN,0.5248542933018043,176.0
FL_2009_000218_KEN,0.4945335644539398,332.0
FL_2024_000045_KEN,0.5045729417691949,259.0
FL_2011_000115_KEN,0.4924619906426684,345.0
FL_2002_000265_KEN,0.49877081167399495,308.0
FL_2010_000003_KEN,0.48479073404812634,397.0
FL_2004_000020_KEN,0.5166045928828801,194.0
FF_2012_000062_KEN,0.48410216367306635,403.0
FL_2008_000217_KEN,0.4792398921005131,422.0
FL_2015_000169_KEN,0.49624588859646607,320.0
FL_2021_000038_KEN,0.49447823314121214,333.0
FL_2023_000216_KEN,0.49905033100067586,304.0
FL_2013_000038_KEN,0.48855818419820285,377.0
FL_1997_000255_KEN,0.4718621001763982,466.0
FL_2020_000128_KEN,0.4925314857238895,344.0
FF_2023_000051_KEN,0.4919631565242499,348.0
FL_2019_000138_KEN,0.47468423435153867,452.0
FL_2007_000139_KEN,0.4879428719754145,380.0
FF_2008_000092_KEN,0.5031478804526366,268.0
FL_2007_000076_KEN,0.4903776807350373,358.0
FF_2018_000030_KEN,0.4724570557708992,464.0
FL_2010_000174_KEN,0.4920124299460783,347.0
FF_2006_000046_KEN,0.49885132656199405,307.0
FL_2016_000042_KEN,0.50020081557245,295.0
FL_2007_000221_KEN,0.4900033248197113,362.0
FL_2025_000045_COD,0.3106304856058808,1282.0
FL_2024_000009_COD,0.34524691927763224,1134.0
FL_1999_000531_COD,0.29620804116880833,1349.0
FL_2012_000192_COD,0.28509481510012347,1383.0
ST_2012_000064_COD,0.29306562720474205,1358.0
FL_2010_000062_COD,0.2875184989874083,1377.0
FL_2020_000052_COD,0.31382916498889,1272.0
FL_2010_000151_COD,0.27915058998597203,1401.0
FL_2006_000047_COD,0.3180005035532499,1257.0
FL_2016_000124_COD,0.3481484030627355,1113.0
FL_2015_000164_COD,0.32942320834763655,1218.0
FL_1997_000295_COD,0.28010239792682745,1394.0
FL_2011_000187_COD,0.31808510802559486,1255.0
FL_2022_000376_COD,0.3045395856370656,1311.0
FL_2018_000004_COD,0.3013740797397264,1329.0
FL_2007_000197_COD,0.3355194217811067,1188.0
FL_2020_000206_COD,0.24991899961341904,1450.0
FL_2019_000153_COD,0.3091360042294611,1288.0
FF_2008_000186_COD,0.2990345196553662,1338.0
FL_2023_000067_COD,0.3377458274477104,1176.0
FL_2019_000020_COL,0.3540340998117275,1088.0
FL_2015_000056_COL,0.34689662185840603,1122.0
FL_2003_000578_COL,0.36343081677644107,1020.0
FL_2023_000232_COL,0.33959122294107663,1166.0
FL_2008_000197_COL,0.36420703198529647,1015.0
1987_07_01_CO_Flood,0.37492227297954994,955.0
FL_2013_000145_COL,0.3775065009786177,945.0
FL_2010_000076_COL,0.37974550904707566,936.0
FL_2005_000020_COL,0.3829568168245122,918.0
FL_2007_000068_COL,0.3789498663802824,939.0
FL_2020_000242_COL,0.3541323181860765,1087.0
FL_2009_000241_COL,0.36761816298547506,1000.0
FL_2008_000076_COL,0.32485717614476517,1233.0
1986_07_01T00:00:00+00:00,0.3640686689056861,1016.0
FL_2012_000183_COL,0.34832735890657957,1111.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.3578920348418815,1058.0
LS_2010_000190_COL,0.3867490988536018,900.0
FL_2018_000058_COL,0.3408769723219375,1157.0
FL_2006_000044_COL,0.3687185892042618,992.0
FL_2013_000030_COL,0.399533466157641,828.0
FL_2014_000004_COL,0.3710197532465088,976.0
FL_2012_000042_COL,0.36065769018603067,1038.0
FL_2014_000163_COL,0.372960865013908,969.0
1996_07_01_CO_Flood,0.3589390287384101,1046.0
FL_2000_000265_COL,0.3424074885190883,1147.0
FL_2011_000170_COL,0.3545360581004904,1084.0
OT_2004_000112_COL,0.3676216249309552,999.0
FL_2024_000117_COL,0.3567226205413215,1067.0
FL_2011_000042_COL,0.3338584500252033,1196.0
FL_2005_000017_VEN,0.3215118311329226,1245.0
FL_2024_000214_COL,0.3675619161278254,1001.0
1988_08_01T00:00:00+00:00,0.35458858321534525,1083.0
FL_2004_000021_COL,0.37860315970504116,942.0
FL_2005_000194_COL,0.33436318310833374,1195.0
FL_2016_000060_IND,0.5376359787713934,150.0
FL_2001_000332_IND,0.5416684323890426,138.0
FL_2017_000064_IND,0.5452041560251866,128.0
FL_2024_000109_IND,0.5526870239678798,111.0
FL_2009_000217_IND,0.5637366576144194,80.0
IND_2018_000413,0.5463014701347346,127.0
FL_2023_000104_IND,0.5466046137885646,126.0
FL_2000_000444_IND,0.561902406583888,83.0
FL_1999_000213_IND,0.5579193711629197,96.0
FL_2010_000249_IND,0.5512788150173181,113.0
FL_2006_000070_IND,0.5744669571590184,60.0
FL_2014_000089_IND,0.5693745034165175,69.0
FL_2003_000316_IND,0.576522194279129,57.0
India: Floods _ Jun 1994,0.561823960354209,84.0
FL_1998_000392_IND,0.5757793352456311,59.0
FL_1997_000337_IND,0.5533411506708572,110.0
India_Manipur: Floods _ Apr 2004,0.5469277712142115,125.0
FL_2015_000064_IND,0.5666343228320554,73.0
FL_1999_000371_IND,0.5544293351822014,107.0
India: Floods _ Aug 2003,0.5763715762778384,58.0
FL_2005_000104_IND,0.5410122969045937,139.0
India: Floods _ Nov 1992,0.544031101667164,131.0
FL_2020_000164_IND,0.5503257031266103,114.0
FL_2002_000374_IND,0.5551378638913729,103.0
FL_2022_000213_IND,0.5494289484140196,118.0
FL_2012_000110_IND,0.539041455879784,145.0
India: Floods _ Jun 1996,0.5737150739043353,63.0
FL_2008_000089_IND,0.5299561515057667,169.0
FF_2007_000083_IND,0.5547117409236362,106.0
India: Floods _ Aug 1988,0.560483945109582,88.0
FL_2010_000125_IND,0.5420328444407659,136.0
FL_2011_000084_IND,0.5593270178287479,93.0
FL_2009_000122_IND,0.5404545463968106,141.0
FL_2021_000161_IND,0.563751453546266,79.0
FL_2005_000182_IND,0.5391458100422106,144.0
India: Floods _ Oct 1996,0.5739040343471393,61.0
India: Floods _ Jul 1993,0.5388196425432457,148.0
FL_2013_000070_IND,0.5432604746981979,133.0
FL_2018_000134_IND,0.5699997904941763,68.0
FL_2019_000084_IND,0.5387354006847374,149.0
India: Floods _ Oct 1988,0.5590328942637012,94.0
India: Floods _ Aug 1989,0.5501166276125165,115.0
FF_2020_000055_SOM,0.24581968065682633,1455.0
FL_2023_000190_SOM,0.2796296330071346,1396.0
FF_2018_000041_SOM,0.3022465732547259,1322.0
FL_2015_000145_SOM,0.3113894248265918,1279.0
FF_2020_000221_SOM,0.27430997509100247,1410.0
FF_2025_000055_SOM,0.27419684534352884,1413.0
FL_2008_000091_SOM,0.26153666503728745,1439.0
FL_1997_000265_SOM,0.2630855735891363,1436.0
FL_2016_000046_SOM,0.28936034458489623,1372.0
FL_2013_000141_SOM,0.28357575268428287,1388.0
FF_2009_000229_SOM,0.2748577686803758,1407.0
FL_2015_000040_SOM,0.28887506121948325,1373.0
FL_2021_000051_SOM,0.31460860284275416,1268.0
FL_2008_000185_SOM,0.28658948109092997,1379.0
FL_2012_000173_SOM,0.3042694484963805,1312.0
FL_2014_000150_SOM,0.2768184714007711,1406.0
FL_2024_000055_SOM,0.2897703424379661,1369.0
FL_2010_000041_SOM,0.30558114812221043,1303.0
FL_2011_000161_SOM,0.256346649554702,1443.0
FF_2023_000044_SOM,0.25261719894577217,1447.0
FL_2019_000133_SOM,0.23215223721672307,1466.0
FL_2013_000052_SOM,0.28428630583631964,1387.0
FL_2008_000191_CRI,0.3134920700888427,1273.0
FL_2005_000166_CRI,0.35603326892251264,1074.0
FL_2002_000755_CRI,0.35490191164743456,1082.0
FL_2005_000001_CRI,0.3305198233964375,1211.0
FL_2007_000176_CRI,0.38953627610496905,886.0
FL_2015_000079_CRI,0.33642242141683754,1183.0
FL_1999_000350_CRI,0.26707897761116944,1424.0
FL_2004_000023_CRI,0.34627904700680934,1126.0
FL_2008_000232_CRI,0.370974721522082,979.0
1,0.3004601653523271,1332.0
FL_2021_000092_CRI,0.32508011987233226,1231.0
FL_2024_000215_CRI,0.3420731906308184,1151.0
FL_2002_000263_CRI,0.3423490541640258,1149.0
1993_12_01T00:00:00+00:00,0.36246329472924954,1026.0
FL_2010_000251_CRI,0.37469787246077924,957.0
FL_2004_000120_CRI,0.314531393289771,1269.0
FL_2012_000126_PAN,0.3467221311481224,1124.0
FL_2018_000165_CRI,0.3018795871258766,1326.0
FL_2022_000348_CRI,0.36097466417115964,1035.0
Costa Rica: Floods _ Feb 1988,0.31680491505278013,1263.0
FL_2009_000039_CRI,0.37379057776197006,962.0
FL_2005_000081_CHN,0.3620791930704762,1029.0
FL_2004_000094_CHN,0.4148150089835029,765.0
China: Floods _ May 1987,0.294891335557029,1354.0
FL_2003_000331_CHN,0.36485979705016636,1013.0
China: Floods _ Jun 1990,0.3977950378597054,840.0
China: Floods _ Jul 2018,0.35037351818142154,1103.0
FL_2013_000054_CHN,0.3743754372450535,960.0
China: Floods in Shanxi Province _ Aug 1988,0.35788462013167816,1059.0
FL_2003_000227_CHN,0.41801324145026664,749.0
ST_2010_000085_CHN,0.4041866108354385,809.0
China: Floods _ Aug 1985,0.2696915921331638,1420.0
FL_2004_000031_CHN,0.36118305413845475,1034.0
FF_2008_000072_CHN,0.3796810660713513,937.0
FL_2011_000059_CHN,0.38939525128911406,888.0
FF_2007_000070_CHN,0.34742639596706915,1115.0
FL_1998_000165_CHN,0.33131974540071485,1210.0
FL_2007_000077_CHN,0.3849341411740157,907.0
FL_2017_000075_CHN,0.3821685434810751,921.0
FL_2000_000302_CHN,0.40962947051991916,790.0
China: Floods and Landslides _ Jul 1989,0.4109320871447233,785.0
FL_2006_000068_CHN,0.3854367619963923,905.0
FL_2004_000043_IND,0.3821008011843096,922.0
FL_1997_000144_CHN,0.3681111283125281,997.0
China: Floods in Zhejiang Province _ Aug 1988,0.3894643355925983,887.0
FL_1991_000011_CHN,0.4007028102537381,826.0
FL_2009_000113_CHN,0.2995014464940169,1336.0
FL_2016_000044_CHN,0.32408783237589744,1235.0
ST_2012_000077_CHN,0.393040909455882,864.0
FL_2002_000350_CHN,0.40314410736959816,816.0
FL_1999_000651_CHN,0.35694907388194913,1066.0
China: Floods _ May 1988,0.38462522697868395,910.0
China: Floods _ Jun 1994,0.31950941890623763,1249.0
FL_2013_000125_BFA,0.49322925884970964,338.0
FL_2003_000389_BFA,0.49664949703681666,318.0
