Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4672871679252595,1192.0
FL_2023_000217_PRY,0.5077352870051528,926.0
Paraguay: Floods _ Jun 1995,0.5017263263581645,977.0
FL_2018_000419_PRY,0.51433861770705,876.0
FL_2012_000056_PRY,0.501406818960547,979.0
FL_2014_000030_PRY,0.5127918298435091,885.0
FL_1997_000299_PRY,0.4995747361477871,990.0
FL_2019_000033_PRY,0.4855435773063784,1083.0
Paraguay: Floods _ Mar 1995,0.47910577225302065,1123.0
FL_2013_000076_PRY,0.47699170973708105,1134.0
subject,0.4031998057753198,1431.0
FL_2015_000171_PRY,0.5103738067486,907.0
FL_2002_000296_PRY,0.4910061752379736,1042.0
ST_2015_000041_PRY,0.4588338306550418,1228.0
FL_2023_000041_PRY,0.4544081652465424,1247.0
FL_2009_000226_PRY,0.4766784058570164,1139.0
Paraguay: Floods _ Feb 1990,0.4500033015847954,1267.0
FL_2021_000213_STP,0.8458454463944792,26.0
FL_2019_000034_BOL,0.4958684313085895,1019.0
FL_2018_000015_BOL,0.5108185366696288,901.0
FL_2007_000012_BOL,0.4797384315272317,1119.0
FL_2001_000029_BOL,0.5074156534065557,929.0
FL_2006_000010_BOL,0.5125105021126459,889.0
FL_2007_000231_BOL,0.47930263441436516,1121.0
FL_2015_000008_BOL,0.48746130500361823,1065.0
FL_2024_000021_BOL,0.5165102324978539,858.0
FL_2000_000130_BOL,0.5065911361056306,933.0
FL_2019_000032_BOL,0.4650149638025687,1199.0
FL_2003_000621_BOL,0.536150479438338,702.0
FL_2013_000020_BOL,0.5001226480714396,985.0
FL_2011_000020_BOL,0.5355878638693234,708.0
FL_2010_000008_BOL,0.5194442303968128,822.0
FL_2002_000110_BOL,0.513021377969258,884.0
Bolivia: Chapare River Floods _ Jan 1987,0.48264882174867785,1099.0
FL_1997_000022_BOL,0.5176445990210943,841.0
Bolivia: Floods _ Jan 1986,0.5497429141830628,603.0
Bolivia: Landslides/Floods _ Mar 1994,0.5060378862212386,936.0
FL_2009_000045_BOL,0.5077523324031037,925.0
FL_2014_000008_BOL,0.48566864802283183,1082.0
FL_2003_000012_BOL,0.5316725388951784,732.0
FL_2012_000005_BOL,0.5199992112754037,818.0
FL_2025_000038_BOL,0.4864907912046843,1074.0
FL_2019_000079_BGD,0.538902571218582,681.0
FL_2023_000157_BGD,0.5906915858589556,360.0
Bangladesh: Floods _ Jul 1996,0.5916366840644607,356.0
FL_2020_000161_BGD,0.5800404562622626,410.0
FL_2007_000129_PAK,0.5789281730791622,418.0
Bangladesh: Floods _ Jul 1993,0.5730770045463517,454.0
FL_1998_000203_BGD,0.5174075940111319,844.0
FL_2014_000117_BGD,0.5677939571373178,485.0
Bangladesh: Floods _ Jul 1999,0.5816317023567205,397.0
FL_2005_000176_BGD,0.5913950940316007,357.0
FL_2011_000093_BGD,0.578493117222047,422.0
FL_2008_000096_BGD,0.5807387244430303,407.0
FL_2021_000097_BGD,0.5760964593661717,438.0
FL_2006_000131_BGD,0.5479896479776384,612.0
FL_2000_000617_BGD,0.5478334438182201,613.0
FL_2015_000068_BGD,0.594454722820418,350.0
Bangladesh: Floods _ Aug 1988,0.5731747525248414,453.0
FF_2007_000080_BGD,0.5784951814930205,421.0
Bangladesh: Floods _ Aug 1986,0.5695307777270384,469.0
Bangladesh: Floods _ Jun 1993,0.565468746335876,498.0
FL_2004_000044_BGD,0.562929702622938,514.0
FL_1997_000164_BGD,0.5621317954971012,517.0
FL_2016_000075_BGD,0.580128476081981,409.0
Bangladesh: Floods _ Jul 1988,0.6060782277867593,306.0
FL_2010_000114_BGD,0.6085172829115851,301.0
Bangladesh: Floods _ Sep 1986,0.6043545819666609,316.0
Bangladesh: Floods _ Aug 1989,0.560015419966434,531.0
FL_2009_000123_BGD,0.6044278926836568,315.0
FL_2018_000105_BGD,0.5848175823761106,384.0
FL_2002_000402_BGD,0.5630666423679765,511.0
FL_2002_000536_MMR,0.6101389266161668,293.0
Bangladesh: Floods _ Jul 1991,0.5758803444065737,439.0
Bangladesh: Floods _ May 1984,0.5449970885452681,640.0
FL_2012_000106_BGD,0.5897598525037071,367.0
FL_2024_000088_BGD,0.5609153477155109,524.0
FL_2022_000217_BGD,0.573456015264912,452.0
FL_2006_000092_KOR,0.644517902898338,143.0
FL_2001_000335_KOR,0.6001710421635145,331.0
FL_1999_000247_KOR,0.6197755267766341,254.0
FL_1998_000219_KOR,0.6204015184132881,250.0
FL_2009_000190_TUR,0.4340912588506372,1333.0
FL_2006_000156_TUR,0.49348864697543926,1029.0
Turkey: Floods _ Nov 1995,0.46036565708689753,1218.0
FL_1998_000255_TUR,0.42007911789681796,1385.0
FL_2023_000040_TUR,0.48046421464170036,1114.0
FF_2009_000159_PAK,0.5295537692024785,746.0
FL_2020_000185_PAK,0.5253189274323689,783.0
FF_2008_000123_PAK,0.5025368686098823,969.0
FL_2010_000141_PAK,0.5119073764728295,895.0
FF_2012_000148_PAK,0.49995856996396404,988.0
FF_2013_000090_PAK,0.5024864696062629,970.0
FL_2015_000017_PAK,0.5184647726353414,833.0
Pakistan: Floods _ Aug 1996,0.5180539166179234,839.0
FL_1998_000048_PAK,0.5264900148017073,776.0
FL_2019_000087_PAK,0.5127613953535685,886.0
FL_2017_000017_PAK,0.505294705563597,945.0
Pakistan: Floods _ Jul 1993,0.5055123992934778,944.0
FL_2014_000122_PAK,0.46837943764170187,1189.0
FL_1992_000008_PAK,0.5295380497437998,747.0
FF_2007_000082_PAK,0.5246971911146334,786.0
Pakistan: Floods _ Feb 1991,0.5056966147203061,941.0
FL_2003_000359_PAK,0.4758729359265576,1142.0
FL_2016_000066_PAK,0.5281424253447649,756.0
FL_2022_000254_PAK,0.5200173303812787,816.0
FL_2024_000118_PAK,0.5222841830526059,797.0
FL_2016_000021_PAK,0.5195092633400986,821.0
FL_2005_000108_PAK,0.5155762817927388,866.0
FL_2024_000020_PAK,0.49234172223335343,1037.0
FL_2023_000119_PAK,0.5268938293023906,769.0
FL_2001_000376_PAK,0.5032593691139674,960.0
FL_2011_000109_PAK,0.5091652031476244,917.0
FL_2009_000139_PAK,0.48631211451520057,1077.0
FL_2005_000038_MDG,0.7592896620113221,27.0
ST_2022_000138_MDG,0.7524793978646119,28.0
2012_000020_MDG,0.7389969191928983,30.0
FL_2020_000019_MDG,0.7377135100356207,31.0
FL_2003_000037_MDG,0.748613049669749,29.0
FL_2013_000004_KEN,0.9064464018570075,13.0
FL_2009_000218_KEN,0.9039178425899362,16.0
FL_2024_000045_KEN,0.9091252034963715,9.0
FL_2011_000115_KEN,0.9086608010472567,10.0
FL_2002_000265_KEN,0.9023415656923437,19.0
FL_2010_000003_KEN,0.9081300371907145,11.0
FL_2004_000020_KEN,0.9121295202706039,6.0
FF_2012_000062_KEN,0.9018791713156447,20.0
FL_2008_000217_KEN,0.9172362531377978,2.0
FL_2015_000169_KEN,0.9108229443784757,8.0
FL_2021_000038_KEN,0.8982322668557177,23.0
FL_2023_000216_KEN,0.9062067340413202,14.0
FL_2013_000038_KEN,0.9071534564762435,12.0
FL_1997_000255_KEN,0.8955871423168038,24.0
FL_2020_000128_KEN,0.8989075190277686,22.0
FF_2023_000051_KEN,0.9037454987504829,17.0
FL_2019_000138_KEN,0.8917307646069388,25.0
FL_2007_000139_KEN,0.9015649448980261,21.0
FF_2008_000092_KEN,0.9042725984499409,15.0
FL_2007_000076_KEN,0.9117527987225893,7.0
FF_2018_000030_KEN,0.919321674785949,1.0
FL_2010_000174_KEN,0.9161944753337792,3.0
FF_2006_000046_KEN,0.903233581376769,18.0
FL_2016_000042_KEN,0.9133232465504789,5.0
FL_2007_000221_KEN,0.9146006626300991,4.0
FL_2025_000045_COD,0.5672706584402178,488.0
FL_2024_000009_COD,0.6134719583746839,275.0
FL_1999_000531_COD,0.6219568257411173,246.0
FL_2012_000192_COD,0.5952941700773362,346.0
ST_2012_000064_COD,0.5283025030931222,755.0
FL_2010_000062_COD,0.5551857103611927,572.0
FL_2020_000052_COD,0.5661912320115251,493.0
FL_2010_000151_COD,0.5428585380843141,648.0
FL_2006_000047_COD,0.5903240482312367,362.0
FL_2016_000124_COD,0.5763659371359344,436.0
FL_2015_000164_COD,0.5149721233913724,870.0
FL_1997_000295_COD,0.5584230768791225,542.0
FL_2011_000187_COD,0.584602929378957,386.0
FL_2022_000376_COD,0.5421629391838099,658.0
FL_2018_000004_COD,0.510792864832313,902.0
FL_2007_000197_COD,0.5345951416454842,717.0
FL_2020_000206_COD,0.5651528322385072,500.0
FL_2019_000153_COD,0.5913235971293693,358.0
FF_2008_000186_COD,0.5611101278037542,521.0
FL_2023_000067_COD,0.5474439702514062,616.0
FL_2019_000020_COL,0.5461258430850476,625.0
FL_2015_000056_COL,0.5118454678866224,896.0
FL_2003_000578_COL,0.503340052736516,958.0
FL_2023_000232_COL,0.5100796601453146,908.0
FL_2008_000197_COL,0.5773718412392003,430.0
1987_07_01_CO_Flood,0.5518929581930633,589.0
FL_2013_000145_COL,0.5265656133094523,775.0
FL_2010_000076_COL,0.5466521457524014,621.0
FL_2005_000020_COL,0.5120202296457877,894.0
FL_2007_000068_COL,0.48476937172258106,1087.0
FL_2020_000242_COL,0.5375902712474787,688.0
FL_2009_000241_COL,0.5405169753328302,667.0
FL_2008_000076_COL,0.5177543943728158,840.0
1986_07_01T00:00:00+00:00,0.5105139593047678,906.0
FL_2012_000183_COL,0.5088841864490711,918.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.5451281211819115,639.0
LS_2010_000190_COL,0.5201873658138261,814.0
FL_2018_000058_COL,0.5307533927762721,740.0
FL_2006_000044_COL,0.5172157928119343,850.0
FL_2013_000030_COL,0.49353532611960166,1028.0
FL_2014_000004_COL,0.49586860597861054,1018.0
FL_2012_000042_COL,0.5637876332099914,506.0
FL_2014_000163_COL,0.49013773197906896,1044.0
1996_07_01_CO_Flood,0.5120610479959047,893.0
FL_2000_000265_COL,0.525652346031253,780.0
FL_2011_000170_COL,0.5615329437378611,519.0
OT_2004_000112_COL,0.5173970805745031,845.0
