Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.39321877661443405,1268.0
FL_2023_000217_PRY,0.4406018162403688,1070.0
Paraguay: Floods _ Jun 1995,0.36976894080103917,1347.0
FL_2018_000419_PRY,0.4302642130408637,1110.0
FL_2012_000056_PRY,0.4534717076194622,1023.0
FL_2014_000030_PRY,0.39189565026338435,1273.0
FL_1997_000299_PRY,0.4270897312508623,1124.0
FL_2019_000033_PRY,0.40214796853424306,1235.0
Paraguay: Floods _ Mar 1995,0.36763648821929945,1355.0
FL_2013_000076_PRY,0.37596426100916014,1329.0
subject,0.2890637434121396,1499.0
FL_2015_000171_PRY,0.3954451258429742,1260.0
FL_2002_000296_PRY,0.3860150659885716,1288.0
ST_2015_000041_PRY,0.4089613712844794,1209.0
FL_2023_000041_PRY,0.3622293049043704,1372.0
FL_2009_000226_PRY,0.4406204186211914,1069.0
Paraguay: Floods _ Feb 1990,0.38609442698026886,1287.0
FL_2021_000213_STP,0.7282090748218926,28.0
FL_2019_000034_BOL,0.3692970892214149,1350.0
FL_2018_000015_BOL,0.43261672317152444,1093.0
FL_2007_000012_BOL,0.39116213263157196,1276.0
FL_2001_000029_BOL,0.4044540427271698,1228.0
FL_2006_000010_BOL,0.41364239884411336,1191.0
FL_2007_000231_BOL,0.37610307587089026,1328.0
FL_2015_000008_BOL,0.4072761330005736,1215.0
FL_2024_000021_BOL,0.37577422519903925,1330.0
FL_2000_000130_BOL,0.37450771958719564,1334.0
FL_2019_000032_BOL,0.35624673354927067,1389.0
FL_2003_000621_BOL,0.43847379207301923,1077.0
FL_2013_000020_BOL,0.39830785560253296,1250.0
FL_2011_000020_BOL,0.4304565255763718,1108.0
FL_2010_000008_BOL,0.3393881018030418,1433.0
FL_2002_000110_BOL,0.39270980296730573,1270.0
Bolivia: Chapare River Floods _ Jan 1987,0.3524618509707123,1399.0
FL_1997_000022_BOL,0.41495128182110275,1187.0
Bolivia: Floods _ Jan 1986,0.4256270856110114,1132.0
Bolivia: Landslides/Floods _ Mar 1994,0.4200321965748566,1165.0
FL_2009_000045_BOL,0.39181215382927914,1274.0
FL_2014_000008_BOL,0.3786072899631646,1316.0
FL_2003_000012_BOL,0.41056433808221454,1205.0
FL_2012_000005_BOL,0.41871228259067894,1170.0
FL_2025_000038_BOL,0.4225197227098883,1150.0
FL_2019_000079_BGD,0.44075426151573066,1068.0
FL_2023_000157_BGD,0.4448076434594799,1052.0
Bangladesh: Floods _ Jul 1996,0.4325868910922913,1094.0
FL_2020_000161_BGD,0.456190670284484,1011.0
FL_2007_000129_PAK,0.4683611678854024,966.0
Bangladesh: Floods _ Jul 1993,0.43125362172634196,1102.0
FL_1998_000203_BGD,0.377899360603706,1318.0
FL_2014_000117_BGD,0.3889648874889603,1280.0
Bangladesh: Floods _ Jul 1999,0.45603183254368795,1012.0
FL_2005_000176_BGD,0.45692175728148193,1007.0
FL_2011_000093_BGD,0.4731141762160353,948.0
FL_2008_000096_BGD,0.42083256776783096,1159.0
FL_2021_000097_BGD,0.42061246606903024,1161.0
FL_2006_000131_BGD,0.45340623098647687,1024.0
FL_2000_000617_BGD,0.45523379951720305,1014.0
FL_2015_000068_BGD,0.46650558776667395,975.0
Bangladesh: Floods _ Aug 1988,0.43561720175275,1082.0
FF_2007_000080_BGD,0.44797501615406865,1046.0
Bangladesh: Floods _ Aug 1986,0.4054203667813689,1225.0
Bangladesh: Floods _ Jun 1993,0.41635127984927134,1179.0
FL_2004_000044_BGD,0.4176608659455209,1172.0
FL_1997_000164_BGD,0.4331355849055254,1092.0
FL_2016_000075_BGD,0.4292944944463536,1113.0
Bangladesh: Floods _ Jul 1988,0.4491025354353313,1041.0
FL_2010_000114_BGD,0.4480358503555442,1045.0
Bangladesh: Floods _ Sep 1986,0.4171902018594523,1175.0
Bangladesh: Floods _ Aug 1989,0.42075614635770753,1160.0
FL_2009_000123_BGD,0.43598370610615755,1081.0
FL_2018_000105_BGD,0.4509846060082535,1032.0
FL_2002_000402_BGD,0.4161916507626805,1180.0
FL_2002_000536_MMR,0.4728301393445805,949.0
Bangladesh: Floods _ Jul 1991,0.4293259549688848,1112.0
Bangladesh: Floods _ May 1984,0.4296677135400374,1111.0
FL_2012_000106_BGD,0.4461292427471697,1050.0
FL_2024_000088_BGD,0.40724686694586526,1216.0
FL_2022_000217_BGD,0.44243257361858124,1060.0
FL_2006_000092_KOR,0.5489258582886597,504.0
FL_2001_000335_KOR,0.4961421667513012,823.0
FL_1999_000247_KOR,0.5215064586823265,664.0
FL_1998_000219_KOR,0.5117979431924576,725.0
FL_2009_000190_TUR,0.3231263741923071,1468.0
