Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2022_000328_HND,0.7944602
FL_1999_000324_HND,0.78467023
FL_2012_000083_HND,0.7828392
FL_2001_000117_PER,0.7818376
FL_2011_000039_USA,0.7773583
FL_2017_000002_MYS,0.7729988
FL_2007_000091_AFG,0.76400465
FL_2007_000222_MYS,0.7627954
FL_2011_000196_IDN,0.762299
FL_2004_000059_AFG,0.7564639
FL_2008_000191_HND,0.7558417
FL_2012_000118_AFG,0.75461113
FL_2011_000005_HND,0.75191957
FL_2012_000192_COD,0.75007415
FL_2006_000001_IDN,0.7481033
FL_2011_000190_AGO,0.7479326
FL_2002_000026_SEN,0.74712914
FL_2010_000242_AGO,0.7461794
FL_2016_000097_PRK,0.7445605
FL_2009_000242_IRQ,0.7442179
FL_1997_000301_UGA,0.7431189
FL_2014_000168_MYS,0.742664
FL_2007_000011_ZMB,0.74248815
FL_1999_000235_IRN,0.7420814
FL_2016_000102_SEN,0.7419499
FL_2010_000136_YEM,0.7414923
FL_2015_000011_PER,0.7414455
FL_2006_000192_IDN,0.74115396
FL_2006_000124_UGA,0.7410313
FL_2021_000153_UGA,0.7408388
FL_2002_000373_GHA,0.74006736
FL_1999_000413_CAF,0.73944616
FL_2009_000164_SEN,0.73892874
FL_2003_000481_HND,0.7378189
FL_2020_000191_AFG,0.73612905
FL_2020_000153_BIH,0.73527867
FL_2007_000217_SRB,0.73526967
FL_2016_000089_SEN,0.73506033
FL_2011_000187_COD,0.73493975
FL_2007_000113_GMB,0.7343139
FL_2021_000198_COG,0.73355186
FL_2021_000126_MYS,0.73329806
FL_2009_000171_AFG,0.73281693
FL_2019_000022_IRN,0.73268425
FL_2011_000198_PER,0.7326113
FL_2021_000098_MNG,0.73239774
FL_2009_000187_CIV,0.73237383
FL_2006_000056_AFG,0.73134476
FL_2001_000146_AGO,0.7312118
FL_2007_000138_UGA,0.7308998
FL_2004_000022_AFG,0.730273
FL_2011_000118_GTM,0.73016846
FL_2006_000031_PER,0.7297176
FL_2003_000051_PER,0.7294506
FL_2011_000049_IRQ,0.7286396
FL_2012_000125_PHL,0.72818714
FL_2004_000052_JPN,0.72798085
FL_1999_000315_GHA,0.7278408
FL_2009_000170_MRT,0.7275326
FL_2012_000068_DOM,0.72585905
FL_2005_000094_AFG,0.72564113
FL_2002_000077_PER,0.72563297
FL_2020_000154_CIV,0.725326
FL_2010_000262_ECU,0.72502744
FL_2017_000095_GHA,0.7244579
FL_2019_000052_SRB,0.723961
FL_2013_000041_GHA,0.72318506
FL_2015_000064_IND,0.7231115
FL_2005_000132_MKD,0.7229775
FL_1999_000363_NIC,0.7225005
FL_2001_000314_GHA,0.7220329
FL_2007_000139_KEN,0.721956
FL_2015_000110_ARG,0.7218256
FL_2009_000007_ZWE,0.72112036
FL_2010_000049_AGO,0.7210778
FL_2008_000074_BFA,0.7208498
FL_2013_000038_KEN,0.7208425
FL_2017_000160_HND,0.7201723
FL_2002_000265_KEN,0.7200263
FL_2009_000268_AGO,0.7196978
FL_2012_000153_IDN,0.71952856
FL_2008_000213_PER,0.7194103
FL_2011_000180_PAN,0.7193799
FL_2015_000065_GHA,0.7191713
FL_2008_000031_PER,0.71752983
FL_2012_000196_COG,0.71740234
FL_2014_000073_RUS,0.71739244
FL_2020_000029_TZA,0.71679866
FL_2019_000135_GHA,0.7162839
FL_2014_000009_TZA,0.7162811
FL_2012_000173_SOM,0.71626776
FL_2009_000261_PER,0.7159927
FL_2010_000195_MLI,0.7157539
FL_2021_000019_PER,0.7155525
FL_2019_000034_BOL,0.7153264
FL_2011_000164_CAF,0.7149273
FL_2022_000275_UGA,0.71485627
FL_2010_000046_MOZ,0.7147526
FL_2007_000093_SDN,0.71473575
FL_1998_000085_IRN,0.71464634
FL_2007_000106_IDN,0.7136079
FL_2009_000044_BIH,0.7133403
FL_2014_000115_NER,0.71332455
FL_2009_000133_ZAF,0.71328324
FL_2012_000013_ECU,0.71321976
FL_2018_000030_KEN,0.71285343
FL_1999_000160_PER,0.7123738
FL_2019_000163_UGA,0.71217406
FL_2010_000076_COL,0.7118782
FL_2017_000054_BFA,0.71167
FL_2011_000156_HTI,0.71155214
FL_2010_000094_HUN,0.7115338
FL_2007_000151_TCD,0.71149755
FL_2006_000029_NAM,0.71144766
FL_2017_000078_NER,0.711142
FL_2010_000085_CHN,0.7110956
FL_2013_000070_IND,0.7106302
FL_2006_000018_IRQ,0.71009713
FL_2004_000051_NPL,0.7098544
FL_2008_000180_NIC,0.709568
FL_1998_000053_ZMB,0.7095113
FL_2013_000019_PER,0.70898473
FL_2002_000479_CZE,0.70867383
FL_1999_000286_GMB,0.7086569
FL_2002_000110_BOL,0.7085863
FL_2006_000009_GUY,0.7085035
FL_2013_000119_MRT,0.70811194
FL_2007_000154_MEX,0.7075765
FL_2010_000125_IND,0.707531
FL_2019_000067_UGA,0.7072481
FL_2005_000002_GUY,0.706983
FL_2006_000106_MRT,0.706982
FL_2013_000098_NER,0.7069481
FL_2016_000050_LKA,0.70681894
FL_2019_000160_COG,0.70680976
FL_2009_000229_SOM,0.70642143
FL_1997_000137_CHL,0.70629704
FL_2012_000132_NPL,0.70625114
FL_2020_000055_SOM,0.70595956
FL_2019_000015_PER,0.7059229
FL_2007_000083_IND,0.7057957
FL_2013_000113_ROM,0.70571923
FL_2019_000131_CIV,0.7056984
FL_1998_000080_ARG,0.7056331
FL_2021_000032_TLS,0.70562035
FL_2014_000059_SRB,0.7055979
FL_2008_000186_COD,0.70557547
FL_2012_000050_AFG,0.70548904
FL_2018_000014_ARG,0.7054722
FL_2001_000571_PRK,0.705238
FL_2008_000217_KEN,0.7047628
FL_2001_000453_IRN,0.70461464
FL_2012_000141_NER,0.7046015
FL_2013_000024_MKD,0.70437247
FL_2005_000168_NPL,0.7035552
FL_1998_000221_NPL,0.70347047
FL_1999_000391_MEX,0.7033339
FL_2003_000647_TLS,0.7033305
FL_1998_000219_KOR,0.70279056
FL_2012_000066_COM,0.70276964
FL_2003_000293_TLS,0.70250463
FL_2009_000176_MLI,0.7021549
FL_2020_000140_IDN,0.70188606
FL_2009_000159_PAK,0.701601
FL_2001_000180_IRN,0.7008625
FL_2016_000085_MLI,0.7008363
FL_2022_000002_IRN,0.7007758
FL_2022_000316_NER,0.7007448
FL_1991_000010_PHL,0.70037603
FL_2000_000408_VNM,0.700284
FL_1997_000265_SOM,0.6998949
FL_2005_000064_ETH,0.6998725
FL_2021_000108_SSD,0.6997881
FL_2020_000125_TZA,0.69926167
FL_2013_000118_BEN,0.6992289
FL_2010_000023_ECU,0.69921875
FL_2012_000115_RUS,0.69917905
FL_2016_000123_DOM,0.69908905
FL_2011_000106_GHA,0.6985483
FL_2019_000138_KEN,0.69840366
FL_2010_000160_NPL,0.69840264
FL_2001_000390_POL,0.69836384
FL_2008_000018_ECU,0.69833654
FL_2018_000158_TUN,0.69832385
FL_2022_000378_BIH,0.6981807
FL_2015_000088_IRN,0.69805855
FL_2021_000068_SUR,0.6980391
FL_2019_000118_SEN,0.6978823
FL_2015_000008_BOL,0.6978544
FL_2007_000165_BEN,0.6977879
FL_2007_000023_IDN,0.6977113
FL_2010_000150_MEX,0.6976479
FL_2014_000014_SYC,0.6976403
FL_2007_000131_SEN,0.6975767
FL_2019_000062_SSD,0.69723654
FL_1999_000233_SVK,0.6972189
FL_2012_000110_IND,0.6971785
FL_2012_000008_MOZ,0.6969284
FL_2001_000407_IDN,0.6969096
FL_2014_000048_KAZ,0.6968602
FL_2004_000020_KEN,0.69681996
FL_2016_000080_BFA,0.6967569
FL_1997_000207_SYC,0.6966836
FL_2008_000175_UGA,0.69660485
FL_2015_000145_SOM,0.696439
FL_2007_000063_MDV,0.6962904
FL_2018_000060_LKA,0.69625914
FL_2017_000083_GIN,0.69593203
FL_2001_000019_MOZ,0.6958877
FL_2020_000200_BFA,0.6957563
FL_2006_000189_MYS,0.69571126
FL_2015_000093_GUY,0.69561034
FL_2021_000173_IDN,0.6954396
FL_2011_000148_KHM,0.69540846
FL_2009_000135_MEX,0.6951062
FL_2008_000197_COL,0.69499516
FL_2005_000150_NGA,0.6948077
FL_2012_000128_SSD,0.6948018
FL_2006_000127_NPL,0.69471335
FL_2012_000148_PAK,0.69447577
FL_2009_000203_USA,0.6943767
FL_2015_000081_PHL,0.6943108
FL_2018_000194_TTO,0.6942717
FL_2011_000143_SSD,0.69423854
FL_2006_000013_MWI,0.69417
FL_2016_000068_NPL,0.69400233
FL_1997_000255_KEN,0.6939522
FL_2009_000218_KEN,0.6938284
FL_2007_000025_FJI,0.69378865
FL_1997_000025_MWI,0.6937093
FL_2010_000161_MYS,0.69364566
FL_2017_000014_PER,0.6935433
FL_2019_000170_RWA,0.6934709
FL_2018_000134_IND,0.6933774
FL_2015_000131_SLE,0.69324
FL_2012_000020_MDG,0.693168
FL_2011_000038_KAZ,0.6931199
FL_2013_000103_YEM,0.6930971
FL_2018_000041_SOM,0.69281155
FL_2020_000165_NPL,0.6927805
FL_2021_000050_AFG,0.692673
FL_2015_000146_DZA,0.692646
FL_2006_000050_ARG,0.6925055
FL_2022_000356_ETH,0.6925043
FL_2008_000198_BLZ,0.6924384
FL_2007_000227_ZWE,0.6924095
FL_1999_000240_SRB,0.6923845
FL_1999_000213_IND,0.6923051
FL_2016_000025_SRB,0.69208395
FL_2010_000019_MEX,0.69183934
FL_2016_000114_EGY,0.691775
FL_2013_000030_COL,0.6916381
FL_2004_000112_COL,0.69162786
FL_1997_000526_ECU,0.6916053
FL_2008_000035_PRY,0.6915344
FL_2013_000055_UGA,0.6913911
FL_2007_000111_GBR,0.69138145
FL_2007_000221_KEN,0.69091326
FL_2011_000042_COL,0.69080263
FL_2000_000255_ARG,0.6906257
FL_2007_000009_PER,0.6906
FL_2013_000052_SOM,0.69045866
FL_2021_000134_NPL,0.6903467
FL_2013_000045_AFG,0.69014126
FL_2019_000048_TZA,0.69004023
FL_2009_000174_NER,0.6898515
FL_2012_000210_MWI,0.6898351
FL_1999_000423_TGO,0.6898118
FL_2006_000030_SRB,0.6894637
FL_2003_000316_IND,0.6894231
FL_2005_000062_TZA,0.68934226
FL_1998_000392_IND,0.68925637
FL_2011_000021_MYS,0.6890625
FL_2021_000090_SDN,0.68898183
FL_2006_000010_BOL,0.68894064
FL_2006_000112_ETH,0.6888361
FL_2009_000172_BFA,0.68883187
FL_2009_000198_BEN,0.6888182
FL_2005_000117_GTM,0.68879664
FL_2011_000043_VCT,0.68873376
FL_2016_000026_PNG,0.6886551
FL_2023_000001_COG,0.6885716
FL_2022_000274_IRN,0.6885658
FL_1998_000112_TZA,0.6885313
FL_2021_000005_IDN,0.688425
FL_2011_000170_COL,0.688315
FL_2009_000240_PAN,0.68824476
FL_2009_000045_BOL,0.68820024
FL_2000_000048_BWA,0.68817735
FL_2010_000012_EGY,0.6881398
FL_2009_000139_PAK,0.6880363
FL_2011_000084_IND,0.68792355
FL_2010_000120_BRA,0.68791413
FL_2006_000046_KEN,0.6878177
FL_1998_000329_BEN,0.68770987
FL_2008_000088_USA,0.6876713
FL_2009_000101_PAN,0.6876409
FL_2018_000034_BLR,0.6875407
FL_2012_000063_RUS,0.6874778
FL_2013_000088_AFG,0.6874609
FL_2008_000230_CUB,0.68735516
FL_2011_000159_MEX,0.68723357
FL_2001_000025_MWI,0.6871712
FL_2002_000536_MMR,0.68715286
FL_2014_000053_TZA,0.68709826
FL_2010_000051_KAZ,0.68705964
FL_2007_000189_NIC,0.68704075
FL_2009_000127_BEN,0.6870254
FL_2008_000166_GTM,0.6870136
FL_2010_000240_VEN,0.6869604
FL_2021_000135_GIN,0.6869243
FL_2008_000089_IND,0.6868274
FL_1998_000179_RUS,0.6865373
FL_2007_000197_COD,0.6865066
FL_2005_000048_AFG,0.68645674
FL_2015_000042_RWA,0.6862439
FL_2014_000030_PRY,0.686233
FL_2010_000151_COD,0.6861223
FL_2007_000145_ETH,0.68606424
FL_2020_000206_COD,0.6860367
FL_2020_000240_ZMB,0.6859479
FL_2002_000500_IRN,0.6858969
FL_2000_000299_GTM,0.6857388
FL_2007_000132_BFA,0.68569064
FL_2009_000117_GTM,0.68563974
FL_2016_000011_TZA,0.68557644
FL_2019_000033_PRY,0.68540627
FL_2022_000379_MYS,0.68533313
FL_2008_000079_LKA,0.68532914
FL_2001_000620_DZA,0.68520075
FL_2018_000154_GHA,0.6851088
FL_2007_000107_TLS,0.6848612
FL_2014_000122_PAK,0.6848521
FL_2010_000037_HTI,0.6847836
FL_2002_000510_MEX,0.68463373
FL_2013_000104_MLI,0.68455386
FL_2005_000063_SRB,0.6845515
FL_2007_000076_KEN,0.68451655
FL_2008_000201_YEM,0.68447363
FL_2009_000245_SRB,0.6844193
FL_2015_000135_LKA,0.68388546
FL_2005_000020_COL,0.68369734
FL_2008_000094_ZAF,0.6833495
