Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2008_000191_CRI,0.9010924
FL_2016_000117_ALB,0.8217847
FL_2019_000033_PRY,0.813503
FL_2017_000174_ALB,0.8051735
FL_2009_000266_ALB,0.80422294
FL_2000_000302_CHN,0.80291057
FL_2015_000009_ALB,0.80253136
FL_2007_000077_CHN,0.8024322
FL_2020_000154_CIV,0.79832697
FL_2009_000113_CHN,0.79732454
FL_2010_000115_MMR,0.79521346
FL_1999_000071_MOZ,0.79509246
FL_2016_000071_LBR,0.7945082
FL_2012_000175_GMB,0.79358643
FL_2019_000081_MMR,0.79300255
FL_2012_000140_MMR,0.7917119
FL_2016_000009_IDN,0.79045177
FL_2013_000087_MMR,0.7900441
FL_2015_000080_MMR,0.78918266
FL_2011_000107_MMR,0.78880584
FL_2002_000321_HTI,0.78770816
FL_2018_000124_MMR,0.7873016
FL_2003_000020_MOZ,0.7871447
FL_2016_000058_MMR,0.7856869
FL_2015_000171_PRY,0.7854048
FL_2008_000038_ARG,0.7853167
FL_2004_000043_IND,0.78531337
FL_1997_000026_MOZ,0.78493035
FL_1997_000177_MMR,0.7845714
FL_2014_000098_SDN,0.7835932
FL_1997_000299_PRY,0.78308797
FL_2018_000120_NGA,0.78294146
FL_2010_000239_MNE,0.7821022
FL_2007_000100_MLI,0.7818544
FL_2021_000095_MMR,0.7815506
FL_2017_000075_CHN,0.78125596
FL_2009_000179_LBR,0.7808275
FL_2011_000157_SLV,0.7801939
FL_2000_000617_BGD,0.77943295
FL_2018_000110_CHN,0.77813864
FL_2010_000152_THA,0.77782404
FL_2017_000091_MMR,0.77759284
FL_1999_000350_CRI,0.7759159
FL_2005_000166_CRI,0.7758978
FL_2008_000035_PRY,0.7754487
FL_2004_000120_CRI,0.773852
FL_2022_000276_GMB,0.7735987
FL_2012_000172_MLI,0.7735739
FL_2014_000154_IDN,0.7735102
FL_2009_000177_GMB,0.7728375
FL_2021_000001_MYS,0.7728033
FL_2019_000031_SYR,0.7723434
FL_2016_000026_PNG,0.77215993
FL_2010_000072_RUS,0.7720643
FL_2015_000018_PNG,0.77174515
FL_2014_000107_MMR,0.7701435
FL_2014_000015_ZWE,0.7695358
FL_2002_000755_CRI,0.7694595
FL_2002_000536_MMR,0.7684693
FL_2022_000348_CRI,0.768429
FL_2009_000216_ITA,0.7682934
FL_2006_000047_COD,0.7680954
FL_2005_000137_CAF,0.76739645
FL_2011_000123_RUS,0.7656323
FL_2009_000095_TJK,0.7653771
FL_2007_000176_CRI,0.76467234
FL_2004_000023_CRI,0.764599
FL_2012_000077_CHN,0.76438034
FL_2022_000138_MDG,0.76390445
FL_2005_000109_PRK,0.76280266
FL_2009_000190_TUR,0.7617528
FL_2002_000350_CHN,0.76163703
FL_2006_000131_BGD,0.75972974
FL_2012_000123_PRK,0.7596618
FL_2005_000139_SLE,0.7593507
FL_2010_000120_BRA,0.7592874
FL_2020_000172_MMR,0.75842214
FL_2012_000066_COM,0.7583419
FL_2008_000072_CHN,0.7577851
FL_2004_000142_ALB,0.75777984
FL_2001_000335_KOR,0.7573359
FL_2012_000037_PSE,0.75728875
FL_2005_000067_IDN,0.75709826
FL_2013_000108_SSD,0.7568354
FL_2022_000277_SDN,0.7565441
FL_2022_000316_NER,0.75606096
FL_2003_000389_BFA,0.75559944
FL_2009_000102_HTI,0.7551706
FL_2021_000092_CRI,0.7550944
FL_2006_000125_THA,0.75497484
FL_2003_000331_CHN,0.75476193
FL_2017_000052_RUS,0.75443983
FL_2007_000209_PNG,0.7516023
FL_2019_000062_SSD,0.75099593
FL_2009_000129_CAF,0.7507648
FL_2016_000051_IDN,0.74998736
FL_2005_000153_THA,0.749738
FL_2014_000159_MAR,0.7495616
FL_2009_000039_CRI,0.74939036
FL_1999_000229_TJK,0.74935067
FL_2022_000309_SLE,0.74932057
FL_2018_000046_RUS,0.74911916
FL_2018_000105_BGD,0.7490604
FL_2011_000176_LKA,0.74830115
FL_2016_000132_FJI,0.7481303
FL_2010_000051_KAZ,0.7481179
