Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5731325659778357,229.0
FL_2023_000217_PRY,0.5694159036958846,251.0
Paraguay: Floods _ Jun 1995,0.5696378746524996,248.0
FL_2018_000419_PRY,0.572242927462299,235.0
FL_2012_000056_PRY,0.6592631870612823,21.0
FL_2014_000030_PRY,0.5489419312014823,380.0
FL_1997_000299_PRY,0.6125252170649766,77.0
FL_2019_000033_PRY,0.6046230090627995,94.0
Paraguay: Floods _ Mar 1995,0.5041439326309284,662.0
FL_2013_000076_PRY,0.584058312416442,173.0
subject,0.5138657553996032,589.0
FL_2015_000171_PRY,0.5887716572141853,150.0
FL_2002_000296_PRY,0.5759000793448186,210.0
ST_2015_000041_PRY,0.5496900213441669,374.0
FL_2023_000041_PRY,0.5311486240252454,473.0
FL_2009_000226_PRY,0.5305276979855456,481.0
Paraguay: Floods _ Feb 1990,0.6101165542897542,83.0
FL_2021_000213_STP,0.38582261817594843,1337.0
FL_2019_000034_BOL,0.6021509878486049,101.0
FL_2018_000015_BOL,0.5620798565783374,298.0
FL_2007_000012_BOL,0.533820623743656,459.0
FL_2001_000029_BOL,0.5846104050353305,169.0
FL_2006_000010_BOL,0.6001261782920189,111.0
FL_2007_000231_BOL,0.5231943095619676,534.0
FL_2015_000008_BOL,0.5568101857264858,329.0
FL_2024_000021_BOL,0.5655254669182477,275.0
FL_2000_000130_BOL,0.5897707401177379,143.0
FL_2019_000032_BOL,0.5808253561413691,188.0
FL_2003_000621_BOL,0.5428218778045872,410.0
FL_2013_000020_BOL,0.5653012828305193,278.0
FL_2011_000020_BOL,0.5549266461364659,340.0
FL_2010_000008_BOL,0.5408041932273187,423.0
FL_2002_000110_BOL,0.5502270617322663,372.0
Bolivia: Chapare River Floods _ Jan 1987,0.5551749438991703,338.0
FL_1997_000022_BOL,0.5447074873683357,402.0
Bolivia: Floods _ Jan 1986,0.5574255123794621,327.0
Bolivia: Landslides/Floods _ Mar 1994,0.5555487007654205,337.0
FL_2009_000045_BOL,0.5844442100349602,170.0
FL_2014_000008_BOL,0.5353116459524969,452.0
FL_2003_000012_BOL,0.5631795305027234,292.0
FL_2012_000005_BOL,0.5697847668376603,247.0
FL_2025_000038_BOL,0.549470293026707,378.0
FL_2019_000079_BGD,0.49296543844456,731.0
FL_2023_000157_BGD,0.4902365299756422,750.0
Bangladesh: Floods _ Jul 1996,0.5354374739258617,450.0
FL_2020_000161_BGD,0.5335548344526784,462.0
FL_2007_000129_PAK,0.5108350883347152,609.0
Bangladesh: Floods _ Jul 1993,0.4690971270349007,864.0
FL_1998_000203_BGD,0.5027052113630123,674.0
FL_2014_000117_BGD,0.4682267405091709,869.0
Bangladesh: Floods _ Jul 1999,0.4999959503061124,693.0
FL_2005_000176_BGD,0.4701988986998728,856.0
FL_2011_000093_BGD,0.46939494844739976,862.0
FL_2008_000096_BGD,0.511540678019741,603.0
FL_2021_000097_BGD,0.5001067587631954,692.0
FL_2006_000131_BGD,0.49943834746766036,695.0
FL_2000_000617_BGD,0.526783734056997,505.0
FL_2015_000068_BGD,0.5376204312196544,437.0
Bangladesh: Floods _ Aug 1988,0.5265559936244479,509.0
FF_2007_000080_BGD,0.4841889128987949,793.0
Bangladesh: Floods _ Aug 1986,0.507858152617586,636.0
Bangladesh: Floods _ Jun 1993,0.49447935795936837,721.0
FL_2004_000044_BGD,0.4965096018591768,713.0
FL_1997_000164_BGD,0.4902231502660506,751.0
FL_2016_000075_BGD,0.5284905799782784,494.0
Bangladesh: Floods _ Jul 1988,0.4876998610662069,765.0
FL_2010_000114_BGD,0.4902015043634078,753.0
Bangladesh: Floods _ Sep 1986,0.5151106214264005,576.0
Bangladesh: Floods _ Aug 1989,0.5128323507723827,593.0
FL_2009_000123_BGD,0.5157606463716394,572.0
FL_2018_000105_BGD,0.47470280461145664,839.0
FL_2002_000402_BGD,0.5062820552794975,647.0
FL_2002_000536_MMR,0.5325098401954866,467.0
Bangladesh: Floods _ Jul 1991,0.4975914846449052,707.0
Bangladesh: Floods _ May 1984,0.5010669186495781,687.0
FL_2012_000106_BGD,0.48044605440968935,814.0
FL_2024_000088_BGD,0.5259426285403874,515.0
FL_2022_000217_BGD,0.4816653124468335,807.0
FL_2006_000092_KOR,0.48439890756523485,791.0
FL_2001_000335_KOR,0.5175514815682936,564.0
FL_1999_000247_KOR,0.48024088670333676,816.0
FL_1998_000219_KOR,0.5142566287090484,583.0
FL_2009_000190_TUR,0.5653056181276196,277.0
FL_2006_000156_TUR,0.5667434612111661,270.0
Turkey: Floods _ Nov 1995,0.5798720981026004,192.0
FL_1998_000255_TUR,0.5898234045320314,142.0
FL_2023_000040_TUR,0.5578603903743713,326.0
FF_2009_000159_PAK,0.3192738107247617,1486.0
FL_2020_000185_PAK,0.30681545962539764,1499.0
FF_2008_000123_PAK,0.3217726091773385,1480.0
FL_2010_000141_PAK,0.2816404811929193,1517.0
FF_2012_000148_PAK,0.3310841300195775,1464.0
FF_2013_000090_PAK,0.3043021261619069,1503.0
FL_2015_000017_PAK,0.30566421714515435,1501.0
Pakistan: Floods _ Aug 1996,0.3378554578984344,1446.0
FL_1998_000048_PAK,0.3158250235539071,1489.0
FL_2019_000087_PAK,0.29769390224090986,1509.0
FL_2017_000017_PAK,0.32136489933467327,1483.0
Pakistan: Floods _ Jul 1993,0.2712662594718732,1520.0
FL_2014_000122_PAK,0.33005310899047147,1466.0
FL_1992_000008_PAK,0.28256309540563906,1516.0
FF_2007_000082_PAK,0.3492258702714658,1426.0
Pakistan: Floods _ Feb 1991,0.2991756809140921,1507.0
FL_2003_000359_PAK,0.3086074271292677,1496.0
FL_2016_000066_PAK,0.3268720140197885,1474.0
FL_2022_000254_PAK,0.300927093062974,1505.0
FL_2024_000118_PAK,0.30681373068044726,1500.0
FL_2016_000021_PAK,0.2889499209250186,1514.0
FL_2005_000108_PAK,0.2998305743324843,1506.0
FL_2024_000020_PAK,0.3075464712472054,1497.0
FL_2023_000119_PAK,0.32727485772570686,1470.0
FL_2001_000376_PAK,0.32588301102788775,1475.0
FL_2011_000109_PAK,0.3149696309539093,1490.0
FL_2009_000139_PAK,0.3468998312754795,1429.0
FL_2005_000038_MDG,0.45391144568881986,955.0
ST_2022_000138_MDG,0.46723677592520213,877.0
2012_000020_MDG,0.4488447513474545,985.0
FL_2020_000019_MDG,0.44750368138296226,998.0
FL_2003_000037_MDG,0.4484800750898459,990.0
FL_2013_000004_KEN,0.5141528700596136,584.0
FL_2009_000218_KEN,0.4953026008929017,717.0
FL_2024_000045_KEN,0.5037001610174547,665.0
FL_2011_000115_KEN,0.5140840425552011,587.0
FL_2002_000265_KEN,0.499054398406946,698.0
FL_2010_000003_KEN,0.5380016771991343,434.0
FL_2004_000020_KEN,0.5038865541347592,663.0
FF_2012_000062_KEN,0.5050404785219242,654.0
FL_2008_000217_KEN,0.5265337130752163,510.0
FL_2015_000169_KEN,0.4886536354930394,761.0
FL_2021_000038_KEN,0.49854556675047446,702.0
FL_2023_000216_KEN,0.5189722805822429,561.0
FL_2013_000038_KEN,0.48355029952669143,797.0
FL_1997_000255_KEN,0.5094147795802253,619.0
FL_2020_000128_KEN,0.509666838809548,618.0
FF_2023_000051_KEN,0.5121510209316119,600.0
FL_2019_000138_KEN,0.4971292974968534,710.0
FL_2007_000139_KEN,0.5083926171672788,629.0
FF_2008_000092_KEN,0.5291220768301306,489.0
FL_2007_000076_KEN,0.4972810071133681,709.0
FF_2018_000030_KEN,0.50243958905329,675.0
FL_2010_000174_KEN,0.5125406560507133,597.0
FF_2006_000046_KEN,0.5083533130680153,630.0
FL_2016_000042_KEN,0.5126854956594571,595.0
FL_2007_000221_KEN,0.528392776005357,496.0
FL_2025_000045_COD,0.5365147013278311,444.0
FL_2024_000009_COD,0.5307557395169566,478.0
FL_1999_000531_COD,0.5140926491911424,586.0
FL_2012_000192_COD,0.564579955446237,282.0
ST_2012_000064_COD,0.5515800434247061,362.0
FL_2010_000062_COD,0.5506620687263479,367.0
FL_2020_000052_COD,0.5083991578794314,628.0
FL_2010_000151_COD,0.5302370119459621,482.0
FL_2006_000047_COD,0.4740418282533208,846.0
FL_2016_000124_COD,0.525689292423697,517.0
FL_2015_000164_COD,0.5562882963477402,332.0
FL_1997_000295_COD,0.5496185259302129,375.0
FL_2011_000187_COD,0.5213216498130127,546.0
FL_2022_000376_COD,0.4897660835195226,756.0
FL_2018_000004_COD,0.5448021371985341,401.0
FL_2007_000197_COD,0.5759885266433444,209.0
FL_2020_000206_COD,0.5265892240611344,508.0
FL_2019_000153_COD,0.5556738473142446,335.0
FF_2008_000186_COD,0.5917664097737849,136.0
FL_2023_000067_COD,0.5216734150166166,544.0
FL_2019_000020_COL,0.6785123295630975,13.0
FL_2015_000056_COL,0.5894816185142377,147.0
FL_2003_000578_COL,0.6440386933317694,32.0
FL_2023_000232_COL,0.6334935422337321,46.0
FL_2008_000197_COL,0.6405641395742585,36.0
1987_07_01_CO_Flood,0.6374108393968044,40.0
FL_2013_000145_COL,0.670272089088187,15.0
FL_2010_000076_COL,0.6354290268797844,43.0
FL_2005_000020_COL,0.6400525350241637,37.0
FL_2007_000068_COL,0.5917233978868817,137.0
FL_2020_000242_COL,0.6417834501461741,35.0
FL_2009_000241_COL,0.6230390551179323,54.0
FL_2008_000076_COL,0.6215362555971893,59.0
1986_07_01T00:00:00+00:00,0.5890222996091456,149.0
FL_2012_000183_COL,0.644760494719111,31.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.6229213724946175,56.0
LS_2010_000190_COL,0.6535418006332399,24.0
FL_2018_000058_COL,0.577307152466265,202.0
FL_2006_000044_COL,0.6440343656791155,33.0
FL_2013_000030_COL,0.6525014945741159,26.0
FL_2014_000004_COL,0.6599037236512177,20.0
FL_2012_000042_COL,0.6632756806473389,17.0
FL_2014_000163_COL,0.6135614249964866,73.0
1996_07_01_CO_Flood,0.6621544033813371,19.0
FL_2000_000265_COL,0.6165986903135603,71.0
FL_2011_000170_COL,0.5872304405529647,156.0
OT_2004_000112_COL,0.6586624313766739,22.0
FL_2024_000117_COL,0.632187045089254,47.0
FL_2011_000042_COL,0.6462461577160159,30.0
FL_2005_000017_VEN,0.6097752041961408,84.0
FL_2024_000214_COL,0.6380885508828928,39.0
1988_08_01T00:00:00+00:00,0.6482262620708865,27.0
FL_2004_000021_COL,0.6257670656952923,51.0
FL_2005_000194_COL,0.6629006648330362,18.0
FL_2016_000060_IND,0.3102595109010244,1495.0
FL_2001_000332_IND,0.3211218328657423,1484.0
FL_2017_000064_IND,0.33030212151477656,1465.0
FL_2024_000109_IND,0.32993710284035943,1467.0
FL_2009_000217_IND,0.31622261390569695,1488.0
IND_2018_000413,0.3404827100870451,1441.0
FL_2023_000104_IND,0.3387145478332464,1443.0
FL_2000_000444_IND,0.36589707924712855,1399.0
FL_1999_000213_IND,0.3425037516212187,1434.0
FL_2010_000249_IND,0.36186005062133275,1407.0
FL_2006_000070_IND,0.3271134696468677,1472.0
FL_2014_000089_IND,0.3276137235648856,1469.0
FL_2003_000316_IND,0.31133147309942766,1494.0
India: Floods _ Jun 1994,0.32158507947377624,1482.0
FL_1998_000392_IND,0.31200859087680066,1492.0
FL_1997_000337_IND,0.33329054524754487,1457.0
India_Manipur: Floods _ Apr 2004,0.32386261548500705,1478.0
FL_2015_000064_IND,0.31146490164700247,1493.0
FL_1999_000371_IND,0.3320925139070149,1463.0
India: Floods _ Aug 2003,0.2990377032220516,1508.0
FL_2005_000104_IND,0.3218105582838705,1479.0
India: Floods _ Nov 1992,0.34039373400105066,1442.0
FL_2020_000164_IND,0.34244370841785754,1435.0
FL_2002_000374_IND,0.32885117947549897,1468.0
FL_2022_000213_IND,0.2959424383322091,1510.0
FL_2012_000110_IND,0.33455054367581055,1453.0
India: Floods _ Jun 1996,0.3378134839239373,1447.0
FL_2008_000089_IND,0.3270772119958215,1473.0
FF_2007_000083_IND,0.33551014961939357,1450.0
India: Floods _ Aug 1988,0.3434513256426626,1433.0
FL_2010_000125_IND,0.34595826422140535,1432.0
FL_2011_000084_IND,0.3348217009725516,1452.0
FL_2009_000122_IND,0.34152185480329167,1439.0
FL_2021_000161_IND,0.3619405239183032,1406.0
FL_2005_000182_IND,0.334487677505646,1454.0
India: Floods _ Oct 1996,0.33303687762234413,1460.0
India: Floods _ Jul 1993,0.305136783559392,1502.0
FL_2013_000070_IND,0.33591861175702087,1449.0
FL_2018_000134_IND,0.3069004416950919,1498.0
FL_2019_000084_IND,0.3257815206434894,1476.0
India: Floods _ Oct 1988,0.3334644799740203,1456.0
India: Floods _ Aug 1989,0.33312693693900036,1459.0
FF_2020_000055_SOM,0.6117872240963463,80.0
FL_2023_000190_SOM,0.6045850678081504,95.0
FF_2018_000041_SOM,0.6166812234796908,70.0
FL_2015_000145_SOM,0.5805338204719361,189.0
FF_2020_000221_SOM,0.5562848725823293,333.0
FF_2025_000055_SOM,0.5981424195733914,115.0
FL_2008_000091_SOM,0.5760141510057974,208.0
FL_1997_000265_SOM,0.5882730637391458,152.0
FL_2016_000046_SOM,0.586051276893295,160.0
FL_2013_000141_SOM,0.5625315475418278,294.0
FF_2009_000229_SOM,0.5298716846982936,487.0
FL_2015_000040_SOM,0.6059989303742028,90.0
FL_2021_000051_SOM,0.6213395638352468,61.0
FL_2008_000185_SOM,0.5672455861151486,267.0
FL_2012_000173_SOM,0.5928253904062878,132.0
FL_2014_000150_SOM,0.5656481760291563,274.0
FL_2024_000055_SOM,0.5838449935068892,175.0
FL_2010_000041_SOM,0.5400811130437377,429.0
FL_2011_000161_SOM,0.5961032508482085,118.0
FF_2023_000044_SOM,0.578115039920598,200.0
