Historical_Disaster_ID,CNN_Cosine_Similarity,Graph_Cosine_Similarity,Domain_Rank,Boost_Factor,Final_Alpha_Weight
FL_2011_000161_SOM,0.84100115,0.9683269460253101,1.0,1.0909090909090908,0.9174557999999999
FL_1997_000265_SOM,0.8177929,0.9647165532802615,3.0,1.0769230769230769,0.8807000461538461
FL_2012_000173_SOM,0.8146013,0.9555020558032645,8.0,1.0555555555555556,0.8598569277777778
FL_2010_000041_SOM,0.8129498,0.9533394790538668,9.0,1.0526315789473684,0.8557366315789473
FL_2006_000106_MRT,0.81967986,0.5567065439884107,196.0,1.0048543689320388,0.823658888446602
FL_2013_000141_SOM,0.7812103,0.9404893743089456,17.0,1.037037037037037,0.8101440148148148
FL_2020_000125_TZA,0.79876715,0.5304220341628951,353.0,1.002754820936639,0.8009676104683194
FL_2013_000119_MRT,0.7968825,0.5427586868113989,273.0,1.0035335689045937,0.7996983392226149
FL_2015_000040_SOM,0.76179945,0.9413814325226156,16.0,1.0384615384615385,0.7910994288461539
FL_2017_000078_NER,0.7854246,0.5426907856002643,274.0,1.0035211267605635,0.788190179577465
FL_2013_000052_SOM,0.7564241,0.943631305954964,15.0,1.04,0.786681064
FL_2006_000133_NER,0.78124887,0.5342719562756219,316.0,1.0030674846625767,0.7836453389263803
FL_2014_000053_TZA,0.77925664,0.5549988435895861,201.0,1.004739336492891,0.7829497994312795
FL_2008_000076_COL,0.773347,0.5692117717766523,141.0,1.0066225165562914,0.7784685033112583
FL_2020_000029_TZA,0.7712707,0.5462629208816467,245.0,1.003921568627451,0.7742952909803921
FL_2002_000026_SEN,0.7717199,0.4871332366159177,637.0,1.001545595054096,0.7729126664605874
FL_2013_000159_VCT,0.76274073,0.5939774610779477,86.0,1.0104166666666667,0.7706859459375001
FL_2008_000185_SOM,0.73543525,0.9513854001760003,13.0,1.0434782608695652,0.7674106956521739
FL_2014_000150_SOM,0.74094605,0.9212002268063726,22.0,1.03125,0.7641006140625001
FL_2015_000145_SOM,0.7331626,0.9458571168533902,14.0,1.0416666666666667,0.7637110416666667
FL_2022_000379_MYS,0.7601687,0.5254710626494774,384.0,1.00253807106599,0.7620980621827412
FL_2009_000139_PAK,0.75822043,0.5182470993854787,433.0,1.002257336343115,0.7599319885327313
FL_2016_000011_TZA,0.7585163,0.5012409046732427,551.0,1.0017825311942958,0.7598683789661319
FL_2005_000205_PHL,0.7588674,0.424686821291726,1050.0,1.0009433962264151,0.7595833126415095
FL_2016_000046_SOM,0.7261816,0.95202104914433,12.0,1.0454545454545454,0.7591898545454545
FL_2020_000038_EGY,0.75751173,0.38608706050726327,1249.0,1.0007942811755361,0.7581134073073869
FL_2007_000111_GBR,0.7572672,0.3519202529508707,1362.0,1.000728862973761,0.7578191440233236
FL_1998_000112_TZA,0.7541083,0.5513494750449182,215.0,1.0044444444444445,0.7574598924444444
FL_2018_000043_TZA,0.7518509,0.5704648863450617,138.0,1.0067567567567568,0.7569309736486487
FL_2019_000133_SOM,0.73050874,0.9388351753941016,18.0,1.0357142857142858,0.7565983378571429
FL_2006_000192_IDN,0.7533808,0.5200778687841882,424.0,1.0023041474654377,0.7551167004608295
FL_2008_000239_NIC,0.75439835,0.3243051369408849,1407.0,1.0007057163020465,0.754930741213832
FL_2021_000153_UGA,0.75203556,0.5324564683805006,332.0,1.0029239766081872,0.754234494385965
FL_2010_000141_PAK,0.7522755,0.4665097080807402,797.0,1.0012391573729864,0.753207687732342
FL_2016_000123_DOM,0.7525543,0.2771134375447848,1481.0,1.000670690811536,0.7530590312541918
FL_2020_000185_PAK,0.7517711,0.48642115263027363,642.0,1.0015337423312884,0.7529241231595093
FL_2001_000376_PAK,0.7515032,0.5032082054764903,533.0,1.0018416206261511,0.7528871837937386
FL_1998_000053_ZMB,0.7520999,0.3710984454321152,1318.0,1.0007530120481927,0.7526662402861446
FL_2009_000164_SEN,0.7509741,0.5094047943126345,486.0,1.002016129032258,0.7524881606854839
FL_2003_000571_DOM,0.7510247,0.2674211344440206,1490.0,1.0006666666666666,0.7515253831333333
FL_2004_000022_AFG,0.7475092,0.5526742285188949,209.0,1.004566210045662,0.7509224840182648
FL_1999_000428_VNM,0.75021887,0.41417575804987655,1107.0,1.000895255147717,0.750890507305282
FL_2020_000199_MRT,0.74748445,0.5496564798630775,226.0,1.0042372881355932,0.7506517569915254
FL_2011_000183_TZA,0.7480033,0.5317732412720689,338.0,1.0028735632183907,0.7501527347701149
FL_2008_000197_COL,0.74160355,0.5980233416349985,77.0,1.0114942528735633,0.7501277287356323
FL_2019_000145_TZA,0.747687,0.5165950671881463,447.0,1.0021881838074398,0.7493230765864333
FL_2013_000068_CZE,0.74836904,0.2908694351432294,1460.0,1.0006802721088435,0.748878134585034
FL_2005_000062_TZA,0.74418473,0.560444277935515,181.0,1.0052356020942408,0.7480809851308899
FL_1999_000233_SVK,0.73275363,0.6312077917773492,39.0,1.0204081632653061,0.7477077857142858
FL_2000_000191_HUN,0.7451593,0.33811308424242914,1381.0,1.0007189072609632,0.7456950004313443
FL_2009_000133_ZAF,0.7417215,0.5566113088124226,198.0,1.0048076923076923,0.7452874687500001
FL_2005_000017_VEN,0.74010354,0.5640259116088223,166.0,1.0056818181818181,0.74430867375
FL_2021_000051_SOM,0.6955541,0.9608347714691673,5.0,1.0666666666666667,0.7419243733333333
FL_1998_000048_PAK,0.7405212,0.4999594091720849,558.0,1.0017605633802817,0.7418249345070422
