Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.48293672231259704,491.0
FL_2023_000217_PRY,0.5192694378343627,255.0
Paraguay: Floods _ Jun 1995,0.5185934220312669,262.0
FL_2018_000419_PRY,0.48105654285865307,509.0
FL_2012_000056_PRY,0.5482043057739547,139.0
FL_2014_000030_PRY,0.4603541879207086,670.0
FL_1997_000299_PRY,0.5044846357080341,340.0
FL_2019_000033_PRY,0.49190698366175,430.0
Paraguay: Floods _ Mar 1995,0.4308905732648766,813.0
FL_2013_000076_PRY,0.5096328526967806,304.0
subject,0.5904887713680361,60.0
FL_2015_000171_PRY,0.5161883148814275,270.0
FL_2002_000296_PRY,0.527218800232376,219.0
ST_2015_000041_PRY,0.4764077753031202,549.0
FL_2023_000041_PRY,0.4976639109174061,389.0
FL_2009_000226_PRY,0.494742176629419,414.0
Paraguay: Floods _ Feb 1990,0.5191250283640059,257.0
FL_2021_000213_STP,0.3423456000430425,1165.0
FL_2019_000034_BOL,0.5439886035225121,155.0
FL_2018_000015_BOL,0.5090845512845921,306.0
FL_2007_000012_BOL,0.5255936824043104,226.0
FL_2001_000029_BOL,0.5193016871922413,254.0
FL_2006_000010_BOL,0.5442177828807444,154.0
FL_2007_000231_BOL,0.5965338453460522,54.0
FL_2015_000008_BOL,0.5807399664296722,76.0
FL_2024_000021_BOL,0.5457418915260859,145.0
FL_2000_000130_BOL,0.5713618516039262,93.0
FL_2019_000032_BOL,0.5205173482027359,248.0
FL_2003_000621_BOL,0.6135128050840468,39.0
FL_2013_000020_BOL,0.5273583629519395,217.0
FL_2011_000020_BOL,0.5304751974655385,198.0
FL_2010_000008_BOL,0.5251277373521354,228.0
FL_2002_000110_BOL,0.5127926335315778,285.0
Bolivia: Chapare River Floods _ Jan 1987,0.5247512148908955,230.0
FL_1997_000022_BOL,0.5010962432606898,363.0
Bolivia: Floods _ Jan 1986,0.5096739596439166,302.0
Bolivia: Landslides/Floods _ Mar 1994,0.5470668141860425,142.0
FL_2009_000045_BOL,0.5337396277550253,187.0
FL_2014_000008_BOL,0.5710007612586272,94.0
FL_2003_000012_BOL,0.5213243163030502,245.0
FL_2012_000005_BOL,0.5859360420635011,65.0
FL_2025_000038_BOL,0.5464580171222344,144.0
FL_2019_000079_BGD,0.4339416786872938,799.0
FL_2023_000157_BGD,0.4638087361688113,642.0
Bangladesh: Floods _ Jul 1996,0.4350064059180621,796.0
FL_2020_000161_BGD,0.4817098395433749,501.0
FL_2007_000129_PAK,0.4703446084027743,594.0
Bangladesh: Floods _ Jul 1993,0.46721987390103253,614.0
FL_1998_000203_BGD,0.47629572996100616,550.0
FL_2014_000117_BGD,0.511054890701812,296.0
Bangladesh: Floods _ Jul 1999,0.4849689202049181,476.0
FL_2005_000176_BGD,0.4675293403494031,612.0
FL_2011_000093_BGD,0.4529762189506987,720.0
FL_2008_000096_BGD,0.4514901805544109,728.0
FL_2021_000097_BGD,0.49005553305371685,442.0
FL_2006_000131_BGD,0.4592592765966118,679.0
FL_2000_000617_BGD,0.4885565791876162,453.0
FL_2015_000068_BGD,0.475037658557548,563.0
Bangladesh: Floods _ Aug 1988,0.4551785730747905,707.0
FF_2007_000080_BGD,0.4528213820012979,721.0
Bangladesh: Floods _ Aug 1986,0.4800328520499058,517.0
Bangladesh: Floods _ Jun 1993,0.477795519585457,539.0
FL_2004_000044_BGD,0.46407147485025535,640.0
FL_1997_000164_BGD,0.4991842241742361,380.0
FL_2016_000075_BGD,0.4968366554543917,394.0
Bangladesh: Floods _ Jul 1988,0.45525464699320894,706.0
FL_2010_000114_BGD,0.4591374628926679,681.0
Bangladesh: Floods _ Sep 1986,0.4618886439131189,656.0
Bangladesh: Floods _ Aug 1989,0.46179586664928624,657.0
FL_2009_000123_BGD,0.4974924674759423,391.0
FL_2018_000105_BGD,0.4623391450699797,649.0
FL_2002_000402_BGD,0.4651070255869,635.0
FL_2002_000536_MMR,0.5156880804800275,273.0
Bangladesh: Floods _ Jul 1991,0.4823890610638448,495.0
Bangladesh: Floods _ May 1984,0.45902808073374307,682.0
FL_2012_000106_BGD,0.4739185946700121,571.0
FL_2024_000088_BGD,0.44051868865364985,775.0
FL_2022_000217_BGD,0.4611469305437025,662.0
FL_2006_000092_KOR,0.5954934923152124,55.0
FL_2001_000335_KOR,0.6187433827589603,36.0
FL_1999_000247_KOR,0.594612436636446,57.0
FL_1998_000219_KOR,0.6109293886888204,43.0
FL_2009_000190_TUR,0.5744919717633614,85.0
FL_2006_000156_TUR,0.5591855078720147,114.0
Turkey: Floods _ Nov 1995,0.528093320758045,213.0
FL_1998_000255_TUR,0.5120957592565121,291.0
FL_2023_000040_TUR,0.5257259829560812,225.0
FF_2009_000159_PAK,0.5053496755917328,331.0
FL_2020_000185_PAK,0.5002896361110373,374.0
FF_2008_000123_PAK,0.5066999789709844,319.0
FL_2010_000141_PAK,0.49284046152688543,426.0
FF_2012_000148_PAK,0.5087123035651007,309.0
FF_2013_000090_PAK,0.5010517755639099,365.0
FL_2015_000017_PAK,0.5005336243539891,372.0
Pakistan: Floods _ Aug 1996,0.525732617219963,224.0
FL_1998_000048_PAK,0.5007152684070698,370.0
FL_2019_000087_PAK,0.504101831894762,345.0
FL_2017_000017_PAK,0.5064884301678364,321.0
Pakistan: Floods _ Jul 1993,0.48620595066537375,466.0
FL_2014_000122_PAK,0.510749470523405,298.0
FL_1992_000008_PAK,0.4809056227547394,511.0
FF_2007_000082_PAK,0.5328065023170125,191.0
Pakistan: Floods _ Feb 1991,0.49517564121699326,412.0
FL_2003_000359_PAK,0.49963247644037123,379.0
FL_2016_000066_PAK,0.5293669871900919,204.0
FL_2022_000254_PAK,0.5002706827676813,376.0
FL_2024_000118_PAK,0.4996361882406416,378.0
FL_2016_000021_PAK,0.4902652049467625,439.0
FL_2005_000108_PAK,0.5028003591537494,355.0
FL_2024_000020_PAK,0.5097654621367749,301.0
FL_2023_000119_PAK,0.5084154413951151,311.0
FL_2001_000376_PAK,0.5109740600672663,297.0
FL_2011_000109_PAK,0.5116612474832126,293.0
FL_2009_000139_PAK,0.529902410586695,200.0
FL_2005_000038_MDG,0.5810188013513475,75.0
ST_2022_000138_MDG,0.5983271081813948,51.0
2012_000020_MDG,0.5689160907185671,97.0
FL_2020_000019_MDG,0.5683024397138917,98.0
FL_2003_000037_MDG,0.5857088052701848,67.0
FL_2013_000004_KEN,0.4239069886701029,837.0
FL_2009_000218_KEN,0.3906334933012465,990.0
FL_2024_000045_KEN,0.39893370897079533,959.0
FL_2011_000115_KEN,0.41195344654011634,889.0
FL_2002_000265_KEN,0.4113401296806342,893.0
FL_2010_000003_KEN,0.43681417253537014,787.0
FL_2004_000020_KEN,0.4102525723799192,897.0
FF_2012_000062_KEN,0.40072612043661693,942.0
