Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5274010935334941,291.0
FL_2023_000217_PRY,0.563460378743994,139.0
Paraguay: Floods _ Jun 1995,0.5248256358366702,306.0
FL_2018_000419_PRY,0.5471480804189683,204.0
FL_2012_000056_PRY,0.5752905355264135,108.0
FL_2014_000030_PRY,0.5284692073513066,280.0
FL_1997_000299_PRY,0.5383665494448454,238.0
FL_2019_000033_PRY,0.5378184818863831,241.0
Paraguay: Floods _ Mar 1995,0.5196366953277123,334.0
FL_2013_000076_PRY,0.5417087740146609,224.0
subject,0.42341995580490016,824.0
FL_2015_000171_PRY,0.5610387545011579,148.0
FL_2002_000296_PRY,0.5368429657994376,247.0
ST_2015_000041_PRY,0.4677599405400205,608.0
FL_2023_000041_PRY,0.530613341067128,264.0
FL_2009_000226_PRY,0.5288374660906898,275.0
Paraguay: Floods _ Feb 1990,0.584615378233807,90.0
FL_2021_000213_STP,0.3475964562305497,1025.0
FL_2019_000034_BOL,0.4219316359080355,829.0
FL_2018_000015_BOL,0.43220193770207926,792.0
FL_2007_000012_BOL,0.4281530327037352,804.0
FL_2001_000029_BOL,0.4235760295865245,822.0
FL_2006_000010_BOL,0.48635786196830527,516.0
FL_2007_000231_BOL,0.4482750506852808,717.0
FL_2015_000008_BOL,0.4939548969487364,465.0
FL_2024_000021_BOL,0.4516846020775691,696.0
FL_2000_000130_BOL,0.4673716910937104,612.0
FL_2019_000032_BOL,0.449724067811297,707.0
FL_2003_000621_BOL,0.49345426458404884,466.0
FL_2013_000020_BOL,0.5284423346851533,281.0
FL_2011_000020_BOL,0.43790537452721157,769.0
FL_2010_000008_BOL,0.42842782317980743,802.0
FL_2002_000110_BOL,0.465439423467159,621.0
Bolivia: Chapare River Floods _ Jan 1987,0.4356291998274816,779.0
FL_1997_000022_BOL,0.43260549070628995,791.0
Bolivia: Floods _ Jan 1986,0.4087952952564886,883.0
Bolivia: Landslides/Floods _ Mar 1994,0.463520263666558,631.0
FL_2009_000045_BOL,0.4545615251774946,675.0
FL_2014_000008_BOL,0.4532797202045682,684.0
FL_2003_000012_BOL,0.43774778739011766,771.0
FL_2012_000005_BOL,0.48488558866164383,522.0
FL_2025_000038_BOL,0.5106466151875877,376.0
FL_2019_000079_BGD,0.46451340567354726,628.0
FL_2023_000157_BGD,0.4603900181929208,646.0
Bangladesh: Floods _ Jul 1996,0.4520331038090911,693.0
FL_2020_000161_BGD,0.5391605126401284,233.0
FL_2007_000129_PAK,0.5032821664498858,409.0
Bangladesh: Floods _ Jul 1993,0.46104616676647087,645.0
FL_1998_000203_BGD,0.4909134567143066,482.0
FL_2014_000117_BGD,0.5071210972031823,391.0
Bangladesh: Floods _ Jul 1999,0.4946917791581626,460.0
FL_2005_000176_BGD,0.5005388453668643,428.0
FL_2011_000093_BGD,0.47887756134671555,558.0
FL_2008_000096_BGD,0.4791650699371899,553.0
FL_2021_000097_BGD,0.49453573862205513,461.0
FL_2006_000131_BGD,0.4922287799746082,473.0
FL_2000_000617_BGD,0.4959167582350466,447.0
FL_2015_000068_BGD,0.5214038034577868,327.0
Bangladesh: Floods _ Aug 1988,0.45945666066258384,653.0
FF_2007_000080_BGD,0.4472737622022232,725.0
Bangladesh: Floods _ Aug 1986,0.5203543615748705,331.0
Bangladesh: Floods _ Jun 1993,0.4824771352375785,535.0
FL_2004_000044_BGD,0.4914282259922184,478.0
FL_1997_000164_BGD,0.508161179502557,388.0
FL_2016_000075_BGD,0.5254884645990022,304.0
Bangladesh: Floods _ Jul 1988,0.4968284791763425,440.0
FL_2010_000114_BGD,0.5409328562061744,227.0
Bangladesh: Floods _ Sep 1986,0.5025643658858588,418.0
Bangladesh: Floods _ Aug 1989,0.515686349596821,347.0
FL_2009_000123_BGD,0.5036734689613878,407.0
FL_2018_000105_BGD,0.486751499396205,512.0
FL_2002_000402_BGD,0.5105058093584677,378.0
FL_2002_000536_MMR,0.5139880642224514,356.0
Bangladesh: Floods _ Jul 1991,0.4944311247382851,462.0
Bangladesh: Floods _ May 1984,0.5012312244935114,423.0
FL_2012_000106_BGD,0.4510531197130726,699.0
FL_2024_000088_BGD,0.5184595042753676,339.0
FL_2022_000217_BGD,0.5294507926039675,270.0
FL_2006_000092_KOR,0.6548134118117246,37.0
FL_2001_000335_KOR,0.6750393390745795,34.0
FL_1999_000247_KOR,0.6498310627485244,39.0
FL_1998_000219_KOR,0.672114791218553,35.0
FL_2009_000190_TUR,0.5238956680445346,313.0
FL_2006_000156_TUR,0.49675333906073005,441.0
Turkey: Floods _ Nov 1995,0.4943186155027131,464.0
FL_1998_000255_TUR,0.4965859935067875,443.0
FL_2023_000040_TUR,0.5161355345119041,346.0
FF_2009_000159_PAK,0.48197574570021706,540.0
FL_2020_000185_PAK,0.4720021193650042,591.0
FF_2008_000123_PAK,0.47797580743419665,562.0
FL_2010_000141_PAK,0.4570280612036555,664.0
FF_2012_000148_PAK,0.48669836086640594,513.0
FF_2013_000090_PAK,0.46755085830673293,611.0
FL_2015_000017_PAK,0.47025777089455645,597.0
Pakistan: Floods _ Aug 1996,0.4951019782993037,452.0
FL_1998_000048_PAK,0.47749322759790425,563.0
FL_2019_000087_PAK,0.47365336971459293,581.0
FL_2017_000017_PAK,0.48309853599625263,531.0
Pakistan: Floods _ Jul 1993,0.4555957749724893,668.0
FL_2014_000122_PAK,0.48981123461237575,491.0
FL_1992_000008_PAK,0.4665444896531752,616.0
FF_2007_000082_PAK,0.5038840466318742,405.0
Pakistan: Floods _ Feb 1991,0.4627901871711065,634.0
FL_2003_000359_PAK,0.477295793857753,565.0
FL_2016_000066_PAK,0.4886379355688495,501.0
FL_2022_000254_PAK,0.46994589339442405,601.0
FL_2024_000118_PAK,0.46769002252330505,610.0
FL_2016_000021_PAK,0.4603240551427548,647.0
FL_2005_000108_PAK,0.47707859363508853,567.0
FL_2024_000020_PAK,0.4720482209988828,590.0
FL_2023_000119_PAK,0.4892458679476279,495.0
FL_2001_000376_PAK,0.47939382977957046,551.0
FL_2011_000109_PAK,0.4756231118657012,570.0
FL_2009_000139_PAK,0.5006429018678131,426.0
FL_2005_000038_MDG,0.5337800821231565,254.0
ST_2022_000138_MDG,0.5614262840542837,147.0
2012_000020_MDG,0.5370133462215063,246.0
FL_2020_000019_MDG,0.5275473157464963,288.0
FL_2003_000037_MDG,0.5492524174471904,193.0
FL_2013_000004_KEN,0.3007411421189047,1166.0
FL_2009_000218_KEN,0.26969115408052613,1274.0
FL_2024_000045_KEN,0.27936779133930567,1248.0
FL_2011_000115_KEN,0.2952197258750911,1190.0
FL_2002_000265_KEN,0.2913135226977703,1208.0
FL_2010_000003_KEN,0.3267650129536395,1092.0
FL_2004_000020_KEN,0.296894405281911,1182.0
FF_2012_000062_KEN,0.2947807612619119,1192.0
FL_2008_000217_KEN,0.31615776741565765,1119.0
FL_2015_000169_KEN,0.2822263556286907,1240.0
FL_2021_000038_KEN,0.27840817730912837,1249.0
FL_2023_000216_KEN,0.2943194970002784,1195.0
FL_2013_000038_KEN,0.27373209573817187,1260.0
FL_1997_000255_KEN,0.2946072574222774,1193.0
FL_2020_000128_KEN,0.29848380635323635,1175.0
FF_2023_000051_KEN,0.2975662105826187,1179.0
FL_2019_000138_KEN,0.28618732830822413,1224.0
FL_2007_000139_KEN,0.29856071320114386,1174.0
FF_2008_000092_KEN,0.30735625369307207,1147.0
FL_2007_000076_KEN,0.2887149877022488,1214.0
FF_2018_000030_KEN,0.28682238346706124,1221.0
FL_2010_000174_KEN,0.3001275147429562,1170.0
FF_2006_000046_KEN,0.296360027428913,1186.0
FL_2016_000042_KEN,0.294081490624864,1196.0
FL_2007_000221_KEN,0.31718162294615115,1118.0
FL_2025_000045_COD,0.42811812335002364,806.0
FL_2024_000009_COD,0.4189902811249086,847.0
FL_1999_000531_COD,0.42374882536646824,820.0
FL_2012_000192_COD,0.3761205499120146,965.0
ST_2012_000064_COD,0.4560803906735328,667.0
FL_2010_000062_COD,0.48648893617336453,515.0
FL_2020_000052_COD,0.3776899691264751,961.0
FL_2010_000151_COD,0.4679168152143893,607.0
FL_2006_000047_COD,0.3801187710985039,957.0
FL_2016_000124_COD,0.4393241277784943,760.0
FL_2015_000164_COD,0.41698099071531963,855.0
FL_1997_000295_COD,0.44335521453245885,747.0
