Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2013_000084_GEO,0.8859626
FL_2021_000152_GEO,0.83236897
FL_2012_000120_GEO,0.8307168
FL_2011_000071_GEO,0.8300179
FL_2020_000175_GEO,0.8233441
FL_2013_000119_MRT,0.787918
FL_1997_000522_MDA,0.78658867
FL_2015_000071_GEO,0.78113705
FL_2007_000111_GBR,0.7798335
FL_2019_000083_NPL,0.76970756
FL_2003_000341_NPL,0.76598626
FL_2014_000122_PAK,0.7639493
FL_2011_000109_PAK,0.75847733
FL_2011_000067_PHL,0.7567297
FL_2009_000219_NPL,0.75624007
FL_1999_000233_SVK,0.7560749
FL_1998_000053_ZMB,0.75581527
FL_2006_000127_NPL,0.75539845
FL_2009_000145_NPL,0.755146
FL_2012_000153_IDN,0.7530688
FL_2021_000134_NPL,0.7525873
FL_2007_000206_COG,0.7523806
FL_2015_000146_DZA,0.75203204
FL_2002_000367_SRB,0.751968
FL_1998_000221_NPL,0.7510312
FL_2010_000160_NPL,0.7505888
FL_1999_000371_IND,0.75045633
FL_2019_000011_IDN,0.7492553
FL_2009_000203_USA,0.7470766
FL_2011_000043_VCT,0.7470539
FL_2017_000107_NPL,0.74609053
FL_1998_000392_IND,0.74602085
FL_2014_000163_COL,0.7457099
FL_2018_000144_PRK,0.7456691
FL_2016_000068_NPL,0.74471337
FL_2009_000034_MAR,0.74459267
FL_2012_000043_KGZ,0.74403745
FL_2016_000066_PAK,0.7435783
FL_2007_000023_IDN,0.74354637
FL_2012_000210_MWI,0.74281025
FL_2012_000013_ECU,0.74260783
FL_1998_000219_KOR,0.7424378
FL_2000_000083_ZWE,0.7419494
FL_2006_000001_IDN,0.74180305
FL_1998_000179_RUS,0.74162215
FL_2008_000168_NPL,0.74124455
FL_2002_000428_NPL,0.73655427
FL_2021_000023_DZA,0.736388
FL_2020_000165_NPL,0.735748
FL_2010_000141_PAK,0.7349657
FL_2012_000050_AFG,0.73379886
FL_1999_000235_IRN,0.7332256
FL_2005_000108_PAK,0.7326001
FL_2008_000018_ECU,0.7324357
FL_2008_000246_GUY,0.7324227
FL_2021_000005_IDN,0.731335
FL_2003_000359_PAK,0.73130226
FL_2005_000065_GEO,0.7312345
FL_2014_000060_AFG,0.73087037
FL_2005_000111_ROM,0.73076165
FL_2012_000071_NPL,0.7301605
FL_2010_000149_GTM,0.7298833
FL_2001_000524_MLI,0.7294839
FL_2005_000176_BGD,0.7286045
FL_2006_000085_UKR,0.7286022
FL_2015_000039_KAZ,0.7277614
FL_2021_000173_IDN,0.7275975
FL_2012_000014_IDN,0.7275953
