Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4545402629653457,1333.0
FL_2023_000217_PRY,0.46949331923798027,1267.0
Paraguay: Floods _ Jun 1995,0.43722520844139223,1396.0
FL_2018_000419_PRY,0.43138475407044596,1409.0
FL_2012_000056_PRY,0.5209052988440737,1004.0
FL_2014_000030_PRY,0.4129229202119445,1464.0
FL_1997_000299_PRY,0.43926440594400945,1390.0
FL_2019_000033_PRY,0.47609467092357527,1237.0
Paraguay: Floods _ Mar 1995,0.3846596561714873,1500.0
FL_2013_000076_PRY,0.4827119467049976,1196.0
subject,0.5034469770605902,1091.0
FL_2015_000171_PRY,0.48018137458755783,1208.0
FL_2002_000296_PRY,0.4338578875256331,1406.0
ST_2015_000041_PRY,0.4048690187452659,1473.0
FL_2023_000041_PRY,0.4134568326317366,1460.0
FL_2009_000226_PRY,0.4551016155605771,1331.0
Paraguay: Floods _ Feb 1990,0.49942697857351387,1113.0
FL_2021_000213_STP,0.5609733665955519,709.0
FL_2019_000034_BOL,0.5479635099433513,819.0
FL_2018_000015_BOL,0.5759317934345336,596.0
FL_2007_000012_BOL,0.5396799267501187,886.0
FL_2001_000029_BOL,0.6001561042697882,435.0
FL_2006_000010_BOL,0.6026007978735605,420.0
FL_2007_000231_BOL,0.5589937795506082,728.0
FL_2015_000008_BOL,0.6034488207886572,415.0
FL_2024_000021_BOL,0.5866491238324016,526.0
FL_2000_000130_BOL,0.6185517179891602,293.0
FL_2019_000032_BOL,0.5944980160009252,471.0
FL_2003_000621_BOL,0.5722840088505843,623.0
FL_2013_000020_BOL,0.5845906066550672,539.0
FL_2011_000020_BOL,0.5436194752871901,848.0
FL_2010_000008_BOL,0.5451037475810789,840.0
FL_2002_000110_BOL,0.5634568057684661,692.0
Bolivia: Chapare River Floods _ Jan 1987,0.6033847108695102,417.0
FL_1997_000022_BOL,0.5677353774851914,655.0
Bolivia: Floods _ Jan 1986,0.5929058088350401,485.0
Bolivia: Landslides/Floods _ Mar 1994,0.5785861908659508,573.0
FL_2009_000045_BOL,0.5684112384208467,648.0
