Historical_Disaster_ID,CNN_Cosine_Similarity,Graph_Cosine_Similarity,Domain_Rank,Boost_Factor,Final_Alpha_Weight
FL_2001_000227_RUS,0.83790195,0.8969170635731014,13.0,1.0434782608695652,0.8743324695652174
FL_2017_000052_RUS,0.8183595,0.9044878012280946,9.0,1.0526315789473684,0.8614310526315789
FL_1998_000179_RUS,0.7881914,0.9068581693357758,8.0,1.0555555555555556,0.8319798111111111
FL_2011_000123_RUS,0.7608682,0.912257615435391,2.0,1.0833333333333333,0.8242738833333333
FL_2018_000046_RUS,0.7445688,0.9106642204530967,4.0,1.0714285714285714,0.7977522857142857
FL_2005_000081_CHN,0.78950906,0.6358243754126108,92.0,1.0098039215686274,0.7972493449019608
FL_1998_000165_CHN,0.79115176,0.6067938113360463,181.0,1.0052356020942408,0.7952939158115183
FL_2007_000130_CIV,0.779093,0.5250785104371176,618.0,1.0015923566878981,0.7803335939490447
FL_1999_000244_VNM,0.77798736,0.5473613313839867,426.0,1.0022935779816513,0.779771734678899
FL_2010_000161_MYS,0.76473534,0.6518043036859263,54.0,1.015625,0.7766843296875
FL_2013_000081_PRK,0.7759242,0.42155344756276236,1263.0,1.0007855459544384,0.7765337241162608
FL_1990_000004_VNM,0.7738043,0.5488839985710237,414.0,1.0023584905660377,0.7756293101415094
FL_2020_000202_GIN,0.76384795,0.6458667537989522,65.0,1.0133333333333334,0.7740325893333334
FL_2010_000208_RUS,0.7461143,0.8898152179444763,18.0,1.0357142857142858,0.7727612392857144
FL_2009_000170_MRT,0.77062076,0.5206785511512948,664.0,1.0014836795252227,0.7717641142433236
FL_1999_000349_SLV,0.7673832,0.5164951879580618,704.0,1.0014005602240896,0.7684579663865546
FL_2009_000247_MYS,0.7615522,0.6300363836512153,110.0,1.0083333333333333,0.7678984683333333
FL_2010_000031_PRT,0.75867426,0.6439700152999832,73.0,1.0120481927710843,0.7678149137349397
FL_2014_000014_SYC,0.7607612,0.6325213998426238,102.0,1.0089285714285714,0.7675537107142857
FL_1999_000363_NIC,0.76436687,0.5464593551754064,439.0,1.0022271714922049,0.7660692461024499
FL_2014_000073_RUS,0.7216563,0.9072887964654526,7.0,1.0588235294117647,0.7641066705882353
FL_2009_000178_GIN,0.7557793,0.6395311752744689,82.0,1.0108695652173914,0.7639942923913045
FL_2012_000172_MLI,0.76151586,0.5456655683002537,447.0,1.0021881838074398,0.7631821966739606
FL_2003_000027_TUN,0.7610898,0.4358441830974789,1197.0,1.0008285004142503,0.7617203632145817
FL_2021_000213_STP,0.76000476,0.52044235633251,670.0,1.0014705882352941,0.7611224140588235
FL_2005_000171_SLV,0.7578113,0.5517801876886343,389.0,1.0025062656641603,0.7597105764411026
FL_2013_000112_CAF,0.75817096,0.5019909770802748,825.0,1.0011976047904192,0.7590789491736527
