Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.6150268415551208,153.0
FL_2023_000217_PRY,0.5744897528988893,283.0
Paraguay: Floods _ Jun 1995,0.6179914636266138,145.0
FL_2018_000419_PRY,0.6177237408872981,147.0
FL_2012_000056_PRY,0.6316940802740266,104.0
FL_2014_000030_PRY,0.5663237979267739,306.0
FL_1997_000299_PRY,0.6261037585234885,126.0
FL_2019_000033_PRY,0.6255255404721477,127.0
Paraguay: Floods _ Mar 1995,0.5926472935881172,227.0
FL_2013_000076_PRY,0.6211330941337652,139.0
subject,0.29630000313424343,1517.0
FL_2015_000171_PRY,0.6340834815592913,96.0
FL_2002_000296_PRY,0.5632015237464917,318.0
ST_2015_000041_PRY,0.5949649443138596,219.0
FL_2023_000041_PRY,0.6246105027261786,130.0
FL_2009_000226_PRY,0.56657048812117,304.0
Paraguay: Floods _ Feb 1990,0.6575580562758382,45.0
FL_2021_000213_STP,0.52044235633251,670.0
FL_2019_000034_BOL,0.45807528288760635,1077.0
FL_2018_000015_BOL,0.4933045787266632,890.0
FL_2007_000012_BOL,0.41541459309035433,1280.0
FL_2001_000029_BOL,0.5120334356192677,735.0
FL_2006_000010_BOL,0.48500513511744414,931.0
FL_2007_000231_BOL,0.4217100823381044,1262.0
FL_2015_000008_BOL,0.48769469804679255,917.0
FL_2024_000021_BOL,0.46921110632550955,1017.0
FL_2000_000130_BOL,0.5069256778431385,782.0
FL_2019_000032_BOL,0.491759170326313,897.0
FL_2003_000621_BOL,0.5112525426286552,743.0
FL_2013_000020_BOL,0.5062325465757431,788.0
FL_2011_000020_BOL,0.47485918910875863,990.0
FL_2010_000008_BOL,0.4644461801266458,1044.0
FL_2002_000110_BOL,0.5062235954640413,789.0
Bolivia: Chapare River Floods _ Jan 1987,0.5189785223927412,683.0
FL_1997_000022_BOL,0.48293615950497804,945.0
Bolivia: Floods _ Jan 1986,0.49672799160990755,865.0
Bolivia: Landslides/Floods _ Mar 1994,0.4857141942942518,928.0
FL_2009_000045_BOL,0.5010981532389885,831.0
FL_2014_000008_BOL,0.4427036322549426,1160.0
FL_2003_000012_BOL,0.49872904068224905,848.0
FL_2012_000005_BOL,0.4801013457363304,959.0
FL_2025_000038_BOL,0.4677975762899668,1028.0
FL_2019_000079_BGD,0.33974545697503705,1500.0
FL_2023_000157_BGD,0.4026483332435554,1337.0
Bangladesh: Floods _ Jul 1996,0.3777738056250326,1411.0
FL_2020_000161_BGD,0.43346325618472137,1211.0
FL_2007_000129_PAK,0.40262335554346407,1339.0
Bangladesh: Floods _ Jul 1993,0.3494819095150425,1480.0
FL_1998_000203_BGD,0.36525784761434843,1451.0
FL_2014_000117_BGD,0.37320029402780164,1425.0
Bangladesh: Floods _ Jul 1999,0.37871561520585606,1409.0
FL_2005_000176_BGD,0.3411066045213914,1499.0
FL_2011_000093_BGD,0.35208708858592463,1475.0
FL_2008_000096_BGD,0.38024255581650057,1404.0
FL_2021_000097_BGD,0.40938579710412154,1307.0
FL_2006_000131_BGD,0.37147145089117306,1429.0
FL_2000_000617_BGD,0.38333342026906203,1394.0
FL_2015_000068_BGD,0.41359008578327877,1286.0
Bangladesh: Floods _ Aug 1988,0.3743724141049043,1421.0
FF_2007_000080_BGD,0.3702847222261477,1434.0
Bangladesh: Floods _ Aug 1986,0.4256510851388687,1239.0
Bangladesh: Floods _ Jun 1993,0.3560079299526222,1467.0
FL_2004_000044_BGD,0.3452359512061892,1488.0
FL_1997_000164_BGD,0.34437097975733266,1492.0
FL_2016_000075_BGD,0.3980670738558169,1348.0
Bangladesh: Floods _ Jul 1988,0.3539840678412803,1473.0
FL_2010_000114_BGD,0.3750820404730093,1418.0
Bangladesh: Floods _ Sep 1986,0.38692839058723005,1384.0
Bangladesh: Floods _ Aug 1989,0.4049061247818826,1328.0
FL_2009_000123_BGD,0.41672053574408985,1278.0
FL_2018_000105_BGD,0.3420903639622372,1495.0
FL_2002_000402_BGD,0.37582162484984205,1415.0
FL_2002_000536_MMR,0.39749999199403435,1349.0
Bangladesh: Floods _ Jul 1991,0.4071913999152884,1319.0
Bangladesh: Floods _ May 1984,0.4023371174537659,1340.0
FL_2012_000106_BGD,0.3507941557877674,1477.0
FL_2024_000088_BGD,0.41141730424280176,1299.0
FL_2022_000217_BGD,0.357418352502205,1465.0
FL_2006_000092_KOR,0.5093410733690009,762.0
FL_2001_000335_KOR,0.5291235811545405,590.0
FL_1999_000247_KOR,0.5099237911100921,759.0
FL_1998_000219_KOR,0.5285043858735602,597.0
FL_2009_000190_TUR,0.34183934968175717,1496.0
FL_2006_000156_TUR,0.38021250153871605,1405.0
Turkey: Floods _ Nov 1995,0.34944539059302204,1481.0
FL_1998_000255_TUR,0.3384557378813811,1503.0
FL_2023_000040_TUR,0.35334760737194293,1474.0
FF_2009_000159_PAK,0.5330502150658122,548.0
FL_2020_000185_PAK,0.5211679914366275,659.0
FF_2008_000123_PAK,0.5310596863502415,570.0
FL_2010_000141_PAK,0.5106627287049041,749.0
FF_2012_000148_PAK,0.5456620126188814,448.0
FF_2013_000090_PAK,0.514252626166813,721.0
FL_2015_000017_PAK,0.5233810873189342,634.0
Pakistan: Floods _ Aug 1996,0.5476315633498237,423.0
FL_1998_000048_PAK,0.5286749450562213,594.0
FL_2019_000087_PAK,0.5162104594640706,705.0
FL_2017_000017_PAK,0.5383454269587953,507.0
Pakistan: Floods _ Jul 1993,0.4927546697712953,892.0
FL_2014_000122_PAK,0.5404681388695638,487.0
FL_1992_000008_PAK,0.5008087143638209,834.0
FF_2007_000082_PAK,0.5692050384400993,293.0
Pakistan: Floods _ Feb 1991,0.52463564811214,623.0
FL_2003_000359_PAK,0.5310808641199092,569.0
FL_2016_000066_PAK,0.5385788549515327,505.0
FL_2022_000254_PAK,0.5160220744116719,708.0
FL_2024_000118_PAK,0.523708709961372,632.0
FL_2016_000021_PAK,0.5081722836984761,775.0
FL_2005_000108_PAK,0.5106415946340811,750.0
