Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5884848525919539,193.0
FL_2023_000217_PRY,0.5917202722353263,182.0
Paraguay: Floods _ Jun 1995,0.5691997919608363,279.0
FL_2018_000419_PRY,0.5649996757820535,298.0
FL_2012_000056_PRY,0.6519832159490511,25.0
FL_2014_000030_PRY,0.5713740279522415,264.0
FL_1997_000299_PRY,0.5653447123814499,296.0
FL_2019_000033_PRY,0.611812417230865,102.0
Paraguay: Floods _ Mar 1995,0.5314002654660565,474.0
FL_2013_000076_PRY,0.5980328821400649,153.0
subject,0.659532313863854,18.0
FL_2015_000171_PRY,0.5895169157609126,188.0
FL_2002_000296_PRY,0.5943051374413265,168.0
ST_2015_000041_PRY,0.5193385197367681,522.0
FL_2023_000041_PRY,0.5514198339226917,365.0
FL_2009_000226_PRY,0.5681195897872089,284.0
Paraguay: Floods _ Feb 1990,0.5890584482954306,191.0
FL_2021_000213_STP,0.37741074862071405,962.0
FL_2019_000034_BOL,0.6084778434358723,114.0
FL_2018_000015_BOL,0.5325444971443529,468.0
FL_2007_000012_BOL,0.5844117982287134,219.0
FL_2001_000029_BOL,0.5327563556324884,466.0
FL_2006_000010_BOL,0.5719202306124592,261.0
FL_2007_000231_BOL,0.5701462733010192,274.0
FL_2015_000008_BOL,0.5434954941620529,408.0
FL_2024_000021_BOL,0.5518789999520203,364.0
FL_2000_000130_BOL,0.5647484874651039,299.0
FL_2019_000032_BOL,0.5476585408263821,377.0
FL_2003_000621_BOL,0.5443253751329526,402.0
FL_2013_000020_BOL,0.5401734037215116,437.0
FL_2011_000020_BOL,0.5656551411117551,292.0
FL_2010_000008_BOL,0.5318441255837669,472.0
FL_2002_000110_BOL,0.5115740112929936,546.0
Bolivia: Chapare River Floods _ Jan 1987,0.533829588376465,460.0
FL_1997_000022_BOL,0.5327841023903261,465.0
Bolivia: Floods _ Jan 1986,0.5403341609379576,435.0
Bolivia: Landslides/Floods _ Mar 1994,0.5470083981997282,380.0
FL_2009_000045_BOL,0.5293591210412023,486.0
FL_2014_000008_BOL,0.5736791692738942,252.0
FL_2003_000012_BOL,0.5403400203407789,434.0
FL_2012_000005_BOL,0.586315804485486,204.0
FL_2025_000038_BOL,0.5365751951428699,449.0
FL_2019_000079_BGD,0.544190838844416,404.0
FL_2023_000157_BGD,0.5268392384772353,491.0
Bangladesh: Floods _ Jul 1996,0.5481837389284123,374.0
FL_2020_000161_BGD,0.5785349677665163,238.0
FL_2007_000129_PAK,0.5458975409717352,391.0
Bangladesh: Floods _ Jul 1993,0.5711065693187181,265.0
FL_1998_000203_BGD,0.5956601138227261,166.0
FL_2014_000117_BGD,0.5532497543609196,357.0
Bangladesh: Floods _ Jul 1999,0.5731350602218832,254.0
FL_2005_000176_BGD,0.533062338998143,464.0
FL_2011_000093_BGD,0.5652603944677407,297.0
FL_2008_000096_BGD,0.597868140116651,154.0
FL_2021_000097_BGD,0.5569165531148315,335.0
FL_2006_000131_BGD,0.552126111293349,362.0
FL_2000_000617_BGD,0.5798783672192236,232.0
FL_2015_000068_BGD,0.5866981778771251,199.0
Bangladesh: Floods _ Aug 1988,0.5412583467902669,423.0
FF_2007_000080_BGD,0.530155473904429,482.0
Bangladesh: Floods _ Aug 1986,0.5469136911187716,381.0
Bangladesh: Floods _ Jun 1993,0.5963290704153998,161.0
FL_2004_000044_BGD,0.5550979038423495,348.0
FL_1997_000164_BGD,0.577533896239347,241.0
FL_2016_000075_BGD,0.5786169481049978,236.0
Bangladesh: Floods _ Jul 1988,0.5625271476379694,310.0
FL_2010_000114_BGD,0.5462607667606857,389.0
Bangladesh: Floods _ Sep 1986,0.5864898849837826,201.0
Bangladesh: Floods _ Aug 1989,0.5861421194636844,205.0
FL_2009_000123_BGD,0.5800156465057829,231.0
FL_2018_000105_BGD,0.5630872374310618,305.0
FL_2002_000402_BGD,0.5409744344617411,428.0
FL_2002_000536_MMR,0.62105557787898,79.0
Bangladesh: Floods _ Jul 1991,0.549906335282617,370.0
Bangladesh: Floods _ May 1984,0.5520645143273664,363.0
FL_2012_000106_BGD,0.5327519177904436,467.0
FL_2024_000088_BGD,0.5853695828618262,211.0
FL_2022_000217_BGD,0.5848256442963162,215.0
FL_2006_000092_KOR,0.5827755717654466,223.0
FL_2001_000335_KOR,0.6112482703476816,105.0
FL_1999_000247_KOR,0.5753334071801832,246.0
FL_1998_000219_KOR,0.6071766427457779,118.0
FL_2009_000190_TUR,0.6209906674707146,81.0
FL_2006_000156_TUR,0.6291332094913769,56.0
Turkey: Floods _ Nov 1995,0.6216459864238202,78.0
FL_1998_000255_TUR,0.6230598072618133,73.0
FL_2023_000040_TUR,0.6118923274255772,101.0
FF_2009_000159_PAK,0.33973697302229133,1166.0
FL_2020_000185_PAK,0.32810187425563553,1231.0
FF_2008_000123_PAK,0.3418197921593499,1154.0
FL_2010_000141_PAK,0.3084711291037671,1343.0
FF_2012_000148_PAK,0.34681901399646475,1127.0
FF_2013_000090_PAK,0.32715723614087644,1238.0
FL_2015_000017_PAK,0.33073129870541057,1216.0
Pakistan: Floods _ Aug 1996,0.3577535207266549,1079.0
FL_1998_000048_PAK,0.3348181141993255,1191.0
FL_2019_000087_PAK,0.3273931228512337,1236.0
FL_2017_000017_PAK,0.34015983974668706,1160.0
Pakistan: Floods _ Jul 1993,0.30352812136932894,1359.0
FL_2014_000122_PAK,0.34849152611478695,1117.0
