Historical_Disaster_ID,CNN_Cosine_Similarity,Graph_Cosine_Similarity,Domain_Rank,Boost_Factor,Final_Alpha_Weight
FL_2010_000021_AFG,0.9077388,0.9989774096004347,14.0,1.0416666666666667,0.94556125
FL_2007_000054_AFG,0.86325,0.9997435242286135,1.0,1.0909090909090908,0.9417272727272726
FL_2021_000050_AFG,0.86074084,0.999668425956252,2.0,1.0833333333333333,0.9324692433333333
FL_2012_000050_AFG,0.868374,0.9995272004979493,4.0,1.0714285714285714,0.9304007142857142
FL_1997_000097_AFG,0.8639983,0.9993878034931301,6.0,1.0625,0.91799819375
FL_2020_000050_AFG,0.84101593,0.999518784502625,5.0,1.0666666666666667,0.8970836586666666
FL_2010_000127_AFG,0.8472742,0.9967255796825352,32.0,1.0238095238095237,0.8674473952380951
FL_2005_000094_AFG,0.816046,0.999349588571274,7.0,1.0588235294117647,0.864048705882353
FL_2009_000080_AFG,0.8333193,0.9986432575211175,21.0,1.032258064516129,0.8602005677419354
FL_2013_000045_AFG,0.7972704,0.9993227725846268,8.0,1.0555555555555556,0.8415632000000001
FL_2005_000048_AFG,0.8027493,0.9988142777059004,17.0,1.037037037037037,0.8324807555555556
FL_2007_000035_AFG,0.7685395,0.9995653988773674,3.0,1.0769230769230769,0.8276579230769231
FL_2011_000022_AFG,0.7974616,0.9986848814629612,20.0,1.0333333333333334,0.8240436533333334
FL_2005_000109_PRK,0.79876935,0.38114525452815984,934.0,1.0010593220338984,0.7996155039724577
FL_2007_000051_TUN,0.79432786,0.4231882999139571,717.0,1.0013755158184319,0.7954204705364512
FL_2012_000030_KAZ,0.79435694,0.28061840038542696,1307.0,1.0007593014426728,0.7949600963705391
FL_2015_000068_BGD,0.7915724,0.5192995264562505,236.0,1.0040650406504066,0.7947901739837399
FL_2008_000032_KAZ,0.793199,0.2829184351283664,1295.0,1.0007662835249043,0.7938068153256705
FL_2002_000782_MKD,0.7835826,0.5271993833593748,212.0,1.0045045045045045,0.7871122513513513
FL_2022_000362_LCA,0.7837773,0.429820192599759,677.0,1.0014556040756915,0.7849181694323144
FL_2006_000056_AFG,0.76202106,0.9984761004631152,24.0,1.0294117647058822,0.784433444117647
FL_2010_000208_RUS,0.7814645,0.4257517891176932,706.0,1.0013966480446927,0.7825559308659218
FL_2008_000088_USA,0.7753619,0.5447842902040185,171.0,1.0055248618784531,0.7796456674033151
FL_2013_000002_PSE,0.7767862,0.43134726584640315,671.0,1.0014684287812041,0.7779268552129222
FL_2007_000129_PAK,0.77311534,0.5143423074253275,251.0,1.003831417624521,0.7760774677394636
FL_2012_000071_NPL,0.7695931,0.5601242853806274,127.0,1.0072992700729928,0.7752105678832117
FL_2002_000482_RUS,0.7732944,0.46646000899554013,465.0,1.0021052631578948,0.7749223882105264
FL_1999_000286_GMB,0.77339804,0.28969666134013733,1276.0,1.000777604976672,0.7739994381648523
FL_2015_000039_KAZ,0.7701522,0.28771135340731835,1285.0,1.0007722007722009,0.7707469121235522
FL_2013_000013_BWA,0.7691848,0.2945769263787991,1260.0,1.000787401574803,0.7697904573228346
FL_2004_000044_BGD,0.76481086,0.4614401914222647,488.0,1.002008032128514,0.7663466247791164
FL_2021_000023_DZA,0.76511645,0.4269459557523696,698.0,1.0014124293785311,0.7661971229519774
FL_2016_000075_BGD,0.7638904,0.49312675101652725,334.0,1.002906976744186,0.766111011627907
FL_2006_000023_DZA,0.76466095,0.41988487270791897,728.0,1.0013550135501355,0.7656970759485094
FL_2009_000171_AFG,0.73946667,0.9986909105152957,19.0,1.0344827586206897,0.7649655206896552
FL_2009_000247_MYS,0.76322395,0.3357392579570162,1122.0,1.0008833922261484,0.7638981761042403
FL_2019_000089_SLE,0.7621613,0.43701075177818827,641.0,1.001536098310292,0.7633320546850999
FL_2022_000332_BEN,0.76201904,0.38764616236801464,897.0,1.0011025358324146,0.7628591932965821
FL_2010_000015_PSE,0.7602087,0.4418707436889638,604.0,1.001628664495114,0.7614468249185667
FL_2002_000755_CRI,0.75988936,0.3884927219323093,894.0,1.0011061946902655,0.7607299455752212
FL_2016_000122_SRB,0.74871916,0.6076561838226947,64.0,1.0135135135135136,0.7588369864864866
FL_1999_000247_KOR,0.75685155,0.46429222982245805,474.0,1.0020661157024793,0.7584152928719008
FL_2013_000112_CAF,0.74518716,0.6265756438008534,47.0,1.0175438596491229,0.7582606189473684
FL_2009_000183_NGA,0.7473422,0.5909506186582042,75.0,1.011764705882353,0.7561344611764705
FL_2018_000046_RUS,0.75442696,0.45892143749796843,512.0,1.0019157088122606,0.7558722223754789
FL_2002_000054_IDN,0.7512784,0.5027262868034311,304.0,1.0031847133757963,0.7536710063694269
FL_1999_000132_BLR,0.736307,0.6493331074071114,34.0,1.0227272727272727,0.75304125
FL_2016_000117_ALB,0.7523384,0.2806468167419936,1306.0,1.000759878419453,0.7529100857142856
FL_2019_000079_BGD,0.7499558,0.45473003781788013,533.0,1.0018416206261511,0.7513369340699816
FL_2009_000145_NPL,0.7458733,0.5491980389700586,159.0,1.0059171597633136,0.7502867514792899
FL_1997_000164_BGD,0.74770844,0.4956243925358952,326.0,1.0029761904761905,0.7499337627380953
FL_1999_000349_SLV,0.7492699,0.3179585302638933,1185.0,1.000836820083682,0.7498969041004184
FL_2017_000174_ALB,0.7488056,0.32235802374790556,1170.0,1.0008474576271187,0.7494401810169491
FL_2012_000037_PSE,0.74769527,0.45336940009553967,542.0,1.0018115942028984,0.7490497904166666
FL_2002_000376_RUS,0.74731535,0.4664870308064357,464.0,1.0021097046413503,0.7488919646624473
FL_2004_000022_AFG,0.73028654,0.9978278768724177,30.0,1.025,0.7485437035
FL_2009_000100_DOM,0.74592257,0.5038834748332832,296.0,1.0032679738562091,0.7483602254575162
FL_2014_000159_MAR,0.74763644,0.3272855898913102,1152.0,1.0008605851979346,0.7482798448537005
FL_2002_000607_ALB,0.74762964,0.31437635182078905,1201.0,1.000825763831544,0.7482470055161023
FL_2021_000134_NPL,0.74243623,0.5639220731364676,121.0,1.0076335877862594,0.7481036821374045
FL_2010_000062_COD,0.74682987,0.4050208069552712,815.0,1.0012121212121212,0.7477351183272727
FL_2007_000126_PRK,0.74588215,0.41662604426909067,750.0,1.0013157894736842,0.746863573881579
FL_2021_000213_STP,0.7453553,0.46050034351095614,497.0,1.0019723865877712,0.7468254287968442
FL_2015_000155_NGA,0.73896337,0.5810415713194379,86.0,1.0104166666666667,0.7466609051041667
FL_2007_000155_ROM,0.7459619,0.26444062917037475,1348.0,1.0007363770250368,0.7465112092047128
FL_2008_000243_PNG,0.74279726,0.5371002298426764,192.0,1.004950495049505,0.7464744741584158
FL_1999_000233_SVK,0.7372196,0.5937899963196231,73.0,1.0120481927710843,0.7461017638554216
FL_2013_000023_ZMB,0.74486554,0.43851826854425635,630.0,1.0015625,0.74602939240625
FL_2017_000126_NGA,0.7394806,0.5691600389516726,110.0,1.0083333333333333,0.7456429383333334
FL_2007_000158_TGO,0.73964393,0.5635806037378601,122.0,1.0075757575757576,0.7452472931060605
FL_1998_000080_ARG,0.73790526,0.5729187980324562,101.0,1.009009009009009,0.744553055135135
FL_2010_000239_MNE,0.7438014,0.27334915363197876,1329.0,1.0007468259895445,0.7443568902165795
FL_2016_000068_NPL,0.7379906,0.5690348479099683,111.0,1.0082644628099173,0.7440896958677686
FL_2009_000219_NPL,0.7371756,0.5718296087216692,104.0,1.0087719298245614,0.743642052631579
FL_2015_000079_CRI,0.74199426,0.32419107429521477,1166.0,1.0008503401360545,0.7426252075
FL_2002_000263_CRI,0.7416564,0.3762578135680907,960.0,1.0010309278350515,0.7424209942268041
FL_2003_000028_BRA,0.7417606,0.3198033632300993,1175.0,1.0008438818565402,0.7423865583122363
FL_2010_000160_NPL,0.7369491,0.5560236610372058,139.0,1.0067114093959733,0.741895067114094
FL_2013_000116_NGA,0.73496747,0.5745906953323856,97.0,1.0093457943925233,0.741836324859813
FL_2006_000127_NPL,0.735876,0.5655016940154747,117.0,1.0078740157480315,0.7416702992125984
FL_2017_000107_NPL,0.7371805,0.5501553490413056,157.0,1.0059880239520957,0.741594754491018
FL_2010_000042_SRB,0.73060095,0.6124602400842838,59.0,1.0144927536231885,0.7411893695652174
FL_2013_000011_ZWE,0.73871064,0.4975623743479222,315.0,1.003076923076923,0.7409835958153845
FL_2002_000242_AFG,0.71850157,0.99864109441545,22.0,1.03125,0.7409547440625001
FL_2019_000083_NPL,0.73643976,0.5510322763886834,155.0,1.006060606060606,0.7409030312727273
FL_2008_000168_NPL,0.7359781,0.544667624794031,172.0,1.0054945054945055,0.7400219357142857
FL_2005_000150_NGA,0.7322325,0.5799169889864997,89.0,1.0101010101010102,0.7396287878787878
FL_2014_000117_BGD,0.73746234,0.4899405391183449,347.0,1.0028011204481793,0.7395280608403361
FL_2007_000174_CAF,0.72917426,0.6105780485792794,61.0,1.0140845070422535,0.7394443199999999
FL_2005_000168_NPL,0.7311006,0.5830054243894895,80.0,1.011111111111111,0.7392239399999999
FL_2016_000061_RUS,0.7368913,0.4581650683758376,518.0,1.0018939393939394,0.7382869274621213
FL_2009_000266_ALB,0.7376976,0.25887674208365086,1364.0,1.0007278020378456,0.7382344978165938
