Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.09647669619711607,937.0
FL_2023_000217_PRY,0.1182214874867154,675.0
Paraguay: Floods _ Jun 1995,0.12485312341088449,616.0
FL_2018_000419_PRY,0.1659021945820373,202.0
FL_2012_000056_PRY,0.12855242692198215,551.0
FL_2014_000030_PRY,0.14658148444812555,361.0
FL_1997_000299_PRY,0.12707806685118211,575.0
FL_2019_000033_PRY,0.1419483107051816,402.0
Paraguay: Floods _ Mar 1995,0.12476654565672375,617.0
FL_2013_000076_PRY,0.1243185716555093,618.0
subject,0.056940509522671684,1302.0
FL_2015_000171_PRY,0.19459947256622037,91.0
FL_2002_000296_PRY,0.142420648914774,398.0
ST_2015_000041_PRY,0.1293234055997139,544.0
FL_2023_000041_PRY,0.1431366607877942,391.0
FL_2009_000226_PRY,0.06674173172177665,1233.0
Paraguay: Floods _ Feb 1990,0.19272268898280262,94.0
FL_2021_000213_STP,0.18662118337576886,108.0
FL_2019_000034_BOL,0.09132892954464267,994.0
FL_2018_000015_BOL,0.1267107707569905,583.0
FL_2007_000012_BOL,0.10687025318508885,807.0
FL_2001_000029_BOL,0.11489596875359345,714.0
FL_2006_000010_BOL,0.016712878857904758,1462.0
FL_2007_000231_BOL,0.0695172624894224,1207.0
FL_2015_000008_BOL,0.06571833819735685,1244.0
FL_2024_000021_BOL,0.0705371833940443,1189.0
FL_2000_000130_BOL,0.12245572659978357,636.0
FL_2019_000032_BOL,0.09592313500712198,942.0
FL_2003_000621_BOL,0.07976401510860102,1106.0
FL_2013_000020_BOL,0.12873838546716307,549.0
FL_2011_000020_BOL,0.11213525197570848,748.0
FL_2010_000008_BOL,0.07085413530576684,1187.0
FL_2002_000110_BOL,0.03705149185438545,1410.0
Bolivia: Chapare River Floods _ Jan 1987,0.14110431273619997,413.0
FL_1997_000022_BOL,0.07615736905948708,1145.0
Bolivia: Floods _ Jan 1986,0.08116130312275938,1090.0
Bolivia: Landslides/Floods _ Mar 1994,0.02224899034177031,1449.0
FL_2009_000045_BOL,0.10453728129748072,842.0
FL_2014_000008_BOL,0.04342471511465663,1381.0
FL_2003_000012_BOL,0.0840763398209804,1060.0
FL_2012_000005_BOL,-0.0007876366252974193,1505.0
FL_2025_000038_BOL,0.040486626224466866,1390.0
FL_2019_000079_BGD,0.07731101560674808,1126.0
FL_2023_000157_BGD,0.03316289619391817,1422.0
Bangladesh: Floods _ Jul 1996,0.075810202766746,1151.0
FL_2020_000161_BGD,0.10792552851106386,790.0
FL_2007_000129_PAK,0.09730467614791982,926.0
Bangladesh: Floods _ Jul 1993,0.07664655393272608,1134.0
FL_1998_000203_BGD,0.02465460760204732,1445.0
FL_2014_000117_BGD,0.14857031782704086,339.0
Bangladesh: Floods _ Jul 1999,0.11112663283280495,762.0
FL_2005_000176_BGD,0.048820426571909485,1353.0
FL_2011_000093_BGD,0.14023227518254297,427.0
FL_2008_000096_BGD,0.01510257454139773,1468.0
FL_2021_000097_BGD,0.13271796783694295,509.0
FL_2006_000131_BGD,0.11902830975465827,670.0
FL_2000_000617_BGD,0.11454325210172997,720.0
FL_2015_000068_BGD,0.1035329580409144,852.0
Bangladesh: Floods _ Aug 1988,0.14969219018950639,332.0
FF_2007_000080_BGD,0.1559559529683152,281.0
Bangladesh: Floods _ Aug 1986,0.09293967073800857,974.0
Bangladesh: Floods _ Jun 1993,0.1112555587921222,759.0
FL_2004_000044_BGD,0.08975940440871841,1007.0
FL_1997_000164_BGD,0.08301986495404468,1067.0
FL_2016_000075_BGD,0.0848603227564732,1053.0
Bangladesh: Floods _ Jul 1988,0.10607093245622082,821.0
FL_2010_000114_BGD,0.1222350975625737,638.0
Bangladesh: Floods _ Sep 1986,0.11260609918699571,740.0
Bangladesh: Floods _ Aug 1989,0.0712715412982114,1184.0
FL_2009_000123_BGD,0.02412376954639658,1447.0
FL_2018_000105_BGD,0.07073031559828308,1188.0
FL_2002_000402_BGD,0.12161927956008915,642.0
FL_2002_000536_MMR,0.1199986363358513,659.0
Bangladesh: Floods _ Jul 1991,0.05653935434850264,1306.0
Bangladesh: Floods _ May 1984,0.06747023098335782,1229.0
FL_2012_000106_BGD,0.06236146958522644,1266.0
FL_2024_000088_BGD,0.12569305341207915,600.0
FL_2022_000217_BGD,0.06772272833663195,1226.0
FL_2006_000092_KOR,0.08997101780494599,1004.0
FL_2001_000335_KOR,0.0838068222055137,1066.0
FL_1999_000247_KOR,0.11471823369441889,715.0
FL_1998_000219_KOR,0.07215658444137231,1177.0
FL_2009_000190_TUR,0.09243465591631994,981.0
FL_2006_000156_TUR,0.16420762768756864,218.0
Turkey: Floods _ Nov 1995,0.039964140718310906,1394.0
FL_1998_000255_TUR,0.04969982120662521,1349.0
FL_2023_000040_TUR,0.01677593559993986,1460.0
FF_2009_000159_PAK,0.07195546438376108,1180.0
FL_2020_000185_PAK,0.16751602492293094,195.0
FF_2008_000123_PAK,0.17468642581663205,163.0
FL_2010_000141_PAK,0.0716232248561563,1182.0
FF_2012_000148_PAK,0.09830558281693473,912.0
FF_2013_000090_PAK,0.11767198693875341,680.0
FL_2015_000017_PAK,0.11142173527957625,756.0
Pakistan: Floods _ Aug 1996,0.14378799300941725,386.0
FL_1998_000048_PAK,0.19304346956296525,93.0
FL_2019_000087_PAK,0.06039969611591134,1284.0
FL_2017_000017_PAK,0.06899796814029163,1210.0
Pakistan: Floods _ Jul 1993,0.10831410824446217,785.0
FL_2014_000122_PAK,0.1761325364242412,155.0
FL_1992_000008_PAK,0.10610535539438573,819.0
FF_2007_000082_PAK,0.10380228235276358,850.0
Pakistan: Floods _ Feb 1991,0.1473232034165168,354.0
FL_2003_000359_PAK,0.14845400148447857,341.0
FL_2016_000066_PAK,0.2004656279983716,66.0
FL_2022_000254_PAK,0.17010110010982038,186.0
FL_2024_000118_PAK,0.11735838541419764,685.0
FL_2016_000021_PAK,0.037440638696134065,1407.0
FL_2005_000108_PAK,0.13027236134920075,534.0
FL_2024_000020_PAK,0.09523300169499607,946.0
FL_2023_000119_PAK,0.11745988745560632,684.0
FL_2001_000376_PAK,0.0653820065929587,1248.0
FL_2011_000109_PAK,0.15368920413819784,301.0
FL_2009_000139_PAK,0.14447526557018603,378.0
FL_2005_000038_MDG,0.057004116161997576,1300.0
ST_2022_000138_MDG,-0.005759877648776029,1509.0
2012_000020_MDG,0.13361730005021946,501.0
FL_2020_000019_MDG,0.037979379843119644,1405.0
FL_2003_000037_MDG,0.03423791847239843,1418.0
FL_2013_000004_KEN,0.046833563776903175,1362.0
FL_2009_000218_KEN,0.1669622951156064,198.0
FL_2024_000045_KEN,0.11842750526698492,673.0
FL_2011_000115_KEN,0.11306763404285156,738.0
FL_2002_000265_KEN,0.13522271431726793,479.0
FL_2010_000003_KEN,0.09997851226425147,896.0
FL_2004_000020_KEN,0.1788904198415569,142.0
FF_2012_000062_KEN,0.07892449878109864,1113.0
FL_2008_000217_KEN,0.15383784205489726,298.0
FL_2015_000169_KEN,0.17597042477853023,156.0
FL_2021_000038_KEN,0.10287207200538442,863.0
FL_2023_000216_KEN,0.22501071314957122,32.0
FL_2013_000038_KEN,0.052616618860098656,1329.0
FL_1997_000255_KEN,0.1837914309475489,123.0
FL_2020_000128_KEN,0.16025151955225397,243.0
FF_2023_000051_KEN,0.1879542565301453,105.0
FL_2019_000138_KEN,0.11140950237470869,757.0
FL_2007_000139_KEN,0.16305054236624802,223.0
FF_2008_000092_KEN,0.13127805362542844,520.0
FL_2007_000076_KEN,0.09853838747961907,910.0
FF_2018_000030_KEN,0.0696670476948657,1204.0
FL_2010_000174_KEN,0.1254677788431388,604.0
FF_2006_000046_KEN,0.10555029231737169,834.0
FL_2016_000042_KEN,0.12844919054283274,552.0
FL_2007_000221_KEN,0.07401345206241008,1161.0
FL_2025_000045_COD,0.12974594992362404,540.0
FL_2024_000009_COD,0.08745320141845986,1030.0
FL_1999_000531_COD,0.09106455894669278,998.0
FL_2012_000192_COD,0.09472275469519245,952.0
ST_2012_000064_COD,0.13751056395001593,453.0
FL_2010_000062_COD,0.17735392659709479,147.0
FL_2020_000052_COD,0.1279307907978248,559.0
FL_2010_000151_COD,0.12304760855746708,629.0
