Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.17044268378695215,272.0
FL_2023_000217_PRY,0.11543002774837866,874.0
Paraguay: Floods _ Jun 1995,0.1589074128494114,375.0
FL_2018_000419_PRY,0.1570852587986925,391.0
FL_2012_000056_PRY,0.09516840365596656,1125.0
FL_2014_000030_PRY,0.10829118374831606,954.0
FL_1997_000299_PRY,0.007164068016438001,1507.0
FL_2019_000033_PRY,0.023557283585249292,1491.0
Paraguay: Floods _ Mar 1995,0.07164755729802871,1328.0
FL_2013_000076_PRY,0.15142694851736918,449.0
subject,0.05026339787689625,1436.0
FL_2015_000171_PRY,0.15330088874641104,434.0
FL_2002_000296_PRY,0.07925601928632368,1273.0
ST_2015_000041_PRY,0.1214516720738729,808.0
FL_2023_000041_PRY,0.08270833281221962,1249.0
FL_2009_000226_PRY,0.06573981542472895,1371.0
Paraguay: Floods _ Feb 1990,0.12605177035725726,742.0
FL_2021_000213_STP,0.12555622050813142,750.0
FL_2019_000034_BOL,0.08667535874956786,1209.0
FL_2018_000015_BOL,0.11637201098680897,864.0
FL_2007_000012_BOL,0.16380639169932468,326.0
FL_2001_000029_BOL,0.12427075691926365,771.0
FL_2006_000010_BOL,0.1544098381781308,421.0
FL_2007_000231_BOL,0.0986436846132034,1083.0
FL_2015_000008_BOL,0.15311652453852537,436.0
FL_2024_000021_BOL,0.1364827872415439,623.0
FL_2000_000130_BOL,0.12403912173090023,776.0
FL_2019_000032_BOL,0.1646747732296029,316.0
FL_2003_000621_BOL,0.15015921114743797,461.0
FL_2013_000020_BOL,0.10306912411155104,1021.0
FL_2011_000020_BOL,0.12944747295936637,713.0
FL_2010_000008_BOL,0.01742552488765566,1496.0
FL_2002_000110_BOL,0.13572022647444298,639.0
Bolivia: Chapare River Floods _ Jan 1987,0.14770721764266131,483.0
FL_1997_000022_BOL,0.09673799570324981,1105.0
Bolivia: Floods _ Jan 1986,0.10084983010016649,1056.0
Bolivia: Landslides/Floods _ Mar 1994,0.08876603275910147,1193.0
FL_2009_000045_BOL,0.1158061562980409,870.0
FL_2014_000008_BOL,0.11222052148572313,906.0
FL_2003_000012_BOL,0.11727845853050567,854.0
FL_2012_000005_BOL,0.0973103295239579,1098.0
FL_2025_000038_BOL,0.10302761300810077,1023.0
FL_2019_000079_BGD,0.14283032482240696,542.0
FL_2023_000157_BGD,0.08600226256126572,1219.0
Bangladesh: Floods _ Jul 1996,0.12317181232324717,785.0
FL_2020_000161_BGD,0.1411184922384748,562.0
FL_2007_000129_PAK,0.08537336365925859,1224.0
Bangladesh: Floods _ Jul 1993,0.07825028280087883,1284.0
