Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2009_000113_CHN,0.8752501
FL_2017_000075_CHN,0.85597813
FL_2007_000077_CHN,0.8404706
FL_2008_000072_CHN,0.8321567
FL_2004_000043_IND,0.82746047
FL_2002_000350_CHN,0.8272197
FL_2000_000302_CHN,0.8125792
FL_1999_000651_CHN,0.8059885
FL_2002_000325_JAM,0.790132
FL_2007_000070_CHN,0.7742052
FL_2010_000195_MLI,0.77180356
FL_2007_000217_SRB,0.77136946
FL_2009_000245_SRB,0.77125216
FL_2016_000132_FJI,0.7667297
FL_2003_000389_BFA,0.7663513
FL_2012_000077_CHN,0.7662822
FL_2017_000174_ALB,0.7633436
FL_2019_000033_PRY,0.76257586
FL_2003_000331_CHN,0.7599572
FL_2010_000019_MEX,0.7595208
FL_2020_000052_COD,0.7577101
FL_2016_000009_IDN,0.7571269
FL_2016_000058_MMR,0.7568573
FL_2016_000025_SRB,0.7566842
FL_2003_000227_CHN,0.75514305
FL_2009_000177_GMB,0.75473964
FL_1997_000299_PRY,0.7541816
FL_2012_000125_PHL,0.7534107
FL_2016_000050_LKA,0.75320333
FL_2022_000276_GMB,0.7510625
FL_2020_000154_CIV,0.7507572
FL_2010_000115_MMR,0.7505363
FL_2010_000176_MRT,0.7504857
FL_2019_000079_BGD,0.7501503
FL_2008_000054_THA,0.7498064
FL_2015_000068_BGD,0.74918264
FL_2004_000120_CRI,0.74898034
FL_2018_000124_MMR,0.7484653
FL_2015_000110_ARG,0.748101
FL_2018_000105_BGD,0.74804485
FL_2022_000312_BGR,0.7471138
FL_2008_000191_CRI,0.7469078
FL_2019_000022_IRN,0.746362
FL_2001_000335_KOR,0.74464786
FL_1999_000235_IRN,0.74455357
FL_2000_000617_BGD,0.74362564
FL_2007_000129_PAK,0.74326813
FL_2022_000201_ZAF,0.74239105
FL_1998_000165_CHN,0.7423372
FL_2022_000135_ZMB,0.74228835
FL_1997_000144_CHN,0.74194205
FL_2018_000046_RUS,0.7414271
FL_2022_000290_SEN,0.7413037
FL_2006_000125_THA,0.7410373
FL_2008_000199_LKA,0.74092144
FL_2011_000059_CHN,0.7406585
FL_2006_000047_COD,0.74011034
FL_2005_000001_CRI,0.73909944
FL_2012_000172_MLI,0.7389462
FL_2015_000039_KAZ,0.73878646
FL_2005_000137_CAF,0.73815894
FL_2013_000054_CHN,0.73813313
FL_1997_000177_MMR,0.7373729
FL_2018_000414_IRQ,0.7371546
FL_2010_000251_CRI,0.737135
FL_2010_000092_LKA,0.7369524
FL_2015_000171_PRY,0.7368579
FL_2001_000180_IRN,0.7366957
FL_2012_000175_GMB,0.736444
FL_2008_000095_SUR,0.7364104
FL_2010_000150_MEX,0.73632133
FL_2009_000265_MAR,0.73618114
FL_2014_000154_IDN,0.7360499
FL_2014_000030_PRY,0.735921
FL_2011_000107_MMR,0.73561704
FL_2020_000161_BGD,0.73543847
FL_2016_000117_ALB,0.7350519
FL_2012_000089_CUB,0.7344641
FL_2002_000321_HTI,0.73435366
FL_2009_000251_SAU,0.7342433
FL_2013_000104_MLI,0.7341876
FL_2001_000274_WSM,0.7341351
FL_2007_000151_TCD,0.73397434
FL_2009_000190_TUR,0.7339145
FL_2022_000277_SDN,0.7338559
FL_2011_000095_PHL,0.73363185
FL_2005_000153_THA,0.73351884
FL_2007_000093_SDN,0.7331474
FL_2010_000072_RUS,0.7326721
FL_2012_000151_TCD,0.7326547
FL_2000_000187_ROM,0.7324884
FL_2009_000246_LKA,0.73175627
FL_2015_000135_LKA,0.7317162
FL_2015_000080_MMR,0.731675
FL_2014_000098_SDN,0.73155296
FL_2012_000064_COD,0.73124045
FL_1997_000295_COD,0.73123944
FL_1991_000011_CHN,0.73120546
FL_1998_000080_ARG,0.73114336
FL_2002_000402_BGD,0.7310713
FL_2021_000057_LKA,0.7307613
FL_2022_000287_TCD,0.73041844
FL_2012_000037_PSE,0.73034406
FL_2009_000136_BIH,0.7300575
FL_2006_000068_CHN,0.7298795
FL_2012_000140_MMR,0.72965974
FL_2019_000171_LKA,0.7292201
FL_2021_000173_IDN,0.72907007
FL_2011_000093_BGD,0.72886723
FL_2015_000053_CAF,0.7287839
FL_2021_000095_MMR,0.72836065
FL_2007_000100_MLI,0.7276898
FL_1998_000219_KOR,0.7275395
FL_2018_000060_LKA,0.72751456
FL_2011_000119_PHL,0.72747993
FL_2007_000131_SEN,0.72701496
FL_2009_000187_CIV,0.72683424
FL_2005_000070_YEM,0.72662896
FL_2008_000202_MAR,0.7266018
FL_2008_000079_LKA,0.7262528
FL_2005_000150_NGA,0.72605455
FL_1999_000247_KOR,0.7257067
FL_2012_000200_BFA,0.7254894
FL_2022_000217_BGD,0.72522664
FL_2009_000179_LBR,0.7245784
FL_2007_000138_UGA,0.7244865
FL_2010_000152_THA,0.72387683
FL_2018_000034_BLR,0.72374356
FL_2002_000755_CRI,0.7237412
FL_2013_000055_UGA,0.7231347
FL_2012_000066_COM,0.72304153
FL_2021_000023_DZA,0.7228412
FL_2019_000081_MMR,0.7226203
FL_2004_000023_CRI,0.7225654
FL_2016_000051_IDN,0.7224533
FL_2021_000068_SUR,0.72168446
FL_2018_000165_CRI,0.7216537
FL_2014_000159_MAR,0.7216216
FL_2020_000168_MNG,0.7215603
FL_2007_000083_IND,0.72140443
FL_2009_000039_CRI,0.72133017
FL_2014_000059_SRB,0.72111017
FL_2008_000096_BGD,0.72050637
FL_2009_000160_LKA,0.72049886
FL_2009_000196_IDN,0.72045004
FL_2006_000062_THA,0.7202454
FL_2003_000293_TLS,0.72010326
FL_2020_000192_TCD,0.7200959
FL_2011_000039_USA,0.71997035
FL_2015_000064_IND,0.71996945
FL_2001_000320_TLS,0.719728
FL_2005_000139_SLE,0.71928084
FL_2008_000167_VCT,0.71926904
FL_2020_000172_MMR,0.71924865
FL_2005_000067_IDN,0.71913385
FL_2011_000159_MEX,0.7183969
FL_2016_000080_BFA,0.7182144
FL_2001_000450_THA,0.71820176
FL_2019_000031_SYR,0.71817446
FL_2022_000283_LKA,0.7180973
FL_2010_000120_BRA,0.71805924
FL_2009_000107_THA,0.7176912
FL_2008_000243_PNG,0.7175187
FL_2006_000041_SRB,0.7174655
FL_2010_000012_EGY,0.7170669
FL_2015_000106_BFA,0.71700025
FL_2010_000161_MYS,0.71694654
FL_1997_000301_UGA,0.7165633
FL_2011_000143_SSD,0.7165612
FL_2000_000741_LKA,0.7165508
FL_2019_000098_CAF,0.7164053
FL_2013_000087_MMR,0.7163206
FL_2006_000178_JAM,0.71628726
FL_2012_000068_DOM,0.7161914
FL_2020_000237_LKA,0.71574533
FL_2018_000120_NGA,0.71549344
FL_2012_000169_SEN,0.7147008
FL_2006_000071_ROM,0.71460605
FL_2020_000019_MDG,0.7145573
FL_2012_000126_PAN,0.71447825
FL_2013_000023_ZMB,0.714348
FL_2006_000192_IDN,0.71434414
FL_2012_000159_PRK,0.7142897
FL_2013_000029_SRB,0.7142433
FL_2012_000127_CHN,0.71409214
FL_2007_000052_LKA,0.71401393
FL_2011_000073_CAF,0.71350026
FL_2021_000092_CRI,0.7131551
FL_2003_000350_MNG,0.71308464
FL_2012_000009_FJI,0.71289754
FL_2012_000063_RUS,0.71256
FL_2010_000075_TJK,0.71251774
FL_2011_000135_THA,0.71205205
FL_2007_000107_TLS,0.7117021
FL_2017_000091_MMR,0.71163934
FL_2011_000176_LKA,0.7115927
FL_2008_000038_ARG,0.71112967
FL_1997_000199_BEN,0.71107805
FL_2003_000012_BOL,0.7110665
FL_2009_000087_VUT,0.7108353
FL_2000_000048_BWA,0.7107562
FL_2005_000117_GTM,0.71074563
FL_1999_000286_GMB,0.710518
FL_2013_000101_LAO,0.71039283
FL_2002_000536_MMR,0.7102451
FL_2017_000057_LKA,0.71011025
FL_2003_000196_ARG,0.7100016
FL_2007_000049_TJK,0.7100003
FL_2000_000255_ARG,0.7097863
FL_2007_000153_GHA,0.7097361
FL_2002_000782_MKD,0.70953655
FL_2003_000481_HND,0.7094413
FL_2007_000082_PAK,0.70910466
FL_2005_000129_SDN,0.70905334
FL_2011_000196_IDN,0.7089958
FL_2001_000079_ROM,0.7087455
FL_2001_000095_HUN,0.7087455
FL_2001_000096_UKR,0.7087455
FL_2012_000025_VUT,0.7081668
FL_2013_000002_PSE,0.7081085
FL_2019_000108_MRT,0.7080568
FL_2018_000425_LKA,0.7079123
FL_2006_000091_PRK,0.7078707
FL_2007_000127_MRT,0.7078628
FL_2016_000060_IND,0.707758
FL_2017_000017_PAK,0.70768785
FL_2012_000044_FJI,0.7076195
FL_2010_000245_MAR,0.70733726
FL_2003_000229_LKA,0.70733047
FL_2002_000510_MEX,0.7073265
FL_2005_000132_MKD,0.70730466
FL_2020_000212_KHM,0.7068727
FL_2007_000051_TUN,0.70677555
FL_2012_000050_AFG,0.70674187
FL_2007_000132_BFA,0.70659304
FL_2009_000127_BEN,0.70635307
FL_2016_000124_COD,0.7060311
FL_2013_000108_SSD,0.7059348
FL_2006_000171_HTI,0.7057727
FL_1997_000022_BOL,0.7056794
FL_2000_000038_PHL,0.7055431
FL_2009_000247_MYS,0.70541495
FL_1999_000161_LKA,0.7053149
FL_2009_000237_THA,0.7051792
FL_2008_000154_MEX,0.7050247
FL_2001_000521_TCD,0.7046106
FL_2008_000213_PER,0.7045324
FL_2007_000181_HTI,0.7044679
FL_2015_000009_ALB,0.7044103
FL_2019_000103_LAO,0.70440423
FL_2021_000161_IND,0.7043986
FL_2022_000286_MRT,0.70439285
FL_2018_000030_KEN,0.70409095
FL_2019_000131_CIV,0.70375055
FL_2002_000263_CRI,0.70374656
FL_2007_000054_AFG,0.7035264
FL_2005_000104_IND,0.7032705
FL_2005_000081_CHN,0.7031031
FL_2010_000196_LKA,0.7030085
FL_2008_000089_IND,0.70290923
FL_2009_000123_BGD,0.70285213
FL_2020_000198_SEN,0.70262116
FL_2014_000070_LKA,0.7024375
FL_2009_000266_ALB,0.7024302
FL_2000_000012_MOZ,0.7024051
FL_2004_000044_BGD,0.702349
FL_2007_000009_PER,0.7021283
FL_2012_000196_COG,0.7020056
FL_2010_000026_DOM,0.70189524
FL_2008_000051_LKA,0.7018068
FL_2018_000144_PRK,0.701697
FL_2010_000008_BOL,0.70158505
FL_2019_000104_THA,0.70152485
FL_2014_000015_ZWE,0.70142215
FL_2007_000165_BEN,0.70140743
FL_2000_000375_CHL,0.7013347
FL_2009_000069_IDN,0.701297
FL_2005_000160_MMR,0.70124286
FL_2011_000109_PAK,0.7011345
FL_2011_000156_HTI,0.70106256
FL_2022_000274_IRN,0.70096856
FL_2011_000133_MEX,0.70096254
FL_2007_000080_BGD,0.7008621
FL_1999_000071_MOZ,0.70077604
FL_2005_000072_TJK,0.70074725
FL_1999_000213_IND,0.70073247
FL_2008_000125_SDN,0.70071375
FL_2009_000170_MRT,0.70069456
FL_2021_000061_MYS,0.7006112
FL_2015_000081_PHL,0.70057106
FL_2010_000042_SRB,0.7005703
FL_2006_000115_HTI,0.70052063
FL_2016_000044_CHN,0.7004436
FL_2009_000100_DOM,0.7003922
FL_2010_000114_BGD,0.7002766
FL_1998_000193_ROM,0.7002308
FL_2003_000571_DOM,0.70022917
FL_2014_000107_MMR,0.7001713
FL_2008_000032_KAZ,0.70000875
FL_2006_000092_KOR,0.70000666
FL_2011_000091_BEN,0.7000035
FL_2007_000220_SRB,0.69998
FL_2015_000027_CHL,0.6999126
FL_2005_000108_PAK,0.69989276
FL_2006_000106_MRT,0.6996658
FL_2022_000292_LAO,0.6993747
FL_2000_000438_KHM,0.69913244
FL_2020_000140_IDN,0.69902855
FL_2009_000032_SLB,0.6989961
FL_2019_000064_SDN,0.6989111
FL_1998_000111_TJK,0.69890857
FL_2013_000019_PER,0.69882745
FL_2013_000041_GHA,0.69840014
FL_2013_000125_BFA,0.6983285
FL_2021_000153_UGA,0.6982703
FL_2012_000106_BGD,0.6979489
FL_1997_000092_ECU,0.6979482
FL_1997_000522_MDA,0.6978781
FL_2019_000014_MWI,0.69784176
FL_2016_000137_ARG,0.6977642
FL_2021_000147_THA,0.697686
FL_2015_000018_PNG,0.6975986
FL_2017_000014_PER,0.6973791
FL_2007_000063_MDV,0.69722116
FL_2005_000110_BIH,0.6969525
FL_2010_000239_MNE,0.69694906
FL_2011_000157_SLV,0.6968899
FL_2020_000132_UGA,0.69683564
FL_2010_000153_PRK,0.6968163
FL_2016_000123_DOM,0.6967079
FL_2008_000166_GTM,0.69669855
FL_2015_000161_ETH,0.69659853
FL_2011_000190_AGO,0.6965563
FL_2004_000094_CHN,0.6964724
FL_2010_000085_CHN,0.6963954
FL_2002_000641_THA,0.6963674
FL_2005_000208_BIH,0.69623363
FL_2001_000407_IDN,0.69621754
FL_2019_000084_IND,0.6962025
FL_2021_000097_BGD,0.6961964
FL_2003_000482_MEX,0.6961653
FL_2007_000155_ROM,0.6960403
FL_2002_000482_RUS,0.69600946
FL_2009_000186_TCD,0.6959183
FL_2019_000067_UGA,0.69581
FL_2013_000123_CMR,0.6957586
FL_2001_000417_SDN,0.695678
FL_2009_000007_ZWE,0.6956736
FL_2021_000090_SDN,0.6954652
FL_2020_000158_SRB,0.6954273
FL_2003_000316_IND,0.69519585
FL_2020_000193_SSD,0.6951822
FL_2008_000175_UGA,0.6950664
