Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.05001654024479191,1238.0
FL_2023_000217_PRY,0.1242437919282984,583.0
Paraguay: Floods _ Jun 1995,0.1277985238689163,548.0
FL_2018_000419_PRY,0.15228066260528303,329.0
FL_2012_000056_PRY,0.10018549487087433,818.0
FL_2014_000030_PRY,0.034700257765301445,1337.0
FL_1997_000299_PRY,0.09313563167728367,896.0
FL_2019_000033_PRY,0.11151376890922543,686.0
Paraguay: Floods _ Mar 1995,0.07367180671234302,1054.0
FL_2013_000076_PRY,0.16572023762302482,238.0
subject,-0.010454617816863708,1479.0
FL_2015_000171_PRY,0.12962489725497478,532.0
FL_2002_000296_PRY,0.12188407357709412,608.0
ST_2015_000041_PRY,0.1455159081959032,387.0
FL_2023_000041_PRY,0.1736516714593356,191.0
FL_2009_000226_PRY,0.05928921398574626,1177.0
Paraguay: Floods _ Feb 1990,0.09177327685757646,907.0
FL_2021_000213_STP,0.052920544585451645,1220.0
FL_2019_000034_BOL,0.16019189100175646,274.0
FL_2018_000015_BOL,0.0827582740985606,981.0
FL_2007_000012_BOL,0.11931783328825302,635.0
FL_2001_000029_BOL,0.09237133414080179,901.0
FL_2006_000010_BOL,0.12887831313734815,537.0
FL_2007_000231_BOL,0.046397511286240256,1262.0
FL_2015_000008_BOL,0.15842181807295813,287.0
FL_2024_000021_BOL,0.10205575067190906,792.0
FL_2000_000130_BOL,0.11292467472919579,673.0
FL_2019_000032_BOL,0.12297423832667424,598.0
FL_2003_000621_BOL,0.04997469403016737,1239.0
FL_2013_000020_BOL,0.13687311618921882,468.0
FL_2011_000020_BOL,0.012934409463110079,1430.0
FL_2010_000008_BOL,0.10621402786251463,747.0
FL_2002_000110_BOL,0.04832239471316786,1249.0
Bolivia: Chapare River Floods _ Jan 1987,0.07151382490517166,1071.0
FL_1997_000022_BOL,0.10827485983390678,723.0
Bolivia: Floods _ Jan 1986,0.09131499865878004,911.0
Bolivia: Landslides/Floods _ Mar 1994,0.08982282225204011,929.0
FL_2009_000045_BOL,0.1473810353678066,376.0
FL_2014_000008_BOL,0.06654407965493458,1104.0
FL_2003_000012_BOL,0.07284297234272903,1060.0
FL_2012_000005_BOL,0.09815849617205859,837.0
FL_2025_000038_BOL,0.08667498723800895,952.0
FL_2019_000079_BGD,0.06007283108555172,1168.0
FL_2023_000157_BGD,0.008870632257780661,1442.0
Bangladesh: Floods _ Jul 1996,-0.056460843390619034,1514.0
FL_2020_000161_BGD,0.059917598607034064,1171.0
FL_2007_000129_PAK,0.09359700089925192,886.0
Bangladesh: Floods _ Jul 1993,-0.011740608147402541,1480.0
FL_1998_000203_BGD,0.014879571618832264,1420.0
FL_2014_000117_BGD,0.04182247675058551,1288.0
Bangladesh: Floods _ Jul 1999,0.039898654152448684,1300.0
FL_2005_000176_BGD,-0.011816241129354692,1482.0
FL_2011_000093_BGD,0.06371559748473572,1130.0
