Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,-0.01053311593987697,1474.0
FL_2023_000217_PRY,0.012021972635588024,1411.0
Paraguay: Floods _ Jun 1995,0.11918410803256237,387.0
FL_2018_000419_PRY,0.1026595392139108,558.0
FL_2012_000056_PRY,0.07567374875601846,882.0
FL_2014_000030_PRY,0.07044311937498804,937.0
FL_1997_000299_PRY,0.13393939163777982,253.0
FL_2019_000033_PRY,0.011452421970220065,1416.0
Paraguay: Floods _ Mar 1995,-0.02073259438722438,1490.0
FL_2013_000076_PRY,0.0943924559860369,655.0
subject,0.08290162059606063,799.0
FL_2015_000171_PRY,0.08452448229841254,785.0
FL_2002_000296_PRY,0.06386231061425082,1019.0
ST_2015_000041_PRY,0.029351583697943225,1317.0
FL_2023_000041_PRY,0.022621095685027744,1359.0
FL_2009_000226_PRY,0.10275285203391059,555.0
Paraguay: Floods _ Feb 1990,-0.005242798134574053,1463.0
FL_2021_000213_STP,0.05147543798899886,1145.0
FL_2019_000034_BOL,0.12952406003700462,297.0
FL_2018_000015_BOL,0.09740189548760153,617.0
FL_2007_000012_BOL,0.11033840913059541,463.0
FL_2001_000029_BOL,0.15152173843502553,150.0
FL_2006_000010_BOL,0.13254393551773141,269.0
FL_2007_000231_BOL,0.0545148027109264,1115.0
FL_2015_000008_BOL,0.12879618194393616,302.0
FL_2024_000021_BOL,0.13543676260638635,243.0
FL_2000_000130_BOL,0.11939435888713057,384.0
FL_2019_000032_BOL,0.05321864268305143,1127.0
FL_2003_000621_BOL,0.11953760527787322,381.0
FL_2013_000020_BOL,0.11268217637131592,440.0
FL_2011_000020_BOL,0.1468341653433722,174.0
FL_2010_000008_BOL,0.10525006641461088,525.0
FL_2002_000110_BOL,0.16769529402260497,92.0
Bolivia: Chapare River Floods _ Jan 1987,0.11034370061240184,461.0
FL_1997_000022_BOL,0.1295523545628574,296.0
Bolivia: Floods _ Jan 1986,0.10085547936750905,574.0
Bolivia: Landslides/Floods _ Mar 1994,0.06555409931571876,996.0
FL_2009_000045_BOL,0.0607864516149705,1049.0
FL_2014_000008_BOL,0.10896955852160847,481.0
FL_2003_000012_BOL,0.10392515246201614,542.0
FL_2012_000005_BOL,0.06078896387777115,1048.0
FL_2025_000038_BOL,0.07139905020256218,927.0
FL_2019_000079_BGD,0.09763578064405663,611.0
FL_2023_000157_BGD,0.12810095916133957,309.0
Bangladesh: Floods _ Jul 1996,0.07137156268573126,928.0
FL_2020_000161_BGD,0.17058615354076712,81.0
FL_2007_000129_PAK,0.11152292168460165,450.0
Bangladesh: Floods _ Jul 1993,0.15521063084890774,127.0
FL_1998_000203_BGD,0.07065993802488399,935.0
FL_2014_000117_BGD,0.15119893002246265,152.0
Bangladesh: Floods _ Jul 1999,0.1741140696015277,70.0
FL_2005_000176_BGD,0.14572184636125662,182.0
FL_2011_000093_BGD,0.16973350826594483,84.0
FL_2008_000096_BGD,0.08449711313697963,786.0
FL_2021_000097_BGD,0.10828180112511596,491.0
FL_2006_000131_BGD,0.18947444396927013,49.0
FL_2000_000617_BGD,0.05048028557993098,1152.0
FL_2015_000068_BGD,0.1669304169849598,94.0
Bangladesh: Floods _ Aug 1988,0.163740040125849,103.0
FF_2007_000080_BGD,-0.012745111230242374,1478.0
Bangladesh: Floods _ Aug 1986,0.08760163947399034,742.0
Bangladesh: Floods _ Jun 1993,0.08030148147590004,835.0
FL_2004_000044_BGD,0.10847656158372146,487.0
FL_1997_000164_BGD,0.06871476948186032,963.0
FL_2016_000075_BGD,0.07153085307788931,925.0
