Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2001_000314_GHA,0.81086105
FL_2022_000305_GIN,0.8048972
FL_2006_000120_BFA,0.79924536
FL_2015_000105_GIN,0.79684246
FL_2009_000132_GHA,0.791698
FL_2006_000112_ETH,0.78481996
FL_2012_000172_MLI,0.78347623
FL_2019_000033_PRY,0.7823008
FL_2020_000154_CIV,0.7818415
FL_2021_000019_PER,0.7811747
FL_2018_000077_CIV,0.7809161
FL_2017_000095_GHA,0.77993476
FL_2005_000104_IND,0.7784919
FL_2020_000221_SOM,0.77706254
FL_2012_000196_COG,0.77582365
FL_2014_000030_PRY,0.77475363
FL_2020_000202_GIN,0.77322763
FL_2011_000106_GHA,0.7711823
FL_2020_000161_BGD,0.7708611
FL_2019_000135_GHA,0.7705107
FL_2009_000268_AGO,0.7704559
FL_2013_000052_SOM,0.77038926
FL_2008_000205_IDN,0.76987803
FL_2013_000104_MLI,0.7696265
FL_2022_000309_SLE,0.7673331
FL_2017_000122_CMR,0.76623726
FL_2009_000226_PRY,0.76589
FL_2004_000116_CAF,0.7656827
FL_2001_000227_RUS,0.7646725
FL_2013_000123_CMR,0.7639693
FL_2006_000145_GIN,0.7637753
FL_2022_000274_IRN,0.7625031
FL_2001_000095_HUN,0.7616292
FL_2001_000096_UKR,0.7616292
FL_2001_000079_ROM,0.7616292
FL_2013_000076_PRY,0.76085615
FL_2014_000059_SRB,0.7606739
FL_2007_000130_CIV,0.7600671
FL_2021_000051_SOM,0.7596204
FL_2001_000407_IDN,0.7587688
FL_2010_000195_MLI,0.7585963
FL_1997_000299_PRY,0.7573913
FL_2007_000141_NGA,0.75699997
FL_2003_000196_ARG,0.75698614
FL_2007_000149_CMR,0.7566447
FL_1998_000165_CHN,0.7553401
FL_2007_000189_NIC,0.7543143
FL_2016_000009_IDN,0.7537296
FL_2018_000134_IND,0.7537129
FL_2007_000161_UGA,0.7517197
FL_2010_000161_MYS,0.75157857
FL_2002_000373_GHA,0.7503983
FL_2008_000038_ARG,0.7499737
FL_2009_000186_TCD,0.7496801
FL_2018_000360_RUS,0.74936175
FL_2009_000170_MRT,0.7490444
FL_2009_000187_CIV,0.74854994
FL_2015_000110_ARG,0.74785465
FL_2017_000054_BFA,0.74744797
FL_2017_000002_MYS,0.74729115
FL_2008_000035_PRY,0.74684435
FL_2022_000287_TCD,0.7464613
FL_2012_000043_KGZ,0.74644136
FL_2019_000067_UGA,0.74632406
FL_2004_000060_VNM,0.74585253
FL_2006_000172_COG,0.745508
FL_1997_000142_CZE,0.74478245
FL_1999_000213_IND,0.74405944
FL_2013_000028_NAM,0.74401724
FL_2007_000194_GTM,0.74360627
FL_2001_000146_AGO,0.74354273
FL_2001_000450_THA,0.7433671
FL_2013_000100_RUS,0.74260366
FL_2019_000098_CAF,0.74253285
FL_1999_000259_KHM,0.74219847
FL_2011_000124_ETH,0.74194
FL_2022_000277_SDN,0.74193794
FL_2011_000135_THA,0.7419144
FL_2015_000106_BFA,0.7418267
FL_2014_000154_IDN,0.7417494
FL_1997_000301_UGA,0.74157727
FL_2022_000276_GMB,0.7412895
FL_2007_000009_PER,0.7412797
FL_2012_000200_BFA,0.7406801
FL_2001_000696_BRA,0.73939586
FL_1999_000235_IRN,0.7388555
FL_2017_000139_ETH,0.7388021
FL_2009_000198_BEN,0.73866403
FL_2020_000052_COD,0.7383755
FL_2011_000110_UGA,0.73801863
FL_2008_000074_BFA,0.73738414
FL_1998_000040_URY,0.7371597
FL_2023_000001_COG,0.73697346
FL_2006_000130_KHM,0.7363857
FL_2014_000121_CMR,0.7360871
FL_2010_000102_CRI,0.735771
FL_2006_000125_THA,0.735641
FL_2021_000153_UGA,0.7351676
FL_2021_000078_GTM,0.7350471
FL_2005_000153_THA,0.7350347
FL_2011_000190_AGO,0.7344351
FL_2005_000081_CHN,0.7344189
FL_2007_000122_VNM,0.7342777
FL_2008_000180_NIC,0.7339406
FL_2007_000153_GHA,0.73386836
FL_2000_000741_LKA,0.73324513
FL_2007_000022_ARG,0.7332345
FL_2016_000080_BFA,0.733025
FL_1998_000179_RUS,0.7329775
FL_2007_000093_SDN,0.73260194
FL_2014_000168_MYS,0.7323855
FL_2016_000137_ARG,0.73225474
FL_2019_000034_BOL,0.7321489
FL_2010_000179_ETH,0.7320593
FL_1999_000363_NIC,0.7318599
FL_2019_000052_SRB,0.7317508
FL_2016_000060_IND,0.7312021
FL_2009_000178_GIN,0.7309
