Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.10249866872125932,635.0
FL_2023_000217_PRY,0.018939305955400918,1377.0
Paraguay: Floods _ Jun 1995,0.05322048010075445,1154.0
FL_2018_000419_PRY,0.07523206855230394,912.0
FL_2012_000056_PRY,0.10194184567419617,640.0
FL_2014_000030_PRY,0.07180965607271592,957.0
FL_1997_000299_PRY,0.0690324134132319,989.0
FL_2019_000033_PRY,0.1250297830363426,409.0
Paraguay: Floods _ Mar 1995,0.10288725482147962,629.0
FL_2013_000076_PRY,0.07897621837966906,873.0
subject,-0.05948894084825252,1518.0
FL_2015_000171_PRY,0.13775849226677006,302.0
FL_2002_000296_PRY,0.07455200825110606,918.0
ST_2015_000041_PRY,0.07451802371576592,919.0
FL_2023_000041_PRY,0.08894067707908146,781.0
FL_2009_000226_PRY,0.06260122000736022,1047.0
Paraguay: Floods _ Feb 1990,0.009232219059226283,1408.0
FL_2021_000213_STP,0.14327409247500794,269.0
FL_2019_000034_BOL,0.08868668479811112,784.0
FL_2018_000015_BOL,0.09409526815804103,730.0
FL_2007_000012_BOL,0.09663784382768917,706.0
FL_2001_000029_BOL,0.012226177149044691,1399.0
FL_2006_000010_BOL,-0.011227656121432653,1470.0
FL_2007_000231_BOL,0.060924570852528795,1068.0
FL_2015_000008_BOL,-0.0025365506565072915,1450.0
FL_2024_000021_BOL,0.1180433920930169,482.0
FL_2000_000130_BOL,0.07241092325689734,944.0
FL_2019_000032_BOL,0.11391961607571474,528.0
FL_2003_000621_BOL,0.04858389727192136,1189.0
FL_2013_000020_BOL,0.11473815816976492,519.0
FL_2011_000020_BOL,0.10919170908322051,567.0
FL_2010_000008_BOL,0.14380927825014775,264.0
FL_2002_000110_BOL,-0.0031170695437516688,1451.0
Bolivia: Chapare River Floods _ Jan 1987,0.15230544907437366,221.0
FL_1997_000022_BOL,0.11185791079591312,548.0
Bolivia: Floods _ Jan 1986,0.037154068231716415,1289.0
Bolivia: Landslides/Floods _ Mar 1994,0.024800144732460123,1338.0
FL_2009_000045_BOL,0.06077201437158999,1071.0
FL_2014_000008_BOL,0.043338278144290844,1236.0
FL_2003_000012_BOL,0.07270827478498042,940.0
FL_2012_000005_BOL,0.10048684942589393,656.0
FL_2025_000038_BOL,0.11639410455699126,502.0
FL_2019_000079_BGD,0.054947764647955824,1130.0
FL_2023_000157_BGD,-0.01339475799998575,1475.0
Bangladesh: Floods _ Jul 1996,0.05168887236071287,1164.0
FL_2020_000161_BGD,0.07765745447774325,883.0
FL_2007_000129_PAK,0.06202465009780554,1058.0
Bangladesh: Floods _ Jul 1993,-0.05490905564108908,1517.0
FL_1998_000203_BGD,0.028863988539750963,1326.0
FL_2014_000117_BGD,0.003699346679164224,1430.0
Bangladesh: Floods _ Jul 1999,0.040621015827903534,1271.0
FL_2005_000176_BGD,0.04356903495102532,1234.0
FL_2011_000093_BGD,0.019913706191778156,1370.0
FL_2008_000096_BGD,0.020526716617587835,1365.0
FL_2021_000097_BGD,0.019486651927858447,1373.0
FL_2006_000131_BGD,0.07207674697156069,952.0
FL_2000_000617_BGD,-0.02989009135368405,1498.0
FL_2015_000068_BGD,0.054114251117164766,1136.0
Bangladesh: Floods _ Aug 1988,0.02491957200865323,1337.0
FF_2007_000080_BGD,0.0791012661506529,870.0
Bangladesh: Floods _ Aug 1986,0.05129698844159426,1168.0
Bangladesh: Floods _ Jun 1993,0.04653853580351792,1212.0
FL_2004_000044_BGD,-0.021496816218197313,1488.0
FL_1997_000164_BGD,0.03652752519640178,1293.0
FL_2016_000075_BGD,0.07327520500186314,931.0
Bangladesh: Floods _ Jul 1988,0.05509545345764534,1129.0
FL_2010_000114_BGD,0.06283738451930289,1044.0
Bangladesh: Floods _ Sep 1986,0.050368608977547594,1176.0
Bangladesh: Floods _ Aug 1989,0.06127334363248023,1065.0
FL_2009_000123_BGD,0.023577061821768795,1347.0
FL_2018_000105_BGD,0.02837591571666077,1330.0
FL_2002_000402_BGD,0.05392200334157627,1139.0
FL_2002_000536_MMR,0.09448769669721364,726.0
Bangladesh: Floods _ Jul 1991,0.033489552444288216,1312.0
Bangladesh: Floods _ May 1984,0.028813507148110994,1327.0
FL_2012_000106_BGD,0.015294257557384436,1391.0
FL_2024_000088_BGD,0.10204432087117835,639.0
FL_2022_000217_BGD,0.008818019350859671,1410.0
FL_2006_000092_KOR,0.051783436765510324,1162.0
FL_2001_000335_KOR,0.0904709153805589,768.0
FL_1999_000247_KOR,0.06453219077022594,1028.0
FL_1998_000219_KOR,0.04247235255273511,1246.0
FL_2009_000190_TUR,0.06761155759840415,1001.0
FL_2006_000156_TUR,0.12982652136447947,357.0
Turkey: Floods _ Nov 1995,0.054139381360625585,1134.0
FL_1998_000255_TUR,-0.023418025577279268,1491.0
FL_2023_000040_TUR,-0.0031407627221975987,1452.0
FF_2009_000159_PAK,0.07687539376445493,896.0
FL_2020_000185_PAK,0.12482662501835942,412.0
FF_2008_000123_PAK,0.12375258589333978,420.0
FL_2010_000141_PAK,0.062280343710100154,1053.0
FF_2012_000148_PAK,0.07447706657350862,921.0
FF_2013_000090_PAK,0.06397558907355402,1034.0
FL_2015_000017_PAK,0.07075654314059823,967.0
Pakistan: Floods _ Aug 1996,0.019044666070811143,1375.0
FL_1998_000048_PAK,0.1152883294836602,513.0
FL_2019_000087_PAK,0.06946414435469112,983.0
FL_2017_000017_PAK,0.10499796725741573,609.0
Pakistan: Floods _ Jul 1993,0.04146722057759968,1255.0
FL_2014_000122_PAK,0.11361757958991078,529.0
FL_1992_000008_PAK,0.012219343279033144,1400.0
FF_2007_000082_PAK,0.07922185200517147,867.0
Pakistan: Floods _ Feb 1991,0.08978891000828455,774.0
FL_2003_000359_PAK,0.11110707103975566,555.0
FL_2016_000066_PAK,0.15757667791723506,188.0
FL_2022_000254_PAK,0.07133620310152097,964.0
FL_2024_000118_PAK,0.08132251299345436,854.0
FL_2016_000021_PAK,0.06806563374108826,999.0
FL_2005_000108_PAK,0.1214452938910219,445.0
FL_2024_000020_PAK,0.057542713762624396,1105.0
FL_2023_000119_PAK,0.07611617455468371,903.0
FL_2001_000376_PAK,0.1290421247273682,363.0
FL_2011_000109_PAK,0.05133954719596197,1167.0
FL_2009_000139_PAK,0.08510509040956107,814.0
FL_2005_000038_MDG,0.05650868408864382,1116.0
ST_2022_000138_MDG,0.09268703091066735,743.0
2012_000020_MDG,0.05791952114719787,1103.0
FL_2020_000019_MDG,0.036219883107723456,1298.0
FL_2003_000037_MDG,0.04101068886599124,1262.0
FL_2013_000004_KEN,0.08332118575025957,831.0
FL_2009_000218_KEN,0.06531020463694313,1021.0
FL_2024_000045_KEN,0.059392390572983386,1089.0
FL_2011_000115_KEN,0.06185694928811644,1061.0
FL_2002_000265_KEN,0.11903811825638562,470.0
FL_2010_000003_KEN,0.10476432459126321,611.0
FL_2004_000020_KEN,0.09910490543011949,677.0
FF_2012_000062_KEN,0.049800709931435136,1181.0
FL_2008_000217_KEN,0.13229113603479647,343.0
FL_2015_000169_KEN,0.1597842526896487,181.0
FL_2021_000038_KEN,0.06216791814103357,1056.0
FL_2023_000216_KEN,0.1336562134978393,331.0
FL_2013_000038_KEN,0.053770774136822866,1144.0
FL_1997_000255_KEN,0.11462196467593638,520.0
FL_2020_000128_KEN,0.1065305745059799,589.0
FF_2023_000051_KEN,0.08805718866543663,789.0
FL_2019_000138_KEN,0.14537107322300818,258.0
FL_2007_000139_KEN,0.04467596860695697,1224.0
FF_2008_000092_KEN,0.13527602597723853,322.0
FL_2007_000076_KEN,0.11813840026563355,480.0
FF_2018_000030_KEN,0.09007306490502748,771.0
FL_2010_000174_KEN,0.1708822091958646,145.0
FF_2006_000046_KEN,0.04830329483571995,1194.0
FL_2016_000042_KEN,0.12741111337720756,381.0
FL_2007_000221_KEN,0.040717428758765856,1267.0
FL_2025_000045_COD,0.0857251520799954,810.0
FL_2024_000009_COD,0.06957267926704411,981.0
FL_1999_000531_COD,0.05140275190369003,1165.0
FL_2012_000192_COD,0.006259981551139462,1423.0
ST_2012_000064_COD,0.05356541041558174,1146.0
