Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.49880391130977125,1004.0
FL_2023_000217_PRY,0.520494774356981,857.0
Paraguay: Floods _ Jun 1995,0.5590003503215268,592.0
FL_2018_000419_PRY,0.4915559326319605,1047.0
FL_2012_000056_PRY,0.5178301164396445,875.0
FL_2014_000030_PRY,0.4808313138237547,1108.0
FL_1997_000299_PRY,0.5078421852274362,952.0
FL_2019_000033_PRY,0.5174151756491427,878.0
Paraguay: Floods _ Mar 1995,0.5067150024809794,960.0
FL_2013_000076_PRY,0.5041074807948775,979.0
subject,0.4964790419633966,1022.0
FL_2015_000171_PRY,0.5494545617490105,662.0
FL_2002_000296_PRY,0.5104079897624543,924.0
ST_2015_000041_PRY,0.5302330206650957,795.0
FL_2023_000041_PRY,0.48700007894186464,1069.0
FL_2009_000226_PRY,0.5362490234828672,749.0
Paraguay: Floods _ Feb 1990,0.5004823994098125,996.0
FL_2021_000213_STP,0.7671467980787359,25.0
FL_2019_000034_BOL,0.4546865501877678,1247.0
FL_2018_000015_BOL,0.4611622494934355,1217.0
FL_2007_000012_BOL,0.43415537635742696,1341.0
FL_2001_000029_BOL,0.4105509160951743,1416.0
FL_2006_000010_BOL,0.4661684239608537,1194.0
FL_2007_000231_BOL,0.4591603596086943,1226.0
FL_2015_000008_BOL,0.42705765862007217,1364.0
FL_2024_000021_BOL,0.42497411786216777,1370.0
FL_2000_000130_BOL,0.3811591065877267,1479.0
FL_2019_000032_BOL,0.4537651883237796,1256.0
FL_2003_000621_BOL,0.3962479355371032,1445.0
FL_2013_000020_BOL,0.4126445441882367,1410.0
FL_2011_000020_BOL,0.4326940521287751,1347.0
FL_2010_000008_BOL,0.44816332093784594,1285.0
FL_2002_000110_BOL,0.4043086285886987,1428.0
Bolivia: Chapare River Floods _ Jan 1987,0.4595876688327335,1223.0
FL_1997_000022_BOL,0.41982150381770245,1386.0
Bolivia: Floods _ Jan 1986,0.4527286193923352,1261.0
Bolivia: Landslides/Floods _ Mar 1994,0.3734713342171908,1488.0
FL_2009_000045_BOL,0.42535099461719145,1368.0
FL_2014_000008_BOL,0.44406992648044,1303.0
FL_2003_000012_BOL,0.4303978193622353,1355.0
FL_2012_000005_BOL,0.4538289246812098,1254.0
FL_2025_000038_BOL,0.43434259355597166,1339.0
FL_2019_000079_BGD,0.7144409153523372,47.0
FL_2023_000157_BGD,0.7392667137044996,34.0
Bangladesh: Floods _ Jul 1996,0.7032949984774761,60.0
FL_2020_000161_BGD,0.7470916079305905,29.0
FL_2007_000129_PAK,0.7556623329666589,27.0
Bangladesh: Floods _ Jul 1993,0.7403218900418609,33.0
FL_1998_000203_BGD,0.7686698094777822,24.0
FL_2014_000117_BGD,0.7126671270238243,52.0
Bangladesh: Floods _ Jul 1999,0.7499036393953583,28.0
FL_2005_000176_BGD,0.7157975048849736,46.0
FL_2011_000093_BGD,0.7427288443754262,31.0
FL_2008_000096_BGD,0.7023018882115359,61.0
FL_2021_000097_BGD,0.7128499514175335,51.0
FL_2006_000131_BGD,0.6991868029343733,65.0
FL_2000_000617_BGD,0.7332198523723794,35.0
FL_2015_000068_BGD,0.7649027191679836,26.0
Bangladesh: Floods _ Aug 1988,0.6690663781127215,90.0
FF_2007_000080_BGD,0.711747110572907,54.0
Bangladesh: Floods _ Aug 1986,0.6972037017232267,66.0
Bangladesh: Floods _ Jun 1993,0.7133607705833028,49.0
FL_2004_000044_BGD,0.7448395436880041,30.0
FL_1997_000164_BGD,0.704541930264309,58.0
FL_2016_000075_BGD,0.7074246642231232,56.0
Bangladesh: Floods _ Jul 1988,0.7126157278411733,53.0
FL_2010_000114_BGD,0.7257996774782712,38.0
Bangladesh: Floods _ Sep 1986,0.7080588677961651,55.0
Bangladesh: Floods _ Aug 1989,0.7182781813790664,45.0
FL_2009_000123_BGD,0.720079792032953,42.0
FL_2018_000105_BGD,0.7132018443919179,50.0
FL_2002_000402_BGD,0.7417328821560947,32.0
FL_2002_000536_MMR,0.7331020173516003,36.0
Bangladesh: Floods _ Jul 1991,0.7208295173684606,41.0
Bangladesh: Floods _ May 1984,0.7194927472904508,44.0
FL_2012_000106_BGD,0.6950819566766819,69.0
FL_2024_000088_BGD,0.7235047418226882,39.0
FL_2022_000217_BGD,0.7308681647095514,37.0
FL_2006_000092_KOR,0.5783905246146686,448.0
FL_2001_000335_KOR,0.5572450889476884,604.0
FL_1999_000247_KOR,0.573350442798303,481.0
FL_1998_000219_KOR,0.5544945175441848,630.0
FL_2009_000190_TUR,0.655153094715099,109.0
FL_2006_000156_TUR,0.6446256087999314,137.0
Turkey: Floods _ Nov 1995,0.6475242257442663,128.0
FL_1998_000255_TUR,0.6234104835192283,199.0
FL_2023_000040_TUR,0.5635532108862757,561.0
FF_2009_000159_PAK,0.6016554160869737,307.0
FL_2020_000185_PAK,0.607880117119589,275.0
FF_2008_000123_PAK,0.610114038995232,261.0
FL_2010_000141_PAK,0.6129631022241726,243.0
FF_2012_000148_PAK,0.6105980599235377,255.0
FF_2013_000090_PAK,0.6151333377409457,228.0
FL_2015_000017_PAK,0.6462998176616301,133.0
Pakistan: Floods _ Aug 1996,0.5937467999318018,348.0
FL_1998_000048_PAK,0.6182125341275444,219.0
FL_2019_000087_PAK,0.6347058795248028,161.0
FL_2017_000017_PAK,0.6036586676352063,295.0
Pakistan: Floods _ Jul 1993,0.603259805247233,299.0
FL_2014_000122_PAK,0.6193015560083739,217.0
FL_1992_000008_PAK,0.627494600198506,180.0
FF_2007_000082_PAK,0.614715541526758,230.0
Pakistan: Floods _ Feb 1991,0.6464363020480419,130.0
FL_2003_000359_PAK,0.6146022179684971,232.0
FL_2016_000066_PAK,0.6125157218886212,247.0
FL_2022_000254_PAK,0.6157866940435142,226.0
FL_2024_000118_PAK,0.6258337150275596,187.0
FL_2016_000021_PAK,0.6245482332772752,190.0
FL_2005_000108_PAK,0.6212601420893771,206.0
FL_2024_000020_PAK,0.6217996066849508,204.0
FL_2023_000119_PAK,0.5903229336087084,364.0
FL_2001_000376_PAK,0.6126867509761184,245.0
FL_2011_000109_PAK,0.6173140985210901,223.0
FL_2009_000139_PAK,0.5857408183884676,394.0
FL_2005_000038_MDG,0.5067526979553792,959.0
ST_2022_000138_MDG,0.49666147484197376,1021.0
2012_000020_MDG,0.5354485746782677,761.0
FL_2020_000019_MDG,0.5166049647313966,886.0
FL_2003_000037_MDG,0.48655024662286533,1070.0
FL_2013_000004_KEN,0.4997906938411027,998.0
FL_2009_000218_KEN,0.49667826018063665,1020.0
FL_2024_000045_KEN,0.48289708781976926,1092.0
FL_2011_000115_KEN,0.5098441483780167,929.0
FL_2002_000265_KEN,0.5339671879441147,772.0
FL_2010_000003_KEN,0.5253968928927033,826.0
FL_2004_000020_KEN,0.5093729669368162,933.0
FF_2012_000062_KEN,0.496739101228339,1019.0
FL_2008_000217_KEN,0.5177674472984227,876.0
FL_2015_000169_KEN,0.5109618551444636,922.0
FL_2021_000038_KEN,0.5188879376612422,866.0
FL_2023_000216_KEN,0.49942289674812723,1002.0
FL_2013_000038_KEN,0.5563282000433456,613.0
FL_1997_000255_KEN,0.5327327034249882,784.0
FL_2020_000128_KEN,0.5151412346781009,895.0
FF_2023_000051_KEN,0.48643750518182327,1071.0
FL_2019_000138_KEN,0.49967493840743105,999.0
FL_2007_000139_KEN,0.5234819799602026,835.0
FF_2008_000092_KEN,0.5129087567137824,912.0
FL_2007_000076_KEN,0.4900731664061201,1053.0
FF_2018_000030_KEN,0.5557352392039872,616.0
FL_2010_000174_KEN,0.5056047322922049,971.0
FF_2006_000046_KEN,0.5169107707889018,881.0
FL_2016_000042_KEN,0.5093848316930899,932.0
FL_2007_000221_KEN,0.5316981744651752,789.0
FL_2025_000045_COD,0.4881955809223534,1059.0
FL_2024_000009_COD,0.4556587374028597,1243.0
FL_1999_000531_COD,0.44276727693293516,1306.0
FL_2012_000192_COD,0.3888200137850685,1465.0
ST_2012_000064_COD,0.42722396019489295,1363.0
FL_2010_000062_COD,0.4310105937777021,1351.0
FL_2020_000052_COD,0.5083870539853821,943.0
FL_2010_000151_COD,0.46603298302146245,1196.0
FL_2006_000047_COD,0.473551835957978,1151.0
FL_2016_000124_COD,0.44215417655369266,1309.0
FL_2015_000164_COD,0.3984995882195843,1442.0
FL_1997_000295_COD,0.45133595662125303,1267.0
FL_2011_000187_COD,0.4371012717793281,1326.0
FL_2022_000376_COD,0.411901650128383,1411.0
FL_2018_000004_COD,0.47037639387907226,1175.0
FL_2007_000197_COD,0.4571306040199244,1232.0
FL_2020_000206_COD,0.45304391212977735,1259.0
FL_2019_000153_COD,0.47207297945171134,1160.0
FF_2008_000186_COD,0.44722691016003707,1291.0
FL_2023_000067_COD,0.4485229587376579,1282.0
FL_2019_000020_COL,0.6084172850969458,272.0
FL_2015_000056_COL,0.640109993675102,147.0
FL_2003_000578_COL,0.6257447833249382,188.0
FL_2023_000232_COL,0.6306684076806172,176.0
FL_2008_000197_COL,0.6194762498719717,215.0
1987_07_01_CO_Flood,0.6566860398256801,106.0
FL_2013_000145_COL,0.609092115976223,268.0
FL_2010_000076_COL,0.6894389211931947,75.0
FL_2005_000020_COL,0.6355109227146729,159.0
FL_2007_000068_COL,0.6547723906216458,112.0
FL_2020_000242_COL,0.619834581407124,212.0
FL_2009_000241_COL,0.6394426055055241,149.0
FL_2008_000076_COL,0.6314281464325406,173.0
1986_07_01T00:00:00+00:00,0.5732965743057838,482.0
FL_2012_000183_COL,0.5985142145193217,320.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.582540389660603,423.0
LS_2010_000190_COL,0.6046245078090033,292.0
FL_2018_000058_COL,0.5707101195708397,509.0
FL_2006_000044_COL,0.5973069864596042,325.0
FL_2013_000030_COL,0.605066043359228,289.0
FL_2014_000004_COL,0.6658852666788218,91.0
FL_2012_000042_COL,0.6088496930169933,269.0
FL_2014_000163_COL,0.604757970224507,290.0
1996_07_01_CO_Flood,0.6228369728944908,202.0
FL_2000_000265_COL,0.6514853561846672,119.0
FL_2011_000170_COL,0.6271445982126904,181.0
OT_2004_000112_COL,0.6239484254449207,195.0
FL_2024_000117_COL,0.6166932806455676,224.0
FL_2011_000042_COL,0.6309911758838608,175.0
FL_2005_000017_VEN,0.5900716919264156,365.0
FL_2024_000214_COL,0.6102384799631306,257.0
1988_08_01T00:00:00+00:00,0.6102289944443403,258.0
FL_2004_000021_COL,0.6602275602942456,99.0
FL_2005_000194_COL,0.6408351978473994,144.0
FL_2016_000060_IND,0.4435177589745354,1305.0
FL_2001_000332_IND,0.4730367014493228,1152.0
FL_2017_000064_IND,0.4461294559952317,1295.0
FL_2024_000109_IND,0.4590436060772162,1227.0
FL_2009_000217_IND,0.4496675639152538,1277.0
IND_2018_000413,0.4659552232322959,1197.0
FL_2023_000104_IND,0.4446767009708771,1300.0
FL_2000_000444_IND,0.4672415051285848,1188.0
FL_1999_000213_IND,0.42973091594132784,1360.0
FL_2010_000249_IND,0.4419216829080355,1311.0
FL_2006_000070_IND,0.4562000977668972,1238.0
FL_2014_000089_IND,0.4354067895230516,1333.0
FL_2003_000316_IND,0.44632444128425136,1293.0
India: Floods _ Jun 1994,0.4535725464971294,1257.0
FL_1998_000392_IND,0.43973911654076225,1317.0
FL_1997_000337_IND,0.44425428320312166,1301.0
India_Manipur: Floods _ Apr 2004,0.46391702338299257,1207.0
FL_2015_000064_IND,0.4789890437208022,1116.0
FL_1999_000371_IND,0.45679297936515556,1235.0
India: Floods _ Aug 2003,0.4652055740744485,1203.0
FL_2005_000104_IND,0.45233152886021116,1263.0
India: Floods _ Nov 1992,0.4711574955479745,1168.0
FL_2020_000164_IND,0.46720906617500196,1189.0
FL_2002_000374_IND,0.4705779817205469,1174.0
FL_2022_000213_IND,0.41776455515444577,1393.0
FL_2012_000110_IND,0.4346918061330552,1337.0
India: Floods _ Jun 1996,0.4514032557413332,1266.0
FL_2008_000089_IND,0.47206038291412006,1162.0
FF_2007_000083_IND,0.45599407436019246,1240.0
India: Floods _ Aug 1988,0.4840292658021408,1081.0
FL_2010_000125_IND,0.4926428849196486,1042.0
FL_2011_000084_IND,0.43079943659275455,1353.0
