Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2005_000064_ETH,0.70668316
FL_2020_000126_ETH,0.6910847
FL_2013_000050_ETH,0.68211794
FL_2012_000081_ETH,0.67294157
FL_1997_000270_ETH,0.65922916
FL_2014_000152_ETH,0.6517581
FL_2016_000045_ETH,0.64734143
FL_2003_000204_KEN,0.64258695
FL_2002_000225_ETH,0.64179975
FL_2006_000169_SOM,0.615633
FL_2015_000161_ETH,0.61555064
FL_2008_000227_ETH,0.57221717
FL_2017_000139_ETH,0.55641204
FL_2010_000179_ETH,0.541906
FL_2022_000224_GTM,0.5396294
FL_2012_000064_COD,0.5391393
FL_2007_000161_UGA,0.53872895
FL_2008_000141_ETH,0.5350644
FL_2012_000125_PHL,0.5198664
FL_2011_000124_ETH,0.5188613
FL_2019_000116_ETH,0.5169174
FL_2015_000123_NER,0.5158338
FL_2014_000015_ZWE,0.5134151
FL_2009_000265_MAR,0.50089896
FL_2022_000287_TCD,0.4896372
FL_2009_000117_GTM,0.48879516
FL_2003_000227_CHN,0.48793936
FL_2018_000110_CHN,0.48728165
FL_2011_000190_AGO,0.484597
FL_2000_000302_CHN,0.48384222
FL_2013_000125_BFA,0.4829723
FL_2004_000116_CAF,0.4811015
FL_2015_000093_GUY,0.4807759
FL_2021_000043_YEM,0.48020422
FL_2010_000245_MAR,0.48016304
FL_2019_000108_MRT,0.48003507
FL_2014_000154_IDN,0.47989106
FL_2022_000356_ETH,0.47909755
FL_2009_000218_KEN,0.47831178
FL_2009_000170_MRT,0.4775323
FL_2015_000169_KEN,0.47693208
FL_2019_000094_GTM,0.47656423
FL_2011_000095_PHL,0.47647005
FL_2006_000156_TUR,0.47523227
FL_2005_000100_KGZ,0.4750723
FL_2007_000145_ETH,0.4749447
FL_2005_000081_CHN,0.47456783
FL_1999_000235_IRN,0.47445706
FL_2018_000154_GHA,0.4744517
FL_2022_000333_THA,0.47418296
FL_1998_000329_BEN,0.47401094
FL_2019_000014_MWI,0.47376755
FL_2011_000119_PHL,0.471906
FL_2017_000054_BFA,0.47115502
FL_1999_000548_YEM,0.4703492
FL_2009_000095_TJK,0.46968526
FL_2000_000048_BWA,0.46936178
FL_2005_000072_TJK,0.46803474
FL_2015_000055_TJK,0.46761334
FL_2006_000121_MKD,0.46749628
FL_2016_000034_YEM,0.46620423
FL_2018_000043_TZA,0.46516848
FL_2007_000206_COG,0.46426296
FL_2009_000140_MNG,0.4640519
FL_2003_000027_TUN,0.46300706
FL_2006_000047_COD,0.46273828
FL_2020_000192_TCD,0.46188048
FL_2007_000221_KEN,0.4618448
FL_2007_000127_MRT,0.4610139
FL_2006_000112_ETH,0.4609183
FL_2007_000200_MEX,0.46085092
FL_2018_000360_RUS,0.4606864
FL_2010_000114_BGD,0.4600281
FL_2013_000041_GHA,0.45965454
FL_2008_000095_SUR,0.45734492
FL_2017_000130_GTM,0.45723373
FL_2008_000074_BFA,0.45705944
FL_2019_000064_SDN,0.45634037
FL_1997_000025_MWI,0.45629123
FL_2012_000062_KEN,0.4560098
FL_2002_000734_MAR,0.4541113
FL_2013_000074_HTI,0.45401862
FL_1997_000295_COD,0.45380232
FL_2012_000191_HTI,0.45372695
