Historical_Disaster_ID,CNN_Cosine_Similarity,Graph_Cosine_Similarity,Domain_Rank,Boost_Factor,Final_Alpha_Weight
FL_2002_000482_RUS,0.6730422,0.9584625377683473,12.0,1.0454545454545454,0.7036350272727273
FL_2010_000208_RUS,0.6680497,0.9608723626506528,9.0,1.0526315789473684,0.7032102105263157
FL_2014_000159_MAR,0.670056,0.5439764716351633,424.0,1.0023041474654377,0.6715999078341013
FL_2012_000063_RUS,0.6393925,0.956424501413411,14.0,1.0416666666666667,0.6660338541666667
FL_2010_000021_AFG,0.6363192,0.7196152723322693,40.0,1.02,0.649045584
FL_2016_000061_RUS,0.58346516,0.9646593448136519,2.0,1.0833333333333333,0.6320872566666667
FL_2017_000174_ALB,0.6291045,0.4027584793872423,1184.0,1.0008375209380234,0.6296313881909547
FL_2016_000122_SRB,0.61012226,0.41244888873271496,1147.0,1.0008643042350907,0.6106495912532411
FL_2016_000117_ALB,0.60697687,0.4158532617709556,1121.0,1.0008841732979663,0.6075135427409372
FL_2019_000064_SDN,0.5956981,0.48635823616371576,762.0,1.0012953367875648,0.5964697296632124
FL_2010_000245_MAR,0.5929712,0.5887015326926002,198.0,1.0048076923076923,0.5958220230769231
FL_2002_000376_RUS,0.54880744,0.9644663188143908,3.0,1.0769230769230769,0.5910233969230769
FL_2010_000072_RUS,0.5563295,0.9621019188119566,8.0,1.0555555555555556,0.5872366944444445
FL_2008_000032_KAZ,0.58537567,0.5353797327937044,477.0,1.002053388090349,0.5865776734291581
FL_2018_000034_BLR,0.5787889,0.49859889447907607,709.0,1.0013908205841446,0.5795938915159945
FL_2009_000245_SRB,0.5788522,0.4158779353325095,1120.0,1.0008849557522124,0.5793644585840708
FL_2002_000325_JAM,0.576589,0.40815273695365867,1162.0,1.0008532423208192,0.5770809701365188
FL_2009_000251_SAU,0.5752394,0.5472793863803371,409.0,1.0023866348448687,0.5766122863961813
FL_2009_000102_HTI,0.5723505,0.5107643470081794,648.0,1.0015197568389058,0.5732203335866262
FL_2017_000075_CHN,0.5699724,0.2631057073384331,1487.0,1.0006680026720107,0.5703531430861725
FL_2005_000109_PRK,0.5695591,0.34368279720229167,1332.0,1.0007451564828613,0.5699835106557376
FL_2015_000068_BGD,0.5668486,0.3740507643223877,1263.0,1.0007855459544384,0.5672938856245091
FL_2006_000121_MKD,0.5607668,0.606514737141032,143.0,1.0065359477124183,0.5644319424836601
FL_2009_000266_ALB,0.56230223,0.4291768530118414,1056.0,1.0009380863039399,0.5628297180206379
FL_2005_000110_BIH,0.5615436,0.5135558737029051,631.0,1.001560062402496,0.5624196430577223
FL_2007_000129_PAK,0.5604172,0.35289294389798587,1308.0,1.0007587253414265,0.5608424027314113
FL_2011_000123_RUS,0.5406463,0.9548190866661665,17.0,1.037037037037037,0.560670237037037
FL_2007_000217_SRB,0.5538172,0.4128419061651618,1140.0,1.0008695652173913,0.5542987801739131
FL_2002_000321_HTI,0.5532323,0.528584118534856,524.0,1.0018726591760299,0.5542683155430711
FL_2014_000008_BOL,0.55147624,0.588452537104885,199.0,1.0047846889952152,0.5541148822966506
FL_1999_000247_KOR,0.55199385,0.5371569082890364,465.0,1.0021052631578948,0.5531559423157896
FL_2017_000079_TJK,0.5477979,0.5023212249652008,690.0,1.0014285714285713,0.5485804684285713
FL_2009_000265_MAR,0.54545563,0.5923291897610651,182.0,1.0052083333333333,0.5482965447395832
FL_2022_000213_IND,0.5462428,0.5149128483195826,619.0,1.0015898251192368,0.5471112305246423
FL_2017_000052_RUS,0.5165899,0.9625556145714094,7.0,1.0588235294117647,0.5469775411764707
FL_2004_000043_IND,0.5448371,0.2633395710128689,1486.0,1.000668449197861,0.5452012959224599
FL_2016_000084_PHL,0.543029,0.3358185313839096,1350.0,1.000735294117647,0.5434282860294117
FL_2018_000128_SDN,0.5422418,0.48496456200716975,769.0,1.0012836970474968,0.5429378741976894
FL_2003_000350_MNG,0.5404315,0.5061697231253943,673.0,1.0014641288433381,0.5412227613469984
FL_2021_000007_SYR,0.5400145,0.4714935769087192,833.0,1.0011862396204034,0.5406550865954923
FL_2006_000047_COD,0.53912765,0.4327248666071357,1042.0,1.0009505703422052,0.5396401287547528
FL_2009_000113_CHN,0.53685164,0.32155166570586163,1386.0,1.0007163323782235,0.5372362042120343
FL_2010_000051_KAZ,0.5363065,0.5168902097823057,607.0,1.0016207455429498,0.53717571636953
FL_2006_000068_CHN,0.5350079,0.37563609713161256,1255.0,1.000790513833992,0.535430831146245
FL_2007_000151_TCD,0.5322795,0.5639756985709715,315.0,1.003076923076923,0.533917283076923
FL_2005_000098_BGR,0.53289133,0.4309323846873758,1051.0,1.000942507068803,0.5333935838454288
FL_2018_000360_RUS,0.5118202,0.9562852731768289,15.0,1.04,0.532293008
FL_2006_000156_TUR,0.52916527,0.4837830508917831,775.0,1.0012738853503185,0.5298393658853503
FL_1997_000522_MDA,0.5259322,0.6104218681794333,134.0,1.0069444444444444,0.5295845069444444
FL_2007_000054_AFG,0.51732254,0.7210691398379011,38.0,1.0208333333333333,0.5281000929166666
FL_2015_000039_KAZ,0.5226928,0.506497536045121,672.0,1.001466275659824,0.5234592117302053
FL_2005_000208_BIH,0.52275944,0.4787571904569315,804.0,1.0012285012285012,0.5234016506142506
FL_2012_000050_AFG,0.5103193,0.7157234012487824,44.0,1.0185185185185186,0.5197696574074074
FL_2002_000782_MKD,0.51492,0.6160071892760732,123.0,1.0075187969924813,0.5187915789473685
FL_2009_000166_SDN,0.5176219,0.5176583993564312,598.0,1.0016447368421053,0.5184732518092106
FL_2002_000607_ALB,0.51779217,0.4546679221712645,931.0,1.0010626992561105,0.5183424273538788
