Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.48594047074155,285.0
FL_2023_000217_PRY,0.48208741338763644,305.0
Paraguay: Floods _ Jun 1995,0.48205145355958934,307.0
FL_2018_000419_PRY,0.42258719140797835,866.0
FL_2012_000056_PRY,0.4438616469573525,636.0
FL_2014_000030_PRY,0.4387337437603378,692.0
FL_1997_000299_PRY,0.4332903715960902,748.0
FL_2019_000033_PRY,0.499984641931015,215.0
Paraguay: Floods _ Mar 1995,0.43385196429237705,738.0
FL_2013_000076_PRY,0.46961525150923,386.0
subject,0.47798082274995934,331.0
FL_2015_000171_PRY,0.5054771574815453,194.0
FL_2002_000296_PRY,0.4319151776985462,766.0
ST_2015_000041_PRY,0.45826377780921035,476.0
FL_2023_000041_PRY,0.4081907118396455,973.0
FL_2009_000226_PRY,0.47238709766649223,363.0
Paraguay: Floods _ Feb 1990,0.47263478189133173,359.0
FL_2021_000213_STP,0.5842802498002566,48.0
FL_2019_000034_BOL,0.5478344756684036,70.0
FL_2018_000015_BOL,0.5176606982218467,131.0
FL_2007_000012_BOL,0.5399729266164309,76.0
FL_2001_000029_BOL,0.5197014438784879,118.0
FL_2006_000010_BOL,0.4807723386146539,315.0
FL_2007_000231_BOL,0.5190118508096444,123.0
FL_2015_000008_BOL,0.5128208385410347,158.0
FL_2024_000021_BOL,0.5220052969729385,110.0
FL_2000_000130_BOL,0.4634814792833349,435.0
FL_2019_000032_BOL,0.49783615110646784,228.0
FL_2003_000621_BOL,0.5146721162029273,146.0
FL_2013_000020_BOL,0.5233891422733536,106.0
FL_2011_000020_BOL,0.5380087328440634,80.0
FL_2010_000008_BOL,0.5263731402360355,101.0
FL_2002_000110_BOL,0.5174433138380133,133.0
Bolivia: Chapare River Floods _ Jan 1987,0.5188394264452699,124.0
FL_1997_000022_BOL,0.5180078245878976,130.0
Bolivia: Floods _ Jan 1986,0.5055963923756484,193.0
Bolivia: Landslides/Floods _ Mar 1994,0.46973800562970536,385.0
FL_2009_000045_BOL,0.49512800208499863,243.0
FL_2014_000008_BOL,0.5298093598607012,94.0
FL_2003_000012_BOL,0.48675506270014834,282.0
FL_2012_000005_BOL,0.5002685274656105,213.0
FL_2025_000038_BOL,0.4675134985803474,405.0
FL_2019_000079_BGD,0.44761842593799617,590.0
FL_2023_000157_BGD,0.4357457011612583,720.0
Bangladesh: Floods _ Jul 1996,0.41922726976084107,887.0
FL_2020_000161_BGD,0.44866450581830575,575.0
FL_2007_000129_PAK,0.4658315346516412,412.0
Bangladesh: Floods _ Jul 1993,0.4188856013651001,891.0
FL_1998_000203_BGD,0.46930322815170133,392.0
FL_2014_000117_BGD,0.3994808028558302,1032.0
Bangladesh: Floods _ Jul 1999,0.44974553290791613,565.0
FL_2005_000176_BGD,0.4548013237859319,511.0
FL_2011_000093_BGD,0.3918847274269943,1070.0
FL_2008_000096_BGD,0.43348591125749747,746.0
FL_2021_000097_BGD,0.42631174394983895,827.0
FL_2006_000131_BGD,0.40409028183374956,996.0
FL_2000_000617_BGD,0.4065034485191186,983.0
FL_2015_000068_BGD,0.4642960799952124,424.0
Bangladesh: Floods _ Aug 1988,0.41165233553338165,953.0
FF_2007_000080_BGD,0.45346599701000145,524.0
Bangladesh: Floods _ Aug 1986,0.4339103065375864,736.0
Bangladesh: Floods _ Jun 1993,0.4443566019003822,628.0
FL_2004_000044_BGD,0.4225972096484676,865.0
FL_1997_000164_BGD,0.4598824460921907,465.0
FL_2016_000075_BGD,0.414691465896981,928.0
Bangladesh: Floods _ Jul 1988,0.4238071428730249,852.0
FL_2010_000114_BGD,0.4190646082742749,889.0
Bangladesh: Floods _ Sep 1986,0.3840865461989826,1111.0
Bangladesh: Floods _ Aug 1989,0.44422707374023834,631.0
FL_2009_000123_BGD,0.4301838811353395,787.0
FL_2018_000105_BGD,0.4118844499063446,951.0
FL_2002_000402_BGD,0.46294884243870826,439.0
FL_2002_000536_MMR,0.4369453524240319,711.0
Bangladesh: Floods _ Jul 1991,0.44836379091482936,580.0
Bangladesh: Floods _ May 1984,0.4257751568101745,832.0
FL_2012_000106_BGD,0.4379311200420803,699.0
FL_2024_000088_BGD,0.45377585765155304,521.0
FL_2022_000217_BGD,0.43430653930750546,733.0
FL_2006_000092_KOR,0.41326477060080047,943.0
FL_2001_000335_KOR,0.4025286883487117,1009.0
FL_1999_000247_KOR,0.4123456094758985,948.0
FL_1998_000219_KOR,0.40288883568313894,1006.0
FL_2009_000190_TUR,0.48605875273630866,284.0
FL_2006_000156_TUR,0.5284780281967427,96.0
Turkey: Floods _ Nov 1995,0.5731302899228,52.0
FL_1998_000255_TUR,0.49487125680745203,247.0
FL_2023_000040_TUR,0.46277933123577686,441.0
FF_2009_000159_PAK,0.41401192664862185,937.0
FL_2020_000185_PAK,0.41761228905503267,901.0
FF_2008_000123_PAK,0.4183555889884403,896.0
FL_2010_000141_PAK,0.424036102736354,848.0
FF_2012_000148_PAK,0.41717688672127445,905.0
FF_2013_000090_PAK,0.4235306947672861,855.0
FL_2015_000017_PAK,0.4520843248849997,544.0
Pakistan: Floods _ Aug 1996,0.3995688355348856,1031.0
FL_1998_000048_PAK,0.42279421364101577,861.0
FL_2019_000087_PAK,0.43151335451154316,769.0
FL_2017_000017_PAK,0.41139784974396953,954.0
Pakistan: Floods _ Jul 1993,0.41371793736483176,940.0
FL_2014_000122_PAK,0.42088172518123246,877.0
FL_1992_000008_PAK,0.442476237940984,644.0
FF_2007_000082_PAK,0.42539794188628804,835.0
Pakistan: Floods _ Feb 1991,0.44980215477247476,563.0
FL_2003_000359_PAK,0.42985068769960466,792.0
FL_2016_000066_PAK,0.42590622134014383,831.0
FL_2022_000254_PAK,0.42680284254620326,824.0
FL_2024_000118_PAK,0.4296197665443149,796.0
FL_2016_000021_PAK,0.4298528802582381,791.0
FL_2005_000108_PAK,0.42452113542977,842.0
FL_2024_000020_PAK,0.429334741287067,802.0
FL_2023_000119_PAK,0.4007576783057627,1018.0
FL_2001_000376_PAK,0.41614768720468387,917.0
FL_2011_000109_PAK,0.42936597116643427,800.0
FL_2009_000139_PAK,0.39757905013154293,1049.0
FL_2005_000038_MDG,0.43665846189022683,714.0
ST_2022_000138_MDG,0.4344635091684276,732.0
2012_000020_MDG,0.4700819998945057,382.0
FL_2020_000019_MDG,0.4411306824800539,662.0
FL_2003_000037_MDG,0.42930130838568914,803.0
FL_2013_000004_KEN,0.3091058764897732,1318.0
FL_2009_000218_KEN,0.30296765670967335,1328.0
FL_2024_000045_KEN,0.30037733043498904,1331.0
FL_2011_000115_KEN,0.32039017749140897,1293.0
FL_2002_000265_KEN,0.34706927371488905,1245.0
FL_2010_000003_KEN,0.3385326545392975,1262.0
FL_2004_000020_KEN,0.31835526252703605,1299.0
FF_2012_000062_KEN,0.31194763278800264,1313.0
FL_2008_000217_KEN,0.3260042752955028,1284.0
FL_2015_000169_KEN,0.31656688656990895,1303.0
FL_2021_000038_KEN,0.3368606236144941,1265.0
FL_2023_000216_KEN,0.3181792122833646,1300.0
FL_2013_000038_KEN,0.36728598023261416,1173.0
FL_1997_000255_KEN,0.34663904527366574,1246.0
FL_2020_000128_KEN,0.3301244928509971,1277.0
FF_2023_000051_KEN,0.2972615964603597,1335.0
FL_2019_000138_KEN,0.313389004784997,1309.0
FL_2007_000139_KEN,0.3417882520764803,1257.0
FF_2008_000092_KEN,0.3222033939726142,1288.0
FL_2007_000076_KEN,0.29863415381263086,1334.0
FF_2018_000030_KEN,0.3589620646427059,1205.0
FL_2010_000174_KEN,0.3102690276514637,1317.0
FF_2006_000046_KEN,0.32095383518229836,1290.0
FL_2016_000042_KEN,0.31928042971244985,1296.0
FL_2007_000221_KEN,0.3366434408377631,1266.0
FL_2025_000045_COD,0.5255747781104265,102.0
FL_2024_000009_COD,0.4638927445651425,431.0
FL_1999_000531_COD,0.4548994345270464,509.0
FL_2012_000192_COD,0.4512118984472853,552.0
ST_2012_000064_COD,0.5081789787118347,179.0
FL_2010_000062_COD,0.48318987149450543,300.0
FL_2020_000052_COD,0.4995452192432631,219.0
FL_2010_000151_COD,0.46492703391709456,419.0
FL_2006_000047_COD,0.47817524601181094,328.0
FL_2016_000124_COD,0.4627311066709897,442.0
FL_2015_000164_COD,0.4522396315041601,542.0
FL_1997_000295_COD,0.48960597171686204,268.0
FL_2011_000187_COD,0.4848831142196326,292.0
FL_2022_000376_COD,0.4101509290955193,962.0
FL_2018_000004_COD,0.48225807671665166,304.0
FL_2007_000197_COD,0.4876226380454981,277.0
FL_2020_000206_COD,0.45793001053115595,480.0
FL_2019_000153_COD,0.4621210259331107,446.0
FF_2008_000186_COD,0.47150131763875763,370.0
FL_2023_000067_COD,0.49951331901041174,221.0
FL_2019_000020_COL,0.47863258614491316,324.0
FL_2015_000056_COL,0.46857419380637244,399.0
FL_2003_000578_COL,0.4768159863848139,336.0
FL_2023_000232_COL,0.44728186220126886,593.0
FL_2008_000197_COL,0.5275962287866045,97.0
1987_07_01_CO_Flood,0.5440813275628896,73.0
FL_2013_000145_COL,0.43322254037282754,750.0
FL_2010_000076_COL,0.5482391817326406,69.0
FL_2005_000020_COL,0.44463289620572793,624.0
FL_2007_000068_COL,0.5095833700812828,175.0
FL_2020_000242_COL,0.44273558062676516,641.0
FL_2009_000241_COL,0.43940067025374974,681.0
FL_2008_000076_COL,0.5074379625679062,185.0
1986_07_01T00:00:00+00:00,0.489935055435449,266.0
FL_2012_000183_COL,0.5186137868881502,128.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.46292051006931895,440.0
LS_2010_000190_COL,0.5080393519208963,180.0
FL_2018_000058_COL,0.39826448314014,1041.0
FL_2006_000044_COL,0.42972670748215536,795.0
FL_2013_000030_COL,0.461264386642002,456.0
FL_2014_000004_COL,0.5213467069381531,111.0
FL_2012_000042_COL,0.44726747234408337,594.0
FL_2014_000163_COL,0.4568021126184124,490.0
1996_07_01_CO_Flood,0.4534901737082565,522.0
FL_2000_000265_COL,0.4897196981141589,267.0
FL_2011_000170_COL,0.45432301806435904,518.0
OT_2004_000112_COL,0.4332404021753691,749.0
FL_2024_000117_COL,0.47511494382166847,343.0
FL_2011_000042_COL,0.46445151486452685,423.0
FL_2005_000017_VEN,0.44560004739346915,611.0
FL_2024_000214_COL,0.520666172811759,113.0
1988_08_01T00:00:00+00:00,0.5082000167244936,178.0
FL_2004_000021_COL,0.43734615622353534,706.0
FL_2005_000194_COL,0.4888681668037315,272.0
FL_2016_000060_IND,0.4164705156237293,912.0
FL_2001_000332_IND,0.43554048833588327,723.0
FL_2017_000064_IND,0.42042310301619124,882.0
FL_2024_000109_IND,0.4254318579631321,834.0
FL_2009_000217_IND,0.4144709287540058,929.0
IND_2018_000413,0.43150964878572784,770.0
FL_2023_000104_IND,0.41264138572351106,946.0
FL_2000_000444_IND,0.43305345365470327,753.0
FL_1999_000213_IND,0.40855391887907894,968.0
FL_2010_000249_IND,0.41642896035123633,915.0
FL_2006_000070_IND,0.4214711302291753,871.0
FL_2014_000089_IND,0.41657446846120993,911.0
FL_2003_000316_IND,0.41433245032977917,930.0
India: Floods _ Jun 1994,0.4277158101298802,816.0
FL_1998_000392_IND,0.41611150281863857,919.0
FL_1997_000337_IND,0.416687451752088,910.0
India_Manipur: Floods _ Apr 2004,0.4269382079890481,822.0
FL_2015_000064_IND,0.44195822424464026,650.0
FL_1999_000371_IND,0.42392462236390926,851.0
