Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5974255127300598,392.0
FL_2023_000217_PRY,0.5972057497115051,394.0
Paraguay: Floods _ Jun 1995,0.600034076754467,378.0
FL_2018_000419_PRY,0.5759330520445892,542.0
FL_2012_000056_PRY,0.613806283813352,287.0
FL_2014_000030_PRY,0.5583607585641748,666.0
FL_1997_000299_PRY,0.605487901182892,347.0
FL_2019_000033_PRY,0.5948835379946849,408.0
Paraguay: Floods _ Mar 1995,0.5836131908197731,482.0
FL_2013_000076_PRY,0.625338354470748,222.0
subject,0.6061886836608313,343.0
FL_2015_000171_PRY,0.6555344803770907,132.0
FL_2002_000296_PRY,0.5715902390073557,566.0
ST_2015_000041_PRY,0.6039274272708945,356.0
FL_2023_000041_PRY,0.5536191790247229,708.0
FL_2009_000226_PRY,0.6388600456920346,170.0
Paraguay: Floods _ Feb 1990,0.5955146533236824,404.0
FL_2021_000213_STP,0.8605173805569016,1.0
FL_2019_000034_BOL,0.6394587501533293,165.0
FL_2018_000015_BOL,0.6327726155802214,192.0
FL_2007_000012_BOL,0.6630554472514261,114.0
FL_2001_000029_BOL,0.6203969157142257,254.0
FL_2006_000010_BOL,0.649630581639263,138.0
FL_2007_000231_BOL,0.6627065634633564,117.0
FL_2015_000008_BOL,0.6485790547323982,141.0
FL_2024_000021_BOL,0.6222758034107496,242.0
FL_2000_000130_BOL,0.6420357777887151,158.0
FL_2019_000032_BOL,0.6241893032138968,232.0
FL_2003_000621_BOL,0.6406739298193351,162.0
FL_2013_000020_BOL,0.6360339832245672,178.0
FL_2011_000020_BOL,0.6461310119156188,151.0
FL_2010_000008_BOL,0.6714115490362758,95.0
FL_2002_000110_BOL,0.613249363171406,292.0
Bolivia: Chapare River Floods _ Jan 1987,0.6474907720101984,147.0
FL_1997_000022_BOL,0.6264985534121503,218.0
Bolivia: Floods _ Jan 1986,0.6478471235477785,144.0
Bolivia: Landslides/Floods _ Mar 1994,0.5932872022169813,417.0
FL_2009_000045_BOL,0.6191156425533352,258.0
FL_2014_000008_BOL,0.6757618674201946,85.0
FL_2003_000012_BOL,0.6117195023312069,303.0
FL_2012_000005_BOL,0.6637538034556122,112.0
FL_2025_000038_BOL,0.6525721753278203,136.0
FL_2019_000079_BGD,0.605125250198628,348.0
FL_2023_000157_BGD,0.6066626394181032,337.0
Bangladesh: Floods _ Jul 1996,0.6207970896527816,252.0
FL_2020_000161_BGD,0.6159717885562824,276.0
FL_2007_000129_PAK,0.6431854181435661,155.0
Bangladesh: Floods _ Jul 1993,0.5890426211119812,446.0
FL_1998_000203_BGD,0.6659434122277683,111.0
FL_2014_000117_BGD,0.5889462546693799,447.0
Bangladesh: Floods _ Jul 1999,0.6242198057862924,231.0
FL_2005_000176_BGD,0.6110511464451213,310.0
FL_2011_000093_BGD,0.5926460299222305,420.0
FL_2008_000096_BGD,0.6285823570971756,207.0
FL_2021_000097_BGD,0.6283130981104694,211.0
FL_2006_000131_BGD,0.6037187792205528,358.0
FL_2000_000617_BGD,0.5893276729570741,442.0
FL_2015_000068_BGD,0.6246922238335563,227.0
Bangladesh: Floods _ Aug 1988,0.5987899639313614,387.0
FF_2007_000080_BGD,0.5941743986518881,412.0
Bangladesh: Floods _ Aug 1986,0.598493349502393,388.0
Bangladesh: Floods _ Jun 1993,0.6156816079117661,277.0
FL_2004_000044_BGD,0.600279927696477,377.0
FL_1997_000164_BGD,0.6255858456628425,221.0
FL_2016_000075_BGD,0.6169074939667054,270.0
Bangladesh: Floods _ Jul 1988,0.5926399070988382,421.0
FL_2010_000114_BGD,0.592275082024077,425.0
Bangladesh: Floods _ Sep 1986,0.5676778508908651,593.0
Bangladesh: Floods _ Aug 1989,0.6027865049913055,365.0
FL_2009_000123_BGD,0.5859507315783175,462.0
FL_2018_000105_BGD,0.6389722031496339,169.0
FL_2002_000402_BGD,0.6325081977278345,193.0
FL_2002_000536_MMR,0.615621028689239,279.0
Bangladesh: Floods _ Jul 1991,0.6019501089925697,371.0
Bangladesh: Floods _ May 1984,0.6029923119890064,362.0
FL_2012_000106_BGD,0.5869824334916149,457.0
FL_2024_000088_BGD,0.6189558857276397,259.0
FL_2022_000217_BGD,0.6170048626035255,268.0
FL_2006_000092_KOR,0.539554982504624,831.0
FL_2001_000335_KOR,0.5232348238755706,938.0
FL_1999_000247_KOR,0.544944180237983,778.0
FL_1998_000219_KOR,0.5230503247660789,941.0
FL_2009_000190_TUR,0.6101166191480767,313.0
FL_2006_000156_TUR,0.6304800886157882,200.0
Turkey: Floods _ Nov 1995,0.623848991326366,233.0
FL_1998_000255_TUR,0.5722991744845698,562.0
FL_2023_000040_TUR,0.5735046039029594,551.0
FF_2009_000159_PAK,0.4829877843173724,1125.0
FL_2020_000185_PAK,0.49414584106975756,1079.0
FF_2008_000123_PAK,0.5008911396099487,1037.0
FL_2010_000141_PAK,0.5041188504550413,1019.0
FF_2012_000148_PAK,0.49920997161238034,1048.0
FF_2013_000090_PAK,0.5066628620396558,1007.0
FL_2015_000017_PAK,0.5428596111248309,805.0
Pakistan: Floods _ Aug 1996,0.47472989287032824,1177.0
FL_1998_000048_PAK,0.5093475397005949,993.0
FL_2019_000087_PAK,0.5139904998364333,977.0
FL_2017_000017_PAK,0.49465155848665165,1075.0
Pakistan: Floods _ Jul 1993,0.4884679663826909,1097.0
FL_2014_000122_PAK,0.503135309728594,1027.0
FL_1992_000008_PAK,0.5319911094633095,892.0
FF_2007_000082_PAK,0.4964337228400353,1061.0
Pakistan: Floods _ Feb 1991,0.5443649437216347,784.0
