Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.48382876470206915,1221.0
FL_2023_000217_PRY,0.4832662373232132,1226.0
Paraguay: Floods _ Jun 1995,0.5313937553323358,824.0
FL_2018_000419_PRY,0.46881124278255726,1305.0
FL_2012_000056_PRY,0.5060220662505196,1028.0
FL_2014_000030_PRY,0.46216010822416065,1342.0
FL_1997_000299_PRY,0.5052356302210144,1038.0
FL_2019_000033_PRY,0.5081935626069637,1016.0
Paraguay: Floods _ Mar 1995,0.5133136102113702,974.0
FL_2013_000076_PRY,0.5126675305195303,982.0
subject,0.45971599793862356,1357.0
FL_2015_000171_PRY,0.5406767689056815,748.0
FL_2002_000296_PRY,0.4971231236865113,1109.0
ST_2015_000041_PRY,0.5126410207410939,983.0
FL_2023_000041_PRY,0.45197549404513315,1385.0
FL_2009_000226_PRY,0.5470125157785489,688.0
Paraguay: Floods _ Feb 1990,0.47503187011494263,1274.0
FL_2021_000213_STP,0.7836563190043613,14.0
FL_2019_000034_BOL,0.47301151588618723,1284.0
FL_2018_000015_BOL,0.45444524527474894,1377.0
FL_2007_000012_BOL,0.4423093302781427,1421.0
FL_2001_000029_BOL,0.42647962308947585,1466.0
FL_2006_000010_BOL,0.4987456649293128,1096.0
FL_2007_000231_BOL,0.46644254531162704,1321.0
FL_2015_000008_BOL,0.4325442154606552,1448.0
FL_2024_000021_BOL,0.4211070444382756,1472.0
FL_2000_000130_BOL,0.4057219002987058,1498.0
FL_2019_000032_BOL,0.4617590227911397,1346.0
FL_2003_000621_BOL,0.43147118578997545,1454.0
FL_2013_000020_BOL,0.44484910602271144,1419.0
FL_2011_000020_BOL,0.46585038286713765,1324.0
FL_2010_000008_BOL,0.4848908361255255,1211.0
FL_2002_000110_BOL,0.4178599811272982,1478.0
Bolivia: Chapare River Floods _ Jan 1987,0.4663884554108949,1323.0
FL_1997_000022_BOL,0.43159551895255155,1452.0
Bolivia: Floods _ Jan 1986,0.48444125527487675,1215.0
Bolivia: Landslides/Floods _ Mar 1994,0.4066814738952438,1495.0
FL_2009_000045_BOL,0.4325417476764639,1449.0
FL_2014_000008_BOL,0.47450405585815514,1276.0
FL_2003_000012_BOL,0.4117343738817228,1485.0
FL_2012_000005_BOL,0.47222987012617945,1291.0
FL_2025_000038_BOL,0.4668428948639605,1316.0
FL_2019_000079_BGD,0.6601206662377703,119.0
FL_2023_000157_BGD,0.701362683409001,46.0
Bangladesh: Floods _ Jul 1996,0.6712292229503322,94.0
FL_2020_000161_BGD,0.6812090669466707,74.0
FL_2007_000129_PAK,0.7209520913288947,32.0
Bangladesh: Floods _ Jul 1993,0.7060333026477108,40.0
FL_1998_000203_BGD,0.7348830194172516,26.0
FL_2014_000117_BGD,0.669306158863838,102.0
Bangladesh: Floods _ Jul 1999,0.7070411348195134,39.0
FL_2005_000176_BGD,0.6827011912508791,70.0
