Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.8588667195714534,10.0
FL_2023_000217_PRY,0.8676518642871418,7.0
Paraguay: Floods _ Jun 1995,0.8825145643981372,2.0
FL_2018_000419_PRY,0.8645350801392284,8.0
FL_2012_000056_PRY,0.8702469237761794,5.0
FL_2014_000030_PRY,0.8407819939804578,16.0
FL_1997_000299_PRY,0.8602670324114341,9.0
FL_2019_000033_PRY,0.8539289396714779,12.0
Paraguay: Floods _ Mar 1995,0.8575876113066576,11.0
FL_2013_000076_PRY,0.8747598287242709,4.0
subject,0.6122226499737572,317.0
FL_2015_000171_PRY,0.8771510507466926,3.0
FL_2002_000296_PRY,0.8506989065090053,13.0
ST_2015_000041_PRY,0.8485343983862161,14.0
FL_2023_000041_PRY,0.8419345033882146,15.0
FL_2009_000226_PRY,0.8898900807374717,1.0
Paraguay: Floods _ Feb 1990,0.8679896691691809,6.0
FL_2021_000213_STP,0.8367215510523844,17.0
FL_2019_000034_BOL,0.6027126237192705,362.0
FL_2018_000015_BOL,0.610024575049001,326.0
FL_2007_000012_BOL,0.587712189905526,419.0
FL_2001_000029_BOL,0.5666776108123617,519.0
FL_2006_000010_BOL,0.6313189751469238,222.0
FL_2007_000231_BOL,0.6137560496839163,311.0
FL_2015_000008_BOL,0.6210141848734846,272.0
FL_2024_000021_BOL,0.59871539705817,379.0
FL_2000_000130_BOL,0.5848279230977746,441.0
FL_2019_000032_BOL,0.5979526286689238,381.0
FL_2003_000621_BOL,0.5861549303122113,433.0
FL_2013_000020_BOL,0.6195548097946973,280.0
FL_2011_000020_BOL,0.6172088592846403,289.0
FL_2010_000008_BOL,0.618853092541916,282.0
FL_2002_000110_BOL,0.5710627741050532,506.0
Bolivia: Chapare River Floods _ Jan 1987,0.6303756298016736,227.0
FL_1997_000022_BOL,0.6268108559477494,243.0
Bolivia: Floods _ Jan 1986,0.5951034348282123,393.0
Bolivia: Landslides/Floods _ Mar 1994,0.6225930610125056,259.0
FL_2009_000045_BOL,0.5729420067590651,491.0
FL_2014_000008_BOL,0.6279362160038764,237.0
FL_2003_000012_BOL,0.6065870830497944,342.0
FL_2012_000005_BOL,0.6145511458717432,307.0
FL_2025_000038_BOL,0.5930673490180007,403.0
FL_2019_000079_BGD,0.7061021162690717,46.0
FL_2023_000157_BGD,0.6966360905104703,61.0
Bangladesh: Floods _ Jul 1996,0.6762171927451723,96.0
FL_2020_000161_BGD,0.7213479905058959,36.0
FL_2007_000129_PAK,0.7271105895371187,30.0
Bangladesh: Floods _ Jul 1993,0.6860110983749628,76.0
FL_1998_000203_BGD,0.7233184225374488,35.0
FL_2014_000117_BGD,0.671251422415968,110.0
Bangladesh: Floods _ Jul 1999,0.6999621428821193,55.0
FL_2005_000176_BGD,0.6973954722237257,59.0
FL_2011_000093_BGD,0.6666139591852461,117.0
FL_2008_000096_BGD,0.6950382352720422,64.0
FL_2021_000097_BGD,0.7125119461343683,41.0
FL_2006_000131_BGD,0.671551514049922,107.0
FL_2000_000617_BGD,0.6790660086634216,92.0
FL_2015_000068_BGD,0.6958696995098803,62.0
Bangladesh: Floods _ Aug 1988,0.7012742183531667,54.0
FF_2007_000080_BGD,0.6872967333891138,73.0
Bangladesh: Floods _ Aug 1986,0.7052007961322904,47.0
Bangladesh: Floods _ Jun 1993,0.7507527918496066,21.0
FL_2004_000044_BGD,0.6885312120907596,71.0
FL_1997_000164_BGD,0.7021824719379584,51.0
FL_2016_000075_BGD,0.7063158161875923,45.0
Bangladesh: Floods _ Jul 1988,0.6634246791046807,122.0
FL_2010_000114_BGD,0.6843344660285005,79.0
Bangladesh: Floods _ Sep 1986,0.668893564524379,113.0
Bangladesh: Floods _ Aug 1989,0.7126657626311701,40.0
FL_2009_000123_BGD,0.6769585336968192,94.0
FL_2018_000105_BGD,0.727088064216575,31.0
FL_2002_000402_BGD,0.732404639692724,29.0
FL_2002_000536_MMR,0.7204313762203194,37.0
Bangladesh: Floods _ Jul 1991,0.6872863588344299,74.0
Bangladesh: Floods _ May 1984,0.691656735205636,67.0
FL_2012_000106_BGD,0.7176815773635665,39.0
FL_2024_000088_BGD,0.726350722773754,32.0
FL_2022_000217_BGD,0.6725545214214759,104.0
FL_2006_000092_KOR,0.48973267335241183,794.0
FL_2001_000335_KOR,0.48099533879578515,828.0
FL_1999_000247_KOR,0.4912222635440829,786.0
FL_1998_000219_KOR,0.4677746537429642,897.0
FL_2009_000190_TUR,0.65033362713103,156.0
FL_2006_000156_TUR,0.6826776248927777,83.0
Turkey: Floods _ Nov 1995,0.665861243904232,121.0
FL_1998_000255_TUR,0.5978086871516077,382.0
FL_2023_000040_TUR,0.6337868107185509,209.0
FF_2009_000159_PAK,0.4142991646946079,1212.0
FL_2020_000185_PAK,0.424327309867575,1144.0
FF_2008_000123_PAK,0.43188646461317265,1083.0
FL_2010_000141_PAK,0.43208898344486246,1082.0
