Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5187451570249909,731.0
FL_2023_000217_PRY,0.5770824625591757,491.0
Paraguay: Floods _ Jun 1995,0.5875359082220344,425.0
FL_2018_000419_PRY,0.5340999209326796,682.0
FL_2012_000056_PRY,0.5596829503979575,579.0
FL_2014_000030_PRY,0.5354818400500101,673.0
FL_1997_000299_PRY,0.47683656811709424,917.0
FL_2019_000033_PRY,0.5649210514458606,548.0
Paraguay: Floods _ Mar 1995,0.5100639596463845,761.0
FL_2013_000076_PRY,0.5497616817413599,623.0
subject,0.5767882594668721,493.0
FL_2015_000171_PRY,0.5672923014969488,534.0
FL_2002_000296_PRY,0.5176966498645368,736.0
ST_2015_000041_PRY,0.5428407742571301,645.0
FL_2023_000041_PRY,0.4940551394158518,834.0
FL_2009_000226_PRY,0.5754060755218638,496.0
Paraguay: Floods _ Feb 1990,0.5561930240213331,596.0
FL_2021_000213_STP,0.8414936367655383,9.0
FL_2019_000034_BOL,0.6114933371980283,295.0
FL_2018_000015_BOL,0.6353304494771831,190.0
FL_2007_000012_BOL,0.6236484061527572,245.0
FL_2001_000029_BOL,0.5863904993319495,433.0
FL_2006_000010_BOL,0.6116339514049628,294.0
FL_2007_000231_BOL,0.6182902087193827,262.0
FL_2015_000008_BOL,0.6278547159477007,229.0
FL_2024_000021_BOL,0.6419866876955308,159.0
FL_2000_000130_BOL,0.5658759901454222,542.0
FL_2019_000032_BOL,0.5967208117102301,376.0
FL_2003_000621_BOL,0.6161870918598679,271.0
FL_2013_000020_BOL,0.6357305872988418,186.0
FL_2011_000020_BOL,0.6376667035293311,175.0
FL_2010_000008_BOL,0.618006633369607,264.0
FL_2002_000110_BOL,0.5860433294472045,440.0
Bolivia: Chapare River Floods _ Jan 1987,0.629855842318406,220.0
FL_1997_000022_BOL,0.6182735404112637,263.0
Bolivia: Floods _ Jan 1986,0.6210211448540324,252.0
Bolivia: Landslides/Floods _ Mar 1994,0.5973199268621492,371.0
FL_2009_000045_BOL,0.6029880791840196,342.0
FL_2014_000008_BOL,0.6324218852294535,205.0
FL_2003_000012_BOL,0.5969445593890875,375.0
FL_2012_000005_BOL,0.602598862662208,343.0
FL_2025_000038_BOL,0.5861699821297437,437.0
FL_2019_000079_BGD,0.6394441301663806,170.0
FL_2023_000157_BGD,0.5863291270152797,436.0
Bangladesh: Floods _ Jul 1996,0.5702103715783888,523.0
FL_2020_000161_BGD,0.5886835768720251,418.0
FL_2007_000129_PAK,0.6297620574744894,222.0
Bangladesh: Floods _ Jul 1993,0.5869824399669368,429.0
FL_1998_000203_BGD,0.6323138612000634,207.0
FL_2014_000117_BGD,0.5747730580126329,502.0
Bangladesh: Floods _ Jul 1999,0.6075710799082026,310.0
FL_2005_000176_BGD,0.5861434307911297,438.0
FL_2011_000093_BGD,0.5501496548880793,620.0
FL_2008_000096_BGD,0.6033662753636538,338.0
FL_2021_000097_BGD,0.6245927838851981,241.0
FL_2006_000131_BGD,0.5570066920526324,590.0
FL_2000_000617_BGD,0.5797399144289305,481.0
FL_2015_000068_BGD,0.5821813821549191,467.0
Bangladesh: Floods _ Aug 1988,0.5676295239980675,532.0
FF_2007_000080_BGD,0.5966840449511758,377.0
Bangladesh: Floods _ Aug 1986,0.6064286543063082,319.0
Bangladesh: Floods _ Jun 1993,0.6083163537814577,308.0
FL_2004_000044_BGD,0.5901694662181536,413.0
FL_1997_000164_BGD,0.6031775867910217,340.0
FL_2016_000075_BGD,0.5857565282610726,442.0
Bangladesh: Floods _ Jul 1988,0.5649184456211598,549.0
FL_2010_000114_BGD,0.5748015759657386,501.0
Bangladesh: Floods _ Sep 1986,0.5550800227727819,604.0
Bangladesh: Floods _ Aug 1989,0.6093233675048558,304.0
FL_2009_000123_BGD,0.5573537016355207,589.0
FL_2018_000105_BGD,0.596322693340975,379.0
FL_2002_000402_BGD,0.614724078783011,276.0
FL_2002_000536_MMR,0.6055356455130454,323.0
Bangladesh: Floods _ Jul 1991,0.6041760775151932,332.0
Bangladesh: Floods _ May 1984,0.5955395964768584,383.0
FL_2012_000106_BGD,0.5588945660844788,581.0
FL_2024_000088_BGD,0.6000985770925322,356.0
FL_2022_000217_BGD,0.5842144284786404,455.0
FL_2006_000092_KOR,0.32599023530215343,1429.0
FL_2001_000335_KOR,0.31021786262979384,1454.0
FL_1999_000247_KOR,0.3365591581831493,1404.0
FL_1998_000219_KOR,0.3064031984643517,1465.0
FL_2009_000190_TUR,0.5908395252041592,411.0
FL_2006_000156_TUR,0.5969945636492502,374.0
Turkey: Floods _ Nov 1995,0.5750620758863616,500.0
FL_1998_000255_TUR,0.5249296836501227,707.0
FL_2023_000040_TUR,0.5518393646042998,615.0
FF_2009_000159_PAK,0.4758295575033391,920.0
FL_2020_000185_PAK,0.4886254385133852,864.0
FF_2008_000123_PAK,0.4943090361290723,833.0
FL_2010_000141_PAK,0.49363738910345123,835.0
FF_2012_000148_PAK,0.4902959961126392,853.0
FF_2013_000090_PAK,0.495205698366353,828.0
FL_2015_000017_PAK,0.5266396525172058,702.0
Pakistan: Floods _ Aug 1996,0.4710456105816624,946.0
FL_1998_000048_PAK,0.4990762625837053,811.0
FL_2019_000087_PAK,0.5080992549560452,768.0
FL_2017_000017_PAK,0.48924022222095637,859.0
Pakistan: Floods _ Jul 1993,0.48363022397036115,884.0
FL_2014_000122_PAK,0.48261712735347756,889.0
FL_1992_000008_PAK,0.5213564045181779,721.0
FF_2007_000082_PAK,0.4885465478810969,866.0
Pakistan: Floods _ Feb 1991,0.5280571204067317,699.0
FL_2003_000359_PAK,0.5002230130531693,807.0
FL_2016_000066_PAK,0.4908089086526015,848.0
FL_2022_000254_PAK,0.49257600627732384,841.0
FL_2024_000118_PAK,0.5020025965826039,801.0
FL_2016_000021_PAK,0.5103560083780766,758.0
FL_2005_000108_PAK,0.49865692513094034,812.0
FL_2024_000020_PAK,0.4974368967237868,821.0
FL_2023_000119_PAK,0.4664316337261528,969.0
FL_2001_000376_PAK,0.49044628686724223,850.0
FL_2011_000109_PAK,0.49582418579272414,826.0
FL_2009_000139_PAK,0.4703099543695046,949.0
FL_2005_000038_MDG,0.677624424185882,67.0
ST_2022_000138_MDG,0.6770824350281495,70.0
2012_000020_MDG,0.7147808470361845,45.0
FL_2020_000019_MDG,0.6796157683827392,65.0
FL_2003_000037_MDG,0.6719116519937486,76.0
FL_2013_000004_KEN,0.4503824501330239,1024.0
FL_2009_000218_KEN,0.4444045705636305,1054.0
FL_2024_000045_KEN,0.44182200862840426,1060.0
FL_2011_000115_KEN,0.4567204489006751,1003.0
FL_2002_000265_KEN,0.4811750869657246,894.0
FL_2010_000003_KEN,0.48056043087942346,906.0
FL_2004_000020_KEN,0.4697885535318337,955.0
FF_2012_000062_KEN,0.4640782905582196,982.0
FL_2008_000217_KEN,0.4671512892091896,967.0
