Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3802577263923459,1445.0
FL_2023_000217_PRY,0.41054901273783806,1354.0
Paraguay: Floods _ Jun 1995,0.3915381358920486,1405.0
FL_2018_000419_PRY,0.3601727102099243,1487.0
FL_2012_000056_PRY,0.40457798188780025,1375.0
FL_2014_000030_PRY,0.3798389810159986,1449.0
FL_1997_000299_PRY,0.4226820119897028,1290.0
FL_2019_000033_PRY,0.44670987516904537,1201.0
Paraguay: Floods _ Mar 1995,0.37740473411537523,1452.0
FL_2013_000076_PRY,0.389342984534694,1413.0
subject,0.24959803109869277,1520.0
FL_2015_000171_PRY,0.4225993566037498,1292.0
FL_2002_000296_PRY,0.41828455857051905,1318.0
ST_2015_000041_PRY,0.43659636069719576,1245.0
FL_2023_000041_PRY,0.4389734565232629,1231.0
FL_2009_000226_PRY,0.4723060914061182,1105.0
Paraguay: Floods _ Feb 1990,0.34174283939111927,1503.0
FL_2021_000213_STP,0.6846848640046681,40.0
FL_2019_000034_BOL,0.5013755028443901,993.0
FL_2018_000015_BOL,0.45773487809772323,1164.0
FL_2007_000012_BOL,0.47432223992007294,1097.0
FL_2001_000029_BOL,0.4561132230947269,1170.0
FL_2006_000010_BOL,0.4385889268258142,1232.0
FL_2007_000231_BOL,0.46492491996686713,1135.0
FL_2015_000008_BOL,0.481870961952358,1068.0
FL_2024_000021_BOL,0.4103777209528353,1356.0
FL_2000_000130_BOL,0.382163870350849,1435.0
FL_2019_000032_BOL,0.5241107734868461,901.0
FL_2003_000621_BOL,0.47266473465142345,1102.0
FL_2013_000020_BOL,0.46590803608125175,1130.0
FL_2011_000020_BOL,0.5091423855853341,961.0
FL_2010_000008_BOL,0.4503889009219192,1190.0
FL_2002_000110_BOL,0.4587129738977585,1155.0
Bolivia: Chapare River Floods _ Jan 1987,0.46954441757427867,1115.0
FL_1997_000022_BOL,0.4491969500424375,1195.0
Bolivia: Floods _ Jan 1986,0.4313714708910733,1261.0
Bolivia: Landslides/Floods _ Mar 1994,0.46326716088865827,1143.0
FL_2009_000045_BOL,0.46893492425479966,1119.0
FL_2014_000008_BOL,0.4136584570949535,1337.0
FL_2003_000012_BOL,0.47164096206887113,1108.0
