Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.47840983445614454,374.0
FL_2023_000217_PRY,0.499826172939666,258.0
Paraguay: Floods _ Jun 1995,0.5181181628394353,180.0
FL_2018_000419_PRY,0.4884511215838855,315.0
FL_2012_000056_PRY,0.4839805469246477,343.0
FL_2014_000030_PRY,0.440250728336115,597.0
FL_1997_000299_PRY,0.48347177511262135,347.0
FL_2019_000033_PRY,0.5193858317235172,176.0
Paraguay: Floods _ Mar 1995,0.4716666629166147,408.0
FL_2013_000076_PRY,0.48357329205556515,346.0
subject,0.6331493844102594,26.0
FL_2015_000171_PRY,0.5070267997173912,221.0
FL_2002_000296_PRY,0.5200002490328027,173.0
ST_2015_000041_PRY,0.5031509426289743,237.0
FL_2023_000041_PRY,0.5139329199805842,195.0
FL_2009_000226_PRY,0.5662297093806274,64.0
Paraguay: Floods _ Feb 1990,0.4833763356213244,348.0
FL_2021_000213_STP,0.6314019366348433,27.0
FL_2019_000034_BOL,0.470307360445717,414.0
FL_2018_000015_BOL,0.48927527439654345,311.0
FL_2007_000012_BOL,0.44419033546516173,578.0
FL_2001_000029_BOL,0.49058750542258833,304.0
FL_2006_000010_BOL,0.462664968479673,466.0
FL_2007_000231_BOL,0.4498182394049091,548.0
FL_2015_000008_BOL,0.46876973570010994,422.0
FL_2024_000021_BOL,0.4474557096982703,567.0
FL_2000_000130_BOL,0.4323443973596817,639.0
FL_2019_000032_BOL,0.4754949948954049,391.0
FL_2003_000621_BOL,0.5418339172994258,103.0
FL_2013_000020_BOL,0.4702903941712666,415.0
FL_2011_000020_BOL,0.4659845855257759,444.0
FL_2010_000008_BOL,0.4666992876428365,437.0
FL_2002_000110_BOL,0.4660620022112661,442.0
Bolivia: Chapare River Floods _ Jan 1987,0.4787747937185545,371.0
FL_1997_000022_BOL,0.5015291492264156,242.0
Bolivia: Floods _ Jan 1986,0.4858383844964261,334.0
Bolivia: Landslides/Floods _ Mar 1994,0.48620707449571465,329.0
FL_2009_000045_BOL,0.4396798975816686,600.0
FL_2014_000008_BOL,0.46905505239776485,419.0
FL_2003_000012_BOL,0.473234373107673,402.0
FL_2012_000005_BOL,0.5416702100053115,104.0
FL_2025_000038_BOL,0.4981143531422755,264.0
FL_2019_000079_BGD,0.4868128181199041,324.0
FL_2023_000157_BGD,0.4688834557118479,421.0
Bangladesh: Floods _ Jul 1996,0.4213173936756191,695.0
FL_2020_000161_BGD,0.493904115575797,283.0
FL_2007_000129_PAK,0.5001736172475597,255.0
Bangladesh: Floods _ Jul 1993,0.4532234777845251,518.0
FL_1998_000203_BGD,0.4622282134884536,470.0
FL_2014_000117_BGD,0.4808402156313494,357.0
Bangladesh: Floods _ Jul 1999,0.46134505770927453,475.0
FL_2005_000176_BGD,0.49988263499367935,257.0
FL_2011_000093_BGD,0.5179310552748266,183.0
FL_2008_000096_BGD,0.5011587279384213,249.0
FL_2021_000097_BGD,0.441243176427978,592.0
FL_2006_000131_BGD,0.47734310406018554,382.0
FL_2000_000617_BGD,0.5374945281091534,121.0
FL_2015_000068_BGD,0.46316256977029613,461.0
Bangladesh: Floods _ Aug 1988,0.41824480378432666,711.0
FF_2007_000080_BGD,0.49671598856654275,268.0
Bangladesh: Floods _ Aug 1986,0.4490230414344048,556.0
Bangladesh: Floods _ Jun 1993,0.48595187820788344,332.0
FL_2004_000044_BGD,0.48805354022313263,317.0
FL_1997_000164_BGD,0.4179260404011303,714.0
FL_2016_000075_BGD,0.4275407896387401,660.0
Bangladesh: Floods _ Jul 1988,0.4222069628729359,692.0
FL_2010_000114_BGD,0.40562400472045507,803.0
Bangladesh: Floods _ Sep 1986,0.4383736892667275,605.0
Bangladesh: Floods _ Aug 1989,0.4854970381367012,336.0
FL_2009_000123_BGD,0.45534480968380747,506.0
FL_2018_000105_BGD,0.540447844524431,111.0
FL_2002_000402_BGD,0.4843616280115608,341.0
FL_2002_000536_MMR,0.47532499237684706,392.0
Bangladesh: Floods _ Jul 1991,0.494465436965635,281.0
Bangladesh: Floods _ May 1984,0.45240114614090005,524.0
FL_2012_000106_BGD,0.4831919183616029,350.0
FL_2024_000088_BGD,0.4481271018170158,562.0
FL_2022_000217_BGD,0.44017139445290554,598.0
FL_2006_000092_KOR,0.5787923051178856,46.0
FL_2001_000335_KOR,0.5797886983629714,44.0
FL_1999_000247_KOR,0.5738310720580038,48.0
FL_1998_000219_KOR,0.5793491003531923,45.0
FL_2009_000190_TUR,0.5263491889720514,154.0
FL_2006_000156_TUR,0.602612953203238,30.0
Turkey: Floods _ Nov 1995,0.5179814045663509,182.0
FL_1998_000255_TUR,0.577445233256169,47.0
FL_2023_000040_TUR,0.5542751370828941,83.0
FF_2009_000159_PAK,0.45518412696595834,508.0
FL_2020_000185_PAK,0.45964940411209376,485.0
FF_2008_000123_PAK,0.4662322078763141,440.0
FL_2010_000141_PAK,0.45634419558998773,504.0
FF_2012_000148_PAK,0.4635532302490587,457.0
FF_2013_000090_PAK,0.45013121869330397,543.0
FL_2015_000017_PAK,0.45315595363063815,522.0
Pakistan: Floods _ Aug 1996,0.43393645603749076,628.0
FL_1998_000048_PAK,0.4630004674661425,463.0
FL_2019_000087_PAK,0.45008242426306955,545.0
FL_2017_000017_PAK,0.45013029422957535,544.0
Pakistan: Floods _ Jul 1993,0.45379384361576913,516.0
FL_2014_000122_PAK,0.44685958819573646,571.0
FL_1992_000008_PAK,0.4592765811922531,489.0
FF_2007_000082_PAK,0.4751194277245275,394.0
Pakistan: Floods _ Feb 1991,0.46488675448540384,451.0
FL_2003_000359_PAK,0.4483731451098259,561.0
FL_2016_000066_PAK,0.4590771422246941,490.0
FL_2022_000254_PAK,0.4572700336822165,496.0
FL_2024_000118_PAK,0.44297720057985546,582.0
FL_2016_000021_PAK,0.4619029185321583,471.0
FL_2005_000108_PAK,0.4580421832698246,494.0
FL_2024_000020_PAK,0.468273230057837,428.0
FL_2023_000119_PAK,0.4490681126444327,554.0
FL_2001_000376_PAK,0.4543605619874308,511.0
FL_2011_000109_PAK,0.4771460773466017,383.0
FL_2009_000139_PAK,0.4565305392106087,502.0
FL_2005_000038_MDG,0.4158648787841452,729.0
ST_2022_000138_MDG,0.4113255462351335,758.0
2012_000020_MDG,0.407168354477347,788.0
FL_2020_000019_MDG,0.4187472459763934,707.0
FL_2003_000037_MDG,0.41825275597928113,710.0
FL_2013_000004_KEN,0.44479528603397456,576.0
FL_2009_000218_KEN,0.4258253334713573,673.0
FL_2024_000045_KEN,0.4373048455306927,613.0
FL_2011_000115_KEN,0.42600936488526137,671.0
FL_2002_000265_KEN,0.43085633136441437,644.0
FL_2010_000003_KEN,0.445741090698855,574.0
FL_2004_000020_KEN,0.457179333912171,498.0
FF_2012_000062_KEN,0.4519570427169495,529.0
FL_2008_000217_KEN,0.42854442029939777,656.0
FL_2015_000169_KEN,0.42001004754087107,699.0
FL_2021_000038_KEN,0.4603357157058574,481.0
FL_2023_000216_KEN,0.4338437048016467,629.0
FL_2013_000038_KEN,0.43492294111587954,623.0
FL_1997_000255_KEN,0.44889247455775416,558.0
FL_2020_000128_KEN,0.43964656504640515,601.0
FF_2023_000051_KEN,0.43352929624457226,630.0
FL_2019_000138_KEN,0.43835040728840685,606.0
FL_2007_000139_KEN,0.43314508884357694,634.0
FF_2008_000092_KEN,0.43757042414508507,612.0
FL_2007_000076_KEN,0.4492753165993539,552.0
FF_2018_000030_KEN,0.43811345900995347,608.0
FL_2010_000174_KEN,0.43472708376198654,624.0
FF_2006_000046_KEN,0.4512494174968755,537.0
FL_2016_000042_KEN,0.4504939091752722,540.0
FL_2007_000221_KEN,0.4432946030130119,579.0
FL_2025_000045_COD,0.4647471695982246,452.0
FL_2024_000009_COD,0.5261707251034149,156.0
FL_1999_000531_COD,0.4339669095185658,627.0
FL_2012_000192_COD,0.4877218667943739,318.0
ST_2012_000064_COD,0.4860091451595195,331.0
FL_2010_000062_COD,0.5403766742857404,112.0
FL_2020_000052_COD,0.4952387165057883,275.0
FL_2010_000151_COD,0.45196573666496964,528.0
FL_2006_000047_COD,0.5143940199645316,192.0
FL_2016_000124_COD,0.48367268284393167,345.0
FL_2015_000164_COD,0.4930382287489844,288.0
FL_1997_000295_COD,0.4957021556203473,273.0
FL_2011_000187_COD,0.45720950752975853,497.0
FL_2022_000376_COD,0.4617967363820723,472.0
FL_2018_000004_COD,0.4999151791148947,256.0
FL_2007_000197_COD,0.5071786158611847,219.0
FL_2020_000206_COD,0.48246100199768127,353.0
FL_2019_000153_COD,0.4884963721262777,314.0
FF_2008_000186_COD,0.4917278000134284,296.0
FL_2023_000067_COD,0.4251717454906402,679.0
FL_2019_000020_COL,0.5373228093497389,122.0
FL_2015_000056_COL,0.5688696872729054,57.0
FL_2003_000578_COL,0.49344483730217503,286.0
FL_2023_000232_COL,0.4850682077989368,337.0
FL_2008_000197_COL,0.47922786769339637,366.0
1987_07_01_CO_Flood,0.5100595621101103,211.0
FL_2013_000145_COL,0.5633652149485703,75.0
FL_2010_000076_COL,0.5726621522950734,49.0
FL_2005_000020_COL,0.5408201930034495,109.0
FL_2007_000068_COL,0.5134700187299965,197.0
FL_2020_000242_COL,0.5350503062670997,126.0
FL_2009_000241_COL,0.5294581803475795,145.0
FL_2008_000076_COL,0.5309433679430484,140.0
1986_07_01T00:00:00+00:00,0.5090858116929515,214.0
FL_2012_000183_COL,0.4989804745270462,261.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.5012468479881601,246.0
LS_2010_000190_COL,0.5691036333027351,55.0
FL_2018_000058_COL,0.5002714001599179,253.0
FL_2006_000044_COL,0.5107908245872308,206.0
FL_2013_000030_COL,0.5622932024340499,76.0
FL_2014_000004_COL,0.5012326017816819,247.0
FL_2012_000042_COL,0.5314684645318839,137.0
FL_2014_000163_COL,0.49862671554614446,263.0
1996_07_01_CO_Flood,0.5482959665592616,92.0
FL_2000_000265_COL,0.5648635903633891,70.0
FL_2011_000170_COL,0.5081523690867673,216.0
OT_2004_000112_COL,0.565768147638873,66.0
FL_2024_000117_COL,0.5011988416341219,248.0
FL_2011_000042_COL,0.5807344304591718,42.0
FL_2005_000017_VEN,0.5123612934489483,201.0
FL_2024_000214_COL,0.5168089510510518,187.0
1988_08_01T00:00:00+00:00,0.5013616296578136,244.0
FL_2004_000021_COL,0.5316806183176139,136.0
FL_2005_000194_COL,0.5347507192189831,127.0
FL_2016_000060_IND,0.3982154224551886,856.0
FL_2001_000332_IND,0.40574521935957,800.0
FL_2017_000064_IND,0.4025525763618236,826.0
FL_2024_000109_IND,0.4172053223079625,717.0
FL_2009_000217_IND,0.40975409791213957,773.0
IND_2018_000413,0.4056538424358243,802.0
FL_2023_000104_IND,0.4151946676006541,734.0
FL_2000_000444_IND,0.41914318989081445,704.0
FL_1999_000213_IND,0.4191038968984646,705.0
FL_2010_000249_IND,0.3926640507815905,896.0
FL_2006_000070_IND,0.3987459283115042,851.0
FL_2014_000089_IND,0.4118356226069462,753.0
FL_2003_000316_IND,0.4083257643921326,783.0
India: Floods _ Jun 1994,0.38694899614954764,918.0
FL_1998_000392_IND,0.39586038504821364,872.0
FL_1997_000337_IND,0.4039006776256704,819.0
India_Manipur: Floods _ Apr 2004,0.4018330791200044,828.0
FL_2015_000064_IND,0.4257108795902403,674.0
FL_1999_000371_IND,0.40875223264283256,780.0
India: Floods _ Aug 2003,0.3997640842269012,845.0
FL_2005_000104_IND,0.3973069196606775,860.0
India: Floods _ Nov 1992,0.4068498635161303,792.0
FL_2020_000164_IND,0.4095195430487117,776.0
FL_2002_000374_IND,0.388578635186689,910.0
FL_2022_000213_IND,0.4068759775402622,791.0
FL_2012_000110_IND,0.3794308695445848,959.0
India: Floods _ Jun 1996,0.4033743596133519,822.0
FL_2008_000089_IND,0.4199160843311312,700.0
FF_2007_000083_IND,0.3968736859774098,863.0
India: Floods _ Aug 1988,0.4105229055803773,766.0
FL_2010_000125_IND,0.38370363748023417,938.0
FL_2011_000084_IND,0.37969781478788905,956.0
FL_2009_000122_IND,0.3842977537804849,935.0
FL_2021_000161_IND,0.38131192896561283,948.0
FL_2005_000182_IND,0.4057093189940091,801.0
India: Floods _ Oct 1996,0.4025672624885983,825.0
India: Floods _ Jul 1993,0.40285556417484875,824.0
FL_2013_000070_IND,0.3992152751745407,849.0
FL_2018_000134_IND,0.4300282842504811,650.0
FL_2019_000084_IND,0.4098084436646986,772.0
India: Floods _ Oct 1988,0.3936666783261157,887.0
India: Floods _ Aug 1989,0.4137692522566372,740.0
FF_2020_000055_SOM,0.5065305930931436,223.0
FL_2023_000190_SOM,0.5277406933441676,151.0
FF_2018_000041_SOM,0.44116322043264034,593.0
FL_2015_000145_SOM,0.5138712356074013,196.0
FF_2020_000221_SOM,0.5033305841519589,234.0
FF_2025_000055_SOM,0.4870089975493803,322.0
FL_2008_000091_SOM,0.5192516845171742,177.0
FL_1997_000265_SOM,0.49787731290243764,265.0
FL_2016_000046_SOM,0.4676330585549298,431.0
FL_2013_000141_SOM,0.5044632593019551,229.0
FF_2009_000229_SOM,0.4803075422420907,362.0
FL_2015_000040_SOM,0.49096976151488597,301.0
FL_2021_000051_SOM,0.4995097979999466,259.0
FL_2008_000185_SOM,0.43069732494069135,645.0
FL_2012_000173_SOM,0.5034987814761956,232.0
FL_2014_000150_SOM,0.5015064712737616,243.0
FL_2024_000055_SOM,0.46340592481365894,459.0
FL_2010_000041_SOM,0.5003936204949873,252.0
FL_2011_000161_SOM,0.48640686579583403,326.0
FF_2023_000044_SOM,0.5210455800363608,170.0
FL_2019_000133_SOM,0.5097830471454423,213.0
FL_2013_000052_SOM,0.47554323563993567,390.0
FL_2008_000191_CRI,0.40066493731155955,840.0
FL_2005_000166_CRI,0.36097925918542817,1058.0
FL_2002_000755_CRI,0.3460910530613782,1146.0
FL_2005_000001_CRI,0.31450358524856425,1288.0
FL_2007_000176_CRI,0.37442925739631616,987.0
FL_2015_000079_CRI,0.3582120722441767,1076.0
FL_1999_000350_CRI,0.3659417908530718,1033.0
FL_2004_000023_CRI,0.34720597391184627,1141.0
FL_2008_000232_CRI,0.3434986603246961,1160.0
1,0.4129708975405775,748.0
FL_2021_000092_CRI,0.3226663355897611,1262.0
FL_2024_000215_CRI,0.29946798222040427,1332.0
FL_2002_000263_CRI,0.3092360789703749,1309.0
1993_12_01T00:00:00+00:00,0.3579696839675185,1081.0
FL_2010_000251_CRI,0.3299629594693291,1228.0
FL_2004_000120_CRI,0.3653638392234043,1039.0
FL_2012_000126_PAN,0.34510112163319967,1149.0
FL_2018_000165_CRI,0.3934245728667975,890.0
FL_2022_000348_CRI,0.37177917438954877,998.0
Costa Rica: Floods _ Feb 1988,0.35835037731430885,1075.0
FL_2009_000039_CRI,0.3330850027691983,1209.0
FL_2005_000081_CHN,0.44713262086482586,569.0
FL_2004_000094_CHN,0.4490323664136821,555.0
China: Floods _ May 1987,0.5025016686405331,238.0
FL_2003_000331_CHN,0.5151723151030339,190.0
China: Floods _ Jun 1990,0.4876198512008355,320.0
China: Floods _ Jul 2018,0.4769565486643771,385.0
FL_2013_000054_CHN,0.4260073724349567,672.0
China: Floods in Shanxi Province _ Aug 1988,0.4415450370250467,591.0
FL_2003_000227_CHN,0.5342148481755559,128.0
ST_2010_000085_CHN,0.44894421186214817,557.0
China: Floods _ Aug 1985,0.4328041355956389,637.0
FL_2004_000031_CHN,0.4334196747094279,631.0
FF_2008_000072_CHN,0.5005359979752714,251.0
FL_2011_000059_CHN,0.4499853979825999,546.0
FF_2007_000070_CHN,0.4629858304542389,464.0
FL_1998_000165_CHN,0.5140357337151317,194.0
FL_2007_000077_CHN,0.43190840856292606,641.0
FL_2017_000075_CHN,0.4706510837167577,412.0
FL_2000_000302_CHN,0.46659471059878843,438.0
China: Floods and Landslides _ Jul 1989,0.4937381333875171,285.0
