Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.35674334656515577,1439.0
FL_2023_000217_PRY,0.3768492487555407,1358.0
Paraguay: Floods _ Jun 1995,0.37601076800693506,1364.0
FL_2018_000419_PRY,0.3765302284371206,1359.0
FL_2012_000056_PRY,0.39737628851580187,1265.0
FL_2014_000030_PRY,0.36713866689259184,1407.0
FL_1997_000299_PRY,0.445621407372311,1062.0
FL_2019_000033_PRY,0.4238167841684264,1160.0
Paraguay: Floods _ Mar 1995,0.3147275803728772,1511.0
FL_2013_000076_PRY,0.38240617467360655,1330.0
subject,0.2558252225979947,1520.0
FL_2015_000171_PRY,0.40348951230781566,1240.0
FL_2002_000296_PRY,0.401596497401122,1250.0
ST_2015_000041_PRY,0.41958255107384057,1177.0
FL_2023_000041_PRY,0.40559546545906844,1234.0
FL_2009_000226_PRY,0.43896735591574654,1096.0
Paraguay: Floods _ Feb 1990,0.34483174903846003,1471.0
FL_2021_000213_STP,0.6072454787437336,321.0
FL_2019_000034_BOL,0.4660218457439006,978.0
FL_2018_000015_BOL,0.3810459151084652,1338.0
FL_2007_000012_BOL,0.4429991670667801,1078.0
FL_2001_000029_BOL,0.38673858770793423,1316.0
FL_2006_000010_BOL,0.3997882291931315,1256.0
FL_2007_000231_BOL,0.39295064039082395,1296.0
FL_2015_000008_BOL,0.42494283246482567,1154.0
FL_2024_000021_BOL,0.3243866321869143,1502.0
FL_2000_000130_BOL,0.3498183478009483,1460.0
FL_2019_000032_BOL,0.4752847006031542,933.0
FL_2003_000621_BOL,0.3851488988287971,1322.0
FL_2013_000020_BOL,0.4232158386338487,1165.0
FL_2011_000020_BOL,0.45127657016467826,1040.0
FL_2010_000008_BOL,0.39533941114931564,1277.0
FL_2002_000110_BOL,0.4280693531876412,1136.0
Bolivia: Chapare River Floods _ Jan 1987,0.4315058489923316,1120.0
FL_1997_000022_BOL,0.4094333524158276,1219.0
Bolivia: Floods _ Jan 1986,0.3760239511783321,1363.0
Bolivia: Landslides/Floods _ Mar 1994,0.44321968238244125,1077.0
FL_2009_000045_BOL,0.40374887767396306,1239.0
FL_2014_000008_BOL,0.384838095067999,1323.0
FL_2003_000012_BOL,0.4049970032306975,1235.0
FL_2012_000005_BOL,0.42365236637346293,1162.0
FL_2025_000038_BOL,0.45257982221334625,1034.0
FL_2019_000079_BGD,0.5539156399166373,593.0
FL_2023_000157_BGD,0.4873154904527659,872.0
Bangladesh: Floods _ Jul 1996,0.5638306080915502,554.0
FL_2020_000161_BGD,0.538249397317152,657.0
FL_2007_000129_PAK,0.5068351339002634,792.0
Bangladesh: Floods _ Jul 1993,0.49668279181962893,833.0
FL_1998_000203_BGD,0.5362799456189993,665.0
FL_2014_000117_BGD,0.4938653957901805,844.0
Bangladesh: Floods _ Jul 1999,0.57394635797436,493.0
FL_2005_000176_BGD,0.5447454855497468,633.0
FL_2011_000093_BGD,0.573014986937829,497.0
FL_2008_000096_BGD,0.5025447351578511,806.0
FL_2021_000097_BGD,0.4759260891309182,931.0
FL_2006_000131_BGD,0.5212062571111438,738.0
FL_2000_000617_BGD,0.5596698540501042,571.0
FL_2015_000068_BGD,0.5254126816862651,722.0
Bangladesh: Floods _ Aug 1988,0.5316065733811682,681.0
FF_2007_000080_BGD,0.5032021302076106,804.0
Bangladesh: Floods _ Aug 1986,0.5285369554956378,699.0
Bangladesh: Floods _ Jun 1993,0.47225693797724067,950.0
FL_2004_000044_BGD,0.5308861332273132,687.0
FL_1997_000164_BGD,0.5298957882247527,691.0
FL_2016_000075_BGD,0.5631892904284805,559.0
Bangladesh: Floods _ Jul 1988,0.49791732459593807,828.0
FL_2010_000114_BGD,0.5069774576970855,790.0
Bangladesh: Floods _ Sep 1986,0.543281645405831,640.0
Bangladesh: Floods _ Aug 1989,0.5119596809132809,768.0
FL_2009_000123_BGD,0.5076401250420692,785.0
FL_2018_000105_BGD,0.5163085286752507,754.0
FL_2002_000402_BGD,0.4845367816951939,884.0
FL_2002_000536_MMR,0.49717545123819756,831.0
Bangladesh: Floods _ Jul 1991,0.5410895536278842,644.0
Bangladesh: Floods _ May 1984,0.5633364545272368,556.0
FL_2012_000106_BGD,0.48652294697681114,879.0
FL_2024_000088_BGD,0.5190651031053983,745.0
FL_2022_000217_BGD,0.509416132896684,775.0
FL_2006_000092_KOR,0.4365834865414967,1104.0
FL_2001_000335_KOR,0.4389055805201495,1097.0
FL_1999_000247_KOR,0.42820195492069724,1135.0
FL_1998_000219_KOR,0.453037684696446,1032.0
FL_2009_000190_TUR,0.42759283805858483,1140.0
FL_2006_000156_TUR,0.4041368838258424,1237.0
Turkey: Floods _ Nov 1995,0.3795187600208001,1348.0
FL_1998_000255_TUR,0.4078061866976906,1226.0
FL_2023_000040_TUR,0.382481653972943,1329.0
FF_2009_000159_PAK,0.45447230519668713,1027.0
FL_2020_000185_PAK,0.463609916968963,988.0
FF_2008_000123_PAK,0.45021960333098193,1044.0
FL_2010_000141_PAK,0.4525382473480535,1035.0
FF_2012_000148_PAK,0.4450167163252975,1066.0
FF_2013_000090_PAK,0.43765055840774647,1102.0
FL_2015_000017_PAK,0.4441608483556141,1072.0
Pakistan: Floods _ Aug 1996,0.4239101323467368,1159.0
FL_1998_000048_PAK,0.44858365472582457,1051.0
FL_2019_000087_PAK,0.4415076634869657,1086.0
FL_2017_000017_PAK,0.4324848120834307,1115.0
Pakistan: Floods _ Jul 1993,0.4467087042420386,1058.0
FL_2014_000122_PAK,0.42944700038489825,1130.0
FL_1992_000008_PAK,0.4269430175530532,1142.0
FF_2007_000082_PAK,0.46929082140325945,961.0
Pakistan: Floods _ Feb 1991,0.45949752929009824,1000.0
FL_2003_000359_PAK,0.4364315413295559,1105.0
FL_2016_000066_PAK,0.45569717194781745,1021.0
FL_2022_000254_PAK,0.4323197627218338,1116.0
FL_2024_000118_PAK,0.4260973446677115,1149.0
FL_2016_000021_PAK,0.45917499007293366,1001.0
FL_2005_000108_PAK,0.44391231343461224,1075.0
FL_2024_000020_PAK,0.46169753099412913,993.0
FL_2023_000119_PAK,0.4263944695290946,1146.0
FL_2001_000376_PAK,0.4345113077777016,1111.0
FL_2011_000109_PAK,0.4831719604966306,893.0
FL_2009_000139_PAK,0.45968359182124274,997.0
FL_2005_000038_MDG,0.6373382173639988,204.0
ST_2022_000138_MDG,0.6376475511322313,203.0
2012_000020_MDG,0.6290849221581992,236.0
FL_2020_000019_MDG,0.6309048065793055,228.0
FL_2003_000037_MDG,0.6475592221220277,175.0
FL_2013_000004_KEN,0.6126973255373369,300.0
FL_2009_000218_KEN,0.5783231609792412,470.0
FL_2024_000045_KEN,0.5991497927032661,354.0
FL_2011_000115_KEN,0.5880482171369013,415.0
FL_2002_000265_KEN,0.5958688498057738,371.0
FL_2010_000003_KEN,0.6071274556061418,323.0
FL_2004_000020_KEN,0.6244342131477689,257.0
FF_2012_000062_KEN,0.6059967529453425,328.0
FL_2008_000217_KEN,0.5901916480358236,405.0
FL_2015_000169_KEN,0.5822517208971887,449.0
FL_2021_000038_KEN,0.617693151267484,278.0
FL_2023_000216_KEN,0.5974481174679662,362.0
FL_2013_000038_KEN,0.6012438159859137,344.0
FL_1997_000255_KEN,0.615561880469059,287.0
FL_2020_000128_KEN,0.6092958583024086,312.0
FF_2023_000051_KEN,0.5954637113177863,379.0
FL_2019_000138_KEN,0.6004518138643482,347.0
FL_2007_000139_KEN,0.5890624721948505,409.0
FF_2008_000092_KEN,0.602242949718967,340.0
FL_2007_000076_KEN,0.6159022921050625,285.0
FF_2018_000030_KEN,0.6016447473306314,342.0
FL_2010_000174_KEN,0.5939983139659405,385.0
FF_2006_000046_KEN,0.6141183016968876,292.0
FL_2016_000042_KEN,0.6170819179651106,281.0
FL_2007_000221_KEN,0.5959637257544842,370.0
FL_2025_000045_COD,0.35534942675779385,1443.0
FL_2024_000009_COD,0.365702813234439,1411.0
FL_1999_000531_COD,0.3958228345149738,1275.0
FL_2012_000192_COD,0.4191747104493353,1178.0
ST_2012_000064_COD,0.3671644788080833,1406.0
FL_2010_000062_COD,0.4026221795172281,1245.0
FL_2020_000052_COD,0.2875969921238939,1519.0
FL_2010_000151_COD,0.39967944307361153,1257.0
FL_2006_000047_COD,0.3436981627209269,1475.0
FL_2016_000124_COD,0.39386487618078164,1289.0
FL_2015_000164_COD,0.37340978715844,1379.0
FL_1997_000295_COD,0.4109804590158244,1213.0
FL_2011_000187_COD,0.36296233124017085,1426.0
FL_2022_000376_COD,0.3761819195031548,1361.0
FL_2018_000004_COD,0.3965443738215912,1272.0
FL_2007_000197_COD,0.3695172482486147,1397.0
FL_2020_000206_COD,0.4261198719549537,1148.0
FL_2019_000153_COD,0.348119741248866,1464.0
FF_2008_000186_COD,0.4201333834099943,1174.0
FL_2023_000067_COD,0.37615585071505075,1362.0
FL_2019_000020_COL,0.43596542938743993,1107.0
FL_2015_000056_COL,0.3713716070339863,1385.0
FL_2003_000578_COL,0.3234277984741091,1504.0
FL_2023_000232_COL,0.3677210327638794,1405.0
FL_2008_000197_COL,0.3798836009191783,1346.0
1987_07_01_CO_Flood,0.37444666314125674,1375.0
FL_2013_000145_COL,0.4026641109122709,1244.0
FL_2010_000076_COL,0.3825805962004697,1328.0
FL_2005_000020_COL,0.4144163555483997,1197.0
FL_2007_000068_COL,0.3808582251756042,1341.0
FL_2020_000242_COL,0.39635248537013795,1274.0
FL_2009_000241_COL,0.3792824844176623,1351.0
FL_2008_000076_COL,0.36922910259414,1398.0
1986_07_01T00:00:00+00:00,0.3612662481670904,1430.0
FL_2012_000183_COL,0.340789869592942,1486.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.39674683025834456,1270.0
LS_2010_000190_COL,0.38960416703863615,1304.0
FL_2018_000058_COL,0.3692128502210211,1399.0
FL_2006_000044_COL,0.37110208410920026,1390.0
FL_2013_000030_COL,0.40289314182517366,1242.0
FL_2014_000004_COL,0.35860123998633914,1432.0
FL_2012_000042_COL,0.37031827773293363,1395.0
FL_2014_000163_COL,0.3912313262638141,1299.0
1996_07_01_CO_Flood,0.3504044864604356,1456.0
FL_2000_000265_COL,0.4152819679688151,1193.0
FL_2011_000170_COL,0.3858445500353282,1320.0
OT_2004_000112_COL,0.34991142844597223,1459.0
FL_2024_000117_COL,0.38096699657150035,1340.0
FL_2011_000042_COL,0.3641186220316901,1420.0
FL_2005_000017_VEN,0.3785269334941055,1353.0
FL_2024_000214_COL,0.35342952034971276,1450.0
1988_08_01T00:00:00+00:00,0.3936432964748521,1292.0
FL_2004_000021_COL,0.3322613422655765,1494.0
FL_2005_000194_COL,0.38611849483312444,1317.0
FL_2016_000060_IND,0.5247050998929647,724.0
FL_2001_000332_IND,0.5268467484380677,706.0
FL_2017_000064_IND,0.5215320739251945,737.0
FL_2024_000109_IND,0.5389972424794327,653.0
FL_2009_000217_IND,0.5236783835982153,730.0
IND_2018_000413,0.5378185822593845,658.0
FL_2023_000104_IND,0.5258225680929809,716.0
FL_2000_000444_IND,0.5395976413875396,649.0
FL_1999_000213_IND,0.5386074330594337,654.0
FL_2010_000249_IND,0.497167835103174,832.0
FL_2006_000070_IND,0.4831210143711458,894.0
FL_2014_000089_IND,0.5265831054774476,709.0
FL_2003_000316_IND,0.5244201691066468,726.0
India: Floods _ Jun 1994,0.5070487830663999,788.0
FL_1998_000392_IND,0.5170233869715748,753.0
FL_1997_000337_IND,0.5232070338421353,731.0
India_Manipur: Floods _ Apr 2004,0.5324944134068561,676.0
FL_2015_000064_IND,0.5467396951331179,625.0
FL_1999_000371_IND,0.5263320076558313,712.0
India: Floods _ Aug 2003,0.5092885219084706,777.0
FL_2005_000104_IND,0.5156026021760507,758.0
India: Floods _ Nov 1992,0.5250093173551975,723.0
FL_2020_000164_IND,0.5314541290150461,683.0
FL_2002_000374_IND,0.5297789193452259,695.0
FL_2022_000213_IND,0.5365584056285089,664.0
