Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2008_000191_CRI,0.73024714
FL_2012_000140_MMR,0.61265206
FL_2010_000115_MMR,0.60398555
FL_2009_000266_ALB,0.5917405
FL_2015_000009_ALB,0.58175564
FL_2013_000087_MMR,0.574454
FL_1997_000177_MMR,0.56943375
FL_2016_000117_ALB,0.5656702
FL_2000_000302_CHN,0.56545806
FL_2005_000109_PRK,0.5653565
FL_2019_000033_PRY,0.5632191
FL_2004_000063_PRK,0.5625095
FL_2022_000276_GMB,0.5621995
FL_2010_000152_THA,0.56179106
FL_2019_000081_MMR,0.56140643
FL_2007_000125_PHL,0.55965877
FL_2002_000321_HTI,0.5567823
FL_2011_000123_RUS,0.5552607
FL_2012_000037_PSE,0.5548464
FL_2009_000190_TUR,0.55253357
FL_2011_000176_LKA,0.55244434
FL_2014_000107_MMR,0.55212414
FL_2009_000113_CHN,0.552042
FL_2011_000107_MMR,0.55120933
FL_2007_000077_CHN,0.54957557
FL_2005_000166_CRI,0.547717
FL_2017_000075_CHN,0.54657376
FL_2016_000009_IDN,0.54597205
FL_2004_000043_IND,0.5456203
FL_2021_000095_MMR,0.54399186
FL_2017_000057_LKA,0.54215515
FL_2009_000095_TJK,0.5419533
FL_2019_000031_SYR,0.54154336
FL_2012_000066_COM,0.5383103
FL_2015_000080_MMR,0.5375651
FL_2014_000159_MAR,0.53739977
FL_2014_000015_ZWE,0.5355155
FL_2016_000025_SRB,0.5342298
FL_2011_000157_SLV,0.5331238
FL_2010_000239_MNE,0.532488
FL_1999_000350_CRI,0.53220713
FL_2012_000077_CHN,0.5293498
FL_2016_000058_MMR,0.5290867
FL_2018_000124_MMR,0.52457154
FL_2013_000002_PSE,0.5221132
FL_2008_000038_ARG,0.52129656
FL_2009_000226_PRY,0.52056015
FL_2022_000321_CAF,0.52040017
FL_2017_000174_ALB,0.51946187
FL_2017_000091_MMR,0.5193297
FL_2005_000137_CAF,0.51892924
FL_1999_000229_TJK,0.5184614
FL_2007_000070_CHN,0.5178212
FL_2012_000175_GMB,0.51673007
FL_1999_000071_MOZ,0.5149264
FL_2020_000172_MMR,0.513258
FL_2012_000123_PRK,0.51318955
FL_2020_000154_CIV,0.5131333
FL_2007_000197_COD,0.5130602
FL_2013_000100_RUS,0.51248515
FL_2007_000122_VNM,0.51156
FL_2019_000047_GEO,0.510767
FL_2012_000107_SLB,0.50928533
FL_2019_000098_CAF,0.5072065
FL_1997_000299_PRY,0.5065837
FL_2018_000092_MNG,0.5028323
FL_2009_000129_CAF,0.5023793
FL_2008_000202_MAR,0.50139266
FL_2021_000108_SSD,0.5009234
FL_2007_000176_CRI,0.500655
FL_2014_000121_CMR,0.49934572
FL_2008_000095_SUR,0.49928373
FL_2006_000068_CHN,0.49918222
FL_2018_000028_BWA,0.49884912
FL_2009_000216_ITA,0.49845475
FL_2014_000123_SSD,0.4982847
FL_2020_000198_SEN,0.4976908
FL_2004_000142_ALB,0.49629802
FL_2015_000135_LKA,0.4955033
FL_2006_000047_COD,0.49465898
FL_2005_000081_CHN,0.49425963
FL_2014_000154_IDN,0.49421906
FL_2008_000154_MEX,0.4937995
FL_1995_000012_PHL,0.4935224
FL_2016_000071_LBR,0.4929476
FL_2003_000350_MNG,0.4926907
FL_2003_000331_CHN,0.49185756
FL_2001_000274_WSM,0.4916286
FL_2007_000217_SRB,0.49149454
FL_2010_000021_AFG,0.49085385
FL_2008_000054_THA,0.49083942
FL_2009_000102_HTI,0.49079528
FL_2018_000360_RUS,0.49070722
FL_2002_000350_CHN,0.49062315
FL_2010_000012_EGY,0.48900598
FL_2010_000051_KAZ,0.48879406
