Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3270189910316886,1457.0
FL_2023_000217_PRY,0.3795322695686143,1313.0
Paraguay: Floods _ Jun 1995,0.38167754488679456,1305.0
FL_2018_000419_PRY,0.340965160944526,1422.0
FL_2012_000056_PRY,0.31685051488986116,1473.0
FL_2014_000030_PRY,0.4041437103395479,1221.0
FL_1997_000299_PRY,0.4044870517693951,1218.0
FL_2019_000033_PRY,0.34785961261816906,1412.0
Paraguay: Floods _ Mar 1995,0.4030423436128305,1224.0
FL_2013_000076_PRY,0.30912009804409346,1481.0
subject,0.24798523061449176,1516.0
FL_2015_000171_PRY,0.3675169702722734,1346.0
FL_2002_000296_PRY,0.340977028223911,1421.0
ST_2015_000041_PRY,0.4024086208102603,1228.0
FL_2023_000041_PRY,0.3532607480120155,1398.0
FL_2009_000226_PRY,0.4154149673036107,1178.0
Paraguay: Floods _ Feb 1990,0.35109682480324916,1404.0
FL_2021_000213_STP,0.7106110154480627,102.0
FL_2019_000034_BOL,0.5284697124463402,755.0
FL_2018_000015_BOL,0.525660288430595,768.0
FL_2007_000012_BOL,0.5405682631206756,709.0
FL_2001_000029_BOL,0.4944795706696132,914.0
FL_2006_000010_BOL,0.5342734589615168,735.0
FL_2007_000231_BOL,0.4930482105588317,921.0
FL_2015_000008_BOL,0.49668429402095166,902.0
FL_2024_000021_BOL,0.5099116987777774,835.0
FL_2000_000130_BOL,0.49048237624069524,936.0
FL_2019_000032_BOL,0.5286809929643369,753.0
FL_2003_000621_BOL,0.4809298935266325,985.0
FL_2013_000020_BOL,0.4954303387277499,908.0
FL_2011_000020_BOL,0.5151339376273608,810.0
FL_2010_000008_BOL,0.5170228448196795,800.0
FL_2002_000110_BOL,0.4671374420023404,1030.0
Bolivia: Chapare River Floods _ Jan 1987,0.4748984506998483,1004.0
FL_1997_000022_BOL,0.5061452800650788,856.0
Bolivia: Floods _ Jan 1986,0.4877822493839932,951.0
Bolivia: Landslides/Floods _ Mar 1994,0.5217527540410264,786.0
FL_2009_000045_BOL,0.4977351135519128,896.0
FL_2014_000008_BOL,0.5202460120578778,794.0
FL_2003_000012_BOL,0.5270135730907972,764.0
FL_2012_000005_BOL,0.5067465238231875,853.0
FL_2025_000038_BOL,0.540419761697416,710.0
FL_2019_000079_BGD,0.4571331252640348,1057.0
FL_2023_000157_BGD,0.5104916891055545,832.0
Bangladesh: Floods _ Jul 1996,0.5218094697339979,785.0
FL_2020_000161_BGD,0.543109534772567,697.0
FL_2007_000129_PAK,0.5101515217265378,833.0
Bangladesh: Floods _ Jul 1993,0.5035604687585957,870.0
FL_1998_000203_BGD,0.44575639820305146,1089.0
FL_2014_000117_BGD,0.5142884009966449,815.0
Bangladesh: Floods _ Jul 1999,0.47488200621496324,1005.0
FL_2005_000176_BGD,0.49043013543868297,937.0
FL_2011_000093_BGD,0.5533915551170718,658.0
FL_2008_000096_BGD,0.4955239704029827,906.0
FL_2021_000097_BGD,0.47778698255927765,997.0
FL_2006_000131_BGD,0.4353770326661037,1115.0
FL_2000_000617_BGD,0.46234910568122145,1039.0
FL_2015_000068_BGD,0.5303223629668339,747.0
Bangladesh: Floods _ Aug 1988,0.42156670248702577,1152.0
FF_2007_000080_BGD,0.5382495019881072,720.0
Bangladesh: Floods _ Aug 1986,0.47038811646181616,1021.0
Bangladesh: Floods _ Jun 1993,0.4417255572058495,1095.0
FL_2004_000044_BGD,0.4614614026433535,1043.0
FL_1997_000164_BGD,0.4907006458505974,932.0
FL_2016_000075_BGD,0.45876517401620376,1050.0
Bangladesh: Floods _ Jul 1988,0.4473055853431317,1083.0
FL_2010_000114_BGD,0.45271608600071167,1067.0
Bangladesh: Floods _ Sep 1986,0.5273305607303144,761.0
Bangladesh: Floods _ Aug 1989,0.48551066850805735,959.0
FL_2009_000123_BGD,0.5378021132986004,724.0
FL_2018_000105_BGD,0.48723212215090067,954.0
FL_2002_000402_BGD,0.5286734522834432,754.0
FL_2002_000536_MMR,0.4805352772545194,986.0
Bangladesh: Floods _ Jul 1991,0.5112121063033782,827.0
Bangladesh: Floods _ May 1984,0.49110759881284827,927.0
FL_2012_000106_BGD,0.4708878261464038,1019.0
FL_2024_000088_BGD,0.5016938366681011,881.0
FL_2022_000217_BGD,0.5225616896929476,781.0
FL_2006_000092_KOR,0.6622545168930427,213.0
FL_2001_000335_KOR,0.6659496015803903,203.0
FL_1999_000247_KOR,0.6833091065496072,147.0
FL_1998_000219_KOR,0.6962754293481607,124.0
FL_2009_000190_TUR,0.3869205853598523,1281.0
FL_2006_000156_TUR,0.33918789559789797,1428.0
Turkey: Floods _ Nov 1995,0.35755034984474365,1383.0
FL_1998_000255_TUR,0.35279969920373133,1400.0
FL_2023_000040_TUR,0.36437366292828555,1356.0
FF_2009_000159_PAK,0.546527688591788,680.0
FL_2020_000185_PAK,0.5678781685843459,610.0
FF_2008_000123_PAK,0.5765595041836922,580.0
FL_2010_000141_PAK,0.5646602371696792,620.0
FF_2012_000148_PAK,0.5688280784648061,607.0
FF_2013_000090_PAK,0.6134561955079861,432.0
FL_2015_000017_PAK,0.5807347418226478,567.0
Pakistan: Floods _ Aug 1996,0.582598314189108,559.0
