Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3432165810905887,1117.0
FL_2023_000217_PRY,0.3733769583325733,987.0
Paraguay: Floods _ Jun 1995,0.3652065120730708,1026.0
FL_2018_000419_PRY,0.35872295798266507,1037.0
FL_2012_000056_PRY,0.34525398959921516,1106.0
FL_2014_000030_PRY,0.38511447008089994,932.0
FL_1997_000299_PRY,0.3980474605216072,865.0
FL_2019_000033_PRY,0.33347312279052244,1166.0
Paraguay: Floods _ Mar 1995,0.37789345456043694,968.0
FL_2013_000076_PRY,0.3442221754584282,1110.0
subject,0.18388748506402874,1485.0
FL_2015_000171_PRY,0.3483066334275634,1092.0
FL_2002_000296_PRY,0.3359010790442283,1153.0
ST_2015_000041_PRY,0.40332098984952,834.0
FL_2023_000041_PRY,0.3608802081013951,1032.0
FL_2009_000226_PRY,0.40706281328253924,806.0
Paraguay: Floods _ Feb 1990,0.34181026193338726,1125.0
FL_2021_000213_STP,0.5336561303959656,159.0
FL_2019_000034_BOL,0.27353214702007356,1385.0
FL_2018_000015_BOL,0.26392807975731036,1407.0
FL_2007_000012_BOL,0.25740098631742253,1421.0
FL_2001_000029_BOL,0.23231759627497778,1461.0
FL_2006_000010_BOL,0.25408205383973476,1425.0
FL_2007_000231_BOL,0.2603316605396142,1417.0
FL_2015_000008_BOL,0.24223141466050005,1441.0
FL_2024_000021_BOL,0.20869738168132587,1480.0
FL_2000_000130_BOL,0.2608253861190114,1416.0
FL_2019_000032_BOL,0.2793177047402982,1363.0
FL_2003_000621_BOL,0.236032505968198,1456.0
FL_2013_000020_BOL,0.2628314677661213,1410.0
FL_2011_000020_BOL,0.22056867925573875,1476.0
FL_2010_000008_BOL,0.2621184384822671,1411.0
FL_2002_000110_BOL,0.22627145301089668,1470.0
Bolivia: Chapare River Floods _ Jan 1987,0.23310563576670398,1459.0
FL_1997_000022_BOL,0.2559819128090196,1422.0
Bolivia: Floods _ Jan 1986,0.22992026069829313,1463.0
Bolivia: Landslides/Floods _ Mar 1994,0.2876644333188264,1340.0
FL_2009_000045_BOL,0.2756027651755845,1377.0
FL_2014_000008_BOL,0.25834434598228934,1419.0
FL_2003_000012_BOL,0.269271157088919,1394.0
FL_2012_000005_BOL,0.26859922776621886,1396.0
FL_2025_000038_BOL,0.23759783499085307,1454.0
FL_2019_000079_BGD,0.3414380855111069,1127.0
FL_2023_000157_BGD,0.3906043484610754,901.0
Bangladesh: Floods _ Jul 1996,0.3855707495844717,928.0
FL_2020_000161_BGD,0.41571116352278015,748.0
FL_2007_000129_PAK,0.37379583792184035,985.0
Bangladesh: Floods _ Jul 1993,0.39915892072032494,858.0
FL_1998_000203_BGD,0.3822896240976977,945.0
FL_2014_000117_BGD,0.39517359369149413,879.0
Bangladesh: Floods _ Jul 1999,0.3724311718009339,990.0
FL_2005_000176_BGD,0.3739331684923384,983.0
FL_2011_000093_BGD,0.4079713738727129,799.0
FL_2008_000096_BGD,0.39141676776569656,897.0
FL_2021_000097_BGD,0.34070631082403297,1129.0
FL_2006_000131_BGD,0.3202774027778119,1220.0
FL_2000_000617_BGD,0.36139790730931604,1030.0
FL_2015_000068_BGD,0.4260039540549192,667.0
