Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.28614430690501047,1335.0
FL_2023_000217_PRY,0.34318609844078496,1010.0
Paraguay: Floods _ Jun 1995,0.3218268406757973,1164.0
FL_2018_000419_PRY,0.3206643800824994,1171.0
FL_2012_000056_PRY,0.3357726096781482,1071.0
FL_2014_000030_PRY,0.39350210932722063,687.0
FL_1997_000299_PRY,0.3518930442828493,954.0
FL_2019_000033_PRY,0.3482553096779979,983.0
Paraguay: Floods _ Mar 1995,0.33005828976312823,1108.0
FL_2013_000076_PRY,0.2875684405856013,1327.0
subject,0.2668999880693124,1392.0
FL_2015_000171_PRY,0.3319478297931347,1094.0
FL_2002_000296_PRY,0.28647768783281435,1334.0
ST_2015_000041_PRY,0.3147960874206127,1210.0
FL_2023_000041_PRY,0.3287394338168659,1116.0
FL_2009_000226_PRY,0.324142320651834,1147.0
Paraguay: Floods _ Feb 1990,0.3255697822449084,1140.0
FL_2021_000213_STP,0.5581469566923037,183.0
FL_2019_000034_BOL,0.39880666766120026,649.0
FL_2018_000015_BOL,0.37578421994075034,797.0
FL_2007_000012_BOL,0.39383294791460305,684.0
FL_2001_000029_BOL,0.38522886815491264,723.0
FL_2006_000010_BOL,0.412687944240559,570.0
FL_2007_000231_BOL,0.36500602578805524,858.0
FL_2015_000008_BOL,0.37591405823656976,795.0
FL_2024_000021_BOL,0.36880881564165224,832.0
FL_2000_000130_BOL,0.42049063861645547,526.0
FL_2019_000032_BOL,0.43594843731993543,444.0
FL_2003_000621_BOL,0.37499933650794004,804.0
FL_2013_000020_BOL,0.38208140937695956,744.0
FL_2011_000020_BOL,0.3453004978470967,996.0
FL_2010_000008_BOL,0.4457414829375055,425.0
FL_2002_000110_BOL,0.38671236116221763,715.0
Bolivia: Chapare River Floods _ Jan 1987,0.3894235287964515,700.0
FL_1997_000022_BOL,0.3828706419532522,739.0
Bolivia: Floods _ Jan 1986,0.38675662643005165,714.0
Bolivia: Landslides/Floods _ Mar 1994,0.42774150284664175,479.0
FL_2009_000045_BOL,0.42286015304042734,508.0
FL_2014_000008_BOL,0.40938461661158343,589.0
FL_2003_000012_BOL,0.41328267855779943,564.0
FL_2012_000005_BOL,0.40340732987706984,627.0
FL_2025_000038_BOL,0.3952420064826606,675.0
FL_2019_000079_BGD,0.3326570882389235,1085.0
FL_2023_000157_BGD,0.3642859199119258,864.0
Bangladesh: Floods _ Jul 1996,0.35155705444928487,957.0
FL_2020_000161_BGD,0.34174746326097155,1021.0
FL_2007_000129_PAK,0.3104850317777841,1235.0
Bangladesh: Floods _ Jul 1993,0.39571681378492385,671.0
FL_1998_000203_BGD,0.32300441560343796,1154.0
FL_2014_000117_BGD,0.39407639714401776,682.0
Bangladesh: Floods _ Jul 1999,0.31919898580535055,1182.0
FL_2005_000176_BGD,0.3339178744959086,1082.0
FL_2011_000093_BGD,0.36046061350661707,896.0
FL_2008_000096_BGD,0.36350767668942247,869.0
FL_2021_000097_BGD,0.3383584307733423,1047.0
FL_2006_000131_BGD,0.27657787002454814,1362.0
FL_2000_000617_BGD,0.28785556159357584,1326.0
FL_2015_000068_BGD,0.3929286718984877,689.0
Bangladesh: Floods _ Aug 1988,0.3154182936461528,1207.0
FF_2007_000080_BGD,0.3528201488320091,950.0
Bangladesh: Floods _ Aug 1986,0.3112265250022537,1231.0
Bangladesh: Floods _ Jun 1993,0.3882251347470312,705.0
FL_2004_000044_BGD,0.3090951270110548,1241.0
FL_1997_000164_BGD,0.36656478101813234,849.0
FL_2016_000075_BGD,0.32308597042300713,1152.0
