Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2017_000088_SDN,0.5440426
FL_1998_000080_ARG,0.5419661
FL_2002_000540_DZA,0.51948327
FL_2016_000097_PRK,0.51258373
FL_2008_000201_YEM,0.50466746
FL_2021_000050_AFG,0.5038903
FL_2022_000374_TTO,0.50237834
FL_2005_000094_AFG,0.49988824
FL_2000_000255_ARG,0.4989297
FL_2007_000158_TGO,0.49793753
FL_2016_000137_ARG,0.49655986
FL_2006_000023_DZA,0.49628
FL_2007_000093_SDN,0.49312916
FL_2007_000022_ARG,0.48641545
FL_2008_000230_CUB,0.4860252
FL_2020_000168_MNG,0.48583227
FL_2014_000073_RUS,0.48451054
FL_1999_000315_GHA,0.48246104
FL_1997_000265_SOM,0.47913137
FL_2016_000085_MLI,0.47900805
FL_2021_000108_SSD,0.47718883
FL_2006_000045_HUN,0.47535974
FL_2006_000086_CHL,0.47226858
FL_2007_000054_AFG,0.47182557
FL_2021_000005_IDN,0.47168615
FL_2009_000204_TUN,0.46981245
FL_2017_000004_THA,0.46729913
FL_2022_000209_AFG,0.46676502
FL_2014_000168_MYS,0.46643418
FL_2011_000204_PHL,0.46558744
FL_2002_000322_CHL,0.46514225
FL_1998_000255_TUR,0.46499795
FL_2012_000128_SSD,0.46406043
FL_1999_000349_SLV,0.46314546
FL_2002_000054_IDN,0.46305144
FL_1991_000010_PHL,0.46284813
FL_1999_000413_CAF,0.4616682
FL_2005_000209_THA,0.46109334
FL_2011_000005_HND,0.46070874
FL_2021_000098_MNG,0.4605591
FL_2007_000199_THA,0.4597375
FL_2005_000108_PAK,0.45945305
FL_2011_000164_CAF,0.45942935
FL_2021_000153_UGA,0.45653164
FL_2002_000376_RUS,0.4552276
FL_2016_000123_DOM,0.45477307
FL_2008_000024_PHL,0.45374233
FL_2001_000096_UKR,0.4534391
FL_2001_000095_HUN,0.4534391
FL_2001_000079_ROM,0.4534391
FL_2007_000106_IDN,0.4525161
FL_2021_000161_IND,0.4523264
FL_2020_000191_AFG,0.45149857
FL_2011_000120_SDN,0.45145926
FL_2015_000146_DZA,0.4505518
FL_2019_000167_BDI,0.44932124
FL_2001_000571_PRK,0.44877353
FL_2020_000125_TZA,0.4485181
FL_2021_000209_MYS,0.44812322
FL_2003_000571_DOM,0.44675535
FL_2011_000096_PRK,0.44617772
FL_2003_000647_TLS,0.4461488
FL_2012_000151_TCD,0.44535953
FL_2018_000164_HND,0.4452645
FL_2022_000362_LCA,0.44511682
FL_2013_000006_IDN,0.4450637
FL_2007_000138_UGA,0.44450283
FL_2007_000189_NIC,0.44370353
FL_2007_000222_MYS,0.4435778
FL_2003_000028_BRA,0.44356668
FL_2008_000155_CHL,0.44241053
FL_2016_000054_HTI,0.4417761
FL_2013_000141_SOM,0.440408
FL_2007_000210_PHL,0.44002652
FL_2013_000157_BRA,0.43904495
FL_2008_000185_SOM,0.43795493
FL_2021_000126_MYS,0.43794313
