Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2007_000217_SRB,0.6070647
FL_2011_000049_IRQ,0.6018249
FL_1999_000371_IND,0.55486995
FL_2002_000026_SEN,0.5522032
FL_2021_000161_IND,0.5501914
FL_2010_000012_EGY,0.54945636
FL_2009_000034_MAR,0.54192436
FL_1997_000522_MDA,0.5414958
FL_2009_000242_IRQ,0.5323358
FL_2011_000119_PHL,0.5305928
FL_1999_000651_CHN,0.53019536
FL_2005_000182_IND,0.52942574
FL_2005_000132_MKD,0.52596796
FL_2004_000052_JPN,0.52544713
FL_2019_000014_MWI,0.5243775
FL_2010_000249_IND,0.5231781
FL_2012_000043_KGZ,0.5206637
FL_2010_000026_DOM,0.520017
FL_2002_000350_CHN,0.5187204
FL_2010_000037_HTI,0.5165529
FL_2008_000191_HND,0.51409715
FL_2012_000020_MDG,0.5117871
FL_2022_000207_VEN,0.5094238
FL_2003_000212_AZE,0.5088646
FL_2018_000105_BGD,0.5084772
FL_1998_000048_PAK,0.50670207
FL_2000_000187_ROM,0.5060128
FL_2019_000022_IRN,0.5036611
FL_2001_000180_IRN,0.5030372
FL_2001_000375_IRN,0.5029272
FL_2003_000012_BOL,0.5027795
FL_2019_000084_IND,0.502089
FL_2005_000098_BGR,0.49923968
FL_2008_000089_IND,0.4982596
FL_2003_000350_MNG,0.49604106
FL_2006_000130_KHM,0.49562448
FL_2018_000092_MNG,0.49419403
FL_2018_000110_CHN,0.49306145
FL_2015_000146_DZA,0.49055317
FL_2002_000540_DZA,0.4892413
FL_2004_000094_CHN,0.48806953
FL_2011_000059_CHN,0.4879151
FL_2013_000095_PHL,0.48637
FL_2022_000158_HTI,0.4859981
FL_2005_000072_TJK,0.4856733
FL_2003_000227_CHN,0.48278397
FL_2012_000115_RUS,0.48204893
FL_1993_000013_PHL,0.48187417
FL_2001_000029_BOL,0.48144644
FL_2014_000048_KAZ,0.4811589
FL_2015_000153_IRQ,0.48115396
FL_2000_000083_ZWE,0.48105115
FL_2005_000111_ROM,0.480774
FL_2010_000008_BOL,0.4788627
FL_2021_000190_EGY,0.4783182
FL_2011_000095_PHL,0.4779396
FL_2012_000066_COM,0.4766923
FL_1998_000111_TJK,0.47553632
FL_1999_000253_PHL,0.47518164
FL_2018_000030_KEN,0.4745893
FL_2018_000043_TZA,0.47452718
FL_2005_000100_KGZ,0.47368827
FL_2010_000102_CRI,0.47317702
FL_2019_000030_IRQ,0.47263116
FL_2012_000077_CHN,0.47162113
FL_2009_000265_MAR,0.47159034
FL_1999_000235_IRN,0.47050887
FL_2011_000039_USA,0.47017393
FL_2012_000063_RUS,0.46993947
FL_2007_000155_ROM,0.46964
FL_2001_000696_BRA,0.46954173
FL_2007_000051_TUN,0.4666715
FL_2019_000034_BOL,0.46530512
FL_2016_000019_HTI,0.4652661
FL_2005_000209_THA,0.4651935
FL_2015_000151_BLZ,0.4645934
FL_2012_000068_DOM,0.46388033
FL_2004_000031_CHN,0.46304777
FL_2012_000102_PHL,0.4617153
FL_2002_000374_IND,0.4614831
FL_2013_000131_KHM,0.46141237
FL_1998_000296_PHL,0.4609552
FL_2012_000153_IDN,0.4609146
FL_2000_000438_KHM,0.4599559
FL_2006_000045_HUN,0.45985907
FL_2006_000058_TJK,0.45894337
FL_2016_000060_IND,0.458629
FL_2007_000083_IND,0.45854232
FL_2012_000061_VNM,0.45848244
FL_2012_000110_IND,0.45791844
FL_2009_000245_SRB,0.4578988
FL_2007_000082_PAK,0.45765212
FL_2012_000101_GAB,0.4575891
FL_2009_000192_MEX,0.4565784
FL_2007_000063_MDV,0.45609233
FL_2005_000064_ETH,0.45577642
FL_2014_000154_IDN,0.45522743
FL_2022_000224_GTM,0.4545325
FL_2006_000192_IDN,0.4525336
FL_2008_000054_THA,0.45212194
FL_2022_000217_BGD,0.45208183
FL_2007_000132_BFA,0.45185593
FL_2009_000208_AZE,0.4518559
FL_2013_000119_MRT,0.45175108
FL_2016_000081_GTM,0.45085558
FL_2014_000054_TJK,0.44916415
FL_1998_000359_UKR,0.44911838
FL_2009_000113_CHN,0.44875237
FL_2008_000205_IDN,0.44875225
FL_2020_000168_MNG,0.44873998
FL_2002_000479_CZE,0.44796377
FL_2008_000230_CUB,0.4477136
FL_2009_000217_IND,0.44770008
FL_2014_000159_MAR,0.44736567
FL_2005_000176_BGD,0.44703948
FL_2015_000093_GUY,0.4469216
FL_1998_000247_IRN,0.44676685
FL_2017_000122_CMR,0.44629842
FL_2019_000153_COD,0.4461719
FL_2015_000064_IND,0.44588536
FL_2021_000098_MNG,0.4451955
FL_2016_000123_DOM,0.44484115
FL_2010_000019_MEX,0.44480288
FL_2011_000020_BOL,0.44460398
FL_2007_000111_GBR,0.44418332
FL_2012_000125_PHL,0.4438228
FL_2015_000068_BGD,0.44348657
FL_2006_000041_SRB,0.44345632
FL_2020_000206_COD,0.44340742
FL_2005_000002_GUY,0.44315147
FL_2019_000133_SOM,0.44259548
