Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.466780827335701,465.0
FL_2023_000217_PRY,0.5220234016481354,245.0
Paraguay: Floods _ Jun 1995,0.49281274699145355,356.0
FL_2018_000419_PRY,0.5161203212376024,274.0
FL_2012_000056_PRY,0.5289668725514568,215.0
FL_2014_000030_PRY,0.4492269983141316,563.0
FL_1997_000299_PRY,0.49826351630790533,334.0
FL_2019_000033_PRY,0.5012648204077276,322.0
Paraguay: Floods _ Mar 1995,0.5033270031366106,315.0
FL_2013_000076_PRY,0.5083940217827847,297.0
subject,0.40853111430639544,772.0
FL_2015_000171_PRY,0.4788514727286688,399.0
FL_2002_000296_PRY,0.44807923516666587,571.0
ST_2015_000041_PRY,0.5084684039762416,296.0
FL_2023_000041_PRY,0.45837015828487826,509.0
FL_2009_000226_PRY,0.5479746162609737,146.0
Paraguay: Floods _ Feb 1990,0.4701153243850816,446.0
FL_2021_000213_STP,0.684561141950766,36.0
FL_2019_000034_BOL,0.5045839776616874,307.0
FL_2018_000015_BOL,0.5940494360050383,54.0
FL_2007_000012_BOL,0.47632405004935285,416.0
FL_2001_000029_BOL,0.49357876747696067,350.0
FL_2006_000010_BOL,0.5278149082583588,224.0
FL_2007_000231_BOL,0.5510043279243176,128.0
FL_2015_000008_BOL,0.5513920649793675,126.0
FL_2024_000021_BOL,0.47697832642637855,412.0
FL_2000_000130_BOL,0.5262926751940625,233.0
FL_2019_000032_BOL,0.4710420457388844,440.0
FL_2003_000621_BOL,0.4978086190589747,337.0
FL_2013_000020_BOL,0.5085657208564631,294.0
FL_2011_000020_BOL,0.45526362691401423,524.0
FL_2010_000008_BOL,0.4787737448859154,400.0
FL_2002_000110_BOL,0.5152032994520015,278.0
Bolivia: Chapare River Floods _ Jan 1987,0.5734490467795788,90.0
FL_1997_000022_BOL,0.5021627496220491,317.0
Bolivia: Floods _ Jan 1986,0.5456983084539262,151.0
Bolivia: Landslides/Floods _ Mar 1994,0.5389065414897192,176.0
FL_2009_000045_BOL,0.5485551395525365,141.0
FL_2014_000008_BOL,0.47737138140775076,408.0
FL_2003_000012_BOL,0.4833819278264371,383.0
FL_2012_000005_BOL,0.47131596622688077,439.0
FL_2025_000038_BOL,0.5092238401679032,290.0
FL_2019_000079_BGD,0.35909117626052306,1055.0
FL_2023_000157_BGD,0.3854987845021435,900.0
Bangladesh: Floods _ Jul 1996,0.40247646611031224,816.0
FL_2020_000161_BGD,0.3403459387661443,1149.0
FL_2007_000129_PAK,0.34523529005585274,1127.0
Bangladesh: Floods _ Jul 1993,0.4059762680252836,790.0
FL_1998_000203_BGD,0.42315928564538724,700.0
FL_2014_000117_BGD,0.3317233052274349,1192.0
Bangladesh: Floods _ Jul 1999,0.4294978315483373,670.0
FL_2005_000176_BGD,0.3615592605417677,1044.0
FL_2011_000093_BGD,0.40044911291379826,826.0
FL_2008_000096_BGD,0.37161404238723017,982.0
FL_2021_000097_BGD,0.37649097666889275,959.0
FL_2006_000131_BGD,0.3391068761518231,1156.0
FL_2000_000617_BGD,0.37977794674027093,943.0
FL_2015_000068_BGD,0.35920674291350374,1054.0
Bangladesh: Floods _ Aug 1988,0.3510439511668686,1101.0
FF_2007_000080_BGD,0.4102235580977669,765.0
Bangladesh: Floods _ Aug 1986,0.34757799313833637,1119.0
Bangladesh: Floods _ Jun 1993,0.3165894140703066,1228.0
FL_2004_000044_BGD,0.4064165898674551,787.0
FL_1997_000164_BGD,0.3482439119943695,1113.0
FL_2016_000075_BGD,0.3279877085852396,1202.0
Bangladesh: Floods _ Jul 1988,0.3512362363537007,1099.0
FL_2010_000114_BGD,0.40394144636177187,803.0
Bangladesh: Floods _ Sep 1986,0.35962826233596806,1053.0
Bangladesh: Floods _ Aug 1989,0.358344474087455,1058.0
FL_2009_000123_BGD,0.34947643983586496,1109.0
FL_2018_000105_BGD,0.35814043214245694,1061.0
FL_2002_000402_BGD,0.3805759039690477,937.0
FL_2002_000536_MMR,0.3843979596530058,911.0
Bangladesh: Floods _ Jul 1991,0.3560761731178861,1076.0
Bangladesh: Floods _ May 1984,0.3482070340349448,1114.0
FL_2012_000106_BGD,0.3676029309251164,1009.0
FL_2024_000088_BGD,0.3934283778000929,860.0
FL_2022_000217_BGD,0.3646911799171197,1024.0
FL_2006_000092_KOR,0.4657277295958456,472.0
FL_2001_000335_KOR,0.48673569687480506,377.0
FL_1999_000247_KOR,0.49000969968915625,365.0
FL_1998_000219_KOR,0.4829231370371135,386.0
FL_2009_000190_TUR,0.4892374299865724,367.0
