Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4827951056483962,1177.0
FL_2023_000217_PRY,0.5396333949110443,857.0
Paraguay: Floods _ Jun 1995,0.5123645276704167,1014.0
FL_2018_000419_PRY,0.5408874315944756,844.0
FL_2012_000056_PRY,0.5154822691685373,997.0
FL_2014_000030_PRY,0.539362153950959,860.0
FL_1997_000299_PRY,0.5506454236021072,746.0
FL_2019_000033_PRY,0.5498345160252622,760.0
Paraguay: Floods _ Mar 1995,0.4900696035034726,1145.0
FL_2013_000076_PRY,0.511129920997114,1019.0
subject,0.572422453970342,555.0
FL_2015_000171_PRY,0.5025908716946325,1069.0
FL_2002_000296_PRY,0.49258135560056,1119.0
ST_2015_000041_PRY,0.4999688540394086,1081.0
FL_2023_000041_PRY,0.492239616275689,1121.0
FL_2009_000226_PRY,0.5016131325679937,1072.0
Paraguay: Floods _ Feb 1990,0.5104804409739501,1027.0
FL_2021_000213_STP,0.7659702608716419,22.0
FL_2019_000034_BOL,0.5970943838497794,344.0
FL_2018_000015_BOL,0.5906460727773669,392.0
FL_2007_000012_BOL,0.526407890744987,942.0
FL_2001_000029_BOL,0.5346592500648418,890.0
FL_2006_000010_BOL,0.5658053401054494,611.0
FL_2007_000231_BOL,0.5101278009406875,1028.0
FL_2015_000008_BOL,0.5058728272344896,1052.0
FL_2024_000021_BOL,0.5789206128319657,490.0
FL_2000_000130_BOL,0.5310427894144019,918.0
FL_2019_000032_BOL,0.5440970892999986,822.0
FL_2003_000621_BOL,0.5397566986588693,855.0
FL_2013_000020_BOL,0.5525413836351559,728.0
FL_2011_000020_BOL,0.5579606811451896,691.0
FL_2010_000008_BOL,0.546869735914714,801.0
FL_2002_000110_BOL,0.574654216077879,523.0
Bolivia: Chapare River Floods _ Jan 1987,0.5464023854673805,803.0
FL_1997_000022_BOL,0.549662450751871,763.0
Bolivia: Floods _ Jan 1986,0.5903475629492416,394.0
Bolivia: Landslides/Floods _ Mar 1994,0.5569238035683993,703.0
FL_2009_000045_BOL,0.5557380883042922,710.0
FL_2014_000008_BOL,0.5679605444153744,594.0
FL_2003_000012_BOL,0.5804774502780243,477.0
FL_2012_000005_BOL,0.588489774702962,408.0
FL_2025_000038_BOL,0.561216058625019,661.0
FL_2019_000079_BGD,0.5602578169809491,667.0
FL_2023_000157_BGD,0.6005865659535645,314.0
Bangladesh: Floods _ Jul 1996,0.5211400324948742,963.0
FL_2020_000161_BGD,0.5577351396369498,695.0
FL_2007_000129_PAK,0.5367354594367189,877.0
Bangladesh: Floods _ Jul 1993,0.5597228161265657,672.0
FL_1998_000203_BGD,0.5284316472297688,929.0
FL_2014_000117_BGD,0.5498596182310427,758.0
Bangladesh: Floods _ Jul 1999,0.5815610736104369,467.0
FL_2005_000176_BGD,0.5715391496631788,562.0
FL_2011_000093_BGD,0.6024914938318342,301.0
FL_2008_000096_BGD,0.5715853863976815,560.0
FL_2021_000097_BGD,0.5586221919166403,684.0
FL_2006_000131_BGD,0.5529478743641127,726.0
FL_2000_000617_BGD,0.5536104561781889,723.0
FL_2015_000068_BGD,0.5396419564124209,856.0
Bangladesh: Floods _ Aug 1988,0.5346526540545768,891.0
FF_2007_000080_BGD,0.5481490351063045,787.0
Bangladesh: Floods _ Aug 1986,0.5212078555823325,962.0
Bangladesh: Floods _ Jun 1993,0.5627290850066504,644.0
FL_2004_000044_BGD,0.5677662944775845,595.0
FL_1997_000164_BGD,0.5692589318985823,579.0
FL_2016_000075_BGD,0.5624935479113157,647.0
Bangladesh: Floods _ Jul 1988,0.5501236360921811,752.0
FL_2010_000114_BGD,0.6107521879223876,249.0
Bangladesh: Floods _ Sep 1986,0.5527041376622462,727.0
Bangladesh: Floods _ Aug 1989,0.5454710898151928,814.0
FL_2009_000123_BGD,0.6160325264945592,217.0
FL_2018_000105_BGD,0.5627830444438036,641.0
FL_2002_000402_BGD,0.5213891662817606,961.0
FL_2002_000536_MMR,0.554618677617101,717.0
