Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5339822637572439,908.0
FL_2023_000217_PRY,0.5646642236792192,599.0
Paraguay: Floods _ Jun 1995,0.528253579669262,956.0
FL_2018_000419_PRY,0.5422426028775629,849.0
FL_2012_000056_PRY,0.5211226241179694,1009.0
FL_2014_000030_PRY,0.5328869523800599,916.0
FL_1997_000299_PRY,0.568981814827707,552.0
FL_2019_000033_PRY,0.5783201305641928,463.0
Paraguay: Floods _ Mar 1995,0.5213413134052522,1005.0
FL_2013_000076_PRY,0.5079934733783082,1110.0
subject,0.5050363761228565,1122.0
FL_2015_000171_PRY,0.5212156922044076,1007.0
FL_2002_000296_PRY,0.5301473559370833,932.0
ST_2015_000041_PRY,0.5380833281865117,884.0
FL_2023_000041_PRY,0.5210617530350622,1011.0
FL_2009_000226_PRY,0.5165979260732885,1040.0
Paraguay: Floods _ Feb 1990,0.5212958317501049,1006.0
FL_2021_000213_STP,0.7393426346359727,28.0
FL_2019_000034_BOL,0.4748796333464421,1296.0
FL_2018_000015_BOL,0.5017172267679708,1141.0
FL_2007_000012_BOL,0.4668033366746165,1332.0
FL_2001_000029_BOL,0.46595088459803513,1339.0
FL_2006_000010_BOL,0.4959099279086592,1174.0
FL_2007_000231_BOL,0.4431034605893346,1421.0
FL_2015_000008_BOL,0.44811643092369796,1406.0
FL_2024_000021_BOL,0.49789881431134886,1161.0
FL_2000_000130_BOL,0.4798585511397554,1270.0
FL_2019_000032_BOL,0.4714589732714415,1317.0
FL_2003_000621_BOL,0.5207023033469779,1014.0
FL_2013_000020_BOL,0.47158873806512064,1316.0
FL_2011_000020_BOL,0.4982559531235361,1158.0
FL_2010_000008_BOL,0.47830995231580586,1279.0
FL_2002_000110_BOL,0.5246476419483495,986.0
Bolivia: Chapare River Floods _ Jan 1987,0.46980669192500585,1323.0
FL_1997_000022_BOL,0.4888057770265064,1216.0
Bolivia: Floods _ Jan 1986,0.5132908957254538,1067.0
Bolivia: Landslides/Floods _ Mar 1994,0.4875475396409409,1225.0
FL_2009_000045_BOL,0.46623599216434675,1336.0
FL_2014_000008_BOL,0.44827173681717547,1405.0
FL_2003_000012_BOL,0.5289476539195679,945.0
FL_2012_000005_BOL,0.5196857801587288,1019.0
FL_2025_000038_BOL,0.49690897026956626,1166.0
FL_2019_000079_BGD,0.517053102299693,1033.0
FL_2023_000157_BGD,0.5544618805227236,719.0
Bangladesh: Floods _ Jul 1996,0.504316049791721,1125.0
FL_2020_000161_BGD,0.5209516965309648,1012.0
FL_2007_000129_PAK,0.49812184082148825,1160.0
Bangladesh: Floods _ Jul 1993,0.49612205855809177,1173.0
FL_1998_000203_BGD,0.469033675766914,1326.0
FL_2014_000117_BGD,0.4921202926608713,1200.0
Bangladesh: Floods _ Jul 1999,0.5248892620978134,985.0
FL_2005_000176_BGD,0.5226007241887392,995.0
FL_2011_000093_BGD,0.5522482365811597,749.0
FL_2008_000096_BGD,0.564327785994554,601.0
FL_2021_000097_BGD,0.534452982304257,905.0
FL_2006_000131_BGD,0.5127363065698858,1075.0
FL_2000_000617_BGD,0.5318098197916071,927.0
FL_2015_000068_BGD,0.5134235689278053,1066.0
Bangladesh: Floods _ Aug 1988,0.49983336649016885,1149.0
FF_2007_000080_BGD,0.5389392580069208,876.0
Bangladesh: Floods _ Aug 1986,0.48677394835685284,1229.0
Bangladesh: Floods _ Jun 1993,0.5150517536772146,1055.0
FL_2004_000044_BGD,0.5392174162941359,875.0
FL_1997_000164_BGD,0.5348559718568322,904.0
FL_2016_000075_BGD,0.5252212009175551,982.0
Bangladesh: Floods _ Jul 1988,0.5082632645984496,1108.0
FL_2010_000114_BGD,0.5393854810330352,872.0
Bangladesh: Floods _ Sep 1986,0.5153968391165552,1052.0
Bangladesh: Floods _ Aug 1989,0.5051907619302295,1119.0
FL_2009_000123_BGD,0.548810059813126,784.0
FL_2018_000105_BGD,0.5314593139879857,928.0
FL_2002_000402_BGD,0.495585546686786,1177.0
FL_2002_000536_MMR,0.5232048648145105,992.0
Bangladesh: Floods _ Jul 1991,0.5753886032135219,485.0
Bangladesh: Floods _ May 1984,0.45694346313805057,1378.0
FL_2012_000106_BGD,0.4915137401695173,1204.0
FL_2024_000088_BGD,0.5290418398472703,943.0
FL_2022_000217_BGD,0.5267310246944885,968.0
FL_2006_000092_KOR,0.5629731255087325,619.0
FL_2001_000335_KOR,0.5086403059884597,1107.0
FL_1999_000247_KOR,0.5235452015377808,989.0
FL_1998_000219_KOR,0.521070784053508,1010.0
FL_2009_000190_TUR,0.562590098802057,620.0
FL_2006_000156_TUR,0.5884590863577,374.0
Turkey: Floods _ Nov 1995,0.594149393010007,334.0
FL_1998_000255_TUR,0.5660722658404482,588.0
FL_2023_000040_TUR,0.6152631425719506,234.0
FF_2009_000159_PAK,0.5805836576603001,446.0
FL_2020_000185_PAK,0.5698939540423419,539.0
FF_2008_000123_PAK,0.5453622016811153,815.0
FL_2010_000141_PAK,0.5487729494569844,786.0
FF_2012_000148_PAK,0.5431570194947513,840.0
FF_2013_000090_PAK,0.5449904350858451,820.0
FL_2015_000017_PAK,0.5542969409338196,724.0
Pakistan: Floods _ Aug 1996,0.5617179742256029,625.0
FL_1998_000048_PAK,0.5697143556070771,543.0
FL_2019_000087_PAK,0.566292156998829,584.0
FL_2017_000017_PAK,0.5509724838755234,760.0
Pakistan: Floods _ Jul 1993,0.5443398778407422,829.0
FL_2014_000122_PAK,0.5196164067551303,1020.0
FL_1992_000008_PAK,0.5566473193749033,693.0
FF_2007_000082_PAK,0.5566755813431593,692.0
Pakistan: Floods _ Feb 1991,0.5447905922834815,824.0
FL_2003_000359_PAK,0.5128259966712567,1072.0
FL_2016_000066_PAK,0.5673407060475025,571.0
FL_2022_000254_PAK,0.5579363220797178,669.0
FL_2024_000118_PAK,0.5612299307904627,633.0
FL_2016_000021_PAK,0.5561830330431607,699.0
FL_2005_000108_PAK,0.554105602936716,728.0
FL_2024_000020_PAK,0.5216279369072341,1004.0
FL_2023_000119_PAK,0.5671243692749909,573.0
FL_2001_000376_PAK,0.551161119382996,756.0
FL_2011_000109_PAK,0.5575971662729007,675.0
FL_2009_000139_PAK,0.5335671936988327,910.0
FL_2005_000038_MDG,0.5864697742159679,397.0
ST_2022_000138_MDG,0.583426045560108,422.0
2012_000020_MDG,0.5702892917936841,536.0
FL_2020_000019_MDG,0.5675624966799704,569.0
FL_2003_000037_MDG,0.5829911056611377,427.0
FL_2013_000004_KEN,0.4889367927849173,1214.0
FL_2009_000218_KEN,0.4850547162624043,1240.0
FL_2024_000045_KEN,0.4925077841651046,1196.0
FL_2011_000115_KEN,0.4932401707012354,1193.0
FL_2002_000265_KEN,0.4832526186386781,1254.0
FL_2010_000003_KEN,0.4940520296620524,1188.0
FL_2004_000020_KEN,0.5074878024405775,1112.0
FF_2012_000062_KEN,0.4866996146033191,1231.0
FL_2008_000217_KEN,0.5209048080212764,1013.0
FL_2015_000169_KEN,0.4947395315031027,1184.0
FL_2021_000038_KEN,0.4744052723742801,1300.0
FL_2023_000216_KEN,0.4989538757469039,1154.0
FL_2013_000038_KEN,0.48817307341371885,1221.0
FL_1997_000255_KEN,0.47189451863308385,1314.0
FL_2020_000128_KEN,0.4777470850264489,1285.0
FF_2023_000051_KEN,0.49261551257486,1195.0
FL_2019_000138_KEN,0.4526304027745525,1397.0
FL_2007_000139_KEN,0.47307395630546545,1309.0
FF_2008_000092_KEN,0.48236435752292867,1258.0
FL_2007_000076_KEN,0.49569642913498024,1176.0
FF_2018_000030_KEN,0.5142303911555202,1063.0
FL_2010_000174_KEN,0.5151228520892273,1054.0
FF_2006_000046_KEN,0.48830534096574674,1218.0
FL_2016_000042_KEN,0.5027162690359994,1137.0
FL_2007_000221_KEN,0.5172999659151664,1032.0
FL_2025_000045_COD,0.7032811858934593,62.0
FL_2024_000009_COD,0.7537343531999419,15.0
FL_1999_000531_COD,0.7065689925633769,58.0
FL_2012_000192_COD,0.747094899042986,19.0
ST_2012_000064_COD,0.6974112108229671,66.0
FL_2010_000062_COD,0.7119240766671828,54.0
FL_2020_000052_COD,0.723435953922203,44.0
FL_2010_000151_COD,0.7323319735332992,36.0
FL_2006_000047_COD,0.7166371324084693,48.0
FL_2016_000124_COD,0.7095765767413509,57.0
FL_2015_000164_COD,0.6791771904712536,85.0
FL_1997_000295_COD,0.7519068265087461,16.0
FL_2011_000187_COD,0.7135440083429253,52.0
FL_2022_000376_COD,0.7038300133198241,60.0
FL_2018_000004_COD,0.6785061835308801,86.0
FL_2007_000197_COD,0.7031470471617147,63.0
FL_2020_000206_COD,0.6918893603362519,72.0
FL_2019_000153_COD,0.7393564798721356,27.0
FF_2008_000186_COD,0.7283977012934351,41.0
FL_2023_000067_COD,0.671056541893349,94.0
FL_2019_000020_COL,0.6075196864068597,271.0
FL_2015_000056_COL,0.6005277355425939,304.0
FL_2003_000578_COL,0.5954427595136709,326.0
FL_2023_000232_COL,0.5924973352938754,347.0
FL_2008_000197_COL,0.6332317444110197,160.0
1987_07_01_CO_Flood,0.5842719205905981,414.0
FL_2013_000145_COL,0.6263865997604152,188.0
FL_2010_000076_COL,0.6313965063509617,168.0
FL_2005_000020_COL,0.5978831636386102,318.0
