Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4530947949561433,1004.0
FL_2023_000217_PRY,0.5000607140079756,749.0
Paraguay: Floods _ Jun 1995,0.5137541446138344,685.0
FL_2018_000419_PRY,0.5057088277285027,728.0
FL_2012_000056_PRY,0.5329484567959397,610.0
FL_2014_000030_PRY,0.46346481419252705,941.0
FL_1997_000299_PRY,0.5306300292074498,620.0
FL_2019_000033_PRY,0.5282658865027395,632.0
Paraguay: Floods _ Mar 1995,0.5033324177106533,736.0
FL_2013_000076_PRY,0.4948885270997307,782.0
subject,0.337081873562858,1458.0
FL_2015_000171_PRY,0.4743879404130316,890.0
FL_2002_000296_PRY,0.4889248665260896,812.0
ST_2015_000041_PRY,0.49017473664441524,804.0
FL_2023_000041_PRY,0.4695269296726059,912.0
FL_2009_000226_PRY,0.5439362581490603,566.0
Paraguay: Floods _ Feb 1990,0.4697716815199324,910.0
FL_2021_000213_STP,0.5466511038966789,550.0
FL_2019_000034_BOL,0.469594046876046,911.0
FL_2018_000015_BOL,0.4881595921291657,816.0
FL_2007_000012_BOL,0.4410737376085082,1069.0
FL_2001_000029_BOL,0.4429838526019215,1055.0
FL_2006_000010_BOL,0.4577782219227945,972.0
FL_2007_000231_BOL,0.465742596301036,931.0
FL_2015_000008_BOL,0.44472597682949855,1041.0
FL_2024_000021_BOL,0.4536265230935663,997.0
FL_2000_000130_BOL,0.44763927839407963,1029.0
FL_2019_000032_BOL,0.4284048188882885,1148.0
FL_2003_000621_BOL,0.46680344750292746,923.0
FL_2013_000020_BOL,0.471668605377488,901.0
FL_2011_000020_BOL,0.4858032004487146,824.0
FL_2010_000008_BOL,0.43727814861289266,1084.0
FL_2002_000110_BOL,0.45620253845059966,982.0
Bolivia: Chapare River Floods _ Jan 1987,0.43957297477749,1073.0
FL_1997_000022_BOL,0.43585428254884984,1090.0
Bolivia: Floods _ Jan 1986,0.47989714706151704,859.0
Bolivia: Landslides/Floods _ Mar 1994,0.4806703718522119,849.0
FL_2009_000045_BOL,0.4535637250879925,998.0
FL_2014_000008_BOL,0.4429436479041129,1056.0
FL_2003_000012_BOL,0.5063663750418136,725.0
FL_2012_000005_BOL,0.46998867861799404,909.0
FL_2025_000038_BOL,0.4982053147312397,759.0
FL_2019_000079_BGD,0.3887384259272787,1323.0
FL_2023_000157_BGD,0.4425419542015301,1061.0
Bangladesh: Floods _ Jul 1996,0.3783091813296833,1364.0
FL_2020_000161_BGD,0.3678828637289515,1390.0
FL_2007_000129_PAK,0.38776085703797347,1325.0
Bangladesh: Floods _ Jul 1993,0.3745485264242412,1372.0
FL_1998_000203_BGD,0.34444315947162685,1440.0
FL_2014_000117_BGD,0.3501152546140853,1425.0
Bangladesh: Floods _ Jul 1999,0.3457557787610367,1436.0
FL_2005_000176_BGD,0.3788706579576886,1360.0
FL_2011_000093_BGD,0.409852233761802,1229.0
FL_2008_000096_BGD,0.39232393358203865,1308.0
FL_2021_000097_BGD,0.38429466975883037,1338.0
FL_2006_000131_BGD,0.39519377346689066,1291.0
FL_2000_000617_BGD,0.3895052186445713,1320.0
FL_2015_000068_BGD,0.3821444470514709,1342.0
Bangladesh: Floods _ Aug 1988,0.3782332486019875,1366.0
FF_2007_000080_BGD,0.3742549035302373,1373.0
Bangladesh: Floods _ Aug 1986,0.3554735385612855,1416.0
Bangladesh: Floods _ Jun 1993,0.3871888114696739,1328.0
FL_2004_000044_BGD,0.375038377130106,1368.0
FL_1997_000164_BGD,0.39177248721156505,1311.0
FL_2016_000075_BGD,0.36719720833076436,1393.0
Bangladesh: Floods _ Jul 1988,0.38868035646298243,1324.0
FL_2010_000114_BGD,0.38193932992035046,1344.0
Bangladesh: Floods _ Sep 1986,0.3912093839653221,1315.0
Bangladesh: Floods _ Aug 1989,0.37496958867393027,1370.0
FL_2009_000123_BGD,0.40299683293935196,1261.0
FL_2018_000105_BGD,0.363964617929001,1399.0
FL_2002_000402_BGD,0.36215331801177997,1408.0
FL_2002_000536_MMR,0.42151367696060327,1172.0
Bangladesh: Floods _ Jul 1991,0.3791690588646938,1358.0
Bangladesh: Floods _ May 1984,0.33819246357091703,1456.0
FL_2012_000106_BGD,0.39245676374349014,1306.0
FL_2024_000088_BGD,0.3727351296466007,1379.0
FL_2022_000217_BGD,0.39803107334449983,1282.0
FL_2006_000092_KOR,0.49307844150321545,795.0
FL_2001_000335_KOR,0.42876921438739096,1145.0
FL_1999_000247_KOR,0.4541711869934207,994.0
FL_1998_000219_KOR,0.435498236274097,1094.0
FL_2009_000190_TUR,0.4813655710237579,847.0
FL_2006_000156_TUR,0.4635714252186209,940.0
Turkey: Floods _ Nov 1995,0.5099780981399697,712.0
FL_1998_000255_TUR,0.44890618851343866,1021.0
FL_2023_000040_TUR,0.4951176745567082,781.0
FF_2009_000159_PAK,0.6604975465369499,146.0
FL_2020_000185_PAK,0.6525569763173236,165.0
FF_2008_000123_PAK,0.6450689630653288,190.0
FL_2010_000141_PAK,0.6368369552792849,207.0
FF_2012_000148_PAK,0.6390987430765254,200.0
FF_2013_000090_PAK,0.6437487785884184,192.0
FL_2015_000017_PAK,0.6564294837963811,154.0
Pakistan: Floods _ Aug 1996,0.6471421215163682,183.0
FL_1998_000048_PAK,0.652717707501455,163.0
FL_2019_000087_PAK,0.6493629060698394,176.0
FL_2017_000017_PAK,0.6523100178012311,168.0
Pakistan: Floods _ Jul 1993,0.6360305324152272,211.0
FL_2014_000122_PAK,0.6196365238510955,244.0
FL_1992_000008_PAK,0.6513050982590236,172.0
FF_2007_000082_PAK,0.6558870432712114,156.0
Pakistan: Floods _ Feb 1991,0.63873879116857,201.0
FL_2003_000359_PAK,0.6134698666569549,262.0
FL_2016_000066_PAK,0.656168141248191,155.0
FL_2022_000254_PAK,0.6489168880035687,179.0
FL_2024_000118_PAK,0.6518739832267225,170.0
FL_2016_000021_PAK,0.6525092983713341,166.0
FL_2005_000108_PAK,0.6410055823419551,196.0
FL_2024_000020_PAK,0.6117625168760127,266.0
