Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3132191372027237,1133.0
FL_2023_000217_PRY,0.3798817893316678,762.0
Paraguay: Floods _ Jun 1995,0.31561387879859937,1124.0
FL_2018_000419_PRY,0.3808444378891183,751.0
FL_2012_000056_PRY,0.383952106657518,725.0
FL_2014_000030_PRY,0.348589890397372,965.0
FL_1997_000299_PRY,0.3656496088258629,850.0
FL_2019_000033_PRY,0.34794897709428696,971.0
Paraguay: Floods _ Mar 1995,0.3010404837276588,1191.0
FL_2013_000076_PRY,0.35703409135220154,912.0
subject,0.2985366665957644,1202.0
FL_2015_000171_PRY,0.33720954390503316,1024.0
FL_2002_000296_PRY,0.2856647014212002,1249.0
ST_2015_000041_PRY,0.32995326416958226,1058.0
FL_2023_000041_PRY,0.286227337015017,1246.0
FL_2009_000226_PRY,0.412788944808259,582.0
Paraguay: Floods _ Feb 1990,0.31746526407662135,1110.0
FL_2021_000213_STP,0.5812384825883046,112.0
FL_2019_000034_BOL,0.4170319211390847,570.0
FL_2018_000015_BOL,0.4316172733130804,495.0
FL_2007_000012_BOL,0.39561815056241056,665.0
FL_2001_000029_BOL,0.36440060513642836,858.0
FL_2006_000010_BOL,0.4303755200370778,502.0
FL_2007_000231_BOL,0.34570593437537944,985.0
FL_2015_000008_BOL,0.39631596286163473,653.0
FL_2024_000021_BOL,0.3838206176116422,727.0
FL_2000_000130_BOL,0.34724494596966177,976.0
FL_2019_000032_BOL,0.3728433773238715,804.0
FL_2003_000621_BOL,0.37087273880422766,822.0
FL_2013_000020_BOL,0.413360754472409,581.0
FL_2011_000020_BOL,0.39821795308171615,643.0
FL_2010_000008_BOL,0.3704079296571068,824.0
FL_2002_000110_BOL,0.39610369891819647,656.0
Bolivia: Chapare River Floods _ Jan 1987,0.3839849196702356,724.0
FL_1997_000022_BOL,0.3907889080204168,690.0
Bolivia: Floods _ Jan 1986,0.4053507961234886,612.0
Bolivia: Landslides/Floods _ Mar 1994,0.44143030139751205,420.0
FL_2009_000045_BOL,0.41810267125722506,565.0
FL_2014_000008_BOL,0.42864243028856974,515.0
FL_2003_000012_BOL,0.4286051422016176,516.0
FL_2012_000005_BOL,0.42087266019996,556.0
FL_2025_000038_BOL,0.42543775975733783,535.0
FL_2019_000079_BGD,0.3551421415402258,924.0
FL_2023_000157_BGD,0.36015877937443097,892.0
Bangladesh: Floods _ Jul 1996,0.33983365803942317,1014.0
FL_2020_000161_BGD,0.37554496658451064,781.0
FL_2007_000129_PAK,0.4153083541329082,576.0
Bangladesh: Floods _ Jul 1993,0.36318888890030115,862.0
FL_1998_000203_BGD,0.37662711007570937,775.0
FL_2014_000117_BGD,0.3242660292962164,1082.0
Bangladesh: Floods _ Jul 1999,0.3657362474443339,849.0
FL_2005_000176_BGD,0.39083715178360595,689.0
FL_2011_000093_BGD,0.3849669548581899,719.0
FL_2008_000096_BGD,0.32532961978480346,1074.0
FL_2021_000097_BGD,0.3495863620112653,955.0
FL_2006_000131_BGD,0.37038932682956693,825.0
FL_2000_000617_BGD,0.3626046814444325,871.0
FL_2015_000068_BGD,0.36986368552703813,827.0
Bangladesh: Floods _ Aug 1988,0.351922505226988,941.0
FF_2007_000080_BGD,0.3462542462877064,982.0
Bangladesh: Floods _ Aug 1986,0.3079319680537066,1153.0
Bangladesh: Floods _ Jun 1993,0.372966276931054,803.0
FL_2004_000044_BGD,0.36788257545847636,834.0
FL_1997_000164_BGD,0.38642363484544484,711.0
FL_2016_000075_BGD,0.3423545755615237,1002.0
Bangladesh: Floods _ Jul 1988,0.3645862132557251,856.0
FL_2010_000114_BGD,0.3886449677269175,702.0
Bangladesh: Floods _ Sep 1986,0.33329563157547987,1040.0
Bangladesh: Floods _ Aug 1989,0.3623582744228592,872.0
