Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.4577212937124751,1052.0
FL_2023_000217_PRY,0.4896475952980075,819.0
Paraguay: Floods _ Jun 1995,0.517989993744928,685.0
FL_2018_000419_PRY,0.48345406810858416,860.0
FL_2012_000056_PRY,0.5160998254289173,695.0
FL_2014_000030_PRY,0.4691074637402884,966.0
FL_1997_000299_PRY,0.5185682186130129,682.0
FL_2019_000033_PRY,0.5265300509519382,650.0
Paraguay: Floods _ Mar 1995,0.5083888416439422,728.0
FL_2013_000076_PRY,0.4782644860797721,897.0
subject,0.3256682157824748,1483.0
FL_2015_000171_PRY,0.5123475626711298,717.0
FL_2002_000296_PRY,0.5134953179131256,711.0
ST_2015_000041_PRY,0.46154356007938707,1011.0
FL_2023_000041_PRY,0.47955801616605137,882.0
FL_2009_000226_PRY,0.473113255286411,939.0
Paraguay: Floods _ Feb 1990,0.46363229324116506,994.0
FL_2021_000213_STP,0.6137939599709576,268.0
FL_2019_000034_BOL,0.3978350224223856,1340.0
FL_2018_000015_BOL,0.40297329642943047,1313.0
FL_2007_000012_BOL,0.3790805892638923,1389.0
FL_2001_000029_BOL,0.39123145850872554,1357.0
FL_2006_000010_BOL,0.38991517736428943,1361.0
FL_2007_000231_BOL,0.40678191661266505,1299.0
FL_2015_000008_BOL,0.363382470744683,1436.0
FL_2024_000021_BOL,0.42356944010624153,1235.0
FL_2000_000130_BOL,0.4198882800606277,1255.0
FL_2019_000032_BOL,0.38519773424005266,1374.0
FL_2003_000621_BOL,0.4287169500637628,1215.0
FL_2013_000020_BOL,0.4331503292928111,1195.0
FL_2011_000020_BOL,0.4359909795950748,1185.0
FL_2010_000008_BOL,0.4293960827156794,1211.0
FL_2002_000110_BOL,0.4543603433790281,1078.0
Bolivia: Chapare River Floods _ Jan 1987,0.39056636693714986,1358.0
FL_1997_000022_BOL,0.39890200659253083,1336.0
Bolivia: Floods _ Jan 1986,0.4477903215619113,1128.0
Bolivia: Landslides/Floods _ Mar 1994,0.4169712930973424,1266.0
FL_2009_000045_BOL,0.387193902842781,1367.0
FL_2014_000008_BOL,0.3721955835418926,1409.0
FL_2003_000012_BOL,0.45107634011481923,1101.0
FL_2012_000005_BOL,0.43589571224212814,1187.0
FL_2025_000038_BOL,0.4047654710023462,1308.0
FL_2019_000079_BGD,0.42929933783256197,1212.0
FL_2023_000157_BGD,0.526466980191948,651.0
Bangladesh: Floods _ Jul 1996,0.46683976990462955,978.0
FL_2020_000161_BGD,0.47419109013147154,931.0
FL_2007_000129_PAK,0.4697579194594777,962.0
Bangladesh: Floods _ Jul 1993,0.4674155045491363,975.0
FL_1998_000203_BGD,0.43606003857451053,1184.0
FL_2014_000117_BGD,0.4598025976492094,1032.0
Bangladesh: Floods _ Jul 1999,0.44506117411584034,1140.0
FL_2005_000176_BGD,0.458922532530582,1037.0
FL_2011_000093_BGD,0.48386145840694733,855.0
FL_2008_000096_BGD,0.5019239224335768,759.0
FL_2021_000097_BGD,0.48779980796596834,829.0
FL_2006_000131_BGD,0.4749280747684224,920.0
FL_2000_000617_BGD,0.46038746755035487,1024.0
FL_2015_000068_BGD,0.4879395438239271,828.0
Bangladesh: Floods _ Aug 1988,0.47910205703701914,887.0
FF_2007_000080_BGD,0.4872279551857459,831.0
Bangladesh: Floods _ Aug 1986,0.4847079159897707,851.0
Bangladesh: Floods _ Jun 1993,0.4983431377740124,774.0
FL_2004_000044_BGD,0.4935203728961923,798.0
FL_1997_000164_BGD,0.4732393471154684,938.0
FL_2016_000075_BGD,0.49310239502146136,800.0
Bangladesh: Floods _ Jul 1988,0.49105748987466014,806.0
FL_2010_000114_BGD,0.497441825472552,781.0
Bangladesh: Floods _ Sep 1986,0.4884986024526264,824.0
Bangladesh: Floods _ Aug 1989,0.45844420558022136,1045.0
FL_2009_000123_BGD,0.4908063456258445,809.0
FL_2018_000105_BGD,0.47547926016782494,916.0
FL_2002_000402_BGD,0.46799566833308137,972.0
FL_2002_000536_MMR,0.5041226758238793,746.0
Bangladesh: Floods _ Jul 1991,0.47926570632434096,884.0
Bangladesh: Floods _ May 1984,0.4203841045509147,1251.0
FL_2012_000106_BGD,0.47240382555204896,946.0
FL_2024_000088_BGD,0.4699998195497117,960.0
FL_2022_000217_BGD,0.476070958377457,915.0
FL_2006_000092_KOR,0.5350771410788918,613.0
FL_2001_000335_KOR,0.47481483182119366,923.0
FL_1999_000247_KOR,0.5022201422818959,758.0
FL_1998_000219_KOR,0.4869329347781167,834.0
FL_2009_000190_TUR,0.5008290884924422,765.0
FL_2006_000156_TUR,0.5505906797271867,557.0
Turkey: Floods _ Nov 1995,0.5293080985629182,638.0
FL_1998_000255_TUR,0.4729386884343394,942.0
FL_2023_000040_TUR,0.5616805243300798,528.0
FF_2009_000159_PAK,0.5463594199501975,567.0
FL_2020_000185_PAK,0.5410357532433214,588.0
FF_2008_000123_PAK,0.5306714759478668,633.0
FL_2010_000141_PAK,0.5288775972015788,641.0
FF_2012_000148_PAK,0.5209188161086101,672.0
FF_2013_000090_PAK,0.5257218533751784,657.0
FL_2015_000017_PAK,0.5405542394778391,591.0
Pakistan: Floods _ Aug 1996,0.5332799101707207,621.0
FL_1998_000048_PAK,0.5410560541390074,587.0
FL_2019_000087_PAK,0.5360993894763513,608.0
FL_2017_000017_PAK,0.5329808337711571,624.0
Pakistan: Floods _ Jul 1993,0.5243903353995025,659.0
FL_2014_000122_PAK,0.4915894961572061,804.0
FL_1992_000008_PAK,0.5404985094225905,592.0
FF_2007_000082_PAK,0.5396739570951651,596.0
Pakistan: Floods _ Feb 1991,0.5304455354809361,634.0
FL_2003_000359_PAK,0.49824897163479326,775.0
FL_2016_000066_PAK,0.5481532597747231,561.0
FL_2022_000254_PAK,0.5346695403982826,615.0
FL_2024_000118_PAK,0.545763979897073,572.0
FL_2016_000021_PAK,0.5361448030441507,607.0
FL_2005_000108_PAK,0.5261082900851992,656.0
FL_2024_000020_PAK,0.4933349206901421,799.0
FL_2023_000119_PAK,0.5520616069777067,552.0
FL_2001_000376_PAK,0.516583447387949,693.0
FL_2011_000109_PAK,0.5277058701130164,646.0
FL_2009_000139_PAK,0.5129972757950841,715.0
FL_2005_000038_MDG,0.5784693935360062,478.0
ST_2022_000138_MDG,0.5561717026876082,543.0
2012_000020_MDG,0.5508130083554321,555.0
FL_2020_000019_MDG,0.5460862411277181,571.0
FL_2003_000037_MDG,0.557191619221822,538.0
