Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.40419178215958723,1200.0
FL_2023_000217_PRY,0.44301912508836405,992.0
Paraguay: Floods _ Jun 1995,0.4541623472479328,929.0
FL_2018_000419_PRY,0.4458455874624695,971.0
FL_2012_000056_PRY,0.46735138983446906,875.0
FL_2014_000030_PRY,0.42970743561904884,1068.0
FL_1997_000299_PRY,0.4805356793710742,816.0
FL_2019_000033_PRY,0.49173644650801934,742.0
Paraguay: Floods _ Mar 1995,0.4506785392856526,948.0
FL_2013_000076_PRY,0.43366345640355086,1035.0
subject,0.38565440848856847,1299.0
FL_2015_000171_PRY,0.4528779968300133,935.0
FL_2002_000296_PRY,0.44944896991903294,957.0
ST_2015_000041_PRY,0.43126095923824076,1056.0
FL_2023_000041_PRY,0.4393392239915922,1014.0
FL_2009_000226_PRY,0.43936177550541644,1013.0
Paraguay: Floods _ Feb 1990,0.4400411295820961,1010.0
FL_2021_000213_STP,0.5323763956581365,543.0
FL_2019_000034_BOL,0.4127456422088698,1151.0
FL_2018_000015_BOL,0.4116378889980046,1160.0
FL_2007_000012_BOL,0.36889326939398803,1378.0
FL_2001_000029_BOL,0.37585129930400674,1354.0
FL_2006_000010_BOL,0.38373565343410676,1313.0
FL_2007_000231_BOL,0.39005779967858767,1279.0
FL_2015_000008_BOL,0.3608349639675714,1409.0
FL_2024_000021_BOL,0.41618043755881506,1133.0
FL_2000_000130_BOL,0.39735724831770664,1247.0
FL_2019_000032_BOL,0.3898086390588946,1282.0
FL_2003_000621_BOL,0.40548798337226905,1193.0
FL_2013_000020_BOL,0.4253336736194775,1093.0
FL_2011_000020_BOL,0.4181638384900074,1126.0
FL_2010_000008_BOL,0.4172616565725058,1127.0
FL_2002_000110_BOL,0.4462622852405277,969.0
Bolivia: Chapare River Floods _ Jan 1987,0.3828154200862145,1318.0
FL_1997_000022_BOL,0.38819411513300073,1287.0
Bolivia: Floods _ Jan 1986,0.4505042510698912,951.0
Bolivia: Landslides/Floods _ Mar 1994,0.4141575838481189,1144.0
FL_2009_000045_BOL,0.38568627621213336,1298.0
FL_2014_000008_BOL,0.3822607294717577,1324.0
