Historical_Disaster_ID,CNN_Cosine_Similarity,Graph_Cosine_Similarity,Domain_Rank,Boost_Factor,Final_Alpha_Weight
FL_2002_000077_PER,0.7277534,0.9996344672856646,2.0,1.0833333333333333,0.7883995166666666
FL_2007_000009_PER,0.729793,0.9995141294012531,5.0,1.0666666666666667,0.7784458666666667
FL_2008_000031_PER,0.70792896,0.9997494078242007,1.0,1.0909090909090908,0.7722861381818181
FL_2015_000011_PER,0.7218095,0.9994587249634849,6.0,1.0625,0.7669225937499999
FL_2006_000031_PER,0.7147223,0.9993186435237067,9.0,1.0526315789473684,0.7523392631578947
FL_2008_000213_PER,0.70690167,0.9993106838685542,11.0,1.0476190476190477,0.7405636542857144
FL_2003_000051_PER,0.6952392,0.9988843892982235,19.0,1.0344827586206897,0.7192129655172413
FL_2001_000117_PER,0.66915727,0.9992662440952313,14.0,1.0416666666666667,0.6970388229166667
FL_2009_000261_PER,0.659078,0.9987203815046215,21.0,1.032258064516129,0.6803385806451613
FL_2017_000014_PER,0.6504643,0.999016506849931,18.0,1.0357142857142858,0.6736951678571429
FL_1997_000530_PER,0.6487555,0.998547743231561,23.0,1.0303030303030303,0.6684147575757576
FL_2021_000019_PER,0.64639974,0.998558159218444,22.0,1.03125,0.666599731875
FL_1999_000160_PER,0.6125393,0.999385953614544,8.0,1.0555555555555556,0.6465692611111111
FL_2013_000019_PER,0.56052494,0.9992849366609309,12.0,1.0454545454545454,0.5860033463636363
FL_2011_000198_PER,0.5353923,0.9991504350461926,16.0,1.0384615384615385,0.5559843115384616
FL_2007_000125_PHL,0.55215734,0.4119636936872907,814.0,1.0012135922330097,0.5528274338592233
FL_2013_000020_BOL,0.5351432,0.4398630117981299,638.0,1.001543209876543,0.5359690382716049
FL_2008_000089_IND,0.5273272,0.22693431383898088,1456.0,1.000682128240109,0.5276869047748977
FL_2008_000091_SOM,0.5257311,0.338259836235286,1170.0,1.0008474576271187,0.5261766348305085
FL_2010_000161_MYS,0.52228,0.3029667257524709,1268.0,1.0007824726134584,0.522688669796557
FL_2001_000407_IDN,0.5187976,0.42232561309561656,746.0,1.0013227513227514,0.5194838402116402
FL_2016_000084_PHL,0.51849616,0.3945016421552563,941.0,1.0010515247108307,0.5190413715247109
FL_1997_000337_IND,0.5173619,0.2502353097536164,1413.0,1.000702740688686,0.5177254712579059
FL_2005_000051_AGO,0.5136974,0.5248302377116476,228.0,1.004201680672269,0.5158557924369748
FL_2007_000194_GTM,0.51078826,0.49739267814372223,313.0,1.0030959752321982,0.5123696478018576
FL_2016_000025_SRB,0.5046615,0.30715067835157833,1248.0,1.0007949125596185,0.5050626617647059
FL_2003_000621_BOL,0.4972264,0.4974836461036637,311.0,1.0031152647975077,0.4987753919003115
FL_2009_000187_CIV,0.49790007,0.4299136111347285,696.0,1.001416430594901,0.49860531089235127
FL_2014_000168_MYS,0.4980076,0.3249978677582634,1202.0,1.0008250825082508,0.4984184973597359
FL_2020_000164_IND,0.4968908,0.2654873648944221,1379.0,1.0007199424046076,0.4972485327573794
FL_2006_000120_BFA,0.49113342,0.5737341133365657,81.0,1.010989010989011,0.49653049054945053
FL_2005_000017_VEN,0.49593756,0.4074326365781662,844.0,1.0011709601873535,0.49651828313817326
FL_2010_000003_KEN,0.48892558,0.6105115685135217,60.0,1.0142857142857142,0.49591023114285715
FL_2005_000104_IND,0.49545702,0.24087665789037857,1434.0,1.0006925207756232,0.49580013427977837
FL_2005_000117_GTM,0.49345738,0.414592851716169,793.0,1.0012453300124533,0.4940718972851806
