Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.3669887503606366,1072.0
FL_2023_000217_PRY,0.40569622777291886,853.0
Paraguay: Floods _ Jun 1995,0.3865034446113761,987.0
FL_2018_000419_PRY,0.41198524729624286,813.0
FL_2012_000056_PRY,0.42624368582270467,722.0
FL_2014_000030_PRY,0.39940280843153564,903.0
FL_1997_000299_PRY,0.3999082571583334,898.0
FL_2019_000033_PRY,0.3985955789330081,907.0
Paraguay: Floods _ Mar 1995,0.38882696794750454,978.0
FL_2013_000076_PRY,0.36947658316637266,1061.0
subject,0.31415151652534784,1228.0
FL_2015_000171_PRY,0.43518932502482066,661.0
FL_2002_000296_PRY,0.3967569488998788,921.0
ST_2015_000041_PRY,0.3779979625315869,1030.0
FL_2023_000041_PRY,0.37044489920972995,1055.0
FL_2009_000226_PRY,0.38939457067950833,970.0
Paraguay: Floods _ Feb 1990,0.34090089218104985,1162.0
FL_2021_000213_STP,0.7635060810449703,24.0
FL_2019_000034_BOL,0.43407028618849436,668.0
FL_2018_000015_BOL,0.447545299392692,592.0
FL_2007_000012_BOL,0.43831177259236354,646.0
FL_2001_000029_BOL,0.4314869521537902,689.0
FL_2006_000010_BOL,0.4537587438717553,555.0
FL_2007_000231_BOL,0.4299551476404591,695.0
FL_2015_000008_BOL,0.4423951475401472,624.0
FL_2024_000021_BOL,0.4317737568886165,687.0
FL_2000_000130_BOL,0.4484965579651365,585.0
FL_2019_000032_BOL,0.43430958434345746,665.0
FL_2003_000621_BOL,0.4974836461036637,311.0
FL_2013_000020_BOL,0.4398630117981299,638.0
FL_2011_000020_BOL,0.46274845614064625,489.0
FL_2010_000008_BOL,0.4473643111576724,593.0
FL_2002_000110_BOL,0.44188325168951553,629.0
Bolivia: Chapare River Floods _ Jan 1987,0.4326868027743259,680.0
FL_1997_000022_BOL,0.48273350485408456,374.0
Bolivia: Floods _ Jan 1986,0.46320608717093875,484.0
Bolivia: Landslides/Floods _ Mar 1994,0.44887616926646656,583.0
FL_2009_000045_BOL,0.45247864750041195,565.0
FL_2014_000008_BOL,0.44277115270344647,621.0
FL_2003_000012_BOL,0.4610516564567617,504.0
FL_2012_000005_BOL,0.45889966732431237,517.0
FL_2025_000038_BOL,0.42945184842073564,698.0
FL_2019_000079_BGD,0.3811436822658779,1018.0
FL_2023_000157_BGD,0.466268070408921,466.0
Bangladesh: Floods _ Jul 1996,0.4627014806925474,490.0
FL_2020_000161_BGD,0.48942087575432786,338.0
FL_2007_000129_PAK,0.5050232158130414,287.0
Bangladesh: Floods _ Jul 1993,0.42921798840791403,702.0
FL_1998_000203_BGD,0.43703260010433864,655.0
FL_2014_000117_BGD,0.43798531667376184,649.0
Bangladesh: Floods _ Jul 1999,0.4678228570980479,457.0
FL_2005_000176_BGD,0.5010487606463615,296.0
FL_2011_000093_BGD,0.4612823171192262,501.0
FL_2008_000096_BGD,0.4639935418501162,480.0
FL_2021_000097_BGD,0.4469872009914122,594.0
FL_2006_000131_BGD,0.45513688453191736,541.0
FL_2000_000617_BGD,0.43440571871411204,664.0
FL_2015_000068_BGD,0.4818532417587559,379.0
Bangladesh: Floods _ Aug 1988,0.4608729443268629,505.0
FF_2007_000080_BGD,0.4776021401274407,405.0
Bangladesh: Floods _ Aug 1986,0.48151226870272495,380.0
Bangladesh: Floods _ Jun 1993,0.452069660083224,567.0
FL_2004_000044_BGD,0.454493383851171,549.0
FL_1997_000164_BGD,0.4651401303013364,469.0
FL_2016_000075_BGD,0.4696865053988767,443.0
Bangladesh: Floods _ Jul 1988,0.47981757405931846,388.0
FL_2010_000114_BGD,0.47777768739306065,403.0
Bangladesh: Floods _ Sep 1986,0.4612559990556425,502.0
Bangladesh: Floods _ Aug 1989,0.4080386819579708,837.0
FL_2009_000123_BGD,0.45156565183404923,570.0
FL_2018_000105_BGD,0.47852251294825454,398.0
FL_2002_000402_BGD,0.4463350908533432,599.0
FL_2002_000536_MMR,0.48330654609015783,368.0
Bangladesh: Floods _ Jul 1991,0.453690367133518,557.0
Bangladesh: Floods _ May 1984,0.4687800152798708,452.0
FL_2012_000106_BGD,0.46868323983691085,453.0
FL_2024_000088_BGD,0.42611002703936535,724.0
FL_2022_000217_BGD,0.46729858671198193,459.0
FL_2006_000092_KOR,0.6803089193063685,30.0
