Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.5188453363505419,163.0
FL_2023_000217_PRY,0.5493418310860652,91.0
Paraguay: Floods _ Jun 1995,0.5531240238116399,83.0
FL_2018_000419_PRY,0.5150261337081978,176.0
FL_2012_000056_PRY,0.6019586834239454,39.0
FL_2014_000030_PRY,0.5150172454804437,177.0
FL_1997_000299_PRY,0.5228556356114902,154.0
FL_2019_000033_PRY,0.5344648105485251,123.0
Paraguay: Floods _ Mar 1995,0.5315293952206381,135.0
FL_2013_000076_PRY,0.5254970778502273,145.0
subject,0.5417275806260087,104.0
FL_2015_000171_PRY,0.5517354896729092,85.0
FL_2002_000296_PRY,0.5106941806524365,187.0
ST_2015_000041_PRY,0.5158194327317165,174.0
FL_2023_000041_PRY,0.5183235357242149,167.0
FL_2009_000226_PRY,0.5672437465245626,67.0
Paraguay: Floods _ Feb 1990,0.5113160071578109,185.0
FL_2021_000213_STP,0.23725511904329324,1514.0
FL_2019_000034_BOL,0.9614254130606714,22.0
FL_2018_000015_BOL,0.9825158749739853,6.0
FL_2007_000012_BOL,0.9698371070191487,20.0
FL_2001_000029_BOL,0.9753236264598153,16.0
FL_2006_000010_BOL,0.9771238810510036,15.0
FL_2007_000231_BOL,0.9614134719645423,23.0
FL_2015_000008_BOL,0.9716959597076363,19.0
FL_2024_000021_BOL,0.9810572148226016,9.0
FL_2000_000130_BOL,0.9817150376687598,7.0
FL_2019_000032_BOL,0.9841739762380912,3.0
FL_2003_000621_BOL,0.9525208706124169,24.0
FL_2013_000020_BOL,0.981145909998459,8.0
FL_2011_000020_BOL,0.9793364373358977,14.0
FL_2010_000008_BOL,0.9800437253821033,11.0
FL_2002_000110_BOL,0.9909386479314737,2.0
Bolivia: Chapare River Floods _ Jan 1987,0.9799333783234349,12.0
FL_1997_000022_BOL,0.9926419713831705,1.0
Bolivia: Floods _ Jan 1986,0.9740291867364282,17.0
Bolivia: Landslides/Floods _ Mar 1994,0.9805129625887319,10.0
FL_2009_000045_BOL,0.9829623318250187,5.0
FL_2014_000008_BOL,0.9624751264539952,21.0
FL_2003_000012_BOL,0.983843975713616,4.0
FL_2012_000005_BOL,0.973448138252851,18.0
FL_2025_000038_BOL,0.9798390002294148,13.0
FL_2019_000079_BGD,0.4098864590485215,694.0
FL_2023_000157_BGD,0.4424658504163669,501.0
Bangladesh: Floods _ Jul 1996,0.4329880580945343,562.0
FL_2020_000161_BGD,0.48301090936042373,308.0
FL_2007_000129_PAK,0.43154142943578117,567.0
Bangladesh: Floods _ Jul 1993,0.4063213910369811,714.0
FL_1998_000203_BGD,0.46849402717555466,373.0
FL_2014_000117_BGD,0.4229651950462556,621.0
Bangladesh: Floods _ Jul 1999,0.4389039287175668,526.0
FL_2005_000176_BGD,0.4211138563962034,629.0
FL_2011_000093_BGD,0.4153087705803068,662.0
FL_2008_000096_BGD,0.41268392195806775,680.0
FL_2021_000097_BGD,0.44192953158831305,506.0
FL_2006_000131_BGD,0.4226764589599769,625.0
FL_2000_000617_BGD,0.4109423339505198,690.0
FL_2015_000068_BGD,0.46318197731582833,399.0
Bangladesh: Floods _ Aug 1988,0.44009120171619814,515.0
FF_2007_000080_BGD,0.4179060360973227,649.0
Bangladesh: Floods _ Aug 1986,0.45726771765297114,424.0
Bangladesh: Floods _ Jun 1993,0.4333597723228294,559.0
FL_2004_000044_BGD,0.42902176204204123,583.0
FL_1997_000164_BGD,0.41800243691231387,648.0
FL_2016_000075_BGD,0.5034568801552946,214.0
Bangladesh: Floods _ Jul 1988,0.42660507868511827,599.0
FL_2010_000114_BGD,0.4395322567813919,522.0
Bangladesh: Floods _ Sep 1986,0.45545366960862765,432.0
Bangladesh: Floods _ Aug 1989,0.4424731404508465,500.0
FL_2009_000123_BGD,0.46437811742814367,394.0
FL_2018_000105_BGD,0.4174341233239137,654.0
FL_2002_000402_BGD,0.47633632577118507,347.0
FL_2002_000536_MMR,0.46809385717678564,377.0
Bangladesh: Floods _ Jul 1991,0.46475883101683957,392.0
Bangladesh: Floods _ May 1984,0.4504586903928427,457.0
FL_2012_000106_BGD,0.4261687932184829,601.0
FL_2024_000088_BGD,0.44408460925576637,491.0
FL_2022_000217_BGD,0.43687502924426913,539.0
FL_2006_000092_KOR,0.44790500944086153,473.0
FL_2001_000335_KOR,0.47760615811334195,339.0
FL_1999_000247_KOR,0.4491210416924541,468.0
FL_1998_000219_KOR,0.47172442967807127,363.0
FL_2009_000190_TUR,0.48057760278055384,328.0
FL_2006_000156_TUR,0.45224532810693224,452.0
Turkey: Floods _ Nov 1995,0.5008963305348363,220.0
FL_1998_000255_TUR,0.4610329072187125,408.0
FL_2023_000040_TUR,0.4850554703230968,298.0
FF_2009_000159_PAK,0.32711721090168033,1332.0
FL_2020_000185_PAK,0.32050498279110073,1374.0
FF_2008_000123_PAK,0.33755024642916964,1246.0
FL_2010_000141_PAK,0.3049842907486292,1448.0
FF_2012_000148_PAK,0.34103071072531854,1212.0
FF_2013_000090_PAK,0.3231428487875636,1353.0
FL_2015_000017_PAK,0.3226914067517121,1358.0
Pakistan: Floods _ Aug 1996,0.35290482924908473,1121.0
FL_1998_000048_PAK,0.33284027793776527,1289.0
FL_2019_000087_PAK,0.31455960945503936,1406.0
FL_2017_000017_PAK,0.33135704528268295,1301.0
Pakistan: Floods _ Jul 1993,0.29721662972998175,1466.0
FL_2014_000122_PAK,0.3408125469246213,1217.0
FL_1992_000008_PAK,0.29915266597953993,1464.0
FF_2007_000082_PAK,0.3529016627056972,1122.0
Pakistan: Floods _ Feb 1991,0.3163425252889539,1396.0
FL_2003_000359_PAK,0.3224977559869999,1359.0
FL_2016_000066_PAK,0.34537807140776133,1181.0
FL_2022_000254_PAK,0.31663735961139194,1395.0
FL_2024_000118_PAK,0.3185633450144719,1384.0
FL_2016_000021_PAK,0.3098026827574289,1431.0
FL_2005_000108_PAK,0.32070879625180615,1373.0
FL_2024_000020_PAK,0.3276804252590894,1328.0
FL_2023_000119_PAK,0.3366412640799064,1255.0
FL_2001_000376_PAK,0.3370306150541382,1252.0
FL_2011_000109_PAK,0.3305211763135807,1305.0
FL_2009_000139_PAK,0.35589197182745436,1104.0
FL_2005_000038_MDG,0.5241316283618581,151.0
ST_2022_000138_MDG,0.5328821242036418,131.0
2012_000020_MDG,0.5161791105240853,172.0
FL_2020_000019_MDG,0.5204640363797153,158.0
FL_2003_000037_MDG,0.5203609208498019,159.0
FL_2013_000004_KEN,0.384172261151176,861.0
FL_2009_000218_KEN,0.3641542589077128,1031.0
FL_2024_000045_KEN,0.36765966780331183,1003.0
FL_2011_000115_KEN,0.375859100164994,930.0
FL_2002_000265_KEN,0.36601463570568293,1017.0
FL_2010_000003_KEN,0.401501728785809,745.0
FL_2004_000020_KEN,0.3825996954222211,883.0
FF_2012_000062_KEN,0.37004966377323373,988.0
FL_2008_000217_KEN,0.3919044184755431,797.0
FL_2015_000169_KEN,0.360629714522985,1068.0
FL_2021_000038_KEN,0.36764605179630505,1004.0
FL_2023_000216_KEN,0.3832113558371887,874.0
FL_2013_000038_KEN,0.35791372655761505,1088.0
FL_1997_000255_KEN,0.3737171043468049,953.0
FL_2020_000128_KEN,0.3767259706120546,924.0
FF_2023_000051_KEN,0.3885041803980612,818.0
FL_2019_000138_KEN,0.3728643774690663,962.0
FL_2007_000139_KEN,0.3770470446123274,920.0
FF_2008_000092_KEN,0.3905780871849045,805.0
FL_2007_000076_KEN,0.37445526054856987,942.0
FF_2018_000030_KEN,0.3802850140569275,898.0
FL_2010_000174_KEN,0.3770024001748288,921.0
FF_2006_000046_KEN,0.38330667243228433,869.0
FL_2016_000042_KEN,0.3781608270086282,911.0
FL_2007_000221_KEN,0.3881124027548388,826.0
FL_2025_000045_COD,0.38073295816590086,894.0
FL_2024_000009_COD,0.3382450744976666,1239.0
FL_1999_000531_COD,0.3220290153732449,1363.0
FL_2012_000192_COD,0.36089179212880895,1066.0
ST_2012_000064_COD,0.3457247001278,1179.0
FL_2010_000062_COD,0.36729182768725743,1008.0
FL_2020_000052_COD,0.3861178835226119,843.0
FL_2010_000151_COD,0.34947753471243215,1151.0
FL_2006_000047_COD,0.3370737280655599,1251.0
FL_2016_000124_COD,0.3828151125446253,880.0
FL_2015_000164_COD,0.3743815088346447,943.0
FL_1997_000295_COD,0.3442704658587058,1190.0
FL_2011_000187_COD,0.3754945080817299,932.0
FL_2022_000376_COD,0.33267506024521837,1293.0
FL_2018_000004_COD,0.31536507855147283,1401.0
FL_2007_000197_COD,0.4042606932133856,727.0
FL_2020_000206_COD,0.33748988380469824,1247.0
FL_2019_000153_COD,0.4208563537364735,630.0
FF_2008_000186_COD,0.42746979273921315,590.0
FL_2023_000067_COD,0.35206848889768894,1129.0
FL_2019_000020_COL,0.41864433858632544,643.0
FL_2015_000056_COL,0.33347137996968534,1285.0
FL_2003_000578_COL,0.4034858745035117,731.0
FL_2023_000232_COL,0.3592308382930576,1077.0
FL_2008_000197_COL,0.3798729301554937,901.0
1987_07_01_CO_Flood,0.38517629945687076,851.0
FL_2013_000145_COL,0.38329343169573155,871.0
FL_2010_000076_COL,0.371771771292992,972.0
FL_2005_000020_COL,0.35767632878402916,1091.0
FL_2007_000068_COL,0.30720966218158424,1442.0
FL_2020_000242_COL,0.39584472493038025,777.0
FL_2009_000241_COL,0.39649621748126584,771.0
FL_2008_000076_COL,0.3135392599668241,1414.0
1986_07_01T00:00:00+00:00,0.2995986889876297,1463.0
FL_2012_000183_COL,0.36663346955856185,1013.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.3754165916592543,933.0
LS_2010_000190_COL,0.36731235814988045,1006.0
FL_2018_000058_COL,0.30004153552777735,1461.0
FL_2006_000044_COL,0.39356335202527803,791.0
FL_2013_000030_COL,0.4135983901877104,672.0
FL_2014_000004_COL,0.37306233075639317,961.0
FL_2012_000042_COL,0.36546082549167963,1022.0
FL_2014_000163_COL,0.3341350804661338,1278.0
1996_07_01_CO_Flood,0.3866614857527162,840.0
FL_2000_000265_COL,0.3493691967927501,1153.0
FL_2011_000170_COL,0.3595878859642602,1076.0
OT_2004_000112_COL,0.3616535047446271,1058.0
FL_2024_000117_COL,0.3739118380564367,948.0
FL_2011_000042_COL,0.3494984637449168,1150.0
