Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.611315003083295,158.0
FL_2023_000217_PRY,0.6096040437084743,167.0
Paraguay: Floods _ Jun 1995,0.6295780692885,111.0
FL_2018_000419_PRY,0.6044611884029091,187.0
FL_2012_000056_PRY,0.6681639001877222,81.0
FL_2014_000030_PRY,0.6078776448662259,172.0
FL_1997_000299_PRY,0.6189814759552306,140.0
FL_2019_000033_PRY,0.6251256649572979,125.0
Paraguay: Floods _ Mar 1995,0.5552730398299011,407.0
FL_2013_000076_PRY,0.5992097046911556,204.0
subject,0.5239848850295294,597.0
FL_2015_000171_PRY,0.6202428188263429,134.0
FL_2002_000296_PRY,0.5615221838263855,371.0
ST_2015_000041_PRY,0.578284470031196,286.0
FL_2023_000041_PRY,0.5817521380754299,268.0
FL_2009_000226_PRY,0.596039108430592,211.0
Paraguay: Floods _ Feb 1990,0.6888464481013379,72.0
FL_2021_000213_STP,0.41129905893265545,1225.0
FL_2019_000034_BOL,0.5186236209803233,639.0
FL_2018_000015_BOL,0.5305118957753203,549.0
FL_2007_000012_BOL,0.4574406345183952,993.0
FL_2001_000029_BOL,0.5713286430424067,314.0
FL_2006_000010_BOL,0.5467312808323561,450.0
FL_2007_000231_BOL,0.4655632049342213,950.0
FL_2015_000008_BOL,0.5297383555831866,554.0
FL_2024_000021_BOL,0.5250649916550465,589.0
FL_2000_000130_BOL,0.5513281689893942,427.0
FL_2019_000032_BOL,0.5365387190500576,519.0
FL_2003_000621_BOL,0.5289665818305376,559.0
FL_2013_000020_BOL,0.5754383029411443,296.0
FL_2011_000020_BOL,0.5113656101494384,684.0
FL_2010_000008_BOL,0.48936221146782666,837.0
FL_2002_000110_BOL,0.5356814639590426,525.0
Bolivia: Chapare River Floods _ Jan 1987,0.528122335176539,567.0
FL_1997_000022_BOL,0.504825544400641,736.0
Bolivia: Floods _ Jan 1986,0.5339106431629131,532.0
Bolivia: Landslides/Floods _ Mar 1994,0.5149173192245566,667.0
FL_2009_000045_BOL,0.5402972462024177,488.0
FL_2014_000008_BOL,0.4896056701905626,835.0
FL_2003_000012_BOL,0.4997642366908388,763.0
FL_2012_000005_BOL,0.5221473450930825,607.0
FL_2025_000038_BOL,0.5068776188429673,715.0
FL_2019_000079_BGD,0.48761998464976364,843.0
FL_2023_000157_BGD,0.49924781152307174,770.0
Bangladesh: Floods _ Jul 1996,0.5169198840515952,651.0
FL_2020_000161_BGD,0.545351121690904,456.0
FL_2007_000129_PAK,0.5189406495232627,636.0
Bangladesh: Floods _ Jul 1993,0.4976670797769784,778.0
FL_1998_000203_BGD,0.5074500822969018,710.0
FL_2014_000117_BGD,0.49463124619769344,801.0
Bangladesh: Floods _ Jul 1999,0.5170008229321204,650.0
FL_2005_000176_BGD,0.4907411715590926,831.0
FL_2011_000093_BGD,0.5123422570738864,678.0
FL_2008_000096_BGD,0.5106666159412118,688.0
